期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),店頭市場股價指數_原始值,店頭市場股價指數_年增率(%)
2010M08,"7,616.28",11.58,133.20,20.49
2010M09,"8,237.78",9.70,143.56,14.86
2010M10,"8,287.09",12.90,139.37,15.27
2010M11,"8,372.48",10.42,136.83,5.88
2010M12,"8,972.50",9.58,143.95,-4.07
2011M01,"9,145.35",19.70,146.18,10.51
2011M02,"8,599.65",15.65,141.28,9.48
2011M03,"8,683.30",9.64,138.92,-4.43
2011M04,"9,007.87",12.54,138.65,-5.69
2011M05,"8,988.84",21.90,139.81,5.84
2011M06,"8,652.59",18.05,134.08,2.48
2011M07,"8,644.18",11.39,131.51,-5.24
2011M08,"7,741.36",1.64,111.51,-16.28
2011M09,"7,225.38",-12.29,102.36,-28.70
2011M10,"7,587.69",-8.44,105.04,-24.63
2011M11,"6,904.12",-17.54,92.85,-32.14
2011M12,"7,072.08",-21.18,93.89,-34.78
2012M01,"7,517.08",-17.80,103.63,-29.11
2012M02,"8,121.44",-5.56,117.47,-16.85
2012M03,"7,933.00",-8.64,113.59,-18.23
2012M04,"7,501.72",-16.72,105.89,-23.63
2012M05,"7,301.50",-18.77,105.81,-24.32
2012M06,"7,296.28",-15.68,104.72,-21.90
2012M07,"7,270.49",-15.89,101.16,-23.08
2012M08,"7,397.06",-4.45,104.48,-6.30
2012M09,"7,715.16",6.78,107.40,4.92
2012M10,"7,166.05",-5.56,95.57,-9.02
2012M11,"7,580.17",9.79,99.65,7.32
2012M12,"7,699.50",8.87,103.29,10.01
2013M01,"7,850.02",4.43,106.74,3.00
2013M02,"7,897.98",-2.75,110.06,-6.31
2013M03,"7,918.61",-0.18,114.29,0.62
2013M04,"8,093.66",7.89,114.85,8.46
2013M05,"8,254.80",13.06,121.44,14.77
2013M06,"8,062.21",10.50,116.47,11.22
2013M07,"8,107.94",11.52,119.00,17.64
2013M08,"8,021.89",8.45,117.91,12.85
2013M09,"8,173.87",5.95,122.02,13.61
2013M10,"8,450.06",17.92,125.40,31.21
2013M11,"8,406.83",10.91,124.75,25.19
2013M12,"8,611.51",11.85,129.57,25.44
2014M01,"8,462.57",7.80,128.66,20.54
2014M02,"8,639.58",9.39,141.13,28.23
2014M03,"8,849.28",11.75,144.50,26.43
2014M04,"8,791.44",8.62,140.64,22.46
2014M05,"9,075.91",9.95,149.78,23.34
2014M06,"9,393.07",16.51,153.55,31.84
2014M07,"9,315.85",14.90,144.44,21.38
