期間,平均每股市值_原始值,平均每股市值_年增率(%),平均每股盈餘_原始值,平均每股盈餘_年增率(%),平均每股淨值_原始值,平均每股淨值_年增率(%),本益比_原始值,本益比_年增率(%),成交值週轉率(%)_原始值,成交值週轉率(%)_年增率(%)
2010M08,33.68,13.48,2.33,"1,065.00",19.61,8.70,14.20,-,13.79,-
2010M09,36.38,10.98,2.33,"1,356.25",19.57,8.60,15.37,-,12.29,-
2010M10,36.77,14.76,2.47,814.81,20.38,8.81,14.63,-,11.02,-
2010M11,37.26,12.53,2.49,758.62,20.46,8.66,14.89,-,10.55,-
2010M12,40.17,12.11,2.50,733.33,20.45,8.72,16.04,-,12.90,-
2011M01,40.98,22.11,2.51,945.83,20.50,11.17,16.41,-,10.82,-
2011M02,38.59,18.23,2.50,635.29,20.55,9.02,15.49,-,8.36,-
2011M03,38.98,11.40,2.60,182.61,20.92,10.16,15.12,-,11.41,-
2011M04,40.65,14.86,2.43,23.98,21.69,6.90,16.65,-,8.90,-
2011M05,40.61,24.49,2.47,27.32,21.74,8.11,16.39,-,9.09,-
2011M06,39.09,20.20,2.46,24.87,21.73,5.95,15.85,-,8.98,-
2011M07,38.70,12.57,2.44,23.86,21.47,5.35,15.86,-,10.55,-
2011M08,34.23,1.63,2.21,-5.15,20.07,2.35,15.45,-,14.11,-
2011M09,31.77,-12.67,2.20,-5.58,19.94,1.89,14.01,-,11.01,-
2011M10,33.39,-9.19,1.91,-22.67,20.37,-0.05,16.78,-,8.92,-
2011M11,30.47,-18.22,1.91,-23.29,20.31,-0.73,15.29,-,10.17,-
2011M12,31.23,-22.26,1.91,-23.60,20.32,-0.64,15.76,-,7.55,-
2012M01,33.20,-18.98,1.91,-23.90,20.28,-1.07,16.74,-,6.61,-
2012M02,35.85,-7.10,1.91,-23.60,20.26,-1.41,18.11,-,12.57,-
2012M03,35.06,-10.06,1.62,-37.69,20.75,-0.81,20.68,-,10.61,-
2012M04,33.17,-18.40,1.39,-42.80,21.04,-3.00,22.72,-,7.41,-
2012M05,32.28,-20.51,1.39,-43.72,21.20,-2.48,21.67,-,8.05,-
2012M06,32.14,-17.78,1.38,-43.90,21.08,-2.99,21.68,-,6.69,-
2012M07,31.93,-17.49,1.38,-43.44,21.00,-2.19,21.74,-,7.30,-
2012M08,32.15,-6.08,1.22,-44.80,19.85,-1.10,24.47,-,8.19,-
2012M09,33.50,5.45,1.22,-44.55,19.82,-0.60,25.21,-,8.04,-
2012M10,31.16,-6.68,1.29,-32.46,20.26,-0.54,22.50,-,7.01,-
2012M11,32.93,8.07,1.29,-32.46,20.46,0.74,23.20,-,7.23,-
2012M12,33.44,7.08,1.30,-31.94,20.43,0.54,23.62,-,7.62,-
2013M01,34.11,2.74,1.30,-31.94,20.38,0.49,24.00,-,7.85,-
2013M02,34.30,-4.32,1.33,-30.37,20.40,0.69,23.58,-,4.64,-
2013M03,34.46,-1.71,1.51,-6.79,20.81,0.29,21.23,-,7.26,-
2013M04,35.27,6.33,1.51,8.63,20.81,-1.09,21.72,-,6.45,-
2013M05,35.96,11.40,1.70,22.30,21.20,0.00,20.12,-,7.88,-
2013M06,35.14,9.33,1.70,23.19,21.18,0.47,19.66,-,6.56,-
2013M07,35.24,10.37,1.69,22.46,21.10,0.48,19.86,-,8.27,-
2013M08,34.39,6.97,1.84,50.82,20.39,2.72,18.14,-,6.93,-
2013M09,35.02,4.54,1.84,50.82,20.35,2.67,18.45,-,6.55,-
2013M10,36.17,16.08,1.83,41.86,20.30,0.20,19.18,-,7.32,-
2013M11,36.16,9.81,2.04,58.14,20.94,2.35,19.18,-,6.48,-
2013M12,37.06,10.83,2.04,56.92,20.93,2.45,18.04,-,6.45,-
2014M01,36.50,7.01,1.95,50.00,20.84,2.26,18.48,-,7.28,-
2014M02,37.08,8.10,1.96,47.37,20.85,2.21,18.64,-,6.17,-
2014M03,38.00,10.27,2.17,43.71,21.68,4.18,17.55,-,7.81,-
2014M04,37.71,6.92,2.17,43.71,21.64,3.99,17.43,-,7.71,-
2014M05,38.95,8.31,2.21,30.00,22.79,7.50,17.75,-,7.14,-
2014M06,40.29,14.66,2.20,29.41,22.77,7.51,18.38,-,7.34,-
2014M07,39.82,13.00,2.20,30.18,22.63,7.25,18.23,-,9.20,-
