期間,可支配所得按戶數十等分位組之分界點-1,可支配所得按戶數十等分位組之分界點-2,可支配所得按戶數十等分位組之分界點-3,可支配所得按戶數十等分位組之分界點-4,可支配所得按戶數十等分位組之分界點-5,可支配所得按戶數十等分位組之分界點-6,可支配所得按戶數十等分位組之分界點-7,可支配所得按戶數十等分位組之分界點-8,可支配所得按戶數十等分位組之分界點-9
1976,"55,700","68,560","79,380","89,592","101,336","114,310","130,985","153,545","193,900"
1977,"60,590","74,947","87,384","99,257","111,860","127,022","144,800","170,600","214,860"
1978,"74,060","92,302","106,860","120,877","136,086","153,814","174,540","205,164","258,400"
1979,"86,200","110,656","129,361","146,036","164,260","185,012","211,510","250,200","314,530"
1980,"109,573","139,300","162,476","183,500","205,750","232,000","262,282","308,627","383,000"
1981,"125,130","157,138","183,643","208,210","233,886","264,498","300,920","353,440","441,872"
1982,"126,520","163,398","189,665","215,405","241,100","270,704","309,682","364,036","459,095"
1983,"135,582","173,237","201,923","229,388","257,690","291,215","332,956","392,670","494,805"
1984,"142,654","183,197","215,274","245,668","275,780","311,276","356,621","418,363","525,567"
1985,"143,280","185,811","218,191","248,404","280,100","317,065","364,205","427,246","542,650"
1986,"150,717","197,350","230,813","262,696","295,873","334,539","383,871","452,181","575,785"
1987,"158,005","208,753","247,387","283,914","320,517","361,100","413,252","492,338","619,892"
1988,"170,974","233,293","276,150","317,276","359,440","405,640","465,279","548,147","692,289"
1989,"188,334","260,085","315,390","362,979","411,342","466,200","531,367","627,405","788,431"
1990,"204,123","285,712","345,658","396,925","453,416","518,804","599,613","708,537","892,449"
1991,"242,482","327,233","389,274","448,875","510,410","581,720","669,608","791,147","1,005,282"
1992,"245,804","349,850","424,286","491,508","558,336","636,623","736,817","872,948","1,120,087"
1993,"270,875","392,942","477,673","558,431","639,907","734,440","844,053","1,003,537","1,266,515"
1994,"291,870","415,769","499,763","582,758","668,450","764,050","855,170","1,054,198","1,342,815"
1995,"307,447","434,577","524,937","610,694","700,873","808,607","941,159","1,120,355","1,425,743"
1996,"311,489","438,561","539,683","628,447","720,970","826,919","957,644","1,131,686","1,436,963"
1997,"321,282","458,491","558,075","656,030","750,341","863,136","994,975","1,181,020","1,507,035"
1998,"323,893","455,649","562,761","661,684","763,717","872,759","1,005,151","1,194,505","1,511,147"
1999,"327,131","465,852","575,922","676,205","776,134","885,511","1,021,609","1,204,174","1,538,376"
2000,"326,672","461,054","573,618","674,735","776,390","890,698","1,034,111","1,234,375","1,566,948"
2001,"291,263","412,239","527,453","632,779","737,682","858,111","1,007,718","1,203,118","1,551,100"
2002,"301,529","435,216","539,624","641,808","740,556","854,091","995,788","1,191,482","1,583,800"
2003,"306,022","432,865","544,325","650,336","739,648","862,908","1,007,458","1,210,583","1,589,440"
2004,"306,614","446,352","558,012","664,416","773,320","891,503","1,025,976","1,224,929","1,575,332"
2005,"309,751","437,612","559,088","663,773","775,656","895,413","1,037,859","1,227,859","1,591,574"
2006,"311,548","447,815","566,301","682,388","796,091","906,502","1,063,784","1,268,285","1,636,995"
2007,"321,021","455,852","574,317","689,005","799,571","914,520","1,057,436","1,272,016","1,667,932"
2008,"311,230","444,427","564,455","685,981","795,643","909,996","1,060,268","1,258,065","1,614,622"
2009,"292,378","426,736","546,514","656,792","769,705","896,417","1,041,145","1,233,592","1,583,046"
2010,"300,168","426,763","542,893","659,325","771,003","897,846","1,046,028","1,245,374","1,591,674"
2011,"313,998","432,852","547,977","664,440","782,517","914,034","1,076,120","1,278,444","1,612,282"
2012,"315,574","446,118","567,216","682,286","808,193","930,767","1,082,718","1,284,373","1,650,943"
2013,"322,057","458,861","585,622","702,414","822,940","954,774","1,100,035","1,306,778","1,678,815"
