期間,全體家庭之平均每戶人數(人),可支配所得按戶數五等分位組之平均每戶人數-最低所得組(人),可支配所得按戶數五等分位組之平均每戶人數-次低所得組(人),可支配所得按戶數五等分位組之平均每戶人數-中間所得組(人),可支配所得按戶數五等分位組之平均每戶人數-次高所得組(人),可支配所得按戶數五等分位組之平均每戶人數-最高所得組(人),平均每戶人數-第五分位組為第一分位組之倍數(倍),全體家庭之平均每戶就業人數(人),可支配所得按戶數五等分位組之平均每戶就業人數-最低所得組(人),可支配所得按戶數五等分位組之平均每戶就業人數-次低所得組(人),可支配所得按戶數五等分位組之平均每戶就業人數-中間所得組(人),可支配所得按戶數五等分位組之平均每戶就業人數-次高所得組(人),可支配所得按戶數五等分位組之平均每戶就業人數-最高所得組(人),平均每戶就業人數-第五分位組為第一分位組之倍數(倍)
1980,4.85,3.62,4.70,4.89,5.23,5.80,1.60,1.93,1.45,1.66,1.76,2.11,2.65,1.83
1981,4.79,3.65,4.65,4.93,5.14,5.61,1.54,1.92,1.45,1.68,1.78,2.08,2.61,1.80
1982,4.74,3.44,4.55,4.88,5.14,5.67,1.65,1.89,1.37,1.62,1.81,2.08,2.57,1.88
1983,4.71,3.47,4.52,4.88,5.12,5.56,1.60,1.86,1.31,1.58,1.79,2.09,2.54,1.94
1984,4.68,3.40,4.52,4.84,5.08,5.58,1.64,1.84,1.26,1.60,1.75,2.05,2.56,2.03
1985,4.59,3.27,4.42,4.74,5.03,5.50,1.68,1.81,1.20,1.54,1.74,2.02,2.54,2.12
1986,4.53,3.09,4.37,4.71,4.98,5.49,1.78,1.83,1.14,1.55,1.79,2.06,2.62,2.30
1987,4.41,2.91,4.26,4.64,4.87,5.38,1.85,1.80,1.11,1.53,1.72,2.03,2.61,2.35
1988,4.28,2.82,4.17,4.53,4.75,5.13,1.82,1.78,1.09,1.50,1.72,2.06,2.53,2.32
1989,4.25,2.79,4.17,4.43,4.75,5.10,1.83,1.77,1.10,1.51,1.70,2.00,2.52,2.29
1990,4.19,2.70,4.09,4.45,4.62,5.09,1.89,1.77,1.05,1.46,1.70,2.03,2.59,2.47
1991,4.16,2.81,4.06,4.34,4.59,5.00,1.78,1.76,1.10,1.49,1.69,2.00,2.52,2.29
1992,4.10,2.63,3.96,4.33,4.58,5.02,1.91,1.75,1.05,1.46,1.68,2.02,2.55,2.43
1993,4.10,2.50,4.01,4.36,4.58,5.03,2.01,1.77,0.94,1.46,1.74,2.08,2.60,2.77
1994,4.02,2.39,3.88,4.31,4.55,4.96,2.08,1.75,0.91,1.44,1.77,2.10,2.54,2.79
1995,3.94,2.32,3.76,4.26,4.48,4.86,2.09,1.71,0.85,1.39,1.73,2.06,2.54,2.99
1996,3.92,2.32,3.65,4.23,4.50,4.91,2.12,1.71,0.84,1.39,1.72,2.06,2.55,3.04
1997,3.84,2.19,3.59,4.15,4.44,4.85,2.21,1.69,0.80,1.36,1.74,2.05,2.52,3.15
1998,3.77,2.13,3.47,4.12,4.38,4.77,2.24,1.64,0.73,1.34,1.68,2.01,2.45,3.36
1999,3.63,1.96,3.31,3.97,4.26,4.66,2.38,1.60,0.68,1.27,1.66,1.96,2.44,3.59
2000,3.62,1.99,3.27,3.89,4.27,4.65,2.34,1.58,0.68,1.29,1.59,1.94,2.41,3.54
2001,3.58,2.01,3.18,3.88,4.24,4.60,2.29,1.56,0.66,1.23,1.62,1.96,2.35,3.56
2002,3.65,2.16,3.32,3.92,4.27,4.57,2.12,1.57,0.70,1.25,1.62,1.98,2.32,3.31
2003,3.53,2.03,3.13,3.84,4.19,4.46,2.20,1.54,0.62,1.20,1.59,1.94,2.35,3.79
2004,3.50,1.96,3.16,3.81,4.14,4.43,2.26,1.53,0.60,1.21,1.59,1.93,2.34,3.90
2005,3.42,1.92,3.02,3.75,4.08,4.35,2.27,1.51,0.56,1.18,1.56,1.92,2.31,4.13
2006,3.41,1.87,3.01,3.71,4.07,4.37,2.34,1.52,0.59,1.19,1.59,1.90,2.32,3.93
2007,3.38,1.93,2.94,3.65,4.07,4.32,2.24,1.50,0.60,1.14,1.56,1.93,2.29,3.82
2008,3.35,1.88,2.91,3.62,4.06,4.29,2.28,1.49,0.54,1.15,1.55,1.94,2.27,4.20
2009,3.34,1.89,2.93,3.57,3.96,4.34,2.30,1.46,0.53,1.14,1.53,1.85,2.25,4.25
2010,3.25,1.82,2.83,3.48,3.92,4.20,2.31,1.44,0.53,1.10,1.50,1.84,2.21,4.17
2011,3.29,1.89,2.83,3.50,3.95,4.27,2.26,1.49,0.54,1.11,1.58,1.92,2.29,4.24
2012,3.23,1.83,2.76,3.43,3.87,4.24,2.32,1.46,0.51,1.09,1.52,1.90,2.28,4.47
2013,3.21,1.80,2.72,3.40,3.93,4.19,2.33,1.46,0.51,1.04,1.54,1.94,2.29,4.49
