期間,本國銀行-支票存款-借記總額(新台幣百萬元)_原始值,本國銀行-支票存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-支票存款-按年計算之回轉次數(次)_原始值,本國銀行-支票存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期存款-按年計算之回轉次數(次)_原始值,本國銀行-活期存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_原始值,本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_年增率(%),票據交換及存款不足退票數額-交換-張數(張)_原始值,票據交換及存款不足退票數額-交換-張數(張)_年增率(%),票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-存款不足退票-張數(張)_原始值,票據交換及存款不足退票數額-存款不足退票-張數(張)_年增率(%),票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-退票張數比率(%)_原始值,票據交換及存款不足退票數額-退票張數比率(%)_年增率(%),票據交換及存款不足退票數額-退票金額比率(%)_原始值,票據交換及存款不足退票數額-退票金額比率(%)_年增率(%)
2005M04,"6,889,507",-13.71,314.0,7.03,"9,256,101",-24.37,82.1,-23.62,"4,131,674",-26.85,12.4,-25.50,"9,376,605",-25.67,"1,688,831",-28.32,"38,236",-22.05,"8,716",-14.62,0.41,5.13,0.52,20.93
2005M05,"7,914,832",4.57,334.8,17.01,"10,018,699",-5.70,85.2,-12.46,"4,468,159",-2.92,12.9,-10.54,"15,421,003",20.75,"2,156,359",-4.53,"59,250",18.06,"12,741",24.56,0.38,-2.56,0.59,31.11
2005M06,"8,505,674",12.00,352.1,20.88,"12,062,386",21.07,97.6,6.67,"4,709,553",10.79,12.8,-4.57,"12,564,408",-2.06,"2,148,114",-1.39,"51,268",-0.31,"12,309",14.44,0.41,2.50,0.57,16.33
2005M07,"7,762,054",-3.24,333.3,18.07,"10,722,117",0.04,91.1,0.21,"4,716,534",15.01,14.0,13.57,"10,219,243",-9.91,"1,826,549",-10.82,"43,001",-8.13,"9,587",-5.56,0.42,2.44,0.52,4.00
2005M08,"8,712,383",12.24,332.4,25.02,"11,380,555",22.38,85.4,9.78,"5,049,515",27.00,13.5,14.40,"16,923,287",4.58,"2,307,190",2.05,"66,323",8.57,"13,869",-22.02,0.39,2.63,0.60,-24.05
2005M09,"8,139,384",6.63,324.7,11.67,"10,362,585",3.25,82.1,-11.13,"4,410,061",3.73,12.3,-9.86,"14,299,491",-3.31,"2,025,360",-5.21,"56,455",5.23,"13,763",2.85,0.39,8.33,0.68,7.94
2005M10,"7,356,060",4.52,320.4,23.66,"9,907,304",3.86,84.7,0.48,"4,349,922",4.15,12.9,1.13,"13,535,686",25.79,"1,956,484",8.04,"58,014",36.72,"12,520",25.83,0.43,10.26,0.64,16.36
2005M11,"7,540,614",-1.14,305.2,13.42,"10,358,817",2.74,81.6,-4.10,"4,426,169",2.00,11.9,-5.66,"13,543,592",-17.15,"2,032,066",-10.53,"58,050",-5.24,"12,458",-10.29,0.43,16.22,0.61,0.00
2005M12,"8,372,286",0.87,320.6,17.35,"12,627,774",14.76,94.0,10.26,"5,324,001",-26.42,14.1,-28.99,"10,815,954",-21.22,"2,015,639",-10.44,"52,051",0.16,"12,349",-11.66,0.48,26.32,0.61,-1.61
2006M01,"8,824,546",11.31,340.0,25.75,"12,871,998",25.52,105.9,23.73,"5,801,339",33.34,16.4,28.37,"13,137,938",-0.73,"2,103,173",-0.14,"53,925",16.80,"11,315",5.34,0.41,17.14,0.54,5.88
2006M02,"6,281,027",16.13,311.1,18.84,"8,956,622",16.17,89.6,-6.69,"4,107,272",18.90,13.6,-0.13,"11,015,828",31.32,"1,689,965",21.36,"52,644",72.99,"10,272",43.97,0.48,33.33,0.61,19.61
2006M03,"8,134,605",-0.42,330.6,23.24,"11,689,566",2.04,92.9,5.11,"5,210,287",5.24,13.5,5.51,"15,892,055",-1.99,"2,351,234",1.94,"75,265",22.24,"15,117",11.93,0.47,23.68,0.64,8.47
2006M04,"7,171,026",4.09,335.4,6.82,"10,802,828",16.71,96.2,17.19,"4,826,771",16.82,14.4,16.28,"8,934,727",-4.71,"1,680,825",-0.47,"46,184",20.79,"10,295",18.12,0.52,26.83,0.61,17.31
2006M05,"8,069,908",1.96,332.3,-0.77,"12,215,762",21.93,96.0,12.70,"5,635,811",26.13,15.0,16.75,"12,923,236",-16.20,"2,077,130",-3.67,"64,333",8.58,"12,616",-0.98,0.50,31.58,0.61,3.39
2006M06,"8,186,184",-3.76,332.9,-5.44,"11,288,951",-6.41,85.7,-12.16,"5,138,528",9.11,13.4,4.51,"14,713,538",17.10,"2,228,942",3.76,"75,873",47.99,"17,295",40.51,0.52,26.83,0.78,36.84
2006M07,"7,497,387",-3.41,309.5,-7.15,"10,467,936",-2.37,81.6,-10.41,"4,869,336",3.24,13.4,-3.99,"12,396,243",21.30,"2,020,639",10.63,"65,852",53.14,"13,470",40.50,0.53,26.19,0.67,28.85
2006M08,"8,353,720",-4.12,316.8,-4.69,"11,015,828",-3.20,77.6,-9.17,"5,296,663",4.89,13.3,-1.67,"13,011,472",-23.11,"2,057,497",-10.82,"64,880",-2.18,"13,362",-3.66,0.50,28.21,0.65,8.33
2006M09,"7,898,672",-2.96,319.9,-1.48,"10,758,631",3.82,80.9,-1.40,"4,573,392",3.70,12.2,-1.09,"9,966,591",-30.30,"1,776,926",-12.27,"48,741",-13.66,"10,241",-25.59,0.49,25.64,0.58,-14.71
2006M10,"7,704,061",4.73,327.4,2.19,"11,113,440",12.17,87.4,3.15,"5,452,202",25.34,15.1,17.78,"15,001,795",10.83,"2,095,176",7.09,"76,741",32.28,"16,189",29.31,0.51,18.60,0.77,20.31
2006M11,"7,877,546",4.47,313.6,2.77,"11,455,114",10.58,82.7,1.35,"5,118,358",15.64,12.9,8.62,"12,612,483",-6.87,"1,997,444",-1.70,"57,684",-0.63,"11,897",-4.50,0.46,6.98,0.60,-1.64
2006M12,"8,039,621",-3.97,318.9,-0.51,"12,875,698",1.96,94.2,0.26,"5,714,998",7.34,14.8,5.48,"9,594,449",-11.29,"1,800,399",-10.68,"45,087",-13.38,"10,245",-17.04,0.47,-2.08,0.57,-6.56
2007M01,"8,487,280",-3.82,315.1,-7.32,"13,448,739",4.48,91.7,-13.39,"6,415,318",10.58,15.5,-5.16,"15,401,769",17.23,"2,242,314",6.62,"69,178",28.29,"16,055",41.89,0.45,9.76,0.72,33.33
2007M02,"5,348,626",-14.84,304.9,-1.98,"8,606,918",-3.90,94.6,5.55,"3,975,675",-3.20,14.9,9.23,"8,248,355",-25.12,"1,319,021",-21.95,"34,615",-34.25,"7,624",-25.78,0.42,-12.50,0.58,-4.92
2007M03,"8,062,216",-0.89,303.4,-8.24,"13,101,910",12.08,88.4,-4.93,"5,863,880",12.54,13.4,-0.85,"12,522,430",-21.20,"1,976,118",-15.95,"57,483",-23.63,"11,941",-21.01,0.46,-2.13,0.60,-6.25
2007M04,"7,534,713",5.07,316.4,-5.67,"11,569,969",7.10,89.0,-7.48,"5,464,171",13.21,14.3,-0.58,"13,270,104",48.52,"1,889,726",12.43,"60,205",30.36,"12,562",22.02,0.45,-13.46,0.66,8.20
2007M05,"7,737,998",-4.11,296.8,-10.68,"11,972,726",-1.99,82.9,-13.58,"5,396,689",-4.24,12.8,-14.86,"12,168,948",-5.84,"1,936,824",-6.75,"50,039",-22.22,"10,805",-14.35,0.41,-18.00,0.56,-8.20
2007M06,"7,891,861",-3.60,340.9,2.39,"13,278,215",17.62,103.7,21.03,"5,898,614",14.79,15.4,15.08,"8,817,851",-40.07,"1,694,338",-23.98,"38,515",-49.24,"9,063",-47.60,0.44,-15.38,0.53,-32.05
2007M07,"8,927,657",19.08,338.2,9.28,"17,078,896",63.15,113.8,39.45,"8,049,800",65.32,18.8,40.28,"14,634,090",18.05,"2,214,248",9.58,"61,533",-6.56,"13,467",-0.02,0.42,-20.75,0.61,-8.96
2007M08,"8,581,585",2.73,312.1,-1.47,"15,970,400",44.98,98.3,26.62,"7,263,688",37.14,16.3,23.03,"12,244,293",-5.90,"1,968,862",-4.31,"50,736",-21.80,"14,040",5.07,0.41,-18.00,0.71,9.23
2007M09,"7,102,380",-10.08,326.2,1.98,"12,069,653",12.19,94.8,17.18,"5,812,522",27.09,16.9,38.49,"9,078,707",-8.91,"1,532,502",-13.76,"40,027",-17.88,"9,012",-12.00,0.44,-10.20,0.59,1.72
2007M10,"8,148,826",5.77,321.3,-1.85,"14,623,606",31.58,95.3,9.03,"6,430,763",17.95,15.2,0.53,"14,497,081",-3.36,"2,059,049",-1.72,"63,072",-17.81,"15,173",-6.28,0.44,-13.73,0.74,-3.90
2007M11,"7,687,910",-2.41,307.6,-1.91,"13,681,026",19.43,88.2,6.62,"5,859,603",14.48,14.2,9.75,"11,954,616",-5.22,"1,828,307",-8.47,"48,612",-15.73,"10,562",-11.22,0.41,-10.87,0.58,-3.33
2007M12,"7,899,829",-1.74,317.8,-0.35,"13,268,056",3.05,88.5,-6.06,"5,158,854",-9.73,13.4,-9.74,"11,765,396",22.63,"1,855,590",3.07,"51,213",13.59,"13,018",27.07,0.44,-6.38,0.70,22.81
2008M01,"8,266,046",-2.61,314.5,-0.17,"14,260,076",6.03,91.2,-0.54,"5,948,257",-7.28,14.8,-4.48,"12,490,810",-18.90,"1,950,835",-13.00,"44,721",-35.35,"11,471",-28.55,0.36,-20.00,0.59,-18.06
2008M02,"6,155,119",15.08,330.4,8.37,"9,969,878",15.84,94.2,-0.40,"4,192,536",5.45,14.2,-4.39,"10,084,535",22.26,"1,461,617",10.81,"35,683",3.09,"8,037",5.42,0.35,-16.67,0.55,-5.17
2008M03,"7,700,323",-4.49,328.0,8.11,"13,943,304",6.42,97.9,10.79,"5,430,185",-7.40,14.0,4.86,"11,642,184",-7.03,"1,752,325",-11.32,"42,602",-25.89,"13,544",13.42,0.37,-19.57,0.77,28.33
2008M04,"7,272,161",-3.48,315.0,-0.43,"13,438,906",16.15,94.5,6.16,"5,738,897",5.03,14.9,4.00,"10,923,346",-17.68,"1,719,976",-8.98,"41,229",-31.52,"11,740",-6.54,0.38,-15.56,0.68,3.03
2008M05,"7,294,534",-5.73,309.6,4.31,"13,312,026",11.19,93.9,13.19,"5,341,043",-1.03,14.0,9.20,"9,291,380",-23.65,"1,628,144",-15.94,"33,770",-32.51,"9,800",-9.30,0.36,-12.20,0.60,7.14
2008M06,"7,785,566",-1.35,337.6,-0.95,"13,009,759",-2.02,92.0,-11.33,"4,910,938",-16.74,13.1,-14.86,"12,970,616",47.09,"1,926,259",13.69,"45,600",18.40,"11,006",21.44,0.35,-20.45,0.57,7.55
2008M07,"8,538,722",-4.36,351.3,3.86,"12,831,509",-24.87,87.8,-22.87,"4,905,515",-39.06,12.8,-31.82,"11,461,316",-21.68,"1,818,176",-17.89,"42,213",-31.40,"12,201",-9.40,0.37,-11.90,0.67,9.84
2008M08,"7,514,377",-12.44,317.1,1.61,"11,961,949",-25.10,83.6,-14.96,"4,470,067",-38.46,12.2,-25.48,"8,893,779",-27.36,"1,530,258",-22.28,"32,781",-35.39,"8,033",-42.78,0.37,-9.76,0.52,-26.76
2008M09,"8,092,753",13.94,341.9,4.81,"13,136,133",8.84,86.6,-8.69,"4,705,365",-19.05,12.8,-24.03,"11,753,045",29.46,"1,734,383",13.17,"43,401",8.43,"11,914",32.20,0.37,-15.91,0.69,16.95
2008M10,"8,189,930",0.50,330.8,2.96,"12,215,647",-16.47,76.9,-19.28,"5,018,879",-21.96,13.0,-14.67,"13,248,601",-8.61,"1,866,371",-9.36,"51,199",-18.82,"12,055",-20.55,0.39,-11.36,0.65,-12.16
2008M11,"6,478,045",-15.74,299.5,-2.64,"9,843,781",-28.05,66.9,-24.15,"3,910,269",-33.27,11.2,-20.65,"8,349,213",-30.16,"1,322,137",-27.69,"35,818",-26.32,"10,168",-3.73,0.43,4.88,0.77,32.76
2008M12,"8,069,522",2.15,321.1,1.03,"12,465,615",-6.05,73.1,-17.42,"4,701,425",-8.87,11.8,-12.03,"13,547,705",15.15,"1,870,783",0.82,"62,622",22.28,"16,817",29.18,0.46,4.55,0.90,28.57
2009M01,"5,585,606",-32.43,275.9,-12.27,"9,098,013",-36.20,73.4,-19.51,"4,020,643",-32.41,13.1,-11.94,"7,672,466",-38.58,"1,216,432",-37.65,"28,547",-36.17,"7,754",-32.40,0.37,2.78,0.64,8.47
2009M02,"5,710,012",-7.23,272.8,-17.45,"9,106,274",-8.66,61.8,-34.40,"3,642,596",-13.12,9.7,-31.57,"9,975,086",-1.09,"1,382,384",-5.42,"38,035",6.59,"9,208",14.57,0.38,8.57,0.67,21.82
2009M03,"6,130,004",-20.39,269.8,-17.75,"11,012,779",-21.02,65.8,-32.77,"4,849,222",-10.70,11.4,-18.52,"12,365,694",6.21,"1,575,231",-10.11,"45,859",7.65,"12,696",-6.26,0.37,0.00,0.81,5.19
2009M04,"5,748,000",-20.96,250.5,-20.47,"11,693,839",-12.99,67.3,-28.83,"5,008,293",-12.73,11.3,-24.36,"9,623,641",-11.90,"1,370,659",-20.31,"31,699",-23.11,"7,898",-32.73,0.33,-13.16,0.58,-14.71
2009M05,"5,360,370",-26.52,275.4,-11.05,"11,890,099",-10.68,82.3,-12.30,"4,885,594",-8.53,12.9,-7.66,"7,261,369",-21.85,"1,146,767",-29.57,"22,258",-34.09,"6,006",-38.71,0.31,-13.89,0.52,-13.33
2009M06,"6,356,277",-18.36,261.8,-22.46,"13,136,677",0.98,69.2,-24.79,"6,144,144",25.11,12.6,-4.28,"12,407,064",-4.34,"1,697,853",-11.86,"36,955",-18.96,"9,782",-11.12,0.30,-14.29,0.58,1.75
2009M07,"6,084,819",-28.74,245.8,-30.03,"12,738,504",-0.72,65.8,-25.02,"5,417,608",10.44,10.9,-15.06,"10,440,054",-8.91,"1,534,395",-15.61,"28,156",-33.30,"7,145",-41.44,0.27,-27.03,0.47,-29.85
2009M08,"5,894,118",-21.56,254.6,-19.70,"12,098,321",1.14,64.9,-22.30,"4,958,714",10.93,11.3,-7.12,"9,997,711",12.41,"1,464,227",-4.32,"27,224",-16.95,"6,782",-15.57,0.27,-27.03,0.46,-11.54
2009M09,"6,013,355",-25.69,240.4,-29.68,"12,973,478",-1.24,64.2,-25.84,"5,128,658",9.00,10.4,-19.16,"10,476,474",-10.86,"1,551,531",-10.54,"26,181",-39.68,"6,036",-49.34,0.25,-32.43,0.39,-43.48
2009M10,"5,834,746",-28.76,232.5,-29.71,"13,467,205",10.25,65.0,-15.50,"5,586,982",11.32,11.1,-14.77,"8,352,633",-36.95,"1,420,705",-23.88,"21,689",-57.64,"5,367",-55.48,0.26,-33.33,0.38,-41.54
2009M11,"5,802,933",-10.42,235.8,-21.27,"12,584,039",27.84,62.4,-6.76,"5,093,002",30.25,10.5,-6.36,"12,170,744",45.77,"1,592,774",20.47,"28,800",-19.59,"7,253",-28.67,0.24,-44.19,0.46,-40.26
2009M12,"7,009,218",-13.14,246.9,-23.10,"15,378,063",23.36,67.7,-7.41,"6,408,226",36.30,11.9,1.28,"10,800,259",-20.28,"1,734,358",-7.29,"24,888",-60.26,"7,453",-55.68,0.23,-50.00,0.43,-52.22
2010M01,"6,136,340",9.86,243.6,-11.70,"14,414,594",58.44,72.6,-1.10,"6,510,042",61.92,13.6,4.24,"8,139,703",6.09,"1,433,006",17.80,"16,955",-40.61,"4,972",-35.88,0.21,-43.24,0.35,-45.31
2010M02,"4,997,315",-12.48,253.1,-7.20,"10,422,110",14.45,67.3,8.91,"4,318,443",18.55,11.3,15.95,"9,442,259",-5.34,"1,307,145",-5.44,"16,865",-55.66,"4,592",-50.13,0.18,-52.63,0.35,-47.76
2010M03,"6,541,728",6.72,246.3,-8.70,"13,616,201",23.64,62.2,-5.54,"5,377,270",10.89,9.8,-14.42,"12,588,979",1.81,"1,804,587",14.56,"24,189",-47.25,"6,095",-51.99,0.19,-48.65,0.34,-58.02
2010M04,"6,020,349",4.74,242.2,-3.33,"13,563,532",15.99,67.3,-0.01,"5,392,344",7.67,10.6,-5.46,"9,675,343",0.54,"1,500,218",9.45,"19,271",-39.21,"5,097",-35.46,0.20,-39.39,0.34,-41.38
2010M05,"6,075,848",13.35,230.7,-16.20,"14,158,358",19.08,63.7,-22.58,"5,096,978",4.33,10.1,-21.30,"9,967,950",37.27,"1,555,166",35.61,"19,433",-12.69,"4,849",-19.26,0.19,-38.71,0.31,-40.38
2010M06,"6,418,088",0.97,243.3,-7.07,"13,109,208",-0.21,58.4,-15.51,"4,690,210",-23.66,9.4,-24.96,"10,038,731",-19.09,"1,569,225",-7.58,"19,886",-46.19,"5,581",-42.95,0.20,-33.33,0.36,-37.93
2010M07,"6,586,555",8.25,233.8,-4.88,"14,200,247",11.47,59.8,-9.16,"5,188,728",-4.22,9.9,-9.48,"8,490,306",-18.68,"1,488,958",-2.96,"16,585",-41.10,"5,126",-28.26,0.20,-25.93,0.34,-27.66
2010M08,"7,047,760",19.57,243.0,-4.58,"14,754,949",21.96,61.3,-5.62,"5,784,842",16.66,10.7,-5.32,"12,401,812",24.05,"1,759,130",20.14,"21,949",-19.38,"5,421",-20.07,0.18,-33.33,0.31,-32.61
2010M09,"6,446,734",7.21,240.3,-0.06,"14,195,704",9.42,61.2,-4.71,"5,623,344",9.65,10.7,3.36,"10,344,304",-1.26,"1,607,944",3.64,"18,673",-28.68,"5,665",-6.15,0.18,-28.00,0.35,-10.26
2010M10,"6,187,894",6.05,230.4,-0.92,"14,020,882",4.11,61.3,-5.69,"5,612,600",0.46,10.6,-3.99,"7,925,678",-5.11,"1,412,871",-0.55,"14,435",-33.45,"4,236",-21.07,0.18,-30.77,0.30,-21.05
2010M11,"6,692,586",15.33,237.9,0.91,"14,895,408",18.37,62.1,-0.43,"5,896,072",15.77,10.6,0.44,"12,663,973",4.05,"1,771,057",11.19,"21,527",-25.25,"5,859",-19.22,0.17,-29.17,0.33,-28.26
2010M12,"7,197,116",2.68,231.6,-6.21,"17,534,911",14.03,68.4,1.05,"6,895,058",7.60,11.7,-1.63,"10,831,710",0.29,"1,799,064",3.73,"18,293",-26.50,"5,098",-31.60,0.17,-26.09,0.28,-34.88
2011M01,"7,293,016",18.85,239.2,-1.82,"22,158,344",53.72,90.8,25.10,"6,735,728",3.47,12.2,-10.70,"10,773,270",32.35,"1,777,133",24.01,"16,065",-5.25,"4,558",-8.33,0.15,-28.57,0.26,-25.71
2011M02,"4,922,876",-1.49,236.7,-6.51,"11,398,714",9.37,67.8,0.72,"4,272,265",-1.07,10.6,-5.86,"6,336,969",-32.89,"1,109,977",-15.08,"9,040",-46.40,"2,682",-41.59,0.14,-22.22,0.24,-31.43
2011M03,"7,363,914",12.57,242.0,-1.74,"15,828,749",16.25,61.2,-1.53,"6,236,910",15.99,10.2,4.64,"12,854,686",2.11,"1,949,676",8.04,"19,959",-17.49,"6,273",2.92,0.16,-15.79,0.32,-5.88
2011M04,"6,108,167",1.46,246.6,1.82,"20,361,017",50.12,96.2,42.95,"4,951,492",-8.18,9.8,-7.71,"7,213,896",-25.44,"1,318,551",-12.11,"12,977",-32.66,"3,878",-23.92,0.18,-10.00,0.29,-14.71
2011M05,"6,880,980",13.25,245.6,6.43,"14,643,240",3.42,61.7,-3.20,"5,402,298",5.99,9.7,-4.21,"12,152,407",21.91,"1,803,259",15.95,"19,995",2.89,"6,312",30.17,0.16,-15.79,0.35,12.90
2011M06,"6,639,759",3.45,243.0,-0.13,"14,312,647",9.18,60.1,2.83,"5,148,651",9.77,9.3,-0.97,"9,764,094",-2.74,"1,635,416",4.22,"16,388",-17.59,"9,301",66.65,0.17,-15.00,0.57,58.33
2011M07,"6,633,179",0.71,232.8,-0.42,"14,998,051",5.62,61.8,3.40,"5,349,081",3.09,9.7,-1.59,"7,778,413",-8.38,"1,461,327",-1.86,"13,807",-16.75,"4,683",-8.64,0.18,-10.00,0.32,-5.88
2011M08,"7,931,895",12.54,255.4,5.12,"17,482,436",18.49,63.1,2.91,"6,163,272",6.54,10.1,-5.74,"12,580,830",1.44,"1,903,252",8.19,"20,710",-5.64,"6,502",19.94,0.16,-11.11,0.34,9.68
2011M09,"7,006,874",8.69,244.9,1.93,"14,930,592",5.18,59.4,-3.01,"5,193,591",-7.64,9.3,-13.17,"10,215,444",-1.25,"1,663,401",3.45,"17,932",-3.97,"6,403",13.03,0.18,0.00,0.38,8.57
2011M10,"6,426,584",3.86,239.8,4.06,"13,336,437",-4.88,57.2,-6.77,"4,639,772",-17.33,8.8,-17.49,"9,768,183",23.25,"1,519,895",7.57,"18,117",25.51,"6,457",52.43,0.19,5.56,0.42,40.00
2011M11,"6,844,952",2.28,234.1,-1.61,"13,624,068",-8.54,53.4,-13.96,"5,005,974",-15.10,8.6,-18.61,"10,070,791",-20.48,"1,592,545",-10.08,"18,863",-12.38,"6,266",6.95,0.19,11.76,0.39,18.18
2011M12,"6,819,179",-5.25,220.9,-4.61,"13,906,191",-20.69,53.5,-21.80,"4,907,862",-28.82,8.4,-28.12,"8,194,758",-24.34,"1,459,076",-18.90,"16,512",-9.74,"6,518",27.85,0.20,17.65,0.45,60.71
2012M01,"6,154,790",-15.61,251.5,5.13,"12,600,690",-43.13,65.8,-27.53,"4,753,188",-29.43,10.4,-14.71,"11,608,500",7.75,"1,573,647",-11.45,"18,715",16.50,"6,048",32.69,0.16,6.67,0.38,46.15
2012M02,"6,271,339",27.39,243.9,3.05,"14,145,903",24.10,63.8,-5.98,"5,536,408",29.59,10.1,-5.18,"8,846,802",39.61,"1,399,316",26.07,"16,123",78.35,"4,830",80.09,0.18,28.57,0.35,45.83
2012M03,"6,804,918",-7.59,231.6,-4.31,"14,430,927",-8.83,56.4,-7.91,"5,465,266",-12.37,8.7,-14.64,"8,113,936",-36.88,"1,442,915",-25.99,"15,613",-21.77,"5,572",-11.17,0.19,18.75,0.39,21.88
2012M04,"6,641,415",8.73,253.1,2.64,"16,563,812",-18.65,73.1,-23.96,"4,870,744",-1.63,9.0,-8.33,"10,883,910",50.87,"1,598,524",21.23,"19,401",49.50,"5,688",46.67,0.18,0.00,0.36,24.14
2012M05,"6,873,838",-0.10,235.3,-4.17,"13,776,905",-5.92,54.8,-11.18,"5,014,353",-7.18,8.5,-12.56,"9,909,541",-18.46,"1,609,294",-10.76,"17,450",-12.73,"6,447",2.14,0.18,12.50,0.40,14.29
2012M06,"6,640,952",0.02,239.1,-1.60,"12,997,685",-9.19,54.1,-10.03,"4,609,193",-10.48,8.3,-11.64,"7,169,534",-26.57,"1,334,517",-18.40,"14,151",-13.65,"6,394",-31.25,0.20,17.65,0.48,-15.79
2012M07,"7,321,075",10.37,249.9,7.34,"13,960,101",-6.92,54.7,-11.49,"5,206,698",-2.66,8.9,-7.99,"11,998,509",54.25,"1,785,553",22.19,"22,006",59.38,"7,337",56.67,0.18,0.00,0.41,28.13
2012M08,"7,481,904",-5.67,252.0,-1.33,"14,184,764",-18.86,54.9,-13.03,"4,897,204",-20.54,8.2,-18.40,"9,892,710",-21.37,"1,554,942",-18.30,"18,272",-11.77,"6,927",6.54,0.18,12.50,0.45,32.35
2012M09,"6,550,929",-6.51,243.5,-0.59,"13,356,312",-10.54,56.9,-4.13,"4,754,335",-8.46,8.7,-6.45,"7,413,264",-27.43,"1,331,017",-19.98,"13,633",-23.97,"4,724",-26.22,0.18,0.00,0.35,-7.89
2012M10,"6,935,177",7.91,242.2,1.02,"12,994,022",-2.57,51.2,-10.38,"5,009,971",7.98,8.4,-4.34,"11,950,489",22.34,"1,714,154",12.78,"21,325",17.71,"6,551",1.46,0.18,-5.26,0.38,-9.52
2012M11,"6,887,637",0.62,237.9,1.64,"19,499,481",43.13,76.5,43.14,"4,647,510",-7.16,7.8,-9.39,"9,685,929",-3.82,"1,516,199",-4.79,"17,519",-7.13,"5,184",-17.27,0.18,-5.26,0.34,-12.82
2012M12,"6,817,064",-0.03,227.8,3.12,"14,651,935",5.36,58.2,8.87,"5,384,749",9.72,9.3,10.63,"7,338,116",-10.45,"1,410,149",-3.35,"13,725",-16.88,"4,458",-31.60,0.19,-5.00,0.32,-28.89
2013M01,"7,580,793",23.17,235.8,-6.22,"15,237,141",20.92,55.8,-15.19,"5,854,388",23.17,9.5,-8.84,"12,364,040",6.51,"1,855,592",17.92,"19,905",6.36,"6,761",11.79,0.16,0.00,0.36,-5.26
2013M02,"5,326,588",-15.06,251.2,2.99,"10,798,526",-23.66,60.4,-5.23,"4,149,645",-25.05,9.6,-4.40,"6,362,771",-28.08,"1,069,715",-23.55,"10,060",-37.60,"3,587",-25.73,0.16,-11.11,0.34,-2.86
2013M03,"6,961,595",2.30,240.3,3.75,"13,651,738",-5.40,53.3,-5.53,"5,114,860",-6.41,8.5,-2.84,"9,437,472",16.31,"1,571,560",8.92,"15,866",1.62,"6,115",9.75,0.17,-10.53,0.39,0.00
2013M04,"6,708,947",1.02,244.6,-3.37,"13,004,539",-21.49,51.5,-29.56,"4,981,725",2.28,8.1,-9.69,"10,887,058",0.03,"1,616,030",1.10,"19,383",-0.09,"7,237",27.23,0.18,0.00,0.45,25.00
2013M05,"6,997,538",1.80,229.9,-2.31,"14,476,262",5.08,52.1,-4.97,"5,338,155",6.46,8.4,-1.18,"9,516,981",-3.96,"1,571,015",-2.38,"17,178",-1.56,"7,605",17.96,0.18,0.00,0.48,20.00
2013M06,"6,544,149",-1.46,248.9,4.11,"13,303,971",2.36,55.5,2.61,"4,815,091",4.47,8.7,5.99,"6,805,864",-5.07,"1,298,096",-2.73,"12,412",-12.29,"5,072",-20.68,0.18,-10.00,0.39,-18.75
2013M07,"7,406,964",1.17,238.4,-4.63,"15,489,773",10.96,52.2,-4.63,"5,455,545",4.78,8.2,-8.69,"11,785,466",-1.78,"1,802,274",0.94,"19,673",-10.60,"6,835",-6.84,0.17,-5.56,0.38,-7.32
2013M08,"6,694,893",-10.52,233.3,-7.42,"13,489,166",-4.90,49.2,-10.33,"4,979,899",1.69,8.0,-2.68,"7,572,929",-23.45,"1,382,510",-11.09,"14,256",-21.98,"5,552",-19.85,0.19,5.56,0.40,-11.11
2013M09,"6,923,840",5.69,241.9,-0.64,"13,938,817",4.36,53.5,-6.03,"5,065,171",6.54,8.5,-2.48,"11,138,997",50.26,"1,650,720",24.02,"20,001",46.71,"7,427",57.22,0.18,0.00,0.45,28.57
2013M10,"6,728,421",-2.98,220.4,-9.01,"14,179,718",9.12,49.8,-2.72,"5,437,341",8.53,8.3,-1.20,"9,743,758",-18.47,"1,552,663",-9.42,"17,604",-17.45,"6,621",1.07,0.18,0.00,0.43,13.16
2013M11,"6,552,170",-4.87,218.7,-8.08,"13,527,709",-30.63,48.8,-36.25,"5,174,472",11.34,8.3,6.38,"7,242,456",-25.23,"1,315,452",-13.24,"13,325",-23.94,"4,866",-6.13,0.18,0.00,0.37,8.82
2013M12,"7,494,527",9.94,228.2,0.17,"16,082,655",9.76,53.3,-8.42,"5,937,813",10.27,9.0,-3.22,"11,580,584",57.81,"1,783,812",26.50,"19,957",45.41,"8,265",85.40,0.17,-10.53,0.46,43.75
