期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
1998Q1,"76,460",...,"155,945",...,"17,120",...,"3,426",...,0,...,"1,707",...,0,...,0,...,"254,658",...
1998Q2,"10,409",...,"245,777",...,"17,083",...,"17,428",...,412,...,69,...,0,...,0,...,"291,178",...
1998Q3,"11,937",...,"342,394",...,"21,881",...,"22,227",...,0,...,196,...,0,...,0,...,"398,635",...
1998Q4,"12,621",...,"330,917",...,"18,802",...,"19,124",...,0,...,0,...,0,...,0,...,"381,464",...
1999Q1,"12,813",-83.24,"343,292",120.14,"20,422",19.29,"20,753",505.75,0,--,0,-100.00,0,--,0,--,"397,280",56.01
1999Q2,"38,812",272.87,"401,133",63.21,"21,239",24.33,"21,561",23.71,0,-100.00,0,-100.00,0,--,0,--,"482,745",65.79
1999Q3,"24,599",106.07,"394,893",15.33,"20,553",-6.07,"20,871",-6.10,0,--,0,-100.00,0,--,0,--,"460,916",15.62
1999Q4,"32,407",156.77,"417,315",26.11,"18,923",0.64,"18,955",-0.88,0,--,0,--,0,--,0,--,"487,600",27.82
2000Q1,"18,990",48.21,"460,306",34.09,"25,905",26.85,"23,444",12.97,0,--,0,--,0,--,0,--,"528,645",33.07
2000Q2,"33,762",-13.01,"455,309",13.51,"33,704",58.69,"23,422",8.63,0,--,0,--,0,--,0,--,"546,197",13.14
2000Q3,"53,582",117.82,"493,570",24.99,"28,940",40.81,"26,497",26.96,0,--,0,--,0,--,0,--,"602,589",30.74
2000Q4,"117,430",262.36,"527,882",26.49,"28,418",50.18,"28,401",49.83,0,--,0,--,330,--,330,--,"702,791",44.13
2001Q1,"78,796",314.93,"570,632",23.97,"30,646",18.30,"30,694",30.92,0,--,0,--,0,--,0,--,"710,768",34.45
2001Q2,"103,319",206.02,"714,858",57.01,"34,332",1.86,"34,232",46.15,0,--,0,--,0,--,0,--,"886,741",62.35
2001Q3,"126,542",136.17,"879,170",78.12,"34,714",19.95,"34,615",30.64,"8,118",--,"7,117",--,0,--,0,--,"1,090,276",80.93
2001Q4,"142,669",21.49,"1,082,632",105.09,"36,799",29.49,"39,090",37.64,0,--,"7,582",--,0,-100.00,0,-100.00,"1,308,772",86.22
2002Q1,"239,670",204.17,"1,375,845",141.11,"40,185",31.13,"40,982",33.52,"1,330",--,831,--,0,--,0,--,"1,698,843",139.02
2002Q2,"337,262",226.43,"1,901,300",165.97,"72,448",111.02,"97,316",184.28,"2,282",--,873,--,0,--,0,--,"2,411,481",171.95
2002Q3,"526,807",316.31,"2,193,274",149.47,"66,847",92.56,"82,494",138.32,"2,374",-70.76,0,-100.00,0,--,0,--,"2,871,796",163.40
2002Q4,"317,284",122.39,"2,479,077",128.99,"102,907",179.65,"129,881",232.26,0,--,695,-90.83,0,--,0,--,"3,029,844",131.50
2003Q1,"237,453",-0.93,"3,073,374",123.38,"167,134",315.91,"146,161",256.65,"6,800",411.28,0,-100.00,0,--,0,--,"3,630,922",113.73
2003Q2,"281,490",-16.54,"3,701,901",94.70,"238,501",229.20,"185,194",90.30,"10,892",377.30,"1,732",98.40,0,--,0,--,"4,419,710",83.28
2003Q3,"221,422",-57.97,"4,492,767",104.84,"305,196",356.56,"297,220",260.29,"6,961",193.22,"26,876",--,0,--,0,--,"5,350,442",86.31
2003Q4,"170,794",-46.17,"5,415,160",118.43,"355,754",245.70,"322,379",148.21,"3,546",--,"20,469","2,845.18",0,--,0,--,"6,288,102",107.54
2004Q1,"156,146",-34.24,"6,567,226",113.68,"424,529",154.01,"701,967",380.27,"5,197",-23.57,"20,009",--,0,--,0,--,"7,875,074",116.89
2004Q2,"191,713",-31.89,"8,188,463",121.20,"499,553",109.46,"898,788",385.32,"13,970",28.26,"32,198","1,759.01",0,--,0,--,"9,824,685",122.29
2004Q3,"280,870",26.85,"8,928,950",98.74,"654,531",114.46,"1,089,634",266.61,"6,313",-9.31,"33,074",23.06,0,--,0,--,"10,993,372",105.47
2004Q4,"223,740",31.00,"9,528,405",75.96,"794,719",123.39,"1,096,987",240.28,"3,286",-7.33,"28,361",38.56,0,--,0,--,"11,675,498",85.68
2005Q1,"267,103",71.06,"10,666,985",62.43,"892,038",110.12,"1,249,111",77.94,"3,464",-33.35,"10,409",-47.98,0,--,0,--,"13,089,110",66.21
2005Q2,"166,815",-12.99,"12,095,080",47.71,"1,124,486",125.10,"1,503,371",67.27,"5,282",-62.19,"31,472",-2.25,0,--,0,--,"14,926,506",51.93
2005Q3,"255,821",-8.92,"13,753,191",54.03,"1,457,850",122.73,"1,846,770",69.49,"12,538",98.61,"46,566",40.79,0,--,0,--,"17,372,736",58.03
2005Q4,"485,243",116.88,"15,008,803",57.52,"1,485,904",86.97,"1,895,827",72.82,"24,399",642.51,"23,223",-18.12,0,--,0,--,"18,923,399",62.08
2006Q1,"705,187",164.01,"16,500,953",54.69,"1,784,245",100.02,"2,271,398",81.84,"22,439",547.78,"11,355",9.09,65,--,130,--,"21,295,772",62.70
2006Q2,"599,072",259.12,"19,306,140",59.62,"2,111,074",87.74,"2,647,233",76.09,"6,801",28.76,"22,924",-27.16,0,--,0,--,"24,693,244",65.43
2006Q3,"305,163",19.29,"20,994,571",52.65,"2,144,620",47.11,"2,745,644",48.67,"65,750",424.41,"44,133",-5.22,0,--,0,--,"26,299,881",51.39
2006Q4,"171,407",-64.68,"21,919,735",46.05,"2,272,045",52.91,"2,791,689",47.25,"30,542",25.18,"20,957",-9.76,0,--,0,--,"27,206,375",43.77
2007Q1,"104,464",-85.19,"23,028,127",39.56,"2,179,506",22.15,"2,812,178",23.81,"167,053",644.48,"220,345","1,840.51",0,-100.00,0,-100.00,"28,511,673",33.88
2007Q2,"102,881",-82.83,"25,735,320",33.30,"2,815,575",33.37,"3,362,378",27.01,"1,011,494","14,772.72","1,032,778","4,405.23","6,940",--,0,--,"34,067,366",37.96
2007Q3,"255,745",-16.19,"27,680,363",31.85,"3,262,061",52.10,"3,746,726",36.46,"1,312,801","1,896.66","1,463,308","3,215.68",945,--,"1,153",--,"37,723,102",43.43
2007Q4,"347,267",102.60,"28,482,205",29.94,"3,353,313",47.59,"3,852,454",38.00,"1,384,215","4,432.17","1,487,935","6,999.94",489,--,0,--,"38,907,878",43.01
2008Q1,"303,794",190.81,"31,072,796",34.93,"3,490,235",60.14,"3,813,337",35.60,"526,461",215.15,"451,493",104.90,0,--,0,--,"39,658,116",39.09
2008Q2,"161,795",57.26,"32,721,473",27.15,"2,724,640",-3.23,"3,351,050",-0.34,"558,940",-44.74,"566,071",-45.19,"7,528",8.47,0,--,"40,091,497",17.68
2008Q3,"107,014",-58.16,"34,967,853",26.33,"2,622,630",-19.60,"3,180,170",-15.12,"457,279",-65.17,"457,382",-68.74,"14,137","1,395.98","6,132",431.83,"41,812,597",10.84
2008Q4,"114,035",-67.16,"36,224,069",27.18,"2,660,349",-20.67,"2,885,906",-25.09,"484,361",-65.01,"494,322",-66.78,"9,111","1,763.19",0,--,"42,872,153",10.19
2009Q1,"59,188",-80.52,"40,385,252",29.97,"2,457,983",-29.58,"2,617,220",-31.37,"402,891",-23.47,"388,497",-13.95,"77,253",--,0,--,"46,388,284",16.97
2009Q2,"73,114",-54.81,"44,269,480",35.29,"2,075,841",-23.81,"2,174,460",-35.11,"371,100",-33.61,"358,242",-36.71,"74,804",893.68,"3,239",--,"49,400,280",23.22
2009Q3,"54,059",-49.48,"42,517,575",21.59,"1,910,541",-27.15,"1,978,056",-37.80,"359,714",-21.34,"349,891",-23.50,"76,637",442.10,"6,148",0.26,"47,252,621",13.01
2009Q4,"22,177",-80.55,"42,133,750",16.31,"1,860,209",-30.08,"1,888,989",-34.54,"222,522",-54.06,"213,534",-56.80,"65,505",618.97,0,--,"46,406,686",8.24
2010Q1,"32,175",-45.64,"34,867,257",-13.66,"1,900,588",-22.68,"1,888,788",-27.83,"180,502",-55.20,"206,404",-46.87,"64,584",-16.40,0,--,"39,140,298",-15.62
2010Q2,"22,701",-68.95,"31,462,399",-28.93,"1,859,639",-10.42,"1,703,507",-21.66,"136,038",-63.34,"139,523",-61.05,"183,972",145.94,200,-93.83,"35,507,979",-28.12
2010Q3,"24,801",-54.12,"29,576,222",-30.44,"1,695,857",-11.24,"1,615,160",-18.35,"140,165",-61.03,"140,693",-59.79,"62,650",-18.25,0,-100.00,"33,255,548",-29.62
2010Q4,"10,013",-54.85,"29,055,258",-31.04,"1,484,955",-20.17,"1,550,675",-17.91,"34,837",-84.34,"77,010",-63.94,0,-100.00,"4,568",--,"32,217,316",-30.58
2011Q1,"3,954",-87.71,"29,417,794",-15.63,"1,383,314",-27.22,"1,470,698",-22.14,"7,980",-95.58,"39,300",-80.96,21,-99.97,"11,940",--,"32,335,001",-17.39
2011Q2,"12,321",-45.72,"27,732,302",-11.86,"1,167,435",-37.22,"1,232,496",-27.65,"9,061",-93.34,"98,588",-29.34,225,-99.88,"11,318","5,559.00","30,263,746",-14.77
2011Q3,"19,987",-19.41,"29,746,965",0.58,"1,157,136",-31.77,"1,224,246",-24.20,"10,728",-92.35,"46,874",-66.68,0,-100.00,"7,944",--,"32,213,880",-3.13
2011Q4,"2,235",-77.68,"26,011,609",-10.48,"967,267",-34.86,"1,029,022",-33.64,"17,018",-51.15,"39,059",-49.28,0,--,0,-100.00,"28,066,210",-12.88
