期間,總計_原始值,總計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),專門性技術性工作_原始值,專門性技術性工作_年增率(%),華僑或外國人投資設立事業之主管工作_原始值,華僑或外國人投資設立事業之主管工作_年增率(%),學校教師工作_原始值,學校教師工作_年增率(%),補習班語文教師工作_原始值,補習班語文教師工作_年增率(%),運動教練及運動員工作_原始值,運動教練及運動員工作_年增率(%),宗教、藝術及演藝工作_原始值,宗教、藝術及演藝工作_年增率(%),履約_原始值,履約_年增率(%)
2006M02,"26,591",26.55,"21,526",30.04,"5,065",13.57,"13,440",22.12,"1,117",68.99,"2,119",30.16,"6,726",5.69,35,-5.41,"1,581",20.05,"1,573",...
2006M03,"27,369",21.09,"22,163",24.29,"5,206",9.12,"13,906",17.77,"1,158",62.18,"2,161",28.10,"6,795",4.83,44,-18.52,"1,767",-4.85,"1,538",...
2006M04,"27,290",18.80,"22,071",21.37,"5,219",9.02,"14,041",15.29,"1,185",60.57,"2,377",32.87,"6,750",3.91,48,-18.64,"1,561",-8.77,"1,328",...
2006M05,"27,614",16.93,"22,106",18.63,"5,508",10.58,"14,139",12.99,"1,206",54.81,"2,548",25.33,"6,814",2.56,44,-22.81,"1,835",15.41,"1,028",...
2006M06,"29,309",16.82,"23,273",18.52,"6,036",10.67,"14,488",12.14,"1,258",51.57,"3,091",23.54,"6,872",3.12,49,-15.52,"2,398",13.27,"1,153",...
2006M07,"29,647",15.52,"23,644",17.33,"6,003",8.87,"14,664",30.80,"1,281",47.41,"2,995",24.17,"6,772",2.39,50,-9.09,"2,673",6.45,"1,212",-39.19
2006M08,"29,411",18.77,"23,930",21.10,"5,481",9.55,"15,819",37.84,"1,326",45.87,"2,111",12.47,"6,756",2.86,63,12.50,"2,155",12.12,"1,181",-39.62
2006M09,"29,784",18.08,"24,322",20.51,"5,462",8.37,"15,964",33.76,"1,351",41.76,"2,132",10.12,"6,527",2.13,55,1.85,"2,517",17.95,"1,238",-31.98
2006M10,"29,244",13.13,"24,002",15.57,"5,242",3.13,"16,104",31.48,"1,371",40.76,"2,167",7.49,"6,404",-2.44,50,6.38,"1,935",-7.02,"1,213",-36.86
2006M11,"29,592",14.94,"24,216",17.17,"5,376",5.89,"16,188",28.35,"1,413",41.58,"2,199",7.58,"6,468",-1.46,51,30.77,"2,006",10.04,"1,267",-23.90
2006M12,"29,336",13.12,"24,128",15.28,"5,208",4.10,"16,292",24.20,"1,440",37.93,"2,212",7.33,"6,392",-3.59,47,74.07,"1,488",-1.85,"1,465",-4.68
2007M01,"29,283",12.30,"24,057",14.00,"5,226",5.11,"16,082",19.87,"1,477",37.14,"2,295",8.36,"6,477",-2.97,32,14.29,"1,489",6.74,"1,431",4.76
2007M02,"29,046",9.23,"23,791",10.52,"5,255",3.75,"15,939",18.59,"1,466",31.24,"2,234",5.43,"6,425",-4.48,36,2.86,"1,606",1.58,"1,340",-14.81
2007M03,"29,183",6.63,"23,932",7.98,"5,251",0.86,"16,060",15.49,"1,467",26.68,"2,417",11.85,"6,354",-6.49,50,13.64,"1,518",-14.09,"1,317",-14.37
2007M04,"29,263",7.23,"23,911",8.34,"5,352",2.55,"15,894",13.20,"1,444",21.86,"2,488",4.67,"6,389",-5.35,48,0.00,"1,642",5.19,"1,358",2.26
2007M05,"29,595",7.17,"23,983",8.49,"5,612",1.89,"15,864",12.20,"1,448",20.07,"2,710",6.36,"6,409",-5.94,54,22.73,"1,629",-11.23,"1,481",44.07
2007M06,"30,815",5.14,"24,945",7.18,"5,870",-2.75,"15,851",9.41,"1,449",15.18,"3,178",2.81,"6,411",-6.71,50,2.04,"1,991",-16.97,"1,885",63.49
2007M07,"30,636",3.34,"24,918",5.39,"5,718",-4.75,"15,800",7.75,"1,452",13.35,"3,029",1.14,"6,343",-6.33,54,8.00,"2,115",-20.88,"1,843",52.06
2007M08,"28,947",-1.58,"23,816",-0.48,"5,131",-6.39,"15,487",-2.10,"1,428",7.69,"2,094",-0.81,"6,141",-9.10,51,-19.05,"1,974",-8.40,"1,772",50.04
2007M09,"28,317",-4.93,"23,297",-4.21,"5,020",-8.09,"15,339",-3.92,"1,411",4.44,"2,114",-0.84,"5,941",-8.98,53,-3.64,"1,777",-29.40,"1,682",35.86
2007M10,"28,825",-1.43,"23,727",-1.15,"5,098",-2.75,"15,377",-4.51,"1,417",3.36,"2,186",0.88,"5,941",-7.23,48,-4.00,"2,013",4.03,"1,843",51.94
2007M11,"28,378",-4.10,"23,403",-3.36,"4,975",-7.46,"15,323",-5.34,"1,430",1.20,"2,209",0.45,"5,991",-7.37,39,-23.53,"1,455",-27.47,"1,931",52.41
2007M12,"28,956",-1.30,"23,805",-1.34,"5,151",-1.09,"15,467",-5.06,"1,451",0.76,"2,243",1.40,"5,983",-6.40,39,-17.02,"1,792",20.43,"1,981",35.22
2008M01,"28,007",-4.36,"22,951",-4.60,"5,056",-3.25,"14,875",-7.51,"1,427",-3.39,"2,290",-0.22,"5,962",-7.95,38,18.75,"1,676",12.56,"1,739",21.52
2008M02,"27,183",-6.41,"22,277",-6.36,"4,906",-6.64,"14,740",-7.52,"1,429",-2.52,"2,252",0.81,"5,928",-7.74,45,25.00,"1,464",-8.84,"1,325",-1.12
2008M03,"27,813",-4.69,"22,795",-4.75,"5,018",-4.44,"14,957",-6.87,"1,458",-0.61,"2,505",3.64,"6,016",-5.32,51,2.00,"1,454",-4.22,"1,372",4.18
2008M04,"27,811",-4.96,"22,664",-5.22,"5,147",-3.83,"14,798",-6.90,"1,436",-0.55,"2,569",3.26,"6,001",-6.07,59,22.92,"1,510",-8.04,"1,438",5.89
2008M05,"27,965",-5.51,"22,663",-5.50,"5,302",-5.52,"14,722",-7.20,"1,416",-2.21,"2,723",0.48,"6,063",-5.40,61,12.96,"1,640",0.68,"1,340",-9.52
2008M06,"28,815",-6.49,"23,406",-6.17,"5,409",-7.85,"14,895",-6.03,"1,429",-1.38,"3,342",5.16,"6,152",-4.04,68,36.00,"1,537",-22.80,"1,392",-26.15
2008M07,"29,306",-4.34,"23,731",-4.76,"5,575",-2.50,"14,764",-6.56,"1,414",-2.62,"3,270",7.96,"6,188",-2.44,71,31.48,"2,118",0.14,"1,481",-19.64
2008M08,"27,538",-4.87,"22,588",-5.16,"4,950",-3.53,"14,522",-6.23,"1,424",-0.28,"2,224",6.21,"6,002",-2.26,65,27.45,"1,713",-13.22,"1,588",-10.38
2008M09,"27,727",-2.08,"22,704",-2.55,"5,023",0.06,"14,537",-5.23,"1,420",0.64,"2,240",5.96,"5,801",-2.36,66,24.53,"2,168",22.00,"1,495",-11.12
2008M10,"27,475",-4.68,"22,488",-5.22,"4,987",-2.18,"14,461",-5.96,"1,435",1.27,"2,304",5.40,"5,864",-1.30,60,25.00,"1,885",-6.36,"1,466",-20.46
2008M11,"27,353",-3.61,"22,345",-4.52,"5,008",0.66,"14,502",-5.36,"1,453",1.61,"2,298",4.03,"5,847",-2.40,54,38.46,"1,639",12.65,"1,560",-19.21
2008M12,"27,319",-5.65,"22,365",-6.05,"4,954",-3.82,"14,509",-6.19,"1,452",0.07,"2,356",5.04,"5,839",-2.41,42,7.69,"1,546",-13.73,"1,575",-20.49
2009M01,"26,879",-4.03,"21,857",-4.77,"5,022",-0.67,"13,994",-5.92,"1,428",0.07,"2,409",5.20,"5,832",-2.18,34,-10.53,"1,859",10.92,"1,323",-23.92
2009M02,"27,269",0.32,"22,201",-0.34,"5,068",3.30,"14,044",-4.72,"1,462",2.31,"2,373",5.37,"5,888",-0.67,42,-6.67,"2,015",37.64,"1,445",9.06
2009M03,"27,363",-1.62,"22,168",-2.75,"5,195",3.53,"13,905",-7.03,"1,485",1.85,"2,644",5.55,"5,928",-1.46,49,-3.92,"1,864",28.20,"1,488",8.45
2009M04,"27,064",-2.69,"21,847",-3.60,"5,217",1.36,"13,634",-7.87,"1,453",1.18,"2,714",5.64,"5,909",-1.53,53,-10.17,"1,881",24.57,"1,420",-1.25
2009M05,"26,906",-3.79,"21,708",-4.21,"5,198",-1.96,"13,526",-8.12,"1,443",1.91,"2,946",8.19,"5,927",-2.24,57,-6.56,"1,667",1.65,"1,340",0.00
2009M06,"27,453",-4.73,"22,042",-5.83,"5,411",0.04,"13,604",-8.67,"1,452",1.61,"3,457",3.44,"6,038",-1.85,66,-2.94,"1,512",-1.63,"1,324",-4.89
2009M07,"27,312",-6.80,"22,049",-7.09,"5,263",-5.60,"13,565",-8.12,"1,450",2.55,"3,270",0.00,"6,172",-0.26,62,-12.68,"1,524",-28.05,"1,269",-14.31
2009M08,"25,376",-7.85,"20,641",-8.62,"4,735",-4.34,"13,115",-9.69,"1,447",1.62,"2,163",-2.74,"5,945",-0.95,60,-7.69,"1,398",-18.39,"1,248",-21.41
2009M09,"25,543",-7.88,"20,808",-8.35,"4,735",-5.73,"13,153",-9.52,"1,474",3.80,"2,238",-0.09,"5,738",-1.09,58,-12.12,"1,637",-24.49,"1,245",-16.72
2009M10,"25,379",-7.63,"20,602",-8.39,"4,777",-4.21,"13,095",-9.45,"1,483",3.34,"2,286",-0.78,"5,761",-1.76,51,-15.00,"1,481",-21.43,"1,222",-16.64
2009M11,"25,404",-7.13,"20,615",-7.74,"4,789",-4.37,"13,162",-9.24,"1,489",2.48,"2,327",1.26,"5,799",-0.82,49,-9.26,"1,312",-19.95,"1,266",-18.85
2009M12,"25,909",-5.16,"20,983",-6.18,"4,926",-0.57,"13,380",-7.78,"1,503",3.51,"2,375",0.81,"5,841",0.03,51,21.43,"1,518",-1.81,"1,241",-21.21
2010M01,"25,189",-6.29,"20,345",-6.92,"4,844",-3.54,"13,017",-6.98,"1,459",2.17,"2,405",-0.17,"5,835",0.05,35,2.94,"1,350",-27.38,"1,088",-17.76
2010M02,"25,398",-6.86,"20,524",-7.55,"4,874",-3.83,"13,139",-6.44,"1,453",-0.62,"2,327",-1.94,"5,801",-1.48,44,4.76,"1,487",-26.20,"1,147",-20.62
2010M03,"26,043",-4.82,"21,028",-5.14,"5,015",-3.46,"13,361",-3.91,"1,457",-1.89,"2,545",-3.74,"5,813",-1.94,52,6.12,"1,583",-15.08,"1,232",-17.20
2010M04,"26,133",-3.44,"20,955",-4.08,"5,178",-0.75,"13,293",-2.50,"1,429",-1.65,"2,670",-1.62,"5,810",-1.68,54,1.89,"1,747",-7.12,"1,130",-20.42
2010M05,"26,588",-1.18,"21,323",-1.77,"5,265",1.29,"13,384",-1.05,"1,438",-0.35,"2,980",1.15,"5,824",-1.74,51,-10.53,"1,704",2.22,"1,207",-9.93
2010M06,"27,804",1.28,"22,242",0.91,"5,562",2.79,"13,573",-0.23,"1,474",1.52,"3,399",-1.68,"5,908",-2.15,52,-21.21,"2,085",37.90,"1,313",-0.83
2010M07,"27,563",0.92,"22,136",0.39,"5,427",3.12,"13,634",0.51,"1,480",2.07,"3,257",-0.40,"5,957",-3.48,55,-11.29,"1,908",25.20,"1,272",0.24
2010M08,"25,996",2.44,"21,080",2.13,"4,916",3.82,"13,471",2.71,"1,478",2.14,"2,233",3.24,"5,838",-1.80,48,-20.00,"1,656",18.45,"1,272",1.92
2010M09,"25,922",1.48,"21,008",0.96,"4,914",3.78,"13,586",3.29,"1,460",-0.95,"2,298",2.68,"5,620",-2.06,43,-25.86,"1,611",-1.59,"1,304",4.74
2010M10,"25,948",2.24,"21,072",2.28,"4,876",2.07,"13,539",3.39,"1,467",-1.08,"2,350",2.80,"5,620",-2.45,90,76.47,"1,612",8.85,"1,270",3.93
2010M11,"25,912",2.00,"21,084",2.28,"4,828",0.81,"13,661",3.79,"1,489",0.00,"2,369",1.80,"5,633",-2.86,30,-38.78,"1,385",5.56,"1,345",6.24
2010M12,"26,589",2.62,"21,605",2.96,"4,984",1.18,"13,938",4.17,"1,503",0.00,"2,397",0.93,"5,640",-3.44,36,-29.41,"1,699",11.92,"1,376",10.88
2011M01,"26,005",3.24,"20,967",3.06,"5,038",4.00,"13,342",2.50,"1,470",0.75,"2,409",0.17,"5,703",-2.26,25,-28.57,"1,887",39.78,"1,169",7.44
2011M02,"26,028",2.48,"20,996",2.30,"5,032",3.24,"13,396",1.96,"1,477",1.65,"2,376",2.11,"5,690",-1.91,34,-22.73,"1,915",28.78,"1,140",-0.61
2011M03,"25,472",-2.19,"20,578",-2.14,"4,894",-2.41,"13,397",0.27,"1,490",2.26,"2,432",-4.44,"5,527",-4.92,32,-38.46,"1,403",-11.37,"1,191",-3.33
2011M04,"26,431",1.14,"21,210",1.22,"5,221",0.83,"13,589",2.23,"1,513",5.88,"2,782",4.19,"5,679",-2.25,35,-35.19,"1,680",-3.84,"1,153",2.04
2011M05,"26,895",1.15,"21,454",0.61,"5,441",3.34,"13,645",1.95,"1,506",4.73,"2,996",0.54,"5,690",-2.30,35,-31.37,"1,850",8.57,"1,173",-2.82
2011M06,"28,420",2.22,"22,452",0.94,"5,968",7.30,"13,827",1.87,"1,533",4.00,"3,412",0.38,"5,923",0.25,34,-34.62,"2,574",23.45,"1,117",-14.93
2011M07,"27,960",1.44,"22,175",0.18,"5,785",6.60,"13,850",1.58,"1,536",3.78,"3,224",-1.01,"5,913",-0.74,43,-21.82,"2,320",21.59,"1,074",-15.57
2011M08,"26,194",0.76,"21,084",0.02,"5,110",3.95,"13,639",1.25,"1,567",6.02,"2,210",-1.03,"5,841",0.05,44,-8.33,"1,825",10.21,"1,068",-16.04
2011M09,"26,702",3.01,"21,399",1.86,"5,303",7.92,"13,732",1.07,"1,592",9.04,"2,301",0.13,"5,621",0.02,39,-9.30,"2,325",44.32,"1,092",-16.26
2011M10,"26,253",1.18,"21,179",0.51,"5,074",4.06,"13,768",1.69,"1,594",8.66,"2,349",-0.04,"5,630",0.18,69,-23.33,"1,683",4.40,"1,160",-8.66
2011M11,"26,530",2.38,"21,338",1.20,"5,192",7.54,"13,835",1.27,"1,622",8.93,"2,380",0.46,"5,716",1.47,42,40.00,"1,682",21.44,"1,253",-6.84
2011M12,"26,798",0.79,"21,664",0.27,"5,134",3.01,"13,981",0.31,"1,644",9.38,"2,406",0.38,"5,715",1.33,40,11.11,"1,685",-0.82,"1,327",-3.56
2012M01,"26,104",0.38,"21,079",0.53,"5,025",-0.26,"13,585",1.82,"1,647",12.04,"2,405",-0.17,"5,654",-0.86,30,20.00,"1,640",-13.09,"1,143",-2.22
2012M02,"26,170",0.55,"21,165",0.80,"5,005",-0.54,"13,677",2.10,"1,674",13.34,"2,415",1.64,"5,645",-0.79,44,29.41,"1,527",-20.26,"1,188",4.21
2012M03,"26,989",5.96,"21,688",5.39,"5,301",8.32,"14,037",4.78,"1,736",16.51,"2,708",11.35,"5,680",2.77,45,40.62,"1,679",19.67,"1,104",-7.30
2012M04,"26,878",1.69,"21,533",1.52,"5,345",2.38,"13,816",1.67,"1,706",12.76,"2,820",1.37,"5,673",-0.11,43,22.86,"1,721",2.44,"1,099",-4.68
2012M05,"27,627",2.72,"22,012",2.60,"5,615",3.20,"13,925",2.05,"1,730",14.87,"3,014",0.60,"5,754",1.12,41,17.14,"1,972",6.59,"1,191",1.53
2012M06,"28,962",1.91,"22,819",1.63,"6,143",2.93,"14,188",2.61,"1,740",13.50,"3,455",1.26,"5,843",-1.35,34,0.00,"2,426",-5.75,"1,276",14.23
2012M07,"29,091",4.05,"23,128",4.30,"5,963",3.08,"14,303",3.27,"1,746",13.67,"3,329",3.26,"5,952",0.66,39,-9.30,"2,330",0.43,"1,392",29.61
2012M08,"27,475",4.89,"22,086",4.75,"5,389",5.46,"14,100",3.38,"1,781",13.66,"2,287",3.48,"5,785",-0.96,34,-22.73,"2,112",15.73,"1,376",28.84
2012M09,"28,007",4.89,"22,335",4.37,"5,672",6.96,"14,172",3.20,"1,796",12.81,"2,342",1.78,"5,500",-2.15,33,-15.38,"2,943",26.58,"1,221",11.81
2012M10,"27,699",5.51,"22,142",4.55,"5,557",9.52,"14,291",3.80,"1,810",13.55,"2,381",1.36,"5,586",-0.78,31,-55.07,"2,356",39.99,"1,244",7.24
2012M11,"27,545",3.83,"22,023",3.21,"5,522",6.36,"14,364",3.82,"1,842",13.56,"2,404",1.01,"5,677",-0.68,105,150.00,"1,970",17.12,"1,183",-5.59
2012M12,"27,624",3.08,"22,209",2.52,"5,415",5.47,"14,465",3.46,"1,853",12.71,"2,445",1.62,"5,615",-1.75,29,-27.50,"1,948",15.61,"1,269",-4.37
2013M01,"26,948",3.23,"21,631",2.62,"5,317",5.81,"14,113",3.89,"1,852",12.45,"2,445",1.66,"5,654",0.00,25,-16.67,"1,720",4.88,"1,139",-0.35
2013M02,"27,053",3.37,"21,735",2.69,"5,318",6.25,"14,182",3.69,"1,853",10.69,"2,403",-0.50,"5,573",-1.28,39,-11.36,"1,837",20.30,"1,166",-1.85
2013M03,"28,170",4.38,"22,482",3.66,"5,688",7.30,"14,482",3.17,"1,875",8.01,"2,647",-2.25,"5,475",-3.61,48,6.67,"2,288",36.27,"1,355",22.74
2013M04,"27,698",3.05,"22,179",3.00,"5,519",3.26,"14,411",4.31,"1,875",9.91,"2,780",-1.42,"5,499",-3.07,42,-2.33,"1,640",-4.71,"1,451",32.03
2013M05,"28,290",2.40,"22,561",2.49,"5,729",2.03,"14,571",4.64,"1,891",9.31,"2,980",-1.13,"5,529",-3.91,51,24.39,"1,839",-6.74,"1,429",19.98
2013M06,"29,665",2.43,"23,474",2.87,"6,191",0.78,"14,839",4.59,"1,924",10.57,"3,500",1.30,"5,646",-3.37,54,58.82,"2,266",-6.60,"1,436",12.54
2013M07,"29,017",-0.25,"23,081",-0.20,"5,936",-0.45,"14,822",3.63,"1,892",8.36,"3,290",-1.17,"5,640",-5.24,43,10.26,"1,991",-14.55,"1,339",-3.81
2013M08,"27,100",-1.36,"21,825",-1.18,"5,275",-2.12,"14,565",3.30,"1,904",6.91,"2,241",-2.01,"5,389",-6.85,43,26.47,"1,614",-23.58,"1,344",-2.33
2013M09,"27,547",-1.64,"22,009",-1.46,"5,538",-2.36,"14,728",3.92,"1,919",6.85,"2,295",-2.01,"5,086",-7.53,42,27.27,"2,171",-26.23,"1,306",6.96
2013M10,"27,573",-0.45,"22,070",-0.33,"5,503",-0.97,"14,700",2.86,"1,955",8.01,"2,329",-2.18,"5,120",-8.34,42,35.48,"2,112",-10.36,"1,315",5.71
2013M11,"27,659",0.41,"22,191",0.76,"5,468",-0.98,"14,686",2.24,"1,980",7.49,"2,371",-1.37,"5,202",-8.37,145,38.10,"1,914",-2.84,"1,361",15.05
2013M12,"27,627",0.01,"22,093",-0.52,"5,534",2.20,"14,855",2.70,"2,010",8.47,"2,408",-1.51,"5,094",-9.28,39,34.48,"1,818",-6.67,"1,403",10.56
2014M01,"26,761",-0.69,"21,410",-1.02,"5,351",0.64,"14,533",2.98,"1,988",7.34,"2,366",-3.23,"5,113",-9.57,39,56.00,"1,601",-6.92,"1,121",-1.58
2014M02,"27,057",0.01,"21,686",-0.23,"5,371",1.00,"14,641",3.24,"2,017",8.85,"2,357",-1.91,"5,235",-6.06,47,20.51,"1,574",-14.32,"1,186",1.72
2014M03,"27,856",-1.11,"22,330",-0.68,"5,526",-2.85,"14,962",3.31,"2,051",9.39,"2,577",-2.64,"5,129",-6.32,48,0.00,"1,810",-20.89,"1,279",-5.61
2014M04,"27,676",-0.08,"22,145",-0.15,"5,531",0.22,"14,862",3.13,"2,059",9.81,"2,730",-1.80,"5,187",-5.67,46,9.52,"1,408",-14.15,"1,384",-4.62
2014M05,"28,346",0.20,"22,549",-0.05,"5,797",1.19,"14,954",2.63,"2,073",9.62,"2,907",-2.45,"5,161",-6.66,71,39.22,"1,929",4.89,"1,251",-12.46
2014M06,"29,156",-1.72,"22,966",-2.16,"6,190",-0.02,"15,062",1.50,"2,074",7.80,"3,295",-5.86,"5,231",-7.35,71,31.48,"2,184",-3.62,"1,239",-13.72
2014M07,"29,337",1.10,"23,076",-0.02,"6,261",5.48,"15,161",2.29,"2,104",11.21,"3,145",-4.41,"5,400",-4.26,78,81.40,"2,245",12.76,"1,204",-10.08
