期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2000,"226,141",41.68,"93,640",-,"62,750",-,"30,559",-,"1,680",-,"18,080",-,"19,432",-,-,-
2001,"185,904",-17.79,"45,690",-51.21,"73,955",17.86,"29,923",-2.08,"12,215",627.08,"4,071",-77.48,"20,050",3.18,-,-
2002,"138,880",-25.29,"13,409",-70.65,"53,761",-27.31,"35,970",20.21,"11,370",-6.92,"5,700",40.01,"18,670",-6.88,-,-
2003,"183,064",31.81,"34,342",156.11,"53,232",-0.98,"56,470",56.99,"25,320",122.69,"12,150",113.16,"1,550",-91.70,-,-
2004,"162,041",-11.48,"72,306",110.55,"32,345",-39.24,"27,510",-51.28,"9,260",-63.43,"16,170",33.09,"4,450",187.10,-,-
2005,"308,784",90.56,"50,702",-29.88,"139,205",330.38,"66,390",141.33,"21,173",128.65,"13,871",-14.22,"17,443",291.98,-,-
2006,"256,391",-16.97,"33,679",-33.57,"90,679",-34.86,"83,177",25.29,"29,855",41.01,"1,610",-88.39,"11,391",-34.70,"6,000",-
2007,"200,663",-21.74,"32,250",-4.24,"66,580",-26.58,"89,320",7.39,"5,950",-80.07,250,-84.47,"6,310",-44.61,3,-99.95
2008,"160,613",-19.96,"35,911",11.35,"49,500",-25.65,"69,340",-22.37,"2,800",-52.94,-,-,"3,062",-51.47,-,-
2009,"197,965",23.26,"30,151",-16.04,"110,990",124.22,"34,740",-49.90,"6,090",117.50,"1,500",-,"14,494",373.35,-,-
2010,"229,932",16.15,"88,897",194.84,"128,620",15.88,"6,160",-82.27,-,-,"3,710",147.33,"2,545",-82.44,-,-
2011,"162,776",-29.21,"59,926",-32.59,"90,524",-29.62,"5,300",-13.96,"3,200",-,-,-,"3,826",50.33,-,-
2012,"248,256",52.51,"52,334",-12.67,"59,922",-33.81,"57,266",980.49,"52,149","1,529.66","17,390",-,"9,195",140.33,-,-
2013,"380,684",53.34,"104,042",98.80,"123,920",106.80,"73,870",28.99,"67,430",29.30,"6,390",-63.25,"5,032",-45.27,-,-
