期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),水污染_原始值,水污染_年增率(%),水污染_原始值,水污染_年增率(%),廢棄物_原始值,廢棄物_年增率(%),廢棄物_原始值,廢棄物_年增率(%),空氣污染_原始值,空氣污染_年增率(%),空氣污染_原始值,空氣污染_年增率(%),噪音_原始值,噪音_年增率(%),噪音_原始值,噪音_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),環境用藥_原始值,環境用藥_年增率(%),環境用藥_原始值,環境用藥_年增率(%),飲用水_原始值,飲用水_年增率(%),飲用水_原始值,飲用水_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2001M11,"4,498",...,317,...,"1,073",...,125,...,"1,634",...,156,...,963,...,31,...,20,...,1,...,463,...,4,...,0,...,0,...,185,...,0,...,13,...,0,...,26,...,0,...,0,...,0,...,121,...,0,...
2001M12,"4,589",...,275,...,992,...,144,...,"1,507",...,97,...,"1,276",...,29,...,17,...,4,...,520,...,1,...,0,...,0,...,171,...,0,...,8,...,0,...,11,...,0,...,0,...,0,...,87,...,0,...
2002M01,"4,177",39.98,307,86.06,965,46.88,102,112.50,"1,474",17.26,160,70.21,915,64.57,42,147.06,8,-69.23,0,--,560,79.49,3,--,0,--,0,--,127,-19.11,0,--,11,175.00,0,--,23,76.92,0,--,0,--,0,--,94,--,0,--
2002M02,"2,175",-37.59,139,-50.18,531,-35.56,44,-25.42,722,-43.99,69,-62.90,504,-26.10,19,-24.00,11,-85.71,2,-77.78,235,-39.43,4,--,0,--,0,--,80,-51.22,0,--,4,-20.00,1,--,4,-78.95,0,--,0,--,0,--,84,"8,300.00",0,--
2002M03,"3,686",-7.01,392,14.29,863,-16.86,99,17.86,"1,322",16.78,231,16.08,841,-7.58,57,26.67,12,-75.51,4,-50.00,404,-23.05,0,--,0,--,0,--,123,-37.88,0,--,14,-17.65,1,--,27,-37.21,0,--,0,--,0,--,80,263.64,0,--
2002M04,"2,949",-6.82,268,20.72,624,-23.06,50,-7.41,"1,238",17.46,182,27.27,559,-3.62,35,150.00,12,-61.29,1,-85.71,323,-2.12,0,--,0,--,0,--,85,-70.18,0,--,0,--,0,--,4,-88.89,0,--,0,--,0,--,104,--,0,--
2002M05,"4,004",-2.93,277,-8.58,908,-5.52,88,41.94,"1,131",-27.50,134,-30.21,794,-5.92,50,25.00,16,0.00,2,-66.67,441,-14.70,3,0.00,0,--,0,--,114,17.53,0,--,0,--,0,--,415,"1,283.33",0,--,0,--,0,--,185,180.30,0,--
2002M06,"3,936",-8.14,309,8.80,743,-26.44,108,14.89,"1,127",-21.30,146,7.35,640,-31.40,47,27.03,19,26.67,7,250.00,352,-35.29,1,-93.33,8,--,0,--,0,--,0,--,10,42.86,0,--,799,361.85,0,--,0,--,0,--,238,190.24,0,--
2002M07,"3,914",-42.07,353,29.30,878,-45.90,191,48.06,"1,301",-44.94,121,13.08,916,-53.15,34,-2.86,20,233.33,2,100.00,527,30.12,4,300.00,16,--,1,--,0,--,0,--,0,--,0,--,37,-35.09,0,--,0,--,0,--,219,146.07,0,--
2002M08,"10,862",112.15,628,167.23,686,-36.72,64,-35.35,"5,624",287.33,524,380.73,690,-47.37,25,8.70,22,83.33,1,0.00,351,-50.00,0,--,6,--,0,--,2,-99.14,0,--,0,--,0,--,5,-85.29,0,--,0,--,0,--,"3,476","1,150.36",14,--
2002M09,"15,637",155.34,697,352.60,651,-17.59,53,-8.62,"10,502",321.77,608,700.00,653,-70.87,31,93.75,9,50.00,2,--,281,-33.10,1,-50.00,5,--,0,--,17,-76.71,0,--,0,--,0,--,96,"1,500.00",0,--,0,--,0,--,"3,423","3,580.65",2,--
2002M10,"9,146",79.72,447,63.14,875,-13.79,95,3.26,"3,997",110.70,258,66.45,823,-33.63,82,290.48,54,35.00,3,0.00,478,14.90,2,100.00,6,--,0,--,106,-52.68,0,--,0,--,0,--,14,-87.16,0,--,0,--,0,--,"2,793","2,000.00",7,--
2002M11,"7,699",71.16,442,39.43,825,-23.11,88,-29.60,"4,532",177.36,291,86.54,885,-8.10,54,74.19,8,-60.00,3,200.00,505,9.07,2,-50.00,51,--,0,--,0,--,0,--,0,--,0,--,11,-57.69,0,--,0,--,0,--,882,628.93,4,--
2002M12,"6,620",44.26,276,0.36,928,-6.45,51,-64.58,"3,251",115.73,183,88.66,"1,038",-18.65,40,37.93,9,-47.06,1,-75.00,563,8.27,1,0.00,13,--,0,--,137,-19.88,0,--,2,-75.00,0,--,5,-54.55,0,--,0,--,0,--,674,674.71,0,--
2003M01,"13,348",219.56,282,-8.14,456,-52.75,23,-77.45,"11,427",675.24,214,33.75,506,-44.70,35,-16.67,19,137.50,5,--,315,-43.75,0,--,0,--,0,--,33,-74.02,0,--,6,-45.45,0,--,20,-13.04,0,--,0,--,0,--,566,502.13,5,--
2003M02,"3,272",50.44,165,18.71,521,-1.88,36,-18.18,"1,474",104.16,76,10.14,614,21.83,49,157.89,17,54.55,4,100.00,283,20.43,0,--,0,--,0,--,100,25.00,0,--,0,--,0,--,25,525.00,0,--,0,--,0,--,238,183.33,0,--
2003M03,"11,445",210.50,198,-49.49,751,-12.98,39,-60.61,"9,066",585.78,137,-40.69,761,-9.51,17,-70.18,21,75.00,4,0.00,480,18.81,1,--,0,--,0,--,131,6.50,0,--,0,--,0,--,28,3.70,0,--,0,--,0,--,207,158.75,0,--
2003M04,"7,051",139.10,270,0.75,897,43.75,81,62.00,"4,402",255.57,145,-20.33,863,54.38,41,17.14,11,-8.33,1,0.00,500,54.80,2,--,0,--,0,--,129,51.76,0,--,0,--,0,--,45,"1,025.00",0,--,0,--,0,--,204,96.15,0,--
2003M05,"6,159",53.82,187,-32.49,"1,015",11.78,52,-40.91,"3,644",222.19,109,-18.66,872,9.82,22,-56.00,13,-18.75,0,--,475,7.71,4,33.33,0,--,0,--,62,-45.61,0,--,0,--,0,--,31,-92.53,0,--,2,--,0,--,45,-75.68,0,--
2003M06,"5,197",32.04,171,-44.66,749,0.81,43,-60.19,"2,968",163.35,96,-34.25,828,29.38,30,-36.17,14,-26.32,2,-71.43,371,5.40,0,--,0,--,0,--,198,--,0,--,0,--,0,--,69,-91.36,0,--,0,--,0,--,0,--,0,--
2003M07,"4,244",8.43,183,-48.16,605,-31.09,58,-69.63,"2,389",83.63,104,-14.05,603,-34.17,18,-47.06,36,80.00,3,50.00,350,-33.59,0,--,0,--,0,--,195,--,0,--,0,--,0,--,59,59.46,0,--,0,--,0,--,7,-96.80,0,--
2003M08,"5,215",-51.99,161,-74.36,688,0.29,57,-10.94,"3,141",-44.15,83,-84.16,803,16.38,20,-20.00,15,-31.82,1,0.00,424,20.80,0,--,0,--,0,--,90,"4,400.00",0,--,0,--,0,--,47,840.00,0,--,0,--,0,--,7,-99.80,0,--
2003M09,"5,509",-64.77,247,-64.56,666,2.30,31,-41.51,"3,188",-69.64,179,-70.56,937,43.49,34,9.68,18,100.00,2,0.00,431,53.38,1,0.00,0,--,0,--,169,894.12,0,--,0,--,0,--,27,-71.88,0,--,2,--,0,--,71,-97.93,0,--
2003M10,"5,627",-38.48,204,-54.36,759,-13.26,22,-76.84,"3,358",-15.99,142,-44.96,915,11.18,38,-53.66,17,-68.52,2,-33.33,450,-5.86,0,--,0,--,0,--,76,-28.30,0,--,0,--,0,--,47,235.71,0,--,0,--,0,--,5,-99.82,0,--
2003M11,"5,415",-29.67,310,-29.86,680,-17.58,43,-51.14,"3,082",-31.99,176,-39.52,"1,032",16.61,87,61.11,26,225.00,3,0.00,449,-11.09,1,-50.00,0,--,0,--,87,--,0,--,0,--,0,--,48,336.36,0,--,1,--,0,--,10,-98.87,0,--
2003M12,"4,577",-30.86,156,-43.48,681,-26.62,55,7.84,"2,441",-24.92,77,-57.92,830,-20.04,23,-42.50,14,55.56,1,0.00,458,-18.65,0,--,6,-53.85,0,--,101,-26.28,0,--,0,--,0,--,36,620.00,0,--,0,--,0,--,10,-98.52,0,--
2004M01,"2,541",-80.96,130,-53.90,340,-25.44,10,-56.52,"1,539",-86.53,114,-46.73,378,-25.30,5,-85.71,9,-52.63,1,-80.00,211,-33.02,0,--,0,--,0,--,34,3.03,0,--,0,--,0,--,10,-50.00,0,--,0,--,0,--,20,-96.47,0,--
2004M02,"4,665",42.57,186,12.73,625,19.96,37,2.78,"2,776",88.33,126,65.79,722,17.59,21,-57.14,20,17.65,2,-50.00,399,40.99,0,--,0,--,0,--,56,-44.00,0,--,1,--,0,--,61,144.00,0,--,0,--,0,--,5,-97.90,0,--
2004M03,"5,235",-54.26,263,32.83,817,8.79,69,76.92,"2,837",-68.71,157,14.60,870,14.32,32,88.24,24,14.29,3,-25.00,512,6.67,2,100.00,0,--,0,--,135,3.05,0,--,0,--,0,--,40,42.86,0,--,0,--,0,--,0,--,0,--
2004M04,"6,566",-6.88,308,14.07,886,-1.23,68,-16.05,"3,514",-20.17,170,17.24,"1,351",56.55,62,51.22,10,-9.09,5,400.00,537,7.40,2,0.00,0,--,0,--,161,24.81,1,--,0,--,0,--,71,57.78,0,--,0,--,0,--,36,-82.35,0,--
2004M05,"6,298",2.26,403,115.51,799,-21.28,73,40.38,"3,566",-2.14,247,126.61,"1,269",45.53,79,259.09,7,-46.15,2,--,511,7.58,2,-50.00,0,--,0,--,81,30.65,0,--,0,--,0,--,46,48.39,0,--,0,--,0,--,19,-57.78,0,--
2004M06,"6,222",19.72,353,106.43,817,9.08,73,69.77,"3,522",18.67,204,112.50,"1,170",41.30,75,150.00,16,14.29,1,-50.00,493,32.88,0,--,0,--,0,--,100,-49.49,0,--,1,--,0,--,74,7.25,0,--,0,--,0,--,29,--,0,--
2004M07,"8,387",97.62,340,85.79,708,17.02,52,-10.34,"5,516",130.89,232,123.08,"1,442",139.14,53,194.44,8,-77.78,2,-33.33,414,18.29,1,--,0,--,0,--,208,6.67,0,--,3,--,0,--,71,20.34,0,--,0,--,0,--,17,142.86,0,--
2004M08,"9,016",72.89,417,159.01,668,-2.91,47,-17.54,"6,305",100.73,239,187.95,"1,346",67.62,130,550.00,19,26.67,1,0.00,499,17.69,0,--,0,--,0,--,133,47.78,0,--,1,--,0,--,38,-19.15,0,--,0,--,0,--,7,0.00,0,--
2004M09,"11,591",110.40,593,140.08,559,-16.07,49,58.06,"8,987",181.90,427,138.55,"1,480",57.95,113,232.35,18,0.00,2,0.00,372,-13.69,2,100.00,0,--,0,--,51,-69.82,0,--,0,--,0,--,121,348.15,0,--,0,--,0,--,3,-95.77,0,--
2004M10,"11,944",112.26,502,146.08,765,0.79,51,131.82,"8,890",164.74,307,116.20,"1,670",82.51,142,273.68,14,-17.65,0,--,447,-0.67,2,--,2,--,0,--,83,9.21,0,--,0,--,0,--,65,38.30,0,--,0,--,0,--,8,60.00,0,--
2004M11,"10,677",97.17,386,24.52,814,19.71,47,9.30,"7,177",132.87,226,28.41,"1,856",79.84,105,20.69,33,26.92,3,0.00,557,24.05,3,200.00,0,--,0,--,50,-42.53,2,--,0,--,0,--,37,-22.92,0,--,0,--,0,--,153,"1,430.00",0,--
2004M12,"8,918",94.84,331,112.18,701,2.94,25,-54.55,"5,339",118.72,181,135.06,"2,063",148.55,122,430.43,21,50.00,3,200.00,524,14.41,0,--,0,--,0,--,104,2.97,0,--,0,--,0,--,28,-22.22,0,--,0,--,0,--,138,"1,280.00",0,--
2005M01,"7,854",209.09,414,218.46,758,122.94,67,570.00,"5,043",227.68,208,82.46,"1,342",255.03,139,"2,680.00",15,66.67,0,--,509,141.23,0,--,0,--,0,--,22,-35.29,0,--,0,--,0,--,39,290.00,0,--,0,--,0,--,126,530.00,0,--
2005M02,"3,752",-19.57,218,17.20,308,-50.72,31,-16.22,"2,710",-2.38,113,-10.32,427,-40.86,74,252.38,16,-20.00,0,--,190,-52.38,0,--,0,--,0,--,0,--,0,--,0,--,0,--,8,-86.89,0,--,0,--,0,--,93,"1,760.00",0,--
2005M03,"10,740",105.16,341,29.66,834,2.08,51,-26.09,"6,805",139.87,251,59.87,"2,112",142.76,37,15.62,18,-25.00,2,-33.33,526,2.73,0,--,0,--,0,--,236,74.81,0,--,0,--,0,--,33,-17.50,0,--,4,--,0,--,172,--,0,--
2005M04,"9,603",46.25,371,20.45,675,-23.81,67,-1.47,"6,303",79.37,202,18.82,"1,908",41.23,98,58.06,13,30.00,1,-80.00,380,-29.24,0,--,0,--,0,--,177,9.94,3,200.00,1,--,0,--,25,-64.79,0,--,4,--,0,--,117,225.00,0,--
2005M05,"11,363",80.42,382,-5.21,752,-5.88,49,-32.88,"7,450",108.92,246,-0.40,"1,971",55.32,80,1.27,18,157.14,1,-50.00,794,55.38,6,200.00,0,--,0,--,229,182.72,0,--,0,--,0,--,17,-63.04,0,--,0,--,0,--,132,594.74,0,--
2005M06,"7,492",20.41,241,-31.73,671,-17.87,50,-31.51,"4,704",33.56,130,-36.27,"1,195",2.14,50,-33.33,22,37.50,1,0.00,477,-3.25,10,--,0,--,0,--,300,200.00,0,--,3,200.00,0,--,73,-1.35,0,--,2,--,0,--,45,55.17,0,--
2005M07,"6,135",-26.85,295,-13.24,685,-3.25,35,-32.69,"3,581",-35.08,216,-6.90,"1,135",-21.29,43,-18.87,14,75.00,1,-50.00,406,-1.93,0,--,0,--,0,--,229,10.10,0,--,0,--,0,--,7,-90.14,0,--,30,--,0,--,48,182.35,0,--
2005M08,"8,629",-4.29,390,-6.47,865,29.49,42,-10.64,"4,962",-21.30,264,10.46,"1,817",34.99,80,-38.46,29,52.63,1,0.00,616,23.45,3,--,0,--,0,--,265,99.25,0,--,0,--,0,--,19,-50.00,0,--,8,--,0,--,48,585.71,0,--
2005M09,"9,516",-17.90,399,-32.72,998,78.53,50,2.04,"5,510",-38.69,252,-40.98,"2,010",35.81,89,-21.24,32,77.78,7,250.00,598,60.75,1,-50.00,0,--,0,--,287,462.75,0,--,0,--,0,--,17,-85.95,0,--,3,--,0,--,61,"1,933.33",0,--
2005M10,"8,173",-31.57,369,-26.49,824,7.71,45,-11.76,"4,519",-49.17,213,-30.62,"1,824",9.22,106,-25.35,51,264.29,3,--,566,26.62,1,-50.00,0,--,0,--,301,262.65,0,--,2,--,0,--,27,-58.46,0,--,52,--,0,--,7,-12.50,1,--
2005M11,"8,632",-19.15,344,-10.88,881,8.23,52,10.64,"4,951",-31.02,246,8.85,"1,850",-0.32,40,-61.90,52,57.58,5,66.67,598,7.36,1,-66.67,0,--,0,--,239,378.00,0,--,1,--,0,--,11,-70.27,0,--,49,--,0,--,0,--,0,--
2005M12,"8,334",-6.55,276,-16.62,834,18.97,36,44.00,"4,854",-9.08,177,-2.21,"1,964",-4.80,55,-54.92,39,85.71,6,100.00,492,-6.11,2,--,0,--,0,--,135,29.81,0,--,2,--,0,--,11,-60.71,0,--,1,--,0,--,2,-98.55,0,--
2006M01,"6,335",-19.34,272,-34.30,700,-7.65,52,-22.39,"3,909",-22.49,179,-13.94,"1,083",-19.30,38,-72.66,45,200.00,2,--,410,-19.45,1,--,0,--,0,--,149,577.27,0,--,0,--,0,--,12,-69.23,0,--,3,--,0,--,24,-80.95,0,--
2006M02,"6,674",77.88,180,-17.43,534,73.38,36,16.13,"4,125",52.21,113,0.00,"1,471",244.50,29,-60.81,26,62.50,1,--,297,56.32,0,--,0,--,0,--,201,--,1,--,0,--,0,--,16,100.00,0,--,4,--,0,--,0,--,0,--
2006M03,"8,278",-22.92,351,2.93,896,7.43,108,111.76,"4,445",-34.68,161,-35.86,"2,066",-2.18,75,102.70,77,327.78,3,50.00,549,4.37,1,--,0,--,0,--,232,-1.69,1,--,0,--,0,--,11,-66.67,0,--,2,-50.00,0,--,0,--,2,--
2006M04,"6,476",-32.56,312,-15.90,824,22.07,57,-14.93,"2,706",-57.07,169,-16.34,"1,919",0.58,80,-18.37,64,392.31,3,200.00,622,63.68,3,--,0,--,0,--,303,71.19,0,--,0,--,0,--,7,-72.00,0,--,1,-75.00,0,--,30,-74.36,0,--
2006M05,"6,411",-43.58,339,-11.26,972,29.26,83,69.39,"2,548",-65.80,164,-33.33,"1,939",-1.62,87,8.75,73,305.56,2,100.00,611,-23.05,1,-83.33,0,--,0,--,243,6.11,1,--,0,--,0,--,16,-5.88,0,--,9,--,1,--,0,--,0,--
2006M06,"6,789",-9.38,304,26.14,938,39.79,39,-22.00,"2,516",-46.51,175,34.62,"2,332",95.15,87,74.00,24,9.09,1,0.00,636,33.33,2,-80.00,0,--,0,--,323,7.67,0,--,0,--,0,--,13,-82.19,0,--,7,250.00,0,--,0,--,0,--
2006M07,"7,347",19.76,351,18.98,821,19.85,59,68.57,"4,184",16.84,210,-2.78,"1,569",38.24,79,83.72,37,164.29,3,200.00,570,40.39,0,--,0,--,0,--,153,-33.19,0,--,0,--,0,--,9,28.57,0,--,4,-86.67,0,--,0,--,0,--
2006M08,"10,488",21.54,430,10.26,888,2.66,56,33.33,"6,599",32.99,267,1.14,"2,110",16.13,102,27.50,16,-44.83,4,300.00,617,0.16,1,-66.67,0,--,0,--,250,-5.66,0,--,0,--,0,--,8,-57.89,0,--,0,--,0,--,0,--,0,--
2006M09,"10,338",8.64,405,1.50,845,-15.33,62,24.00,"7,313",32.72,271,7.54,"1,354",-32.64,68,-23.60,31,-3.12,4,-42.86,545,-8.86,0,--,0,--,0,--,247,-13.94,0,--,0,--,0,--,3,-82.35,0,--,0,--,0,--,0,--,0,--
2006M10,"15,081",84.52,310,-15.99,637,-22.69,34,-24.44,"12,006",165.68,207,-2.82,"1,581",-13.32,67,-36.79,24,-52.94,2,-33.33,419,-25.97,0,--,0,--,0,--,402,33.55,0,--,0,--,0,--,12,-55.56,0,--,0,--,0,--,0,--,0,--
2006M11,"17,351",101.01,386,12.21,840,-4.65,62,19.23,"12,884",160.23,204,-17.07,"2,912",57.41,116,190.00,43,-17.31,4,-20.00,519,-13.21,0,--,0,--,0,--,148,-38.08,0,--,0,--,0,--,5,-54.55,0,--,0,--,0,--,0,--,0,--
2006M12,"13,212",58.53,281,1.81,746,-10.55,74,105.56,"9,758",101.03,132,-25.42,"2,021",2.90,70,27.27,29,-25.64,4,-33.33,439,-10.77,1,-50.00,0,--,0,--,198,46.67,0,--,0,--,0,--,1,-90.91,0,--,3,200.00,0,--,17,750.00,0,--
2007M01,"8,269",30.53,325,19.49,876,25.14,103,98.08,"4,426",13.23,132,-26.26,"2,116",95.38,83,118.42,44,-2.22,5,150.00,533,30.00,2,100.00,0,--,0,--,255,71.14,0,--,0,--,0,--,12,0.00,0,--,3,0.00,0,--,4,-83.33,0,--
2007M02,"3,665",-45.09,140,-22.22,362,-32.21,19,-47.22,"1,915",-53.58,51,-54.87,895,-39.16,70,141.38,9,-65.38,0,--,317,6.73,0,--,0,--,0,--,163,-18.91,0,--,0,--,0,--,3,-81.25,0,--,1,-75.00,0,--,0,--,0,--
2007M03,"8,492",2.59,298,-15.10,969,8.15,60,-44.44,"4,318",-2.86,171,6.21,"2,041",-1.21,62,-17.33,60,-22.08,1,-66.67,741,34.97,4,300.00,0,--,0,--,329,41.81,0,--,0,--,0,--,8,-27.27,0,--,0,--,0,--,26,--,0,--
2007M04,"8,461",30.65,303,-2.88,940,14.08,68,19.30,"4,721",74.46,153,-9.47,"1,866",-2.76,80,0.00,90,40.62,2,-33.33,583,-6.27,0,--,1,--,0,--,232,-23.43,0,--,0,--,0,--,13,85.71,0,--,1,0.00,0,--,14,-53.33,0,--
2007M05,"9,588",49.56,328,-3.24,995,2.37,80,-3.61,"5,622",120.64,151,-7.93,"1,905",-1.75,88,1.15,35,-52.05,5,150.00,654,7.04,4,300.00,0,--,0,--,343,41.15,0,--,0,--,0,--,1,-93.75,0,--,0,--,0,--,33,--,0,--
2007M06,"10,200",50.24,253,-16.78,900,-4.05,69,76.92,"6,155",144.63,117,-33.14,"2,423",3.90,63,-27.59,11,-54.17,0,--,468,-26.42,3,50.00,0,--,0,--,216,-33.13,1,--,0,--,0,--,1,-92.31,0,--,0,--,0,--,26,--,0,--
2007M07,"12,811",74.37,288,-17.95,812,-1.10,53,-10.17,"9,535",127.89,166,-20.95,"1,680",7.07,67,-15.19,28,-24.32,1,-66.67,472,-17.19,1,--,0,--,0,--,278,81.70,0,--,0,--,0,--,4,-55.56,0,--,0,--,0,--,2,--,0,--
2007M08,"13,214",25.99,320,-25.58,838,-5.63,49,-12.50,"9,192",39.29,197,-26.22,"2,379",12.75,71,-30.39,12,-25.00,2,-50.00,512,-17.02,0,--,0,--,0,--,279,11.60,0,--,0,--,0,--,2,-75.00,1,--,0,--,0,--,0,--,0,--
2007M09,"14,531",40.56,329,-18.77,714,-15.50,42,-32.26,"9,448",29.19,197,-27.31,"3,709",173.93,89,30.88,18,-41.94,1,-75.00,447,-17.98,0,--,0,--,0,--,192,-22.27,0,--,0,--,0,--,0,--,0,--,0,--,0,--,3,--,0,--
2007M10,"14,643",-2.90,266,-14.19,844,32.50,46,35.29,"10,276",-14.41,152,-26.57,"2,748",73.81,66,-1.49,23,-4.17,2,0.00,500,19.33,0,--,0,--,0,--,247,-38.56,0,--,0,--,0,--,1,-91.67,0,--,2,--,0,--,2,--,0,--
2007M11,"15,602",-10.08,325,-15.80,910,8.33,71,14.52,"11,413",-11.42,154,-24.51,"2,387",-18.03,96,-17.24,36,-16.28,3,-25.00,521,0.39,0,--,0,--,0,--,303,104.73,0,--,1,--,1,--,2,-60.00,0,--,2,--,0,--,27,--,0,--
2007M12,"15,476",17.14,282,0.36,914,22.52,80,8.11,"10,599",8.62,98,-25.76,"3,134",55.07,99,41.43,43,48.28,4,0.00,538,22.55,1,0.00,0,--,0,--,230,16.16,0,--,0,--,0,--,0,--,0,--,0,--,0,--,18,5.88,0,--
2008M01,"12,056",45.80,253,-22.15,"1,095",25.00,69,-33.01,"6,975",57.59,141,6.82,"2,830",33.74,40,-51.81,23,-47.73,3,-40.00,724,35.83,0,--,0,--,0,--,368,44.31,0,--,37,--,0,--,2,-83.33,0,--,1,-66.67,0,--,1,-75.00,0,--
2008M02,"5,609",53.04,160,14.29,534,47.51,23,21.05,"3,136",63.76,95,86.27,"1,337",49.39,40,-42.86,14,55.56,1,--,339,6.94,0,--,0,--,0,--,191,17.18,1,--,54,--,0,--,3,0.00,0,--,1,0.00,0,--,0,--,0,--
2008M03,"9,241",8.82,310,4.03,"1,102",13.73,75,25.00,"4,510",4.45,134,-21.64,"2,410",18.08,99,59.68,25,-58.33,1,0.00,704,-4.99,1,-75.00,0,--,0,--,344,4.56,0,--,146,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M04,"10,867",28.44,324,6.93,"1,106",17.66,76,11.76,"6,090",29.00,115,-24.84,"2,689",44.11,133,66.25,32,-64.44,0,--,590,1.20,0,--,0,--,0,--,328,41.38,0,--,31,--,0,--,1,-92.31,0,--,0,--,0,--,0,--,0,--
2008M05,"11,823",23.31,435,32.62,"1,139",14.47,94,17.50,"5,978",6.33,149,-1.32,"3,562",86.98,192,118.18,49,40.00,0,--,708,8.26,0,--,0,--,0,--,347,1.17,0,--,38,--,0,--,2,100.00,0,--,0,--,0,--,0,--,0,--
2008M06,"12,224",19.84,239,-5.53,"1,017",13.00,33,-52.17,"7,739",25.74,94,-19.66,"2,360",-2.60,109,73.02,22,100.00,1,--,754,61.11,0,--,0,--,0,--,310,43.52,0,--,21,--,2,--,1,0.00,0,--,0,--,0,--,0,--,0,--
2008M07,"12,724",-0.68,296,2.78,894,10.10,38,-28.30,"7,916",-16.98,101,-39.16,"2,900",72.62,156,132.84,12,-57.14,1,0.00,618,30.93,0,--,0,--,0,--,376,35.25,0,--,3,--,0,--,3,-25.00,0,--,2,--,0,--,0,--,0,--
2008M08,"13,747",4.03,286,-10.62,"1,049",25.18,44,-10.20,"8,907",-3.10,85,-56.85,"2,817",18.41,156,119.72,24,100.00,0,--,667,30.27,0,--,0,--,0,--,276,-1.08,1,--,7,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M09,"11,959",-17.70,222,-32.52,933,30.67,27,-35.71,"7,290",-22.84,62,-68.53,"2,686",-27.58,130,46.07,53,194.44,0,--,681,52.35,2,--,3,--,0,--,303,57.81,0,--,8,--,1,--,1,--,0,--,0,--,0,--,1,-66.67,0,--
