期間,總指數_原始值,總指數_年增率(%),一.農林漁牧業產品_原始值,一.農林漁牧業產品_年增率(%),(一)農產品_原始值,(一)農產品_年增率(%),1.稻穀雜糧_原始值,1.稻穀雜糧_年增率(%),(1)稻穀_原始值,(1)稻穀_年增率(%),(2)雜糧_原始值,(2)雜糧_年增率(%),2.蔬菜_原始值,2.蔬菜_年增率(%),3.水果_原始值,3.水果_年增率(%),4.花卉_原始值,4.花卉_年增率(%),5.特用作物及其他農作物栽培業_原始值,5.特用作物及其他農作物栽培業_年增率(%),(二)禽畜產品_原始值,(二)禽畜產品_年增率(%),1.家畜及其產品_原始值,1.家畜及其產品_年增率(%),2.家禽及其產品_原始值,2.家禽及其產品_年增率(%),(三)林產品_原始值,(三)林產品_年增率(%),(四)水產品_原始值,(四)水產品_年增率(%),1.魚類_原始值,1.魚類_年增率(%),(1)捕撈魚類_原始值,(1)捕撈魚類_年增率(%),(2)養殖魚類_原始值,(2)養殖魚類_年增率(%),2.其他水產品_原始值,2.其他水產品_年增率(%),二.土石及礦產品_原始值,二.土石及礦產品_年增率(%),(一)石油及天然氣_原始值,(一)石油及天然氣_年增率(%),原油_原始值,原油_年增率(%),(二)土石採取及其他礦產品_原始值,(二)土石採取及其他礦產品_年增率(%),三.製造業產品_原始值,三.製造業產品_年增率(%),(一)食品_原始值,(一)食品_年增率(%),1.肉類、水產品及蔬果處理保藏及其製品_原始值,1.肉類、水產品及蔬果處理保藏及其製品_年增率(%),2.食用油脂_原始值,2.食用油脂_年增率(%),3.乳製品_原始值,3.乳製品_年增率(%),4.碾榖、磨粉及澱粉製品_原始值,4.碾榖、磨粉及澱粉製品_年增率(%),5.飼料_原始值,5.飼料_年增率(%),6.烘焙炊蒸食品_原始值,6.烘焙炊蒸食品_年增率(%),7.調味品_原始值,7.調味品_年增率(%),8.調理食品_原始值,8.調理食品_年增率(%),9.其他食品_原始值,9.其他食品_年增率(%),(二)飲料_原始值,(二)飲料_年增率(%),1.酒類_原始值,1.酒類_年增率(%),2.非酒精飲料_原始值,2.非酒精飲料_年增率(%),(三)菸類_原始值,(三)菸類_年增率(%),(四)紡織品_原始值,(四)紡織品_年增率(%),1.紡織纖維及紗線_原始值,1.紡織纖維及紗線_年增率(%),2.布_原始值,2.布_年增率(%),3.其他紡織品_原始值,3.其他紡織品_年增率(%),(五)成衣及服飾品_原始值,(五)成衣及服飾品_年增率(%),1.成衣_原始值,1.成衣_年增率(%),(1)梭織成衣_原始值,(1)梭織成衣_年增率(%),(2)針織成衣_原始值,(2)針織成衣_年增率(%),2.服飾品_原始值,2.服飾品_年增率(%),(六)皮革及其製品_原始值,(六)皮革及其製品_年增率(%),(七)木竹製品_原始值,(七)木竹製品_年增率(%),(八)紙漿、紙、紙製品及印刷品_原始值,(八)紙漿、紙、紙製品及印刷品_年增率(%),1.紙漿、紙及其製品_原始值,1.紙漿、紙及其製品_年增率(%),(1)紙漿_原始值,(1)紙漿_年增率(%),(2)紙及紙板_原始值,(2)紙及紙板_年增率(%),(3)紙容器及其他紙製品_原始值,(3)紙容器及其他紙製品_年增率(%),2.印刷品_原始值,2.印刷品_年增率(%),(九)石油及煤製品_原始值,(九)石油及煤製品_年增率(%),(十)化學材料_原始值,(十)化學材料_年增率(%),1.基本化工原料_原始值,1.基本化工原料_年增率(%),2.石油化學原料_原始值,2.石油化學原料_年增率(%),3.肥料_原始值,3.肥料_年增率(%),4.合成樹脂、塑膠及橡膠_原始值,4.合成樹脂、塑膠及橡膠_年增率(%),5.人造纖維_原始值,5.人造纖維_年增率(%),(十一)化學製品及藥品_原始值,(十一)化學製品及藥品_年增率(%),1.化學製品_原始值,1.化學製品_年增率(%),(1)塗料、染料及顏料_原始值,(1)塗料、染料及顏料_年增率(%),(2)清潔用品及化妝品_原始值,(2)清潔用品及化妝品_年增率(%),(3)其他化學製品_原始值,(3)其他化學製品_年增率(%),2.藥品_原始值,2.藥品_年增率(%),(十二)橡膠及塑膠製品_原始值,(十二)橡膠及塑膠製品_年增率(%),1.橡膠製品_原始值,1.橡膠製品_年增率(%),(1)輪胎_原始值,(1)輪胎_年增率(%),(2)其他橡膠製品_原始值,(2)其他橡膠製品_年增率(%),2.塑膠製品_原始值,2.塑膠製品_年增率(%),(1)塑膠皮、板、管_原始值,(1)塑膠皮、板、管_年增率(%),(2)其他塑膠製品_原始值,(2)其他塑膠製品_年增率(%),(十三)非金屬礦物製品_原始值,(十三)非金屬礦物製品_年增率(%),1.玻璃及其製品_原始值,1.玻璃及其製品_年增率(%),2.耐火、黏土建築材料及陶瓷製品_原始值,2.耐火、黏土建築材料及陶瓷製品_年增率(%),3.水泥及其製品_原始值,3.水泥及其製品_年增率(%),4.其他非金屬礦物製品_原始值,4.其他非金屬礦物製品_年增率(%),(十四)基本金屬_原始值,(十四)基本金屬_年增率(%),1.鋼鐵_原始值,1.鋼鐵_年增率(%),(1)鋼鐵冶煉業製品_原始值,(1)鋼鐵冶煉業製品_年增率(%),(2)鋼鐵鑄造業製品_原始值,(2)鋼鐵鑄造業製品_年增率(%),(3)鋼鐵軋延及擠型業製品_原始值,(3)鋼鐵軋延及擠型業製品_年增率(%),(4)鋼鐵伸線業製品_原始值,(4)鋼鐵伸線業製品_年增率(%),2.鋁_原始值,2.鋁_年增率(%),3.銅_原始值,3.銅_年增率(%),4.其他金屬_原始值,4.其他金屬_年增率(%),(十五)金屬製品_原始值,(十五)金屬製品_年增率(%),1.金屬手工具及模具_原始值,1.金屬手工具及模具_年增率(%),2.金屬結構及建築組件_原始值,2.金屬結構及建築組件_年增率(%),3.金屬容器_原始值,3.金屬容器_年增率(%),4.金屬加工處理製品_原始值,4.金屬加工處理製品_年增率(%),5.其他金屬製品_原始值,5.其他金屬製品_年增率(%),(十六)電子零組件_原始值,(十六)電子零組件_年增率(%),1.半導體_原始值,1.半導體_年增率(%),2.被動電子元件_原始值,2.被動電子元件_年增率(%),3.印刷電路板_原始值,3.印刷電路板_年增率(%),4.光電材料及元件_原始值,4.光電材料及元件_年增率(%),5.其他電子零組件_原始值,5.其他電子零組件_年增率(%),(十七)電腦、電子產品及光學製品_原始值,(十七)電腦、電子產品及光學製品_年增率(%),1.電腦及其週邊設備_原始值,1.電腦及其週邊設備_年增率(%),(1)電腦_原始值,(1)電腦_年增率(%),(2)電腦週邊設備及組件_原始值,(2)電腦週邊設備及組件_年增率(%),2.通訊傳播設備_原始值,2.通訊傳播設備_年增率(%),3.視聽電子產品_原始值,3.視聽電子產品_年增率(%),4.資料儲存媒體_原始值,4.資料儲存媒體_年增率(%),5.量測、導航及控制設備產品_原始值,5.量測、導航及控制設備產品_年增率(%),6.其他電子及光學製品_原始值,6.其他電子及光學製品_年增率(%),(十八)電力設備_原始值,(十八)電力設備_年增率(%),1.發電、輸電、配電機械_原始值,1.發電、輸電、配電機械_年增率(%),2.電線及配線器材_原始值,2.電線及配線器材_年增率(%),3.家用電器_原始值,3.家用電器_年增率(%),4.其他電力設備_原始值,4.其他電力設備_年增率(%),(十九)機械設備_原始值,(十九)機械設備_年增率(%),1.金屬加工用機械_原始值,1.金屬加工用機械_年增率(%),2.其他專用生產機械_原始值,2.其他專用生產機械_年增率(%),3.通用機械_原始值,3.通用機械_年增率(%),(二十)運輸工具及零件_原始值,(二十)運輸工具及零件_年增率(%),1.汽車_原始值,1.汽車_年增率(%),2.汽車零件_原始值,2.汽車零件_年增率(%),3.機車及其零件_原始值,3.機車及其零件_年增率(%),4.其他運輸工具及零件_原始值,4.其他運輸工具及零件_年增率(%),(二十一)家具及裝設品_原始值,(二十一)家具及裝設品_年增率(%),(二十二)雜項工業製品_原始值,(二十二)雜項工業製品_年增率(%),1.育樂用品_原始值,1.育樂用品_年增率(%),2.醫療器材及用品_原始值,2.醫療器材及用品_年增率(%),3.其他雜項工業製品_原始值,3.其他雜項工業製品_年增率(%),四.水電燃氣_原始值,四.水電燃氣_年增率(%),(一)水_原始值,(一)水_年增率(%),(二)電_原始值,(二)電_年增率(%),(三)燃氣_原始值,(三)燃氣_年增率(%),製造業產品(一)非重化工業產品_原始值,製造業產品(一)非重化工業產品_年增率(%),製造業產品(二)重化工業產品_原始值,製造業產品(二)重化工業產品_年增率(%)
1981,84.04,-,53.89,-,55.67,-,60.11,-,68.05,-,76.96,-,39.94,-,37.46,-,-,-,92.01,-,82.12,-,78.05,-,87.68,-,26.64,-,40.41,-,48.71,-,45.82,-,46.22,-,37.45,-,29.83,-,-,-,-,-,-,-,91.98,-,66.71,-,-,-,56.93,-,55.58,-,-,-,51.81,-,-,-,-,-,-,-,-,-,78.68,-,68.18,-,101.92,-,54.29,-,75.60,-,61.25,-,78.70,-,102.46,-,80.82,-,75.77,-,-,-,-,-,114.71,-,51.49,-,58.08,-,67.10,-,67.51,-,79.05,-,61.30,-,70.70,-,86.05,-,49.13,-,56.21,-,86.50,-,53.86,-,44.50,-,63.25,-,69.40,-,83.14,-,77.82,-,86.67,-,75.44,-,73.76,-,95.43,-,74.92,-,79.46,-,97.46,-,68.53,-,73.97,-,61.70,-,87.37,-,86.12,-,92.34,-,121.00,-,101.01,-,73.15,-,46.34,-,50.53,-,37.77,-,-,-,57.39,-,-,-,65.31,-,29.76,-,36.52,-,61.53,-,-,-,-,-,-,-,-,-,-,-,327.48,-,398.89,-,-,-,-,-,219.48,-,-,-,-,-,-,-,-,-,-,-,353.63,-,162.03,-,-,-,-,-,-,-,-,-,-,-,-,-,111.43,-,109.76,-,75.48,-,71.38,-,-,-,-,-,70.37,-,86.99,-,71.05,-,95.77,-,50.97,-,64.50,-,77.58,-,-,-,-,-,-,-,92.97,-,52.83,-,104.47,-,61.82,-,78.54,-,96.82,-
1982,83.89,-0.18,54.10,0.39,55.73,0.11,57.28,-4.71,72.45,6.47,64.40,-16.32,34.68,-13.17,46.47,24.05,-,-,93.41,1.52,84.21,2.55,83.89,7.48,83.14,-5.18,25.36,-4.80,40.76,0.87,48.16,-1.13,44.24,-3.45,47.65,3.09,38.67,3.26,30.41,1.94,-,-,-,-,-,-,91.52,-0.50,67.50,1.18,-,-,63.42,11.40,60.67,9.16,-,-,48.16,-7.04,-,-,-,-,-,-,-,-,80.23,1.97,68.18,0.00,105.99,3.99,54.29,0.00,72.76,-3.76,57.41,-6.27,77.66,-1.32,102.01,-0.44,85.15,5.36,79.64,5.11,-,-,-,-,122.31,6.63,53.03,2.99,58.56,0.83,64.96,-3.19,63.48,-5.97,73.29,-7.29,59.17,-3.47,65.01,-8.05,86.63,0.67,49.47,0.69,53.04,-5.64,85.48,-1.18,47.96,-10.95,57.36,28.90,62.24,-1.60,62.07,-10.56,83.45,0.37,77.85,0.04,86.81,0.16,76.55,1.47,73.09,-0.91,96.95,1.59,74.89,-0.04,75.66,-4.78,89.87,-7.79,66.97,-2.28,74.78,1.10,61.44,-0.42,89.14,2.03,85.86,-0.30,93.99,1.79,116.09,-4.06,101.52,0.50,71.76,-1.90,43.93,-5.20,48.21,-4.59,34.43,-8.84,-,-,55.74,-2.88,-,-,59.85,-8.36,27.26,-8.40,33.56,-8.11,61.40,-0.21,-,-,-,-,-,-,-,-,-,-,340.38,3.94,423.73,6.23,-,-,-,-,238.01,8.44,-,-,-,-,-,-,-,-,-,-,347.63,-1.70,163.84,1.12,-,-,-,-,-,-,-,-,-,-,-,-,113.24,1.62,111.41,1.50,75.70,0.29,71.67,0.41,-,-,-,-,71.37,1.42,86.02,-1.12,71.98,1.31,95.84,0.07,53.33,4.63,64.84,0.53,77.67,0.12,-,-,-,-,-,-,94.60,1.75,63.80,20.76,105.43,0.92,62.53,1.15,79.10,0.71,95.77,-1.08
1983,82.90,-1.18,54.05,-0.09,56.37,1.15,56.36,-1.61,68.87,-4.94,66.21,2.81,40.13,15.72,46.80,0.71,-,-,94.13,0.77,81.24,-3.53,81.02,-3.42,80.06,-3.70,24.35,-3.98,41.77,2.48,46.93,-2.55,42.01,-5.04,48.48,1.74,41.81,8.12,27.60,-9.24,-,-,-,-,-,-,90.95,-0.62,66.62,-1.30,-,-,59.71,-5.85,62.57,3.13,-,-,48.03,-0.27,-,-,-,-,-,-,-,-,79.71,-0.65,68.11,-0.10,104.73,-1.19,54.29,0.00,72.93,0.23,58.59,2.06,76.40,-1.62,101.99,-0.02,87.15,2.35,81.95,2.90,-,-,-,-,122.04,-0.22,55.98,5.56,57.82,-1.26,65.39,0.66,62.98,-0.79,72.11,-1.61,60.07,1.52,63.07,-2.98,86.80,0.20,46.91,-5.17,52.19,-1.60,83.45,-2.37,47.67,-0.60,56.30,-1.85,61.79,-0.72,60.20,-3.01,82.88,-0.68,77.03,-1.05,86.50,-0.36,77.70,1.50,70.78,-3.16,97.84,0.92,75.65,1.01,76.72,1.40,87.31,-2.85,70.15,4.75,75.48,0.94,62.84,2.28,89.25,0.12,87.00,1.33,101.33,7.81,118.24,1.85,99.53,-1.96,73.56,2.51,43.66,-0.61,47.48,-1.51,34.26,-0.49,-,-,54.66,-1.94,-,-,63.46,6.03,28.15,3.26,33.41,-0.45,61.65,0.41,-,-,-,-,-,-,-,-,-,-,336.00,-1.29,423.84,0.03,-,-,-,-,317.36,33.34,-,-,-,-,-,-,-,-,-,-,348.74,0.32,161.74,-1.28,-,-,-,-,-,-,-,-,-,-,-,-,111.99,-1.10,110.94,-0.42,75.11,-0.78,71.13,-0.75,-,-,-,-,72.27,1.26,86.45,0.50,73.51,2.13,95.84,0.00,54.36,1.93,64.89,0.08,77.42,-0.32,-,-,-,-,-,-,92.40,-2.33,63.80,0.00,102.62,-2.67,62.53,0.00,78.99,-0.14,94.70,-1.12
1984,83.30,0.48,53.66,-0.72,57.11,1.31,59.22,5.07,71.87,4.36,70.14,5.94,32.62,-18.71,45.75,-2.24,-,-,99.09,5.27,73.60,-9.40,68.34,-15.65,81.44,1.72,26.08,7.10,42.06,0.69,49.01,4.43,44.80,6.64,48.91,0.89,40.50,-3.13,26.78,-2.97,-,-,-,-,-,-,91.79,0.92,66.67,0.08,-,-,61.34,2.73,63.54,1.55,-,-,50.14,4.39,-,-,-,-,-,-,-,-,79.02,-0.87,68.11,0.00,102.89,-1.76,54.29,0.00,76.99,5.57,63.19,7.85,78.94,3.32,105.46,3.40,89.88,3.13,85.39,4.20,-,-,-,-,119.86,-1.79,59.21,5.77,56.73,-1.89,71.25,8.96,67.67,7.45,77.32,7.23,66.79,11.19,65.04,3.12,91.16,5.02,46.23,-1.45,53.25,2.03,82.08,-1.64,47.42,-0.52,55.10,-2.13,62.24,0.73,65.22,8.34,82.46,-0.51,76.39,-0.83,84.83,-1.93,78.66,1.24,69.83,-1.34,98.50,0.67,76.83,1.56,75.69,-1.34,84.57,-3.14,70.13,-0.03,77.16,2.23,64.22,2.20,91.26,2.25,85.52,-1.70,98.34,-2.95,118.15,-0.08,97.33,-2.21,73.72,0.22,43.75,0.21,47.44,-0.08,35.61,3.94,-,-,53.55,-2.03,-,-,65.16,2.68,28.36,0.75,33.33,-0.24,62.44,1.28,-,-,-,-,-,-,-,-,-,-,329.17,-2.03,418.75,-1.20,-,-,-,-,338.07,6.53,-,-,-,-,-,-,-,-,-,-,342.83,-1.69,158.76,-1.84,-,-,-,-,-,-,-,-,-,-,-,-,111.71,-0.25,111.27,0.30,75.39,0.37,71.19,0.08,-,-,-,-,73.11,1.16,86.42,-0.03,73.63,0.16,95.84,0.00,56.49,3.92,64.80,-0.14,76.42,-1.29,-,-,-,-,-,-,91.81,-0.64,63.80,0.00,101.86,-0.74,62.52,-0.02,80.41,1.80,95.02,0.34
1985,81.13,-2.61,50.82,-5.29,55.36,-3.06,55.16,-6.86,68.82,-4.24,63.12,-10.01,35.39,8.49,49.69,8.61,-,-,92.23,-6.92,63.13,-14.23,56.75,-16.96,73.14,-10.19,22.53,-13.61,42.82,1.81,53.07,8.28,49.38,10.22,51.37,5.03,38.39,-5.21,26.62,-0.60,-,-,-,-,-,-,89.54,-2.45,62.88,-5.68,-,-,61.98,1.04,64.11,0.90,-,-,45.80,-8.66,-,-,-,-,-,-,-,-,79.00,-0.03,68.03,-0.12,102.96,0.07,54.29,0.00,72.13,-6.31,56.85,-10.03,76.81,-2.70,105.11,-0.33,91.24,1.51,86.85,1.71,-,-,-,-,120.42,0.47,56.01,-5.40,53.22,-6.19,67.65,-5.05,63.39,-6.32,63.24,-18.21,62.54,-6.36,64.71,-0.51,95.23,4.46,45.64,-1.28,50.59,-5.00,81.06,-1.24,44.36,-6.45,54.82,-0.51,58.24,-6.43,62.07,-4.83,81.44,-1.24,74.79,-2.09,83.61,-1.44,78.75,0.11,66.98,-4.08,100.04,1.56,76.36,-0.61,73.67,-2.67,81.91,-3.15,68.51,-2.31,77.03,-0.17,63.31,-1.42,91.80,0.59,83.91,-1.88,95.32,-3.07,118.16,0.01,95.15,-2.24,72.51,-1.64,42.16,-3.63,46.17,-2.68,34.66,-2.67,-,-,51.79,-3.29,-,-,60.92,-6.51,25.27,-10.90,30.61,-8.16,61.89,-0.88,-,-,-,-,-,-,-,-,-,-,326.75,-0.74,421.69,0.70,-,-,-,-,340.48,0.71,-,-,-,-,-,-,-,-,-,-,343.16,0.10,154.97,-2.39,-,-,-,-,-,-,-,-,-,-,-,-,111.53,-0.16,110.46,-0.73,75.55,0.21,71.04,-0.21,-,-,-,-,73.25,0.19,86.70,0.32,73.94,0.42,95.73,-0.11,57.08,1.04,64.28,-0.80,76.26,-0.21,-,-,-,-,-,-,90.26,-1.69,63.80,0.00,99.88,-1.94,62.61,0.14,78.34,-2.57,92.98,-2.15
1986,78.42,-3.34,52.81,3.92,53.83,-2.76,49.55,-10.17,66.84,-2.88,50.81,-19.50,42.09,18.93,51.24,3.12,-,-,89.52,-2.94,74.19,17.52,69.97,23.30,80.19,9.64,25.12,11.50,45.96,7.33,52.05,-1.92,47.35,-4.11,52.38,1.97,45.63,18.86,17.50,-34.26,-,-,-,-,-,-,87.83,-1.91,63.74,1.37,-,-,58.72,-5.26,65.90,2.79,-,-,44.09,-3.73,-,-,-,-,-,-,-,-,79.10,0.13,67.92,-0.16,103.40,0.43,54.29,0.00,74.41,3.16,58.70,3.25,79.44,3.42,104.40,-0.68,88.47,-3.04,84.89,-2.26,-,-,-,-,112.15,-6.87,58.32,4.12,52.48,-1.39,69.11,2.16,64.60,1.91,69.13,9.31,62.85,0.50,65.14,0.66,98.58,3.52,38.63,-15.36,47.49,-6.13,81.49,0.53,39.45,-11.07,53.14,-3.06,52.48,-9.89,61.20,-1.40,81.59,0.18,74.35,-0.59,85.86,2.69,78.91,0.20,64.55,-3.63,102.64,2.60,73.19,-4.15,72.32,-1.83,78.35,-4.35,68.47,-0.06,73.45,-4.65,60.24,-4.85,87.64,-4.53,83.92,0.01,93.26,-2.16,117.99,-0.14,94.93,-0.23,77.11,6.34,41.27,-2.11,45.05,-2.43,32.77,-5.45,-,-,51.00,-1.53,-,-,61.67,1.23,24.97,-1.19,29.03,-5.16,62.88,1.60,-,-,-,-,-,-,-,-,-,-,319.40,-2.25,409.40,-2.91,-,-,-,-,328.36,-3.56,-,-,-,-,-,-,-,-,-,-,341.10,-0.60,148.72,-4.03,-,-,-,-,-,-,-,-,-,-,-,-,110.57,-0.86,113.38,2.64,77.70,2.85,71.76,1.01,-,-,-,-,75.37,2.89,92.51,6.70,78.69,6.42,96.09,0.38,55.92,-2.03,65.38,1.71,74.68,-2.07,-,-,-,-,-,-,86.04,-4.68,63.80,0.00,95.19,-4.70,57.95,-7.44,77.71,-0.80,90.37,-2.81
1987,75.87,-3.25,51.49,-2.50,55.28,2.69,44.95,-9.28,65.59,-1.87,41.44,-18.44,42.63,1.28,70.99,38.54,-,-,80.07,-10.56,69.30,-6.59,68.13,-2.63,68.61,-14.44,26.51,5.53,41.89,-8.86,48.14,-7.51,43.22,-8.72,49.04,-6.38,41.18,-9.75,16.98,-2.97,-,-,-,-,-,-,84.99,-3.23,60.65,-4.85,-,-,42.59,-27.47,64.58,-2.00,-,-,42.06,-4.60,-,-,-,-,-,-,-,-,79.11,0.01,67.87,-0.07,103.53,0.13,54.29,0.00,74.55,0.19,59.18,0.82,79.53,0.11,100.47,-3.76,89.62,1.30,85.28,0.46,-,-,-,-,118.45,5.62,58.82,0.86,51.99,-0.93,72.72,5.22,68.02,5.29,78.68,13.81,65.89,4.84,66.53,2.13,103.91,5.41,34.85,-9.79,46.35,-2.40,81.52,0.04,37.35,-5.32,49.67,-6.53,53.27,1.51,60.35,-1.39,80.16,-1.75,72.68,-2.25,87.16,1.51,76.39,-3.19,61.61,-4.55,103.55,0.89,70.76,-3.32,69.61,-3.75,74.92,-4.38,66.41,-3.01,71.07,-3.24,58.86,-2.29,84.54,-3.54,82.27,-1.97,92.12,-1.22,119.14,0.97,90.04,-5.15,82.14,6.52,39.04,-5.40,42.47,-5.73,30.16,-7.96,-,-,48.56,-4.78,-,-,60.33,-2.17,23.68,-5.17,27.15,-6.48,61.84,-1.65,-,-,-,-,-,-,-,-,-,-,288.08,-9.81,355.99,-13.05,-,-,-,-,328.13,-0.07,-,-,-,-,-,-,-,-,-,-,303.59,-11.00,132.41,-10.97,-,-,-,-,-,-,-,-,-,-,-,-,107.16,-3.08,109.57,-3.36,77.22,-0.62,72.16,0.56,-,-,-,-,76.91,2.04,95.17,2.88,78.19,-0.64,95.48,-0.63,58.15,3.99,62.76,-4.01,70.26,-5.92,-,-,-,-,-,-,80.68,-6.23,63.80,0.00,88.55,-6.98,56.13,-3.14,74.20,-4.52,89.39,-1.08
1988,74.68,-1.57,50.05,-2.80,51.74,-6.40,46.59,3.65,69.49,5.95,41.54,0.24,43.52,2.09,52.20,-26.47,-,-,80.91,1.05,69.00,-0.43,67.96,-0.25,68.02,-0.86,28.91,9.05,41.52,-0.88,46.41,-3.59,43.36,0.32,45.47,-7.28,41.57,0.95,14.25,-16.08,-,-,-,-,-,-,84.56,-0.51,60.40,-0.41,-,-,38.18,-10.35,63.15,-2.21,-,-,41.56,-1.19,-,-,-,-,-,-,-,-,78.48,-0.80,67.64,-0.34,102.22,-1.27,54.29,0.00,69.76,-6.43,54.78,-7.43,74.24,-6.65,102.82,2.34,85.41,-4.70,80.13,-6.04,-,-,-,-,120.70,1.90,60.92,3.57,54.44,4.71,72.91,0.26,66.09,-2.84,75.73,-3.75,65.35,-0.82,63.31,-4.84,114.77,10.45,29.56,-15.18,49.79,7.42,83.47,2.39,42.67,14.24,47.37,-4.63,60.18,12.97,57.95,-3.98,78.68,-1.85,70.97,-2.35,85.20,-2.25,74.56,-2.40,60.12,-2.42,103.35,-0.19,71.89,1.60,71.39,2.56,75.19,0.36,69.81,5.12,72.07,1.41,59.59,1.24,85.78,1.47,81.55,-0.88,91.06,-1.15,123.46,3.63,88.35,-1.88,81.84,-0.37,41.83,7.15,44.18,4.03,31.83,5.54,-,-,50.69,4.39,-,-,72.21,19.69,27.30,15.29,32.91,21.22,61.41,-0.70,-,-,-,-,-,-,-,-,-,-,278.82,-3.21,338.54,-4.90,-,-,-,-,312.13,-4.88,-,-,-,-,-,-,-,-,-,-,290.71,-4.24,122.17,-7.73,-,-,-,-,-,-,-,-,-,-,-,-,102.06,-4.76,110.78,1.10,76.84,-0.49,72.87,0.98,-,-,-,-,81.15,5.51,94.01,-1.22,78.66,0.60,95.94,0.48,66.62,14.57,63.53,1.23,67.36,-4.13,-,-,-,-,-,-,69.72,-13.58,63.80,0.00,75.53,-14.70,49.12,-12.49,73.82,-0.51,89.13,-0.29
1989,74.40,-0.37,53.17,6.23,54.10,4.56,48.83,4.81,74.04,6.55,42.37,2.00,48.40,11.21,55.04,5.44,-,-,80.47,-0.54,78.03,13.09,76.45,12.49,77.81,14.39,28.82,-0.31,42.77,3.01,45.66,-1.62,41.44,-4.43,46.03,1.23,44.06,5.99,14.69,3.09,-,-,-,-,-,-,83.59,-1.15,61.78,2.28,-,-,36.43,-4.58,64.06,1.44,-,-,42.20,1.54,-,-,-,-,-,-,-,-,78.41,-0.09,67.60,-0.06,102.07,-0.15,54.29,0.00,67.24,-3.61,52.38,-4.38,72.16,-2.80,99.49,-3.24,83.04,-2.77,77.60,-3.16,-,-,-,-,119.40,-1.08,60.33,-0.97,54.81,0.68,74.50,2.18,67.43,2.03,72.03,-4.89,66.97,2.48,66.37,4.83,117.50,2.38,27.45,-7.14,47.22,-5.16,83.48,0.01,40.49,-5.11,46.50,-1.84,51.34,-14.69,60.57,4.52,77.88,-1.02,70.06,-1.28,84.42,-0.92,74.27,-0.39,58.75,-2.28,103.76,0.40,70.65,-1.72,69.84,-2.17,74.75,-0.59,67.06,-3.94,70.89,-1.64,59.41,-0.30,84.00,-2.08,84.10,3.13,89.10,-2.15,131.49,6.50,90.99,2.99,86.55,5.76,43.70,4.47,45.23,2.38,33.54,5.37,-,-,51.33,1.26,-,-,71.98,-0.32,31.55,15.57,39.53,20.12,62.99,2.57,-,-,-,-,-,-,-,-,-,-,269.66,-3.29,310.40,-8.31,-,-,-,-,326.99,4.76,-,-,-,-,-,-,-,-,-,-,271.86,-6.48,113.31,-7.25,-,-,-,-,-,-,-,-,-,-,-,-,99.26,-2.74,109.78,-0.90,77.70,1.12,74.91,2.80,-,-,-,-,81.08,-0.09,91.76,-2.39,77.89,-0.98,95.87,-0.07,67.85,1.85,66.36,4.45,63.92,-5.11,-,-,-,-,-,-,70.51,1.13,63.80,0.00,76.92,1.84,46.96,-4.40,72.91,-1.23,88.18,-1.07
1990,73.96,-0.59,50.04,-5.89,56.20,3.88,48.88,0.10,75.35,1.77,41.27,-2.60,57.47,18.74,58.38,6.07,-,-,79.47,-1.24,58.99,-24.40,57.18,-25.21,60.25,-22.57,28.05,-2.67,41.97,-1.87,40.97,-10.27,41.16,-0.68,37.06,-19.49,45.46,3.18,17.41,18.52,-,-,-,-,-,-,83.04,-0.66,60.04,-2.82,-,-,38.23,4.94,64.45,0.61,-,-,41.45,-1.78,-,-,-,-,-,-,-,-,78.16,-0.32,67.49,-0.16,101.61,-0.45,54.29,0.00,68.03,1.17,52.46,0.15,73.74,2.19,101.60,2.12,85.49,2.95,80.13,3.26,-,-,-,-,121.32,1.61,63.29,4.91,57.66,5.20,72.96,-2.07,64.98,-3.63,64.88,-9.93,63.90,-4.58,66.59,0.33,120.89,2.89,29.48,7.40,43.06,-8.81,85.89,2.89,35.30,-12.82,45.27,-2.65,48.28,-5.96,54.14,-10.62,78.71,1.07,70.45,0.56,84.59,0.20,74.65,0.51,59.29,0.92,106.31,2.46,70.63,-0.03,69.59,-0.36,75.10,0.47,66.17,-1.33,70.92,0.04,57.57,-3.10,84.90,1.07,83.78,-0.38,87.14,-2.20,134.15,2.02,91.38,0.43,82.85,-4.27,41.14,-5.86,43.45,-3.94,32.81,-2.18,-,-,48.74,-5.05,-,-,62.09,-13.74,28.74,-8.91,34.86,-11.81,62.91,-0.13,-,-,-,-,-,-,-,-,-,-,271.60,0.72,321.29,3.51,-,-,-,-,324.48,-0.77,-,-,-,-,-,-,-,-,-,-,272.68,0.30,111.90,-1.24,-,-,-,-,-,-,-,-,-,-,-,-,98.26,-1.01,109.05,-0.66,79.70,2.57,77.71,3.74,-,-,-,-,81.61,0.65,86.09,-6.18,77.82,-0.09,94.49,-1.44,71.55,5.45,69.30,4.43,64.70,1.22,-,-,-,-,-,-,70.49,-0.03,63.80,0.00,76.81,-0.14,47.41,0.96,71.60,-1.80,89.02,0.95
