期間,發行部門-保險公司及退休基金_原始值,發行部門-保險公司及退休基金_年增率(%),發行部門-其他金融機構_原始值,發行部門-其他金融機構_年增率(%),發行部門-公營事業_原始值,發行部門-公營事業_年增率(%),發行部門-民營企業_原始值,發行部門-民營企業_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2000,-,...,"239,231",...,"40,439",...,"986,809",...,"566,174",...,"153,155",...,"405,655",...,"36,412",...,"63,822",...,"37,994",...,"3,266",...
2001,-,--,"165,460",-30.84,"76,622",89.48,"868,608",-11.98,"567,659",0.26,"88,016",-42.53,"370,397",-8.69,"6,499",-82.15,"44,203",-30.74,"33,321",-12.30,595,-81.78
2002,-,--,"187,648",13.41,"44,692",-41.67,"645,616",-25.67,"331,977",-41.52,"127,459",44.81,"332,668",-10.19,"11,985",84.41,"47,528",7.52,"26,339",-20.95,-,--
2003,-,--,"208,949",11.35,"19,056",-57.36,"587,623",-8.98,"259,165",-21.93,"152,233",19.44,"296,657",-10.83,"15,922",32.85,"67,183",41.35,"24,469",-7.10,-,--
2004,-,--,"231,747",10.91,"15,091",-20.81,"536,330",-8.73,"180,667",-30.29,"186,362",22.42,"280,864",-5.32,"27,376",71.94,"84,116",25.20,"23,495",-3.98,289,--
2005,-,--,"297,432",28.34,"14,493",-3.96,"442,707",-17.46,"147,384",-18.42,"176,443",-5.32,"310,788",10.65,313,-98.86,"96,786",15.06,"22,639",-3.64,279,-3.46
2006,-,--,"239,807",-19.37,"12,558",-13.35,"473,279",6.91,"168,223",14.14,"156,527",-11.29,"269,051",-13.43,"1,224",290.67,"108,392",11.99,"21,769",-3.84,457,63.80
2007,78,--,"247,259",3.11,"9,914",-21.05,"415,958",-12.11,"118,518",-29.55,"152,451",-2.60,"281,488",4.62,-,--,"98,742",-8.90,"20,196",-7.23,"1,813",296.72
2008,-,--,"159,799",-35.37,"147,721","1,390.02","387,639",-6.81,"169,443",42.97,"172,892",13.41,"262,810",-6.64,634,--,"68,325",-30.81,"20,855",3.26,200,-88.97
2009,-,--,"156,380",-2.14,"149,865",1.45,"349,936",-9.73,"102,882",-39.28,"177,349",2.58,"311,733",18.62,-,--,"44,533",-34.82,"19,685",-5.61,-,--
2010,-,--,"232,761",48.84,"93,093",-37.88,"366,425",4.71,"90,506",-12.03,"259,824",46.50,"277,735",-10.91,-,--,"43,445",-2.44,"20,768",5.50,-,--
2011,-,--,"178,719",-23.22,"130,439",40.12,"431,693",17.81,"132,370",46.26,"273,772",5.37,"255,160",-8.13,-,--,"57,325",31.95,"22,226",7.02,-,--
2012,-,--,"218,002",21.98,"323,441",147.96,"486,432",12.68,"400,542",202.59,"231,727",-15.36,"302,788",18.67,-,--,"61,982",8.12,"30,836",38.74,-,--
