期間,總指數_原始值,總指數_年增率(%),總指數(不含土石採取業)_原始值,總指數(不含土石採取業)_年增率(%),總指數(不含建築工程業)_原始值,總指數(不含建築工程業)_年增率(%),總指數(不含土石採取及建築工程業)_原始值,總指數(不含土石採取及建築工程業)_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),金屬機械工業_原始值,金屬機械工業_年增率(%),資訊電子工業_原始值,資訊電子工業_年增率(%),化學工業_原始值,化學工業_年增率(%),民生工業_原始值,民生工業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應業_原始值,用水供應業_年增率(%),建築工程業_原始值,建築工程業_年增率(%)
1986,...,...,31.03,14.00,...,...,29.93,14.72,...,...,29.74,15.27,34.78,16.91,7.23,26.84,41.74,15.46,128.60,9.58,29.56,11.93,46.17,5.70,99.62,-9.40
1987,...,...,34.32,10.60,...,...,33.21,10.96,...,...,33.03,11.06,39.47,13.48,8.92,23.37,45.57,9.18,136.29,5.98,32.81,10.99,49.81,7.88,96.59,-3.04
1988,...,...,35.78,4.25,...,...,34.53,3.97,...,...,34.23,3.63,42.90,8.69,9.78,9.64,47.78,4.85,130.55,-4.21,35.73,8.90,53.92,8.25,114.51,18.55
1989,...,...,37.13,3.77,...,...,35.79,3.65,...,...,35.47,3.62,46.48,8.34,10.19,4.19,49.34,3.26,130.44,-0.08,36.87,3.19,57.78,7.16,121.82,6.38
1990,...,...,37.05,-0.22,...,...,35.69,-0.28,...,...,35.22,-0.70,47.31,1.79,10.46,2.65,48.70,-1.30,125.49,-3.79,39.45,7.00,61.08,5.71,122.58,0.62
1991,...,...,39.79,7.40,...,...,38.38,7.54,...,...,37.82,7.38,52.44,10.84,11.50,9.94,51.33,5.40,131.67,4.92,43.02,9.05,64.41,5.45,126.89,3.52
1992,...,...,41.55,4.42,...,...,39.93,4.04,...,...,39.29,3.89,56.52,7.78,12.05,4.78,53.27,3.78,131.40,-0.21,45.24,5.16,68.55,6.43,148.65,17.15
1993,...,...,43.15,3.85,...,...,41.14,3.03,...,...,40.28,2.52,57.90,2.44,13.23,9.79,54.53,2.37,127.13,-3.25,49.14,8.62,73.57,7.32,190.57,28.20
1994,...,...,46.00,6.60,...,...,43.56,5.88,...,...,42.59,5.73,60.75,4.92,14.75,11.49,57.70,5.81,129.92,2.19,53.19,8.24,76.66,4.20,236.12,23.90
1995,...,...,48.20,4.78,...,...,45.88,5.33,...,...,44.83,5.26,63.29,4.18,17.05,15.59,59.44,3.02,127.94,-1.52,56.83,6.84,78.29,2.13,226.32,-4.15
1996,49.19,...,49.08,1.83,47.31,...,47.19,2.86,182.06,...,46.03,2.68,64.63,2.12,17.98,5.45,62.00,4.31,125.59,-1.84,64.15,12.88,78.01,-0.36,186.80,-17.46
1997,52.22,6.16,52.09,6.13,50.68,7.12,50.55,7.12,181.97,-0.05,49.36,7.23,70.91,9.72,20.44,13.68,64.76,4.45,124.62,-0.77,68.25,6.39,80.02,2.58,156.62,-16.16
1998,54.00,3.41,53.85,3.38,52.45,3.49,52.30,3.46,170.80,-6.14,50.93,3.18,70.89,-0.03,22.94,12.23,65.16,0.62,121.66,-2.38,73.80,8.13,84.37,5.44,157.48,0.55
1999,57.97,7.35,57.83,7.39,56.32,7.38,56.19,7.44,157.10,-8.02,54.89,7.78,73.04,3.03,26.83,16.96,69.47,6.61,122.41,0.62,76.21,3.27,87.94,4.23,167.89,6.61
2000,61.86,6.71,61.73,6.74,60.68,7.74,60.55,7.76,143.83,-8.45,59.20,7.85,74.99,2.67,32.30,20.39,72.18,3.90,123.64,1.00,81.22,6.57,100.25,14.00,143.29,-14.65
2001,56.66,-8.41,56.55,-8.39,55.64,-8.31,55.53,-8.29,144.90,0.74,53.86,-9.02,64.72,-13.70,27.76,-14.06,73.86,2.33,113.18,-8.46,81.82,0.74,102.46,2.20,127.26,-11.19
2002,60.88,7.45,60.76,7.44,60.37,8.50,60.25,8.50,157.15,8.45,58.67,8.93,70.45,8.85,32.48,17.00,80.06,8.39,108.92,-3.76,85.72,4.77,97.12,-5.21,100.97,-20.66
2003,66.42,9.10,66.30,9.12,65.86,9.09,65.74,9.11,145.97,-7.11,64.27,9.54,74.77,6.13,38.16,17.49,87.70,9.54,107.25,-1.53,89.39,4.28,99.23,2.17,110.07,9.01
2004,72.59,9.29,72.48,9.32,72.06,9.41,71.95,9.45,140.32,-3.87,70.68,9.97,92.85,24.18,37.66,-1.31,96.52,10.06,107.08,-0.16,92.38,3.34,98.95,-0.28,115.33,4.78
2005,75.00,3.32,74.90,3.34,74.31,3.12,74.21,3.14,127.09,-9.43,72.94,3.20,91.37,-1.59,44.21,17.39,96.14,-0.39,103.67,-3.18,96.29,4.23,99.48,0.54,128.46,11.38
2006,78.60,4.80,78.50,4.81,77.64,4.48,77.54,4.49,120.75,-4.99,76.30,4.61,92.55,1.29,51.36,16.17,95.62,-0.54,101.59,-2.01,98.69,2.49,102.31,2.84,140.05,9.02
2007,84.70,7.76,84.67,7.86,83.85,8.00,83.82,8.10,100.25,-16.98,82.66,8.34,94.10,1.67,61.71,20.15,102.04,6.71,100.82,-0.76,101.59,2.94,102.59,0.27,139.37,-0.49
2008,83.73,-1.15,83.70,-1.15,83.07,-0.93,83.04,-0.93,95.68,-4.56,81.92,-0.90,88.42,-6.04,67.06,8.67,95.71,-6.20,95.37,-5.41,99.64,-1.92,100.76,-1.78,126.46,-9.26
2009,77.11,-7.91,77.09,-7.90,76.73,-7.63,76.70,-7.63,87.63,-8.41,75.53,-7.80,72.09,-18.47,63.89,-4.73,96.07,0.38,89.31,-6.35,96.98,-2.67,98.47,-2.27,102.33,-19.08
2010,95.75,24.17,95.69,24.13,95.80,24.85,95.74,24.82,107.67,22.87,95.52,26.47,94.18,30.64,90.89,42.26,104.54,8.82,99.09,10.95,99.38,2.47,99.80,1.35,92.95,-9.17
2011,100.00,4.44,100.00,4.50,100.00,4.38,100.00,4.45,100.00,-7.12,100.00,4.69,100.00,6.18,100.00,10.02,100.00,-4.34,100.00,0.92,100.00,0.62,100.00,0.20,100.00,7.58
2012,99.75,-0.25,99.77,-0.23,99.64,-0.36,99.65,-0.35,97.27,-2.73,99.68,-0.32,95.91,-4.09,101.20,1.20,101.66,1.66,99.58,-0.42,99.18,-0.82,99.40,-0.60,107.12,7.12
2013,100.50,0.75,...,...,...,...,...,...,92.44,-4.97,100.34,0.66,95.36,-0.57,103.20,1.98,101.63,-0.03,99.60,0.02,101.29,2.13,99.96,0.56,110.99,3.61
