期間,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_年增率(%),美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_年增率(%),遠期信用狀美金利率(年息)(年息百分比率)_原始值,遠期信用狀美金利率(年息)(年息百分比率)_年增率(%)
2000M05,30.75,-0.52,30.85,-0.52,30.813,-0.571,30.738,-0.807,10.00,...
2000M06,30.75,0.00,30.85,0.00,30.794,0.062,30.808,-0.227,10.00,...
2000M07,31.02,-0.87,31.12,-0.87,31.067,-0.879,30.942,-0.433,10.00,...
2000M08,31.02,0.00,31.12,0.00,31.070,-0.010,31.080,-0.444,10.00,...
2000M09,31.27,-0.80,31.37,-0.80,31.316,-0.786,31.193,-0.362,9.90,...
2000M10,32.29,-3.16,32.39,-3.15,32.357,-3.217,31.829,-1.998,9.85,...
2000M11,33.08,-2.39,33.18,-2.38,33.046,-2.085,32.424,-1.835,9.85,...
2000M12,32.96,0.36,33.06,0.36,32.992,0.164,33.084,-1.995,9.70,...
2001M01,32.31,2.01,32.41,2.01,32.397,1.837,32.689,1.208,9.10,...
2001M02,32.30,0.03,32.40,0.03,32.343,0.167,32.320,1.142,8.95,...
2001M03,32.78,-1.46,32.88,-1.46,32.837,-1.504,32.587,-0.819,8.45,...
2001M04,32.85,-0.21,32.95,-0.21,32.918,-0.246,32.919,-1.009,8.05,...
2001M05,33.90,-3.10,34.00,-3.09,33.965,-3.083,33.251,-0.998,7.60,...
2001M06,34.38,-1.40,34.48,-1.39,34.435,-1.365,34.271,-2.976,7.40,...
2001M07,34.69,-0.89,34.79,-0.89,34.759,-0.932,34.779,-1.461,7.40,...
2001M08,34.49,0.58,34.59,0.58,34.554,0.593,34.615,0.474,7.20,...
2001M09,34.48,0.03,34.58,0.03,34.549,0.014,34.587,0.081,6.80,...
2001M10,34.48,0.00,34.58,0.00,34.525,0.070,34.549,0.110,6.40,...
2001M11,34.41,0.20,34.51,0.20,34.466,0.171,34.496,0.154,6.00,...
2001M12,34.94,-1.52,35.04,-1.51,34.999,-1.523,34.695,-0.574,5.80,...
2002M01,34.91,0.09,35.01,0.09,34.980,0.054,35.022,-0.934,5.80,...
2002M02,35.07,-0.46,35.17,-0.45,35.112,-0.376,35.066,-0.125,5.80,...
2002M03,34.95,0.34,35.05,0.34,35.000,0.320,35.018,0.137,5.80,...
2002M04,34.67,0.81,34.77,0.81,34.717,0.815,34.913,0.301,5.80,...
2002M05,34.09,1.70,34.19,1.70,34.145,1.675,34.459,1.318,5.80,...
2002M06,33.50,1.76,33.60,1.76,33.558,1.749,33.988,1.386,5.80,...
2002M07,33.73,-0.68,33.83,-0.68,33.758,-0.592,33.404,1.748,5.80,...
2002M08,34.19,-1.35,34.29,-1.34,34.247,-1.428,33.979,-1.692,5.75,...
2002M09,34.89,-2.01,34.99,-2.00,34.918,-1.922,34.589,-1.764,5.75,...
2002M10,34.72,0.49,34.82,0.49,34.761,0.452,34.951,-1.036,5.75,...
2002M11,34.77,-0.14,34.87,-0.14,34.812,-0.147,34.710,0.694,5.30,...
2002M12,34.71,0.17,34.81,0.17,34.753,0.170,34.848,-0.396,5.30,...
2003M01,34.65,0.17,34.75,0.17,34.703,0.144,34.607,0.696,5.30,...
2003M02,34.70,-0.14,34.80,-0.14,34.746,-0.124,34.787,-0.517,5.30,...
2003M03,34.70,0.00,34.80,0.00,34.750,-0.012,34.723,0.184,5.30,...
2003M04,34.79,-0.26,34.89,-0.26,34.849,-0.284,34.824,-0.290,5.30,...
2003M05,34.66,0.38,34.76,0.37,34.712,0.395,34.716,0.311,5.30,...
2003M06,34.56,0.29,34.66,0.29,34.612,0.289,34.623,0.269,5.05,...
2003M07,34.36,0.58,34.46,0.58,34.417,0.567,34.416,0.601,5.05,...
2003M08,34.11,0.73,34.21,0.73,34.170,0.723,34.335,0.236,5.05,...
2003M09,33.71,1.19,33.81,1.18,33.780,1.155,33.996,0.997,5.05,...
2003M10,33.91,-0.59,34.01,-0.59,33.980,-0.589,33.896,0.295,5.05,...
2003M11,34.14,-0.67,34.24,-0.67,34.208,-0.667,34.050,-0.452,5.05,...
2003M12,33.92,0.65,34.02,0.65,33.978,0.677,34.058,-0.023,5.05,...
2004M01,33.33,1.77,33.43,1.76,33.390,1.761,33.687,1.101,5.05,...
2004M02,33.31,0.06,33.41,0.06,33.365,0.075,33.227,1.384,5.05,...
2004M03,32.96,1.06,33.06,1.06,33.020,1.045,33.306,-0.237,5.05,...
2004M04,33.31,-1.05,33.41,-1.05,33.369,-1.046,33.006,0.909,5.05,...
2004M05,33.34,-0.09,33.44,-0.09,33.389,-0.060,33.504,-1.486,5.05,...
2004M06,33.72,-1.13,33.82,-1.12,33.775,-1.143,33.643,-0.413,5.05,...
2004M07,34.14,-1.23,34.24,-1.23,34.136,-1.058,33.891,-0.732,5.30,...
2004M08,34.00,0.41,34.10,0.41,34.053,0.244,34.119,-0.668,5.55,...
2004M09,33.93,0.21,34.03,0.21,33.984,0.203,33.920,0.587,5.80,...
2004M10,33.37,1.68,33.47,1.67,33.435,1.642,33.808,0.331,5.80,...
2004M11,32.14,3.83,32.24,3.82,32.205,3.819,32.774,3.155,6.05,...
2004M12,31.68,1.45,31.78,1.45,31.917,0.902,32.226,1.700,6.30,...
2005M01,31.72,-0.13,31.82,-0.13,31.790,0.399,31.939,0.899,6.30,...
2005M02,31.13,1.90,31.23,1.89,31.175,1.973,31.516,1.342,6.55,...
2005M03,31.47,-1.08,31.57,-1.08,31.530,-1.126,31.164,1.130,6.80,...
2005M04,31.21,0.83,31.31,0.83,31.279,0.802,31.523,-1.139,6.80,...
2005M05,31.30,-0.29,31.40,-0.29,31.363,-0.268,31.303,0.703,7.05,...
2005M06,31.57,-0.86,31.67,-0.85,31.618,-0.807,31.371,-0.217,7.05,...
2005M07,31.88,-0.97,32.01,-1.06,31.996,-1.181,31.921,-1.723,7.30,...
2005M08,32.70,-2.51,32.80,-2.41,32.751,-2.305,32.111,-0.592,7.55,...
2005M09,33.14,-1.33,33.24,-1.32,33.188,-1.317,32.924,-2.469,7.80,...
2005M10,33.50,-1.07,33.60,-1.07,33.551,-1.082,33.491,-1.693,7.80,...
2005M11,33.46,0.12,33.56,0.12,33.516,0.104,33.580,-0.265,8.05,...
2005M12,32.78,2.07,32.88,2.07,32.850,2.027,33.299,0.844,8.30,...
2006M01,31.93,2.66,32.03,2.65,31.985,2.704,32.107,3.713,8.30,...
2006M02,32.40,-1.45,32.50,-1.45,32.455,-1.448,32.371,-0.816,8.55,...
2006M03,32.41,-0.03,32.51,-0.03,32.460,-0.015,32.489,-0.363,8.80,...
2006M04,31.86,1.73,31.96,1.72,31.913,1.714,32.311,0.551,8.80,...
2006M05,31.97,-0.34,32.07,-0.34,32.019,-0.331,31.762,1.728,8.80,...
2006M06,32.31,-1.05,32.41,-1.05,32.399,-1.173,32.480,-2.211,9.05,...
2006M07,32.71,-1.22,32.81,-1.22,32.756,-1.090,32.632,-0.466,9.30,...
2006M08,32.86,-0.46,32.96,-0.46,32.906,-0.456,32.790,-0.482,9.20,...
2006M09,33.05,-0.57,33.15,-0.57,33.098,-0.580,32.907,-0.356,9.10,-14.29
2006M10,33.21,-0.48,33.31,-0.48,33.260,-0.487,33.206,-0.900,9.10,-14.29
2006M11,32.37,2.59,32.47,2.59,32.432,2.553,32.824,1.164,9.10,-11.54
2006M12,32.55,-0.55,32.65,-0.55,32.596,-0.503,32.523,0.925,9.10,-8.79
2007M01,32.90,-1.06,33.00,-1.06,32.949,-1.071,32.768,-0.748,9.10,-8.79
2007M02,32.90,0.00,33.00,0.00,32.950,-0.003,32.969,-0.610,9.10,-6.04
2007M03,33.04,-0.42,33.14,-0.42,33.089,-0.420,33.012,-0.130,9.10,-3.30
2007M04,33.23,-0.57,33.33,-0.57,33.276,-0.562,33.145,-0.401,9.10,-3.30
2007M05,32.97,0.79,33.07,0.79,33.019,0.778,33.260,-0.346,9.10,-3.30
2007M06,32.69,0.86,32.79,0.85,32.735,0.868,32.932,0.996,9.10,-0.55
2007M07,32.76,-0.21,32.86,-0.21,32.805,-0.213,32.789,0.436,9.10,2.20
2007M08,32.95,-0.58,33.05,-0.57,32.996,-0.579,32.952,-0.495,9.10,1.10
2007M09,32.54,1.26,32.64,1.26,32.580,1.277,32.984,-0.097,8.90,2.25
2007M10,32.36,0.56,32.46,0.55,32.410,0.525,32.552,1.327,8.90,2.25
2007M11,32.22,0.43,32.32,0.43,32.268,0.440,32.332,0.680,8.65,5.20
2007M12,32.39,-0.52,32.49,-0.52,32.443,-0.539,32.417,-0.262,8.40,8.33
2008M01,32.15,0.75,32.25,0.74,32.198,0.761,32.368,0.151,7.45,22.15
2008M02,30.90,4.05,31.00,4.03,30.950,4.032,31.614,2.385,7.50,21.33
2008M03,30.36,1.78,30.46,1.77,30.405,1.792,30.604,3.300,6.80,33.82
2008M04,30.40,-0.13,30.50,-0.13,30.449,-0.145,30.350,0.837,7.00,30.00
2008M05,30.36,0.13,30.46,0.13,30.413,0.118,30.602,-0.823,6.85,32.85
2008M06,30.30,0.20,30.40,0.20,30.354,0.194,30.366,0.777,7.05,29.08
2008M07,30.54,-0.79,30.64,-0.78,30.590,-0.771,30.407,-0.135,7.05,29.08
2008M08,31.47,-2.96,31.57,-2.95,31.520,-2.951,31.191,-2.514,7.05,29.08
2008M09,32.08,-1.90,32.18,-1.90,32.130,-1.899,31.957,-2.397,7.05,26.24
2008M10,32.95,-2.64,33.05,-2.63,33.000,-2.636,32.689,-2.239,7.75,14.84
2008M11,33.25,-0.90,33.35,-0.90,33.295,-0.886,33.116,-1.289,7.25,19.31
2008M12,32.81,1.34,32.91,1.34,32.860,1.324,33.146,-0.091,6.50,29.23
2009M01,33.75,-2.79,33.85,-2.78,33.801,-2.784,33.330,-0.552,6.25,19.20
2009M02,34.90,-3.30,35.00,-3.29,34.950,-3.288,34.277,-2.763,6.25,20.00
2009M03,33.87,3.04,33.97,3.03,33.917,3.046,34.340,-0.183,6.25,8.80
2009M04,33.18,2.08,33.28,2.07,33.233,2.058,33.695,1.914,6.10,14.75
2009M05,32.60,1.78,32.70,1.77,32.650,1.786,32.907,2.395,6.10,12.30
2009M06,32.77,-0.52,32.87,-0.52,32.818,-0.512,32.792,0.351,6.10,15.57
2009M07,32.77,0.00,32.87,0.00,32.818,0.000,32.920,-0.389,6.10,15.57
2009M08,32.87,-0.30,32.97,-0.30,32.923,-0.319,32.883,0.113,6.10,15.57
2009M09,32.15,2.24,32.25,2.23,32.200,2.245,32.588,0.905,6.10,15.57
2009M10,32.49,-1.05,32.59,-1.04,32.535,-1.030,32.330,0.798,6.10,27.05
2009M11,32.14,1.09,32.24,1.09,32.185,1.087,32.337,-0.022,6.10,18.85
2009M12,31.98,0.50,32.08,0.50,32.030,0.484,32.279,0.180,6.10,6.56
2010M01,31.94,0.13,32.04,0.12,31.990,0.125,31.896,1.201,6.10,2.46
2010M02,32.04,-0.31,32.14,-0.31,32.085,-0.296,32.094,-0.617,6.10,2.46
2010M03,31.77,0.85,31.87,0.85,31.819,0.836,31.877,0.681,6.10,2.46
2010M04,31.37,1.28,31.47,1.27,31.418,1.276,31.519,1.136,6.10,0.00
2010M05,32.18,-2.52,32.28,-2.51,32.225,-2.504,31.962,-1.386,6.10,0.00
2010M06,32.22,-0.12,32.32,-0.12,32.278,-0.164,32.307,-1.068,6.20,-1.61
2010M07,32.00,0.69,32.10,0.69,32.050,0.711,32.173,0.416,6.20,-1.61
2010M08,32.05,-0.16,32.15,-0.16,32.102,-0.162,31.948,0.704,6.20,-1.61
2010M09,31.28,2.46,31.38,2.45,31.330,2.464,31.778,0.535,6.20,-1.61
2010M10,30.73,1.79,30.83,1.78,30.782,1.780,30.960,2.642,6.20,-1.61
2010M11,30.80,-0.23,30.90,-0.23,30.850,-0.220,30.706,0.827,6.20,-1.61
2010M12,30.32,1.58,30.42,1.58,30.368,1.587,30.549,0.514,6.20,-1.61
2011M01,28.99,4.59,29.09,4.57,29.300,3.645,29.613,3.161,6.20,-1.61
2011M02,29.70,-2.39,29.80,-2.38,29.754,-1.526,29.394,0.745,6.20,-1.61
2011M03,29.35,1.19,29.45,1.19,29.418,1.142,29.529,-0.457,6.20,-1.61
2011M04,28.56,2.77,28.66,2.76,28.762,2.281,29.009,1.793,6.20,-1.61
2011M05,28.61,-0.17,28.71,-0.17,28.772,-0.035,28.814,0.677,6.20,-1.61
2011M06,28.66,-0.17,28.76,-0.17,28.802,-0.104,28.873,-0.204,6.20,...
2011M07,28.77,-0.38,28.87,-0.38,28.890,-0.305,28.859,0.049,6.20,...
2011M08,28.96,-0.66,29.06,-0.65,29.020,-0.448,28.998,-0.479,6.20,...
2011M09,30.42,-4.80,30.52,-4.78,30.506,-4.871,29.745,-2.511,6.20,...
2011M10,29.86,1.88,29.96,1.87,29.930,1.924,30.279,-1.764,6.20,...
2011M11,30.27,-1.35,30.37,-1.35,30.345,-1.368,30.242,0.122,6.20,...
2011M12,30.22,0.17,30.32,0.16,30.290,0.182,30.272,-0.099,6.20,...
2012M01,29.54,2.30,29.64,2.29,29.620,2.262,30.061,0.702,6.20,...
2012M02,29.33,0.72,29.43,0.71,29.420,0.680,29.563,1.685,6.20,...
2012M03,29.45,-0.41,29.55,-0.41,29.530,-0.373,29.546,0.058,6.20,...
2012M04,29.09,1.24,29.19,1.23,29.232,1.019,29.504,0.142,6.20,...
2012M05,29.79,-2.35,29.89,-2.34,29.860,-2.103,29.523,-0.064,6.20,...
2012M06,29.82,-0.10,29.92,-0.10,29.900,-0.134,29.948,-1.419,6.20,...
2012M07,29.93,-0.37,30.03,-0.37,30.010,-0.367,30.007,-0.197,6.20,...
2012M08,29.88,0.17,29.98,0.17,29.966,0.147,29.988,0.063,6.20,...
2012M09,29.24,2.19,29.34,2.18,29.342,2.127,29.608,1.283,6.20,...
2012M10,29.16,0.27,29.26,0.27,29.260,0.280,29.335,0.931,6.20,...
2012M11,29.00,0.55,29.10,0.55,29.116,0.495,29.185,0.514,6.20,...
2012M12,28.98,0.07,29.08,0.07,29.136,-0.069,29.119,0.227,6.20,...
2013M01,29.48,-1.70,29.58,-1.69,29.582,-1.508,29.184,-0.223,6.20,...
2013M02,29.61,-0.44,29.71,-0.44,29.705,-0.414,29.665,-1.621,6.20,...
2013M03,29.77,-0.54,29.87,-0.54,29.875,-0.569,29.798,-0.446,6.20,...
2013M04,29.48,0.98,29.58,0.98,29.616,0.875,29.880,-0.274,6.20,...
2013M05,29.87,-1.31,29.97,-1.30,30.060,-1.477,29.888,-0.027,6.20,...
2013M06,29.93,-0.20,30.03,-0.20,30.120,-0.199,30.089,-0.668,6.20,...
2013M07,29.92,0.03,30.02,0.03,30.120,0.000,30.041,0.160,6.20,...
2013M08,29.87,0.17,29.97,0.17,29.983,0.457,30.029,0.040,6.20,...
2013M09,29.52,1.19,29.62,1.18,29.670,1.055,29.782,0.829,6.20,...
2013M10,29.34,0.61,29.44,0.61,29.455,0.730,29.492,0.983,6.20,...
2013M11,29.54,-0.68,29.64,-0.67,29.679,-0.755,29.589,-0.328,6.20,...
2013M12,29.72,-0.61,29.82,-0.60,29.950,-0.905,29.813,-0.751,6.20,...
2014M01,30.24,-1.72,30.34,-1.71,30.376,-1.402,30.264,-1.490,6.20,...
2014M02,30.25,-0.03,30.35,-0.03,30.355,0.069,30.377,-0.372,6.20,...
2014M03,30.42,-0.56,30.52,-0.56,30.510,-0.508,30.446,-0.227,6.20,...
2014M04,30.13,0.96,30.23,0.96,30.258,0.833,30.268,0.588,6.20,...
2014M05,29.94,0.63,30.04,0.63,30.050,0.692,30.177,0.302,6.20,...
2014M06,29.81,0.44,29.91,0.43,29.915,0.451,30.043,0.446,6.20,...
2014M07,29.93,-0.40,30.03,-0.40,30.040,-0.416,30.000,0.143,6.20,...
