期間,當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%)
1961,"71,389",11.96,-83,--,"71,306",11.87,"3,987",15.97,-,--,"67,319",11.64,-,-,"8,774",--,"58,545",11.89,"67,319",11.64,"3,937",--,"71,256",12.19,"62,301",11.70,"8,955",15.76,"12,942",15.82,18.15,--,"436,985",6.32,-523,--,"436,462",6.24,"11,366",15.64,-,--,"425,096",6.01,"11,237",-,"44,344",--,"391,989",6.81,"436,333",6.42,"24,813",--,"461,146",6.79,"412,856",7.10,"48,290",4.22,"59,656",6.22,13.67,--,16.34,5.35,--,--,16.34,5.35,35.08,0.29,--,--,15.84,5.32,-,-,19.79,--,14.94,4.77,15.43,4.89,--,--,15.45,5.03,15.09,4.28,18.54,11.02,21.69,8.99,--,--
1962,"78,539",10.02,-110,--,"78,429",9.99,"4,502",12.92,-,--,"73,927",9.82,-,-,"10,918",--,"63,009",7.62,"73,927",9.82,"2,194",--,"76,121",6.83,"68,857",10.52,"7,264",-18.88,"11,766",-9.09,15.00,--,"472,129",8.04,-677,--,"471,452",8.02,"12,872",13.25,-,--,"458,580",7.88,"15,563",-,"55,930",--,"418,213",6.69,"474,143",8.67,"13,491",--,"487,634",5.74,"446,849",8.23,"40,785",-15.54,"53,657",-10.06,11.38,--,16.64,1.84,--,--,16.64,1.84,34.98,-0.29,--,--,16.12,1.77,-,-,19.52,--,15.07,0.87,15.59,1.04,--,--,15.61,1.04,15.41,2.12,17.81,-3.94,21.93,1.11,--,--
1963,"88,714",12.96,-113,--,"88,601",12.97,"4,803",6.69,-,--,"83,798",13.35,-,-,"11,615",--,"72,183",14.56,"83,798",13.35,"1,789",--,"85,587",12.44,"73,684",7.01,"11,903",63.86,"16,706",41.99,18.86,--,"518,452",9.81,-680,--,"517,772",9.82,"14,484",12.52,-,--,"503,288",9.75,"26,694",-,"56,134",--,"473,848",13.30,"529,982",11.78,"10,771",--,"540,753",10.89,"477,827",6.93,"62,926",54.29,"77,410",44.27,14.95,--,17.11,2.82,--,--,17.11,2.82,33.16,-5.20,--,--,16.65,3.29,-,-,20.69,--,15.23,1.06,15.81,1.41,--,--,15.83,1.41,15.42,0.06,18.92,6.23,21.58,-1.60,--,--
1964,"103,488",16.65,16,--,"103,504",16.82,"5,410",12.64,-,--,"98,094",17.06,-,-,"12,997",--,"85,097",17.89,"98,094",17.06,805,--,"98,899",15.55,"83,535",13.37,"15,364",29.08,"20,774",24.35,20.07,--,"578,462",11.57,95,--,"578,557",11.74,"16,331",12.75,-,--,"562,226",11.71,"35,684",-,"59,406",--,"538,504",13.64,"597,910",12.82,"4,853",--,"602,763",11.47,"534,115",11.78,"68,648",9.09,"84,979",9.78,14.69,--,17.89,4.56,--,--,17.89,4.56,33.13,-0.09,--,--,17.45,4.80,-,-,21.88,--,15.80,3.74,16.41,3.80,--,--,16.41,3.66,15.64,1.43,22.38,18.29,24.45,13.30,--,--
1965,"114,359",10.50,-194,--,"114,165",10.30,"6,005",11.00,-,--,"108,160",10.26,-,-,"14,941",--,"93,219",9.54,"108,160",10.26,"1,315",--,"109,475",10.69,"92,080",10.23,"17,395",13.22,"23,400",12.64,20.50,--,"641,207",10.85,"-1,171",--,"640,036",10.63,"18,656",14.24,-,--,"621,380",10.52,"26,408",-,"66,120",--,"581,668",8.02,"647,788",8.34,"7,951",--,"655,739",8.79,"585,047",9.54,"70,692",2.98,"89,348",5.14,13.96,--,17.83,-0.34,--,--,17.84,-0.28,32.19,-2.84,--,--,17.41,-0.23,-,-,22.60,--,16.03,1.46,16.70,1.77,--,--,16.69,1.71,15.74,0.64,24.61,9.96,26.19,7.12,--,--
1966,"127,675",11.64,-97,--,"127,578",11.75,"6,803",13.29,-,--,"120,775",11.66,-,-,"17,336",--,"103,439",10.96,"120,775",11.66,947,--,"121,722",11.19,"100,479",9.12,"21,243",22.12,"28,046",19.85,21.98,--,"697,100",8.72,-570,--,"696,530",8.83,"21,247",13.89,-,--,"675,283",8.67,"31,969",-,"76,802",--,"630,450",8.39,"707,252",9.18,"5,615",--,"712,867",8.71,"624,753",6.79,"88,114",24.64,"109,361",22.40,15.70,--,18.32,2.75,--,--,18.32,2.69,32.02,-0.53,--,--,17.89,2.76,-,-,22.57,--,16.41,2.37,17.08,2.28,--,--,17.07,2.28,16.08,2.16,24.11,-2.03,25.65,-2.06,--,--
1967,"147,463",15.50,-323,--,"147,140",15.33,"8,085",18.84,-,--,"139,055",15.14,-,-,"20,053",--,"119,002",15.05,"139,055",15.14,975,--,"140,030",15.04,"114,465",13.92,"25,565",20.35,"33,650",19.98,22.87,--,"769,666",10.41,"-1,847",--,"767,819",10.23,"25,330",19.22,-,--,"742,489",9.95,"38,542",-,"83,548",--,"697,483",10.63,"781,031",10.43,"5,579",--,"786,610",10.34,"685,712",9.76,"100,898",14.51,"126,228",15.42,16.44,--,19.16,4.59,--,--,19.16,4.59,31.92,-0.31,--,--,18.73,4.70,-,-,24.00,--,17.06,3.96,17.80,4.22,--,--,17.80,4.28,16.69,3.79,25.34,5.10,26.66,3.94,--,--
1968,"171,817",16.52,-458,--,"171,359",16.46,"9,773",20.88,-,--,"161,586",16.20,-,-,"25,095",--,"136,491",14.70,"161,586",16.20,644,--,"162,230",15.85,"133,885",16.97,"28,345",10.87,"38,118",13.28,22.24,--,"838,906",9.00,"-2,413",--,"836,493",8.94,"30,079",18.75,-,--,"806,414",8.61,"48,856",-,"95,963",--,"759,307",8.86,"855,270",9.51,"3,398",--,"858,668",9.16,"749,534",9.31,"109,134",8.16,"139,213",10.29,16.64,--,20.48,6.89,--,--,20.49,6.94,32.49,1.79,--,--,20.04,6.99,-,-,26.15,--,17.98,5.39,18.89,6.12,--,--,18.89,6.12,17.86,7.01,25.97,2.49,27.38,2.70,--,--
1969,"199,154",15.91,-247,--,"198,907",16.08,"11,943",22.20,-,--,"186,964",15.71,-,-,"32,348",--,"154,616",13.28,"186,964",15.71,313,--,"187,277",15.44,"152,132",13.63,"35,145",23.99,"47,088",23.53,23.67,--,"911,591",8.66,"-1,253",--,"910,338",8.83,"35,789",18.98,-,--,"874,549",8.45,"68,409",-,"121,721",--,"821,237",8.16,"942,958",10.25,"1,563",--,"944,521",10.00,"813,486",8.53,"131,035",20.07,"166,824",19.83,18.33,--,21.85,6.69,--,--,21.85,6.64,33.37,2.71,--,--,21.38,6.69,-,-,26.58,--,18.83,4.73,19.83,4.98,--,--,19.83,4.98,18.70,4.70,26.82,3.27,28.23,3.10,--,--
1970,"229,390",15.18,-412,--,"228,978",15.12,"13,633",14.15,-,--,"215,345",15.18,-,-,"34,732",--,"180,613",16.81,"215,345",15.18,557,--,"215,902",15.28,"171,357",12.64,"44,545",26.75,"58,178",23.55,25.41,--,"1,008,247",10.60,"-1,994",--,"1,006,253",10.54,"42,450",18.61,-,--,"963,803",10.21,"83,895",-,"124,764",--,"922,934",12.38,"1,047,698",11.11,"2,739",--,"1,050,437",11.21,"890,806",9.50,"159,631",21.82,"202,081",21.13,20.08,--,22.75,4.12,--,--,22.76,4.16,32.12,-3.75,--,--,22.34,4.49,-,-,27.84,--,19.57,3.93,20.55,3.63,--,--,20.55,3.63,19.24,2.89,27.90,4.03,28.79,1.98,--,--
1971,"266,594",16.22,-122,--,"266,472",16.37,"16,263",19.29,-,--,"250,209",16.19,-,-,"37,483",--,"212,726",17.78,"250,209",16.19,456,--,"250,665",16.10,"190,672",11.27,"59,993",34.68,"76,256",31.07,28.62,--,"1,133,818",12.45,-588,--,"1,133,230",12.62,"50,515",19.00,-,--,"1,082,715",12.34,"94,564",-,"128,628",--,"1,048,651",13.62,"1,177,279",12.37,"2,178",--,"1,179,457",12.28,"974,026",9.34,"205,431",28.69,"255,946",26.66,22.59,--,23.51,3.34,--,--,23.51,3.30,32.19,0.22,--,--,23.11,3.45,-,-,29.14,--,20.29,3.68,21.25,3.41,--,--,21.25,3.41,19.58,1.77,29.20,4.66,29.79,3.47,--,--
1972,"319,573",19.87,68,--,"319,641",19.95,"20,716",27.38,-,--,"298,925",19.47,-,-,"45,837",--,"253,088",18.97,"298,925",19.47,698,--,"299,623",19.53,"218,305",14.49,"81,318",35.55,"102,034",33.80,31.92,--,"1,282,919",13.15,309,--,"1,283,228",13.24,"61,150",21.05,-,--,"1,222,078",12.87,"107,262",-,"146,941",--,"1,182,399",12.75,"1,329,340",12.92,"3,235",--,"1,332,575",12.98,"1,071,867",10.05,"260,708",26.91,"321,858",25.75,25.08,--,24.91,5.95,--,--,24.91,5.95,33.88,5.25,--,--,24.46,5.84,-,-,31.19,--,21.40,5.47,22.49,5.84,--,--,22.48,5.79,20.37,4.03,31.19,6.82,31.70,6.41,--,--
1973,"415,111",29.90,-116,--,"414,995",29.83,"29,822",43.96,-,--,"385,173",28.85,-,-,"60,168",--,"325,005",28.42,"385,173",28.85,10,--,"385,183",28.56,"273,396",25.24,"111,787",37.47,"141,609",38.79,34.12,--,"1,434,647",11.83,-594,--,"1,434,053",11.75,"72,812",19.07,-,--,"1,361,241",11.39,"120,181",-,"159,398",--,"1,322,024",11.81,"1,481,422",11.44,53,--,"1,481,475",11.17,"1,188,438",10.88,"293,037",12.40,"365,849",13.67,25.51,--,28.93,16.14,--,--,28.94,16.18,40.96,20.90,--,--,28.30,15.70,-,-,37.75,--,24.58,14.86,26.00,15.61,--,--,26.00,15.66,23.00,12.91,38.15,22.31,38.71,22.11,--,--
1974,"556,303",34.01,-177,--,"556,126",34.01,"47,640",59.75,-,--,"508,486",32.01,-,-,"79,353",--,"429,133",32.04,"508,486",32.01,481,--,"508,967",32.14,"382,744",40.00,"126,223",12.91,"173,863",22.78,31.26,--,"1,461,291",1.86,-541,--,"1,460,750",1.86,"85,723",17.73,-,--,"1,375,027",1.01,"84,296",-,"147,317",--,"1,312,006",-0.76,"1,459,323",-1.49,"1,362",--,"1,460,685",-1.40,"1,209,984",1.81,"250,701",-14.45,"336,424",-8.04,23.03,--,38.07,31.59,--,--,38.07,31.55,55.57,35.67,--,--,36.98,30.67,-,-,53.87,--,32.71,33.08,34.84,34.00,--,--,34.84,34.00,31.63,37.52,50.35,31.98,51.68,33.51,--,--
1975,"597,660",7.43,"-3,344",--,"594,316",6.87,"55,843",17.22,-,--,"538,473",5.90,-,-,"88,589",--,"449,884",4.84,"538,473",5.90,288,--,"538,761",5.85,"436,800",14.12,"101,961",-19.22,"157,804",-9.24,26.55,--,"1,540,574",5.43,"-9,133",--,"1,531,441",4.84,"100,103",16.77,-,--,"1,431,338",4.10,"95,565",-,"174,054",--,"1,352,849",3.11,"1,526,903",4.63,813,--,"1,527,716",4.59,"1,291,815",6.76,"235,901",-5.90,"336,004",-0.12,21.94,--,38.79,1.89,--,--,38.81,1.94,55.79,0.40,--,--,37.62,1.73,-,-,50.90,--,33.25,1.65,35.27,1.23,--,--,35.27,1.23,33.81,6.89,43.22,-14.16,46.96,-9.13,--,--
1976,"717,089",19.98,"-5,016",--,"712,073",19.81,"66,593",19.25,-,--,"645,480",19.87,-,-,"105,327",--,"540,153",20.06,"645,480",19.87,773,--,"646,253",19.95,"484,156",10.84,"162,097",58.98,"228,690",44.92,32.12,--,"1,747,790",13.45,"-13,420",--,"1,734,370",13.25,"115,924",15.80,-,--,"1,618,446",13.07,"139,019",-,"198,205",--,"1,559,260",15.26,"1,757,465",15.10,"2,073",--,"1,759,538",15.17,"1,417,604",9.74,"341,934",44.95,"457,858",36.27,26.40,--,41.03,5.77,--,--,41.06,5.80,57.45,2.98,--,--,39.88,6.01,-,-,53.14,--,34.64,4.18,36.73,4.14,--,--,36.73,4.14,34.15,1.01,47.41,9.69,49.95,6.37,--,--
1977,"840,846",17.26,"-5,124",--,"835,722",17.36,"78,175",17.39,-,--,"757,547",17.36,-,-,"121,099",--,"636,448",17.83,"757,547",17.36,166,--,"757,713",17.25,"565,639",16.83,"192,074",18.49,"270,249",18.17,32.34,--,"1,938,019",10.88,"-12,765",--,"1,925,254",11.01,"129,546",11.75,-,--,"1,795,708",10.95,"145,410",-,"214,680",--,"1,726,438",10.72,"1,941,118",10.45,432,--,"1,941,550",10.34,"1,537,617",8.47,"403,933",18.13,"533,479",16.52,27.71,--,43.39,5.75,--,--,43.41,5.72,60.35,5.05,--,--,42.19,5.79,-,-,56.41,--,36.86,6.41,39.03,6.26,--,--,39.03,6.26,36.79,7.73,47.55,0.30,50.66,1.42,--,--
1978,"1,006,669",19.72,"-2,331",--,"1,004,338",20.18,"89,238",14.15,-,--,"915,100",20.80,-,-,"149,264",--,"765,836",20.33,"915,100",20.80,"-1,076",--,"914,024",20.63,"661,357",16.92,"252,667",31.55,"341,905",26.51,34.04,--,"2,199,476",13.49,"-5,424",--,"2,194,052",13.96,"144,546",11.58,-,--,"2,049,506",14.13,"125,417",-,"247,011",--,"1,927,912",11.67,"2,174,923",12.04,"-2,518",--,"2,172,405",11.89,"1,690,166",9.92,"482,239",19.39,"626,785",17.49,28.57,--,45.77,5.49,--,--,45.78,5.46,61.74,2.30,--,--,44.65,5.83,-,-,60.43,--,39.72,7.76,42.08,7.81,--,--,42.07,7.79,39.13,6.36,52.39,10.18,54.55,7.68,--,--
1979,"1,215,395",20.73,400,--,"1,215,795",21.05,"113,500",27.19,-,--,"1,102,295",20.46,-,-,"185,735",--,"916,560",19.68,"1,102,295",20.46,"-7,991",--,"1,094,304",19.72,"806,709",21.98,"287,595",13.82,"401,095",17.31,32.99,--,"2,375,737",8.01,"1,100",--,"2,376,837",8.33,"162,325",12.30,-,--,"2,214,512",8.05,"143,493",-,"274,197",--,"2,083,808",8.09,"2,358,005",8.42,"-17,470",--,"2,340,535",7.74,"1,862,343",10.19,"478,192",-0.84,"640,517",2.19,26.95,--,51.16,11.78,--,--,51.15,11.73,69.92,13.25,--,--,49.78,11.49,-,-,67.74,--,43.98,10.73,46.75,11.10,--,--,46.75,11.12,43.32,10.71,60.14,14.79,62.62,14.79,--,--
1980,"1,519,946",25.06,"-2,106",--,"1,517,840",24.84,"147,756",30.18,-,--,"1,370,084",24.29,-,-,"219,375",--,"1,150,709",25.55,"1,370,084",24.29,"-3,423",--,"1,366,661",24.89,"1,031,759",27.90,"334,902",16.45,"482,658",20.34,31.80,--,"2,549,742",7.32,"-3,303",--,"2,546,439",7.14,"183,916",13.30,-,--,"2,362,523",6.68,"112,014",-,"288,734",--,"2,185,803",4.89,"2,474,537",4.94,"-6,344",--,"2,468,193",5.45,"1,980,037",6.32,"488,156",2.08,"672,072",4.93,26.39,--,59.61,16.52,--,--,59.61,16.54,80.34,14.90,--,--,57.99,16.49,-,-,75.98,--,52.64,19.69,55.37,18.44,--,--,55.37,18.44,52.11,20.29,68.61,14.08,71.82,14.69,--,--
1981,"1,810,829",19.14,"-9,653",--,"1,801,176",18.67,"172,808",16.95,0,--,"1,628,368",18.85,-,-,"234,051",--,"1,394,317",21.17,"1,628,368",18.85,"-3,392",--,"1,624,976",18.90,"1,241,979",20.37,"382,997",14.36,"555,805",15.16,30.86,--,"2,714,355",6.46,"-14,966",--,"2,699,389",6.01,"208,175",13.19,0,--,"2,491,214",5.45,"99,633",-,"284,314",--,"2,306,533",5.52,"2,590,847",4.70,"-5,284",--,"2,585,563",4.76,"2,071,468",4.62,"514,095",5.31,"722,270",7.47,26.76,--,66.71,11.91,--,--,66.73,11.94,83.01,3.32,--,--,65.36,12.71,-,-,82.32,--,60.45,14.84,62.85,13.51,--,--,62.85,13.51,59.96,15.06,74.50,8.58,76.95,7.14,--,--
