期間,收受部門--存款貨幣機構,收受部門--其他金融機構,存款部門--存款貨幣機構,存款部門--保險公司及退休基金,存款部門--其他金融機構,存款部門--政府,存款部門--公營事業,存款部門--民營企業,存款部門--家庭及非營利團體
1982,"5,120","83,348",...,...,...,"1,641","3,991","5,279","77,557"
1983,"8,274","105,266",...,...,...,"1,631","6,277","5,754","99,878"
1984,"13,401","136,884",...,...,...,"1,564","1,499","5,656","141,566"
1985,"8,671","108,272",...,...,...,"1,365","1,059","4,785","109,734"
1986,"8,453","117,331",...,...,...,"2,265","1,426","4,478","117,615"
1987,"7,516","136,675",...,...,...,"2,456","1,249","5,320","135,166"
1988,"16,118","168,116",...,...,...,"9,070","1,501","8,838","164,825"
1989,"30,040","251,889",...,260,...,"9,804","1,448","6,220","264,197"
1990,"31,529","362,403","3,801","3,304",...,"8,955",901,"3,022","373,949"
1991,"33,037","481,597","1,493","9,195",...,"9,027","2,352","3,477","489,090"
1992,"32,474","325,028",700,"9,074",...,"6,734","5,120","1,728","334,146"
1993,"38,647","361,091",376,"9,480",20,"8,401","7,537","11,866","362,058"
1994,"50,830","276,617",300,"10,927",...,"6,430","2,258","7,007","300,525"
1995,"52,773","260,731",700,"11,323",...,"9,075","3,028","20,807","268,571"
1996,"64,017","266,438",700,"12,919","4,113","27,028",22,"4,997","280,676"
1997,"166,885","264,510","7,236","90,538","1,304","26,541","1,547","16,969","287,260"
1998,"299,549","205,034","12,098","84,530","2,376","35,993","1,636","25,920","342,029"
1999,"331,217","156,301","6,932","72,759","2,693","38,822","1,129","25,988","339,195"
2000,"503,076","104,938","20,099","84,796","2,758","48,381","1,155","24,388","426,436"
2001,"766,194","117,107","15,357","163,155","3,486","39,810","1,275","36,783","623,435"
2002,"1,081,253","116,233","12,125","217,997","1,392","41,020","4,948","43,925","876,080"
2003,"1,537,477","118,842","8,131","269,551","6,614","34,969","1,440","61,102","1,274,512"
2004,"1,844,583","121,233","7,710","320,578","68,911","35,965","2,546","117,801","1,412,305"
