期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2003M04,144,-12.73,174,-37.86,"80,242",-6.02,77,-24.51,113,-41.45,"12,638",-57.69,67,6.35,61,-29.89,"67,604",21.78
2003M05,165,-18.32,214,-10.83,"75,089",-5.09,97,-10.19,144,2.13,"26,001",35.59,68,-27.66,70,-29.29,"49,088",-18.11
2003M06,177,38.28,259,73.83,"141,542",279.72,104,48.57,177,103.45,"42,542",294.16,73,25.86,82,32.26,"99,000",273.84
2003M07,190,29.25,238,33.71,"205,920",170.22,89,4.71,114,14.00,"23,914",16.13,101,62.90,124,58.97,"182,006",227.28
2003M08,158,3.95,153,-23.12,"118,128",22.36,67,-19.28,83,-26.55,"32,064",107.45,91,31.88,70,-18.60,"86,064",6.14
2003M09,157,-7.65,213,-8.97,"146,438",75.07,74,-17.78,124,-13.89,"20,383",-9.47,83,3.75,89,-1.11,"126,055",106.20
2003M10,164,5.81,169,-18.36,"166,319",33.29,90,18.42,93,3.33,"39,520",139.60,74,-6.33,76,-35.04,"126,799",17.10
2003M11,162,-2.41,239,29.89,"78,695",-6.71,88,8.64,169,79.79,"31,054",43.24,74,-12.94,70,-22.22,"47,641",-23.99
2003M12,224,39.13,321,72.58,"175,388",193.62,102,27.50,202,119.57,"40,782",186.41,122,50.62,119,26.60,"134,606",195.87
2004M01,159,-14.52,224,-11.81,"122,030",9.05,87,-3.33,127,-17.53,"50,282",83.65,72,-25.00,97,-3.00,"71,748",-15.12
2004M02,117,50.00,105,15.38,"187,428",487.53,59,68.57,72,71.43,"19,124",177.12,58,34.88,33,-32.65,"168,304",573.22
2004M03,164,22.39,209,31.45,"101,542",32.51,80,17.65,112,51.35,"18,800",22.40,84,27.27,97,14.12,"82,742",35.05
2004M04,162,12.50,187,7.47,"168,973",110.58,52,-32.47,78,-30.97,"14,538",15.03,110,64.18,109,78.69,"154,435",128.44
2004M05,145,-12.12,805,276.17,"121,289",61.53,75,-22.68,106,-26.39,"45,626",75.48,70,2.94,699,898.57,"75,663",54.14
2004M06,142,-19.77,151,-41.70,"97,431",-31.16,64,-38.46,75,-57.63,"23,876",-43.88,78,6.85,76,-7.32,"73,555",-25.70
2004M07,136,-28.42,141,-40.76,"254,102",23.40,65,-26.97,77,-32.46,"30,414",27.18,71,-29.70,64,-48.39,"223,688",22.90
2004M08,122,-22.78,216,41.18,"156,883",32.81,56,-16.42,124,49.40,"20,005",-37.61,66,-27.47,92,31.43,"136,878",59.04
2004M09,182,15.92,310,45.54,"162,206",10.77,92,24.32,216,74.19,"35,983",76.53,90,8.43,94,5.62,"126,223",0.13
2004M10,186,13.41,193,14.20,"127,639",-23.26,79,-12.22,121,30.11,"26,536",-32.85,107,44.59,72,-5.26,"101,103",-20.27
2004M11,165,1.85,222,-7.11,"209,096",165.70,79,-10.23,122,-27.81,"41,029",32.12,86,16.22,100,42.86,"168,067",252.78
2004M12,217,-3.12,383,19.31,"184,351",5.11,113,10.78,289,43.07,"40,098",-1.68,104,-14.75,94,-21.01,"144,253",7.17
2005M01,154,-3.14,511,128.12,"233,537",91.38,79,-9.20,428,237.01,"31,928",-36.50,75,4.17,83,-14.43,"201,609",181.00
2005M02,119,1.71,168,60.00,"166,504",-11.16,55,-6.78,111,54.17,"20,500",7.20,64,10.34,57,72.73,"146,004",-13.25
2005M03,200,21.95,274,31.10,"261,607",157.63,93,16.25,182,62.50,"35,047",86.42,107,27.38,92,-5.15,"226,560",173.81
2005M04,181,11.73,309,65.24,"221,049",30.82,90,73.08,217,178.21,"25,321",74.17,91,-17.27,92,-15.60,"195,728",26.74
2005M05,206,42.07,381,-52.67,"321,121",164.76,105,40.00,241,127.36,"50,899",11.56,101,44.29,140,-79.97,"270,222",257.14
2005M06,195,37.32,230,52.32,"293,635",201.38,82,28.12,121,61.33,"28,823",20.72,113,44.87,109,43.42,"264,812",260.02
2005M07,161,18.38,277,96.45,"294,813",16.02,58,-10.77,153,98.70,"30,822",1.34,103,45.07,124,93.75,"263,991",18.02
2005M08,184,50.82,339,56.94,"154,261",-1.67,98,75.00,234,88.71,"38,764",93.77,86,30.30,105,14.13,"115,497",-15.62
2005M09,161,-11.54,250,-19.35,"168,867",4.11,75,-18.48,157,-27.31,"20,018",-44.37,86,-4.44,93,-1.06,"148,849",17.93
2005M10,219,17.74,327,69.43,"197,261",54.55,99,25.32,191,57.85,"39,655",49.44,120,12.15,136,88.89,"157,606",55.89
2005M11,176,6.67,192,-13.51,"123,663",-40.86,88,11.39,114,-6.56,"14,798",-63.93,88,2.33,78,-22.00,"108,865",-35.23
2005M12,197,-9.22,242,-36.81,"161,188",-12.56,106,-6.19,160,-44.64,"23,092",-42.41,91,-12.50,82,-12.77,"138,096",-4.27
2006M01,146,-5.19,313,-38.75,"88,713",-62.01,72,-8.86,240,-43.93,"28,278",-11.43,74,-1.33,73,-12.05,"60,435",-70.02
2006M02,126,5.88,203,20.83,"69,220",-58.43,62,12.73,112,0.90,"23,284",13.58,64,0.00,91,59.65,"45,936",-68.54
2006M03,166,-17.00,287,4.74,"214,114",-18.15,74,-20.43,157,-13.74,"26,346",-24.83,92,-14.02,130,41.30,"187,768",-17.12
2006M04,180,-0.55,249,-19.42,"131,272",-40.61,95,5.56,174,-19.82,"27,877",10.09,85,-6.59,75,-18.48,"103,395",-47.17
2006M05,187,-9.22,217,-43.04,"139,278",-56.63,92,-12.38,131,-45.64,"17,640",-65.34,95,-5.94,86,-38.57,"121,638",-54.99
2006M06,160,-17.95,224,-2.61,"98,369",-66.50,93,13.41,165,36.36,"22,943",-20.40,67,-40.71,59,-45.87,"75,426",-71.52
2006M07,194,20.50,275,-0.72,"77,941",-73.56,128,120.69,203,32.68,"26,350",-14.51,66,-35.92,72,-41.94,"51,591",-80.46
2006M08,264,43.48,410,20.94,"200,954",30.27,178,81.63,266,13.68,"45,972",18.59,86,0.00,144,37.14,"154,982",34.19
2006M09,124,-22.98,229,-8.40,"109,248",-35.31,68,-9.33,174,10.83,"35,797",78.82,56,-34.88,55,-40.86,"73,451",-50.65
2006M10,141,-35.62,197,-39.76,"119,682",-39.33,70,-29.29,102,-46.60,"20,703",-47.79,71,-40.83,95,-30.15,"98,979",-37.20
2006M11,174,-1.14,212,10.42,"175,665",42.05,96,9.09,118,3.51,"33,238",124.61,78,-11.36,94,20.51,"142,427",30.83
2006M12,203,3.05,345,42.56,"220,667",36.90,91,-14.15,193,20.62,"37,975",64.45,112,23.08,152,85.37,"182,692",32.29
2007M01,204,39.73,552,76.36,"221,801",150.02,112,55.56,454,89.17,"61,345",116.94,92,24.32,98,34.25,"160,456",165.50
2007M02,137,8.73,180,-11.33,"111,536",61.13,78,25.81,104,-7.14,"18,405",-20.95,59,-7.81,76,-16.48,"93,131",102.74
2007M03,184,10.84,310,8.01,"246,306",15.03,102,37.84,224,42.68,"28,312",7.46,82,-10.87,86,-33.85,"217,994",16.10
2007M04,182,1.11,290,16.47,"211,995",61.49,111,16.84,221,27.01,"45,222",62.22,71,-16.47,69,-8.00,"166,773",61.30
2007M05,214,14.44,328,51.15,"224,761",61.38,109,18.48,182,38.93,"34,131",93.49,105,10.53,146,69.77,"190,630",56.72
2007M06,172,7.50,289,29.02,"217,065",120.66,93,0.00,203,23.03,"38,407",67.40,79,17.91,86,45.76,"178,658",136.87
2007M07,205,5.67,397,44.36,"184,303",136.46,107,-16.41,217,6.90,"32,793",24.45,98,48.48,180,150.00,"151,510",193.68
2007M08,196,-25.76,419,2.20,"207,742",3.38,93,-47.75,289,8.65,"38,298",-16.69,103,19.77,130,-9.72,"169,444",9.33
2007M09,134,8.06,301,31.44,"130,452",19.41,56,-17.65,165,-5.17,"25,620",-28.43,78,39.29,136,147.27,"104,832",42.72
2007M10,165,17.02,302,53.30,"251,150",109.85,79,12.86,160,56.86,"26,792",29.41,86,21.13,142,49.47,"224,358",126.67
2007M11,175,0.57,416,96.23,"210,343",19.74,101,5.21,199,68.64,"31,854",-4.16,74,-5.13,217,130.85,"178,489",25.32
2007M12,168,-17.24,389,12.75,"173,716",-21.28,88,-3.30,230,19.17,"37,410",-1.49,80,-28.57,159,4.61,"136,306",-25.39
2008M01,199,-2.45,343,-37.86,"168,963",-23.82,88,-21.43,152,-66.52,"23,002",-62.50,111,20.65,191,94.90,"145,961",-9.03
2008M02,81,-40.88,136,-24.44,"78,726",-29.42,44,-43.59,62,-40.38,"10,973",-40.38,37,-37.29,74,-2.63,"67,753",-27.25
2008M03,130,-29.35,306,-1.29,"164,101",-33.38,63,-38.24,207,-7.59,"25,347",-10.47,67,-18.29,99,15.12,"138,754",-36.35
2008M04,185,1.65,553,90.69,"188,804",-10.94,107,-3.60,446,101.81,"59,227",30.97,78,9.86,107,55.07,"129,577",-22.30
2008M05,158,-26.17,404,23.17,"205,400",-8.61,85,-22.02,326,79.12,"47,287",38.55,73,-30.48,78,-46.58,"158,113",-17.06
2008M06,150,-12.79,400,38.41,"234,200",7.89,70,-24.73,275,35.47,"41,577",8.25,80,1.27,125,45.35,"192,623",7.82
2008M07,158,-22.93,239,-39.80,"140,274",-23.89,74,-30.84,135,-37.79,"22,933",-30.07,84,-14.29,104,-42.22,"117,341",-22.55
2008M08,145,-26.02,191,-54.42,"105,576",-49.18,66,-29.03,103,-64.36,"20,832",-45.61,79,-23.30,88,-32.31,"84,744",-49.99
2008M09,130,-2.99,290,-3.65,"138,614",6.26,64,14.29,221,33.94,"38,222",49.19,66,-15.38,69,-49.26,"100,392",-4.24
2008M10,169,2.42,251,-16.89,"261,883",4.27,81,2.53,141,-11.88,"21,666",-19.13,88,2.33,110,-22.54,"240,217",7.07
2008M11,118,-32.57,503,20.91,"132,553",-36.98,58,-42.57,387,94.47,"50,229",57.69,60,-18.92,116,-46.54,"82,324",-53.88
2008M12,129,-23.21,396,1.80,"115,149",-33.71,63,-28.41,308,33.91,"27,609",-26.20,66,-17.50,88,-44.65,"87,540",-35.78
2009M01,94,-52.76,125,-63.56,"124,603",-26.25,46,-47.73,76,-50.00,"13,381",-41.83,48,-56.76,49,-74.35,"111,222",-23.80
2009M02,95,17.28,180,32.35,"53,188",-32.44,42,-4.55,101,62.90,"10,818",-1.41,53,43.24,79,6.76,"42,370",-37.46
2009M03,115,-11.54,389,27.12,"99,235",-39.53,63,0.00,310,49.76,"53,162",109.74,52,-22.39,79,-20.20,"46,073",-66.80
2009M04,122,-34.05,191,-65.46,"84,780",-55.10,62,-42.06,92,-79.37,"14,217",-76.00,60,-23.08,99,-7.48,"70,563",-45.54
2009M05,129,-18.35,245,-39.36,"122,648",-40.29,68,-20.00,173,-46.93,"28,548",-39.63,61,-16.44,72,-7.69,"94,100",-40.49
2009M06,178,18.67,552,38.00,"122,841",-47.55,77,10.00,361,31.27,"39,704",-4.50,101,26.25,191,52.80,"83,137",-56.84
2009M07,169,6.96,431,80.33,"136,857",-2.44,95,28.38,211,56.30,"32,543",41.90,74,-11.90,220,111.54,"104,314",-11.10
2009M08,126,-13.10,170,-10.99,"98,337",-6.86,59,-10.61,92,-10.68,"18,428",-11.54,67,-15.19,78,-11.36,"79,909",-5.71
2009M09,154,18.46,225,-22.41,"111,071",-19.87,62,-3.12,114,-48.42,"18,824",-50.75,92,39.39,111,60.87,"92,247",-8.11
2009M10,167,-1.18,288,14.74,"93,355",-64.35,88,8.64,177,25.53,"20,173",-6.89,79,-10.23,111,0.91,"73,182",-69.54
2009M11,202,71.19,409,-18.69,"256,273",93.34,103,77.59,256,-33.85,"41,917",-16.55,99,65.00,153,31.90,"214,356",160.38
2009M12,221,71.32,665,67.93,"282,174",145.05,111,76.19,523,69.81,"61,312",122.07,110,66.67,142,61.36,"220,862",152.30
2010M01,183,94.68,418,234.40,"159,876",28.31,86,86.96,274,260.53,"64,135",379.30,97,102.08,144,193.88,"95,741",-13.92
2010M02,156,64.21,354,96.67,"94,624",77.90,73,73.81,230,127.72,"26,299",143.10,83,56.60,124,56.96,"68,325",61.26
2010M03,187,62.61,368,-5.40,"238,235",140.07,104,65.08,253,-18.39,"40,438",-23.93,83,59.62,115,45.57,"197,797",329.31
2010M04,200,63.93,394,106.28,"140,460",65.68,106,70.97,291,216.30,"51,531",262.46,94,56.67,103,4.04,"88,929",26.03
2010M05,186,44.19,729,197.55,"170,883",39.33,94,38.24,617,256.65,"75,969",166.11,92,50.82,112,55.56,"94,914",0.87
2010M06,237,33.15,648,17.39,"185,136",50.71,138,79.22,514,42.38,"64,110",61.47,99,-1.98,134,-29.84,"121,026",45.57
2010M07,200,18.34,361,-16.24,"177,344",29.58,95,0.00,201,-4.74,"43,814",34.63,105,41.89,160,-27.27,"133,530",28.01
2010M08,172,36.51,381,124.12,"190,381",93.60,90,52.54,254,176.09,"40,228",118.30,82,22.39,127,62.82,"150,153",87.90
2010M09,190,23.38,422,87.56,"376,232",238.73,102,64.52,322,182.46,"38,746",105.83,88,-4.35,100,-9.91,"337,486",265.85
2010M10,217,29.94,489,69.79,"329,953",253.44,104,18.18,343,93.79,"39,377",95.20,113,43.04,146,31.53,"290,576",297.06
2010M11,242,19.80,454,11.00,"293,810",14.65,113,9.71,262,2.34,"35,878",-14.41,129,30.30,192,25.49,"257,932",20.33
2010M12,350,58.37,503,-24.36,"186,886",-33.77,220,98.20,364,-30.40,"60,433",-1.43,130,18.18,139,-2.11,"126,453",-42.75
2011M01,201,9.84,553,32.30,"222,602",39.23,92,6.98,312,13.87,"38,922",-39.31,109,12.37,241,67.36,"183,680",91.85
2011M02,125,-19.87,219,-38.14,"108,106",14.25,63,-13.70,126,-45.22,"18,108",-31.15,62,-25.30,93,-25.00,"89,998",31.72
2011M03,250,33.69,448,21.74,"244,700",2.71,107,2.88,294,16.21,"43,590",7.79,143,72.29,154,33.91,"201,110",1.67
2011M04,171,-14.50,433,9.90,"159,653",13.66,85,-19.81,325,11.68,"49,158",-4.60,86,-8.51,108,4.85,"110,495",24.25
2011M05,211,13.44,403,-44.72,"269,438",57.67,108,14.89,206,-66.61,"29,256",-61.49,103,11.96,197,75.89,"240,182",153.05
2011M06,183,-22.78,385,-40.59,"205,218",10.85,86,-37.68,260,-49.42,"31,984",-50.11,97,-2.02,125,-6.72,"173,234",43.14
2011M07,224,12.00,370,2.49,"231,180",30.36,102,7.37,227,12.94,"31,344",-28.46,122,16.19,143,-10.62,"199,836",49.66
2011M08,204,18.60,684,79.53,"169,668",-10.88,100,11.11,308,21.26,"39,401",-2.06,104,26.83,376,196.06,"130,267",-13.24
2011M09,174,-8.42,373,-11.61,"140,649",-62.62,87,-14.71,280,-13.04,"33,269",-14.14,87,-1.14,93,-7.00,"107,380",-68.18
2011M10,197,-9.22,572,16.97,"192,498",-41.66,99,-4.81,214,-37.61,"35,228",-10.54,98,-13.27,358,145.21,"157,270",-45.88
2011M11,203,-16.12,498,9.69,"209,509",-28.69,104,-7.96,233,-11.07,"33,050",-7.88,99,-23.26,265,38.02,"176,459",-31.59
2011M12,233,-33.43,625,24.25,"226,709",21.31,105,-52.27,249,-31.59,"45,317",-25.01,128,-1.54,376,170.50,"181,392",43.45
2012M01,134,-33.33,192,-65.28,"220,338",-1.02,68,-26.09,98,-68.59,"22,859",-41.27,66,-39.45,94,-61.00,"197,479",7.51
2012M02,216,72.80,491,124.20,"160,356",48.33,88,39.68,352,179.37,"46,554",157.09,128,106.45,139,49.46,"113,802",26.45
2012M03,229,-8.40,398,-11.16,"172,847",-29.36,118,10.28,260,-11.56,"46,268",6.14,111,-22.38,138,-10.39,"126,579",-37.06
2012M04,198,15.79,313,-27.71,"189,859",18.92,92,8.24,197,-39.38,"51,169",4.09,106,23.26,116,7.41,"138,690",25.52
2012M05,211,0.00,381,-5.46,"129,656",-51.88,101,-6.48,246,19.42,"26,667",-8.85,110,6.80,135,-31.47,"102,989",-57.12
2012M06,187,2.19,304,-21.04,"148,639",-27.57,74,-13.95,179,-31.15,"23,853",-25.42,113,16.49,125,0.00,"124,786",-27.97
2012M07,296,32.14,479,29.46,"324,753",40.48,141,38.24,315,38.77,"44,702",42.62,155,27.05,164,14.69,"280,051",40.14
2012M08,191,-6.37,344,-49.71,"153,161",-9.73,95,-5.00,196,-36.36,"26,163",-33.60,96,-7.69,148,-60.64,"126,998",-2.51
2012M09,213,22.41,410,9.92,"139,348",-0.92,116,33.33,246,-12.14,"38,672",16.24,97,11.49,164,76.34,"100,676",-6.24
2012M10,224,13.71,451,-21.15,"209,682",8.93,105,6.06,263,22.90,"40,600",15.25,119,21.43,188,-47.49,"169,082",7.51
2012M11,224,10.34,448,-10.04,"172,216",-17.80,105,0.96,314,34.76,"50,036",51.39,119,20.20,134,-49.43,"122,180",-30.76
2012M12,206,-11.59,468,-25.12,"187,262",-17.40,96,-8.57,336,34.94,"44,237",-2.38,110,-14.06,132,-64.89,"143,025",-21.15
2013M01,257,91.79,301,56.77,"167,447",-24.00,128,88.24,170,73.47,"26,360",15.32,129,95.45,131,39.36,"141,087",-28.56
2013M02,128,-40.74,171,-65.17,"138,998",-13.32,60,-31.82,107,-69.60,"20,503",-55.96,68,-46.88,64,-53.96,"118,495",4.12
2013M03,223,-2.62,495,24.37,"226,645",31.12,103,-12.71,336,29.23,"44,827",-3.11,120,8.11,159,15.22,"181,818",43.64
2013M04,262,32.32,468,49.52,"199,801",5.24,146,58.70,303,53.81,"70,376",37.54,116,9.43,165,42.24,"129,425",-6.68
2013M05,270,27.96,603,58.27,"273,817",111.19,147,45.54,414,68.29,"58,286",118.57,123,11.82,189,40.00,"215,531",109.28
2013M06,213,13.90,331,8.88,"151,754",2.10,100,35.14,208,16.20,"38,888",63.03,113,0.00,123,-1.60,"112,866",-9.55
2013M07,309,4.39,658,37.37,"241,486",-25.64,135,-4.26,398,26.35,"56,849",27.17,174,12.26,260,58.54,"184,637",-34.07
2013M08,251,31.41,565,64.24,"182,853",19.39,136,43.16,293,49.49,"47,168",80.29,115,19.79,272,83.78,"135,685",6.84
2013M09,215,0.94,407,-0.73,"198,057",42.13,106,-8.62,265,7.72,"32,845",-15.07,109,12.37,142,-13.41,"165,212",64.10
2013M10,259,15.62,447,-0.89,"224,188",6.92,115,9.52,278,5.70,"39,504",-2.70,144,21.01,169,-10.11,"184,684",9.23
2013M11,238,6.25,451,0.67,"148,341",-13.86,135,28.57,327,4.14,"42,315",-15.43,103,-13.45,124,-7.46,"106,026",-13.22
2013M12,257,24.76,772,64.96,"271,144",44.79,137,42.71,632,88.10,"87,214",97.15,120,9.09,140,6.06,"183,930",28.60
2014M01,216,-15.95,346,14.95,"158,513",-5.34,98,-23.44,173,1.76,"30,747",16.64,118,-8.53,173,32.06,"127,766",-9.44
2014M02,156,21.88,499,191.81,"103,760",-25.35,88,46.67,412,285.05,"45,974",124.23,68,0.00,87,35.94,"57,786",-51.23
2014M03,205,-8.07,350,-29.29,"122,138",-46.11,114,10.68,195,-41.96,"35,066",-21.77,91,-24.17,155,-2.52,"87,072",-52.11
2014M04,238,-9.16,548,17.09,"152,600",-23.62,131,-10.27,432,42.57,"54,736",-22.22,107,-7.76,116,-29.70,"97,864",-24.39
2014M05,238,-11.85,632,4.81,"189,265",-30.88,111,-24.49,440,6.28,"52,300",-10.27,127,3.25,192,1.59,"136,965",-36.45
2014M06,249,16.90,611,84.59,"252,912",66.66,135,35.00,461,121.63,"58,916",51.50,114,0.88,150,21.95,"193,996",71.88
2014M07,257,-16.83,424,-35.56,"213,604",-11.55,122,-9.63,272,-31.66,"41,760",-26.54,135,-22.41,152,-41.54,"171,844",-6.93
