期間,災害救助-救助受災人數-臨時收容(人)_原始值,災害救助-救助受災人數-臨時收容(人)_年增率(%),災害救助-救助受災人數-死亡(人)_原始值,災害救助-救助受災人數-死亡(人)_年增率(%),災害救助-救助受災人數-失蹤(人)_原始值,災害救助-救助受災人數-失蹤(人)_年增率(%),災害救助-救助受災人數-重傷(人)_原始值,災害救助-救助受災人數-重傷(人)_年增率(%),災害救助-救助受災人數-其他(人)_原始值,災害救助-救助受災人數-其他(人)_年增率(%),災害救助-安遷救助(房屋損毀)-戶數(戶)_原始值,災害救助-安遷救助(房屋損毀)-戶數(戶)_年增率(%),災害救助-安遷救助(房屋損毀)-人數(人)_原始值,災害救助-安遷救助(房屋損毀)-人數(人)_年增率(%),災害救助-財務受損影響生計者(戶)_原始值,災害救助-財務受損影響生計者(戶)_年增率(%),災害救助-總救助金額(元)_原始值,災害救助-總救助金額(元)_年增率(%),急難現金救助-計(人次)_原始值,急難現金救助-計(人次)_年增率(%),急難現金救助-男(人次)_原始值,急難現金救助-男(人次)_年增率(%),急難現金救助-女(人次)_原始值,急難現金救助-女(人次)_年增率(%),急難現金救助-金額(元)_原始值,急難現金救助-金額(元)_年增率(%)
2001Q1,0,...,32,...,1,...,3,...,79,...,150,...,0,...,92,...,"14,186,250",...,"7,983",...,...,...,...,...,"49,749,695",...
2001Q2,42,...,34,...,1,...,6,...,12,...,155,...,0,...,82,...,"17,746,107",...,"10,847",...,...,...,...,...,"57,501,331",...
2001Q3,850,...,167,...,97,...,7,...,0,...,"1,539",...,0,...,"14,257",...,"205,345,150",...,"9,760",...,...,...,...,...,"54,241,967",...
2001Q4,256,...,85,...,5,...,27,...,9,...,701,...,0,...,"54,758",...,"731,586,981",...,"10,639",...,...,...,...,...,"52,563,829",...
2002Q1,0,--,42,31.25,0,-100.00,6,100.00,0,-100.00,230,53.33,676,--,"2,591","2,716.30","69,411,352",389.29,"9,944",24.56,...,...,...,...,"56,880,260",14.33
2002Q2,1,-97.62,47,38.24,0,-100.00,15,150.00,17,41.67,172,10.97,541,--,"2,570","3,034.15","70,136,000",295.22,"10,606",-2.22,...,...,...,...,"51,605,661",-10.25
2002Q3,0,-100.00,19,-88.62,0,-100.00,4,-42.86,17,--,119,-92.27,350,--,106,-99.26,"12,112,000",-94.10,"9,343",-4.27,...,...,...,...,"49,322,025",-9.07
2002Q4,0,-100.00,24,-71.76,0,-100.00,11,-59.26,11,22.22,278,-60.34,912,--,60,-99.89,"27,340,000",-96.26,"9,442",-11.25,...,...,...,...,"47,551,679",-9.54
2003Q1,6,--,33,-21.43,0,--,1,-83.33,9,--,131,-43.04,417,-38.31,57,-97.80,"14,747,200",-78.75,"8,384",-15.69,"5,152",...,"3,232",...,"45,191,244",-20.55
2003Q2,0,-100.00,18,-61.70,0,--,5,-66.67,7,-58.82,126,-26.74,410,-24.21,45,-98.25,"12,070,000",-82.79,"8,491",-19.94,"5,366",...,"3,125",...,"47,026,339",-8.87
2003Q3,20,--,34,78.95,0,--,1,-75.00,0,-100.00,158,32.77,499,42.57,87,-17.92,"17,598,500",45.30,"8,523",-8.78,"5,473",...,"3,050",...,"47,351,246",-4.00
2003Q4,17,--,45,87.50,0,--,4,-63.64,235,"2,036.36",680,144.60,"1,927",111.29,169,181.67,"36,872,500",34.87,"9,859",4.42,"6,460",...,"3,399",...,"59,571,001",25.28
2004Q1,37,516.67,27,-18.18,0,--,4,300.00,0,-100.00,168,28.24,453,8.63,75,31.58,"15,130,313",2.60,"8,805",5.02,"5,665",9.96,"3,140",-2.85,"59,701,697",32.11
2004Q2,0,--,36,100.00,4,--,12,140.00,0,-100.00,133,5.56,416,1.46,52,15.56,"17,780,000",47.31,"8,683",2.26,"5,478",2.09,"3,205",2.56,"59,820,050",27.21
2004Q3,8,-60.00,36,5.88,6,--,3,200.00,853,--,484,206.33,949,90.18,"1,511","1,636.78","51,762,722",194.13,"8,683",1.88,"5,493",0.37,"3,190",4.59,"60,139,155",27.01
2004Q4,908,"5,241.18",63,40.00,20,--,3,-25.00,"5,962","2,437.02",648,-4.71,"1,996",3.58,"35,188","20,721.30","578,038,563","1,467.67","9,963",1.05,"6,418",-0.65,"3,545",4.30,"66,259,766",11.23
2005Q1,53,43.24,42,55.56,3,--,3,-25.00,0,--,122,-27.38,398,-12.14,54,-28.00,"17,577,500",16.17,"7,917",-10.09,"4,879",-13.87,"3,038",-3.25,"52,769,349",-11.61
2005Q2,"16,095",--,57,58.33,3,-25.00,0,-100.00,0,--,137,3.01,404,-2.88,449,763.46,"104,027,000",485.08,"8,288",-4.55,"5,148",-6.02,"3,140",-2.03,"54,846,751",-8.31
2005Q3,"1,931","24,037.50",38,5.56,2,-66.67,2,-33.33,0,-100.00,487,0.62,"1,197",26.13,"33,721","2,131.70","228,039,000",340.55,"9,138",5.24,"5,577",1.53,"3,561",11.63,"56,305,680",-6.37
2005Q4,568,-37.44,20,-68.25,1,-95.00,5,66.67,0,-100.00,455,-29.78,"1,152",-42.28,"15,057",-57.21,"198,095,000",-65.73,"8,617",-13.51,"5,354",-16.58,"3,263",-7.95,"54,017,127",-18.48
2006Q1,31,-41.51,20,-52.38,0,-100.00,3,0.00,0,--,112,-8.20,329,-17.34,104,92.59,"11,843,000",-32.62,"8,707",9.98,"5,326",9.16,"3,381",11.29,"50,798,676",-3.73
2006Q2,10,-99.94,30,-47.37,0,-100.00,1,--,200,--,82,-40.15,255,-36.88,199,-55.68,"12,461,000",-88.02,"9,387",13.26,"5,680",10.33,"3,707",18.06,"51,861,721",-5.44
2006Q3,56,-97.10,38,0.00,0,-100.00,5,150.00,901,--,139,-71.46,346,-71.09,"4,013",-88.10,"38,611,978",-83.07,"9,750",6.70,"5,938",6.47,"3,812",7.05,"57,942,349",2.91
2006Q4,52,-90.85,27,35.00,0,-100.00,0,-100.00,6,--,497,9.23,"1,482",28.65,"1,377",-90.85,"21,303,460",-89.25,"9,250",7.35,"5,778",7.92,"3,472",6.41,"55,358,342",2.48
2007Q1,3,-90.32,17,-15.00,0,--,6,100.00,12,--,185,65.18,535,62.61,66,-36.54,"15,012,500",26.76,"10,247",17.69,"6,043",13.46,"4,204",24.34,"57,338,669",12.87
2007Q2,9,-10.00,17,-43.33,0,--,0,-100.00,8,-96.00,92,12.20,255,0.00,121,-39.20,"9,810,000",-21.27,"11,771",25.40,"6,926",21.94,"4,845",30.70,"69,535,420",34.08
2007Q3,249,344.64,25,-34.21,1,--,2,-60.00,0,-100.00,187,34.53,485,40.17,"4,930",22.85,"44,735,985",15.86,"11,197",14.84,"6,608",11.28,"4,589",20.38,"63,447,365",9.50
