期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),銀行_原始值,銀行_年增率(%),銀行_原始值,銀行_年增率(%),票券及信託公司_原始值,票券及信託公司_年增率(%),票券及信託公司_原始值,票券及信託公司_年增率(%),保險公司_原始值,保險公司_年增率(%),保險公司_原始值,保險公司_年增率(%),公營事業_原始值,公營事業_年增率(%),公營事業_原始值,公營事業_年增率(%),民營事業_原始值,民營事業_年增率(%),民營事業_原始值,民營事業_年增率(%),個人_原始值,個人_年增率(%),個人_原始值,個人_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2000,"35,390,873",6.98,"28,524,434",7.34,"8,849,395",6.14,"12,065,582",-8.15,"9,008,886",10.81,"5,239,026",34.01,"1,141,605",47.33,"1,573,511",38.08,"786,825",-12.95,"654,891",53.41,"13,919,105",-3.29,"6,779,977",-2.42,"197,047",-77.35,"237,595",-75.44,"1,488,010",-1.83,"1,973,852",4.80
2001,"32,839,884",-7.21,"25,219,554",-11.59,"8,818,746",-0.35,"11,417,431",-5.37,"7,349,000",-18.42,"4,022,366",-23.22,"1,322,632",15.86,"1,545,121",-1.80,"829,191",5.38,"490,192",-25.15,"13,039,973",-6.32,"5,818,477",-14.18,"159,360",-19.13,"180,546",-24.01,"1,320,982",-11.22,"1,745,421",-11.57
2002,"28,810,330",-12.27,"21,794,484",-13.58,"7,299,588",-17.23,"8,710,195",-23.71,"6,055,253",-17.60,"2,954,749",-26.54,"1,277,489",-3.41,"1,538,049",-0.46,"759,844",-8.36,"417,219",-14.89,"11,994,644",-8.02,"5,990,047",2.95,"62,500",-60.78,"63,888",-64.61,"1,361,012",3.03,"2,120,337",21.48
2003,"26,442,877",-8.22,"21,437,577",-1.64,"6,212,953",-14.89,"7,808,011",-10.36,"5,298,783",-12.49,"2,871,294",-2.82,"1,400,908",9.66,"1,807,307",17.51,"681,597",-10.30,"495,736",18.82,"11,928,660",-0.55,"6,641,097",10.87,"45,553",-27.12,"41,844",-34.50,"874,423",-35.75,"1,772,288",-16.41
2004,"26,940,902",1.88,"21,887,822",2.10,"6,650,012",7.03,"6,630,389",-15.08,"4,682,096",-11.64,"2,674,135",-6.87,"1,674,980",19.56,"2,061,709",14.08,"563,000",-17.40,"620,036",25.07,"12,326,556",3.34,"8,350,829",25.74,"34,019",-25.32,"28,167",-32.69,"1,010,239",15.53,"1,522,557",-14.09
2005,"30,084,629",11.67,"22,506,462",2.83,"8,180,289",23.01,"7,051,249",6.35,"5,019,535",7.21,"2,673,826",-0.01,"1,865,470",11.37,"2,031,393",-1.47,"750,339",33.28,"839,196",35.35,"12,945,598",5.02,"8,075,040",-3.30,"20,557",-39.57,"12,358",-56.13,"1,302,841",28.96,"1,823,400",19.76
2006,"27,138,853",-9.79,"21,412,459",-4.86,"5,223,531",-36.14,"5,017,316",-28.85,"3,562,256",-29.03,"1,645,369",-38.46,"1,503,815",-19.39,"1,821,978",-10.31,"747,684",-0.35,"962,763",14.72,"14,374,843",11.04,"9,647,011",19.47,"12,672",-38.36,"8,286",-32.95,"1,714,052",31.56,"2,309,736",26.67
2007,"23,655,062",-12.84,"19,541,144",-8.74,"3,664,389",-29.85,"4,034,962",-19.58,"2,615,736",-26.57,"1,253,693",-23.80,"1,053,643",-29.94,"1,221,521",-32.96,"689,465",-7.79,"867,869",-9.86,"13,624,782",-5.22,"9,309,774",-3.50,"9,098",-28.20,"9,179",10.78,"1,997,949",16.56,"2,844,146",23.14
2008,"26,513,209",12.08,"19,690,922",0.77,"4,625,049",26.22,"3,965,990",-1.71,"2,602,600",-0.50,"1,303,563",3.98,"1,180,849",12.07,"1,202,178",-1.58,"1,709,940",148.01,"1,102,763",27.07,"13,346,967",-2.04,"8,955,208",-3.81,"4,895",-46.20,"11,141",21.37,"3,042,909",52.30,"3,150,079",10.76
2009,"26,207,604",-1.15,"15,888,789",-19.31,"6,329,993",36.86,"2,834,535",-28.53,"1,684,515",-35.28,"1,075,682",-17.48,"1,228,102",4.00,"1,577,935",31.26,"1,362,616",-20.31,"556,029",-49.58,"11,640,651",-12.78,"8,054,017",-10.06,"5,631",15.04,"5,731",-48.56,"3,956,096",30.01,"1,784,860",-43.34
2010,"20,034,307",-23.56,"17,122,084",7.76,"2,000,410",-68.40,"2,778,957",-1.96,"1,792,368",6.40,"1,053,118",-2.10,"1,704,307",38.78,"2,112,636",33.89,"1,164,223",-14.56,"636,021",14.39,"11,660,072",0.17,"7,680,512",-4.64,"33,151",488.72,"42,851",647.71,"1,679,776",-57.54,"2,817,989",57.88
2011,"21,357,386",6.60,"18,256,522",6.63,"2,214,550",10.70,"3,215,313",15.70,"2,237,771",24.85,"1,222,518",16.09,"1,489,663",-12.59,"1,645,657",-22.10,"793,461",-31.85,"277,757",-56.33,"12,021,429",3.10,"8,022,356",4.45,"174,167",425.37,"196,280",358.05,"2,426,345",44.44,"3,676,641",30.47
2012,"21,360,067",0.01,"17,328,358",-5.08,"2,254,668",1.81,"3,528,469",9.74,"2,445,977",9.30,"1,148,140",-6.08,"1,215,012",-18.44,"1,481,906",-9.95,"1,150,794",45.03,"450,250",62.10,"11,999,046",-0.19,"7,192,003",-10.35,"209,953",20.55,"221,329",12.76,"2,084,617",-14.08,"3,306,261",-10.07
2013,"20,355,317",-4.70,"16,199,212",-6.52,"2,664,678",18.18,"5,997,762",69.98,"3,514,780",43.70,"276,061",-75.96,"765,133",-37.03,"1,090,681",-26.40,"1,103,437",-4.12,"205,892",-54.27,"11,123,506",-7.30,"6,252,714",-13.06,"168,445",-19.77,"176,162",-20.41,"1,015,338",-51.29,"2,199,940",-33.46
