期間,總計_原始值,總計_年增率(%),產業外籍勞工-合計_原始值,產業外籍勞工-合計_年增率(%),產業外籍勞工-農、林、漁、牧業(國內外船員)_原始值,產業外籍勞工-農、林、漁、牧業(國內外船員)_年增率(%),產業外籍勞工-製造業_原始值,產業外籍勞工-製造業_年增率(%),產業外籍勞工-製造業-重大投資_原始值,產業外籍勞工-製造業-重大投資_年增率(%),產業外籍勞工-營造業_原始值,產業外籍勞工-營造業_年增率(%),產業外籍勞工-營造業-重大公共工程_原始值,產業外籍勞工-營造業-重大公共工程_年增率(%),社福外籍勞工-合計_原始值,社福外籍勞工-合計_年增率(%),社福外籍勞工-看護工_原始值,社福外籍勞工-看護工_年增率(%),社福外籍勞工-家庭幫傭_原始值,社福外籍勞工-家庭幫傭_年增率(%)
2000M10,"324,204",11.24,"221,347",-0.05,"1,187",23.77,"182,049",6.00,"73,249",12.32,"38,111",-21.83,"33,876",-24.87,"102,857",46.98,"95,133",52.68,"7,724",0.68
2000M11,"324,797",12.24,"220,142",1.11,"1,189",20.34,"181,737",6.18,"72,791",10.66,"37,216",-18.34,"32,933",-21.43,"104,655",46.06,"96,939",51.52,"7,716",0.53
2000M12,"326,515",10.70,"220,184",0.00,"1,185",19.34,"181,998",4.76,"71,624",6.32,"37,001",-18.58,"32,572",-21.68,"106,331",42.17,"98,508",46.89,"7,823",1.20
2001M01,"325,019",9.59,"218,534",-1.04,"1,173",16.14,"181,259",3.90,"70,443",3.36,"36,102",-20.40,"31,555",-23.96,"106,485",40.58,"98,445",44.67,"8,040",4.46
2001M02,"326,937",9.07,"218,369",-1.56,"1,117",3.81,"181,096",3.38,"70,601",2.61,"36,156",-20.67,"31,545",-24.44,"108,568",39.31,"100,363",42.88,"8,205",6.68
2001M03,"327,529",8.65,"218,333",-1.71,"1,101",2.32,"180,739",1.49,"70,434",1.21,"36,493",-15.07,"31,836",-18.61,"109,196",37.68,"100,870",40.70,"8,326",9.24
2001M04,"329,312",10.27,"218,106",0.06,"1,126",6.33,"179,854",1.11,"70,494",0.14,"37,126",-4.91,"32,454",-8.09,"111,206",37.89,"102,655",40.00,"8,551",16.74
2001M05,"328,800",8.82,"216,044",-1.14,"1,143",8.55,"178,414",0.22,"70,105",-1.03,"36,487",-7.54,"31,928",-10.38,"112,756",34.86,"104,019",36.38,"8,737",19.07
2001M06,"329,612",6.52,"215,472",-3.07,"1,168",7.75,"176,976",-2.63,"69,158",-5.09,"37,328",-5.39,"32,977",-7.14,"114,140",30.99,"105,222",31.91,"8,918",21.00
2001M07,"326,261",4.62,"211,699",-4.87,"1,180",4.24,"173,230",-4.93,"67,350",-8.50,"37,289",-4.83,"33,026",-5.87,"114,562",28.26,"105,559",28.82,"9,003",22.01
2001M08,"320,827",1.50,"206,308",-7.16,"1,185",4.13,"168,894",-7.45,"65,439",-11.31,"36,229",-6.07,"32,077",-6.92,"114,519",22.00,"105,511",22.17,"9,008",20.03
2001M09,"319,240",-0.51,"204,255",-8.30,"1,163",0.43,"166,348",-8.96,"64,496",-12.46,"36,744",-5.48,"32,621",-5.73,"114,985",17.20,"105,873",16.97,"9,112",19.93
2001M10,"315,712",-2.62,"200,471",-9.43,"1,236",4.13,"163,953",-9.94,"63,750",-12.97,"35,282",-7.42,"31,373",-7.39,"115,241",12.04,"106,021",11.45,"9,220",19.37
2001M11,"312,279",-3.85,"196,827",-10.59,"1,255",5.55,"161,479",-11.15,"63,116",-13.29,"34,093",-8.39,"30,325",-7.92,"115,452",10.32,"106,123",9.47,"9,329",20.90
2001M12,"304,605",-6.71,"191,671",-12.95,"1,249",5.40,"157,055",-13.71,"61,258",-14.47,"33,367",-9.82,"29,619",-9.07,"112,934",6.21,"103,780",5.35,"9,154",17.01
2002M01,"303,567",-6.60,"189,678",-13.20,"1,277",8.87,"156,317",-13.76,"61,185",-13.14,"32,084",-11.13,"28,521",-9.61,"113,889",6.95,"104,528",6.18,"9,361",16.43
2002M02,"303,550",-7.15,"189,418",-13.26,"1,322",18.35,"156,006",-13.85,"61,160",-13.37,"32,090",-11.25,"28,507",-9.63,"114,132",5.12,"104,785",4.41,"9,347",13.92
2002M03,"301,764",-7.87,"188,514",-13.66,"1,342",21.89,"156,545",-13.39,"61,436",-12.78,"30,627",-16.07,"27,237",-14.45,"113,250",3.71,"104,043",3.15,"9,207",10.58
2002M04,"300,069",-8.88,"187,051",-14.24,"1,479",31.35,"155,954",-13.29,"61,343",-12.98,"29,618",-20.22,"26,382",-18.71,"113,018",1.63,"103,994",1.30,"9,024",5.53
2002M05,"305,322",-7.14,"189,907",-12.10,"1,763",54.24,"159,545",-10.58,"63,094",-10.00,"28,599",-21.62,"25,499",-20.14,"115,415",2.36,"106,612",2.49,"8,803",0.76
2002M06,"307,538",-6.70,"190,666",-11.51,"1,884",61.30,"160,452",-9.34,"63,646",-7.97,"28,330",-24.11,"25,337",-23.17,"116,872",2.39,"108,137",2.77,"8,735",-2.05
2002M07,"312,200",-4.31,"192,845",-8.91,"2,156",82.71,"162,837",-6.00,"65,063",-3.40,"27,852",-25.31,"24,943",-24.47,"119,355",4.18,"111,004",5.16,"8,351",-7.24
2002M08,"311,464",-2.92,"192,354",-6.76,"2,293",93.50,"162,912",-3.54,"65,206",-0.36,"27,149",-25.06,"24,459",-23.75,"119,110",4.01,"111,053",5.25,"8,057",-10.56
2002M09,"307,567",-3.66,"189,384",-7.28,"2,494",114.45,"161,191",-3.10,"64,548",0.08,"25,699",-30.06,"23,127",-29.10,"118,183",2.78,"110,507",4.38,"7,676",-15.76
2002M10,"308,489",-2.29,"187,974",-6.23,"2,714",119.58,"160,346",-2.20,"64,480",1.15,"24,914",-29.39,"22,530",-28.19,"120,515",4.58,"113,046",6.63,"7,469",-18.99
2002M11,"306,657",-1.80,"185,794",-5.61,"2,848",126.93,"158,891",-1.60,"64,532",2.24,"24,055",-29.44,"21,791",-28.14,"120,863",4.69,"113,666",7.11,"7,197",-22.85
2002M12,"303,684",-0.30,"182,973",-4.54,"2,935",134.99,"156,697",-0.23,"64,183",4.77,"23,341",-30.05,"21,191",-28.45,"120,711",6.89,"113,755",9.61,"6,956",-24.01
2003M01,"305,021",0.48,"183,598",-3.21,"2,973",132.81,"157,730",0.90,"64,931",6.12,"22,895",-28.64,"20,869",-26.83,"121,423",6.62,"114,625",9.66,"6,798",-27.38
2003M02,"305,197",0.54,"184,249",-2.73,"3,022",128.59,"159,500",2.24,"65,605",7.27,"21,727",-32.29,"19,789",-30.58,"120,948",5.97,"114,277",9.06,"6,671",-28.63
2003M03,"305,346",1.19,"184,454",-2.15,"3,110",131.74,"159,853",2.11,"66,035",7.49,"21,491",-29.83,"19,665",-27.80,"120,892",6.75,"114,364",9.92,"6,528",-29.10
2003M04,"304,556",1.50,"184,118",-1.57,"3,163",113.86,"160,152",2.69,"66,545",8.48,"20,803",-29.76,"19,028",-27.88,"120,438",6.57,"114,069",9.69,"6,369",-29.42
2003M05,"301,780",-1.16,"181,919",-4.21,"3,156",79.01,"158,020",-0.96,"65,840",4.35,"20,743",-27.47,"18,999",-25.49,"119,861",3.85,"113,655",6.61,"6,206",-29.50
2003M06,"294,557",-4.22,"175,771",-7.81,"3,166",68.05,"153,795",-4.15,"64,133",0.77,"18,810",-33.60,"17,215",-32.06,"118,786",1.64,"112,815",4.33,"5,971",-31.64
2003M07,"294,474",-5.68,"174,679",-9.42,"3,327",54.31,"154,280",-5.25,"64,578",-0.75,"17,072",-38.70,"15,582",-37.53,"119,795",0.37,"114,029",2.73,"5,766",-30.95
2003M08,"295,840",-5.02,"176,406",-8.29,"3,392",47.93,"156,104",-4.18,"66,025",1.26,"16,910",-37.71,"15,466",-36.77,"119,434",0.27,"113,844",2.51,"5,590",-30.62
2003M09,"297,489",-3.28,"178,427",-5.79,"3,411",36.77,"158,984",-1.37,"67,864",5.14,"16,032",-37.62,"14,601",-36.87,"119,062",0.74,"113,689",2.88,"5,373",-30.00
2003M10,"297,254",-3.64,"178,354",-5.12,"3,405",25.46,"159,566",-0.49,"68,439",6.14,"15,383",-38.26,"13,979",-37.95,"118,900",-1.34,"113,702",0.58,"5,198",-30.41
2003M11,"299,263",-2.41,"179,662",-3.30,"3,419",20.05,"161,266",1.49,"69,629",7.90,"14,977",-37.74,"13,597",-37.60,"119,601",-1.04,"114,570",0.80,"5,031",-30.10
2003M12,"300,150",-1.16,"179,552",-1.87,"3,396",15.71,"162,039",3.41,"70,354",9.61,"14,117",-39.52,"12,747",-39.85,"120,598",-0.09,"115,724",1.73,"4,874",-29.93
2004M01,"299,835",-1.70,"178,787",-2.62,"3,396",14.23,"162,083",2.76,"70,623",8.77,"13,308",-41.87,"11,924",-42.86,"121,048",-0.31,"116,334",1.49,"4,714",-30.66
2004M02,"299,913",-1.73,"179,087",-2.80,"3,385",12.01,"162,993",2.19,"70,880",8.04,"12,709",-41.51,"11,336",-42.72,"120,826",-0.10,"116,302",1.77,"4,524",-32.18
2004M03,"298,392",-2.28,"178,052",-3.47,"3,428",10.23,"163,422",2.23,"71,469",8.23,"11,202",-47.88,"9,920",-49.56,"120,340",-0.46,"116,045",1.47,"4,295",-34.21
2004M04,"298,480",-2.00,"178,270",-3.18,"3,471",9.74,"164,177",2.51,"71,978",8.16,"10,622",-48.94,"9,313",-51.06,"120,210",-0.19,"116,069",1.75,"4,141",-34.98
2004M05,"304,024",0.74,"180,217",-0.94,"3,779",19.74,"166,380",5.29,"73,439",11.54,"10,058",-51.51,"8,754",-53.92,"123,807",3.29,"119,752",5.36,"4,055",-34.66
2004M06,"302,044",2.54,"179,752",2.26,"3,405",7.55,"166,645",8.36,"73,878",15.19,"9,702",-48.42,"8,439",-50.98,"122,292",2.95,"118,523",5.06,"3,769",-36.88
2004M07,"302,828",2.84,"179,891",2.98,"3,344",0.51,"167,197",8.37,"74,288",15.04,"9,350",-45.23,"8,084",-48.12,"122,937",2.62,"119,340",4.66,"3,597",-37.62
2004M08,"308,253",4.20,"182,643",3.54,"3,276",-3.42,"168,698",8.07,"75,535",14.40,"10,669",-36.91,"8,105",-47.59,"125,610",5.17,"122,147",7.29,"3,463",-38.05
2004M09,"307,477",3.36,"181,847",1.92,"3,217",-5.69,"167,770",5.53,"75,485",11.23,"10,860",-32.26,"7,915",-45.79,"125,630",5.52,"122,329",7.60,"3,301",-38.56
2004M10,"309,339",4.07,"182,189",2.15,"3,171",-6.87,"168,167",5.39,"75,914",10.92,"10,851",-29.46,"7,517",-46.23,"127,150",6.94,"124,053",9.10,"3,097",-40.42
2004M11,"312,664",4.48,"183,056",1.89,"3,171",-7.25,"168,419",4.44,"76,097",9.29,"11,466",-23.44,"7,621",-43.95,"129,608",8.37,"126,631",10.53,"2,977",-40.83
2004M12,"314,034",4.63,"182,967",1.90,"3,089",-9.04,"167,694",3.49,"76,125",8.20,"12,184",-13.69,"7,763",-39.10,"131,067",8.68,"128,223",10.80,"2,844",-41.65
2005M01,"312,327",4.17,"180,945",1.21,"3,004",-11.54,"165,724",2.25,"75,394",6.76,"12,217",-8.20,"7,455",-37.48,"131,382",8.54,"128,703",10.63,"2,679",-43.17
2005M02,"309,776",3.29,"178,836",-0.14,"2,928",-13.50,"164,010",0.62,"75,056",5.89,"11,898",-6.38,"7,075",-37.59,"130,940",8.37,"128,379",10.38,"2,561",-43.39
2005M03,"304,833",2.16,"176,428",-0.91,"2,860",-16.57,"161,618",-1.10,"74,585",4.36,"11,950",6.68,"6,905",-30.39,"128,405",6.70,"125,985",8.57,"2,420",-43.66
2005M04,"302,649",1.40,"175,278",-1.68,"2,955",-14.87,"160,184",-2.43,"74,666",3.73,"12,139",14.28,"6,705",-28.00,"127,371",5.96,"125,004",7.70,"2,367",-42.84
2005M05,"299,781",-1.40,"173,937",-3.48,"2,891",-23.50,"158,537",-4.71,"74,036",0.81,"12,509",24.37,"6,686",-23.62,"125,844",1.65,"123,546",3.17,"2,298",-43.33
2005M06,"300,716",-0.44,"174,023",-3.19,"2,858",-16.06,"158,174",-5.08,"74,234",0.48,"12,991",33.90,"6,688",-20.75,"126,693",3.60,"124,421",4.98,"2,272",-39.72
2005M07,"303,812",0.32,"174,671",-2.90,"2,912",-12.92,"158,775",-5.04,"74,718",0.58,"12,984",38.87,"6,302",-22.04,"129,141",5.05,"126,892",6.33,"2,249",-37.48
2005M08,"310,008",0.57,"176,968",-3.11,"2,888",-11.84,"160,971",-4.58,"75,671",0.18,"13,109",22.87,"6,232",-23.11,"133,040",5.92,"130,777",7.07,"2,263",-34.65
2005M09,"315,537",2.62,"179,306",-1.40,"2,889",-10.20,"163,147",-2.76,"76,810",1.76,"13,270",22.19,"6,231",-21.28,"136,231",8.44,"133,993",9.53,"2,238",-32.20
2005M10,"320,614",3.64,"180,860",-0.73,"2,983",-5.93,"164,319",-2.29,"77,611",2.24,"13,558",24.95,"6,479",-13.81,"139,754",9.91,"137,487",10.83,"2,267",-26.80
2005M11,"322,771",3.23,"181,874",-0.65,"2,998",-5.46,"165,394",-1.80,"78,492",3.15,"13,482",17.58,"6,394",-16.10,"140,897",8.71,"138,646",9.49,"2,251",-24.39
2005M12,"327,396",4.25,"183,381",0.23,"3,147",1.88,"166,928",-0.46,"79,569",4.52,"13,306",9.21,"6,193",-20.22,"144,015",9.88,"141,752",10.55,"2,263",-20.43
2006M01,"327,311",4.80,"180,993",0.03,"3,160",5.19,"164,607",-0.67,"79,150",4.98,"13,226",8.26,"6,142",-17.61,"146,318",11.37,"144,059",11.93,"2,259",-15.68
2006M02,"331,741",7.09,"183,153",2.41,"3,185",8.78,"166,820",1.71,"80,826",7.69,"13,148",10.51,"6,402",-9.51,"148,588",13.48,"146,325",13.98,"2,263",-11.64
2006M03,"333,189",9.30,"183,900",4.24,"3,233",13.04,"167,543",3.67,"81,567",9.36,"13,124",9.82,"6,354",-7.98,"149,289",16.26,"146,992",16.67,"2,297",-5.08
2006M04,"333,593",10.22,"184,720",5.39,"3,238",9.58,"168,060",4.92,"82,123",9.99,"13,422",10.57,"6,634",-1.06,"148,873",16.88,"146,602",17.28,"2,271",-4.06
2006M05,"333,477",11.24,"184,723",6.20,"3,246",12.28,"168,645",6.38,"83,078",12.21,"12,832",2.58,"6,196",-7.33,"148,754",18.21,"146,457",18.54,"2,297",-0.04
2006M06,"336,945",12.05,"186,831",7.36,"3,223",12.77,"170,808",7.99,"84,399",13.69,"12,800",-1.47,"6,200",-7.30,"150,114",18.49,"147,791",18.78,"2,323",2.24
2006M07,"336,779",10.85,"185,470",6.18,"3,198",9.82,"169,625",6.83,"84,256",12.77,"12,647",-2.60,"6,136",-2.63,"151,309",17.17,"148,962",17.39,"2,347",4.36
2006M08,"336,462",8.53,"184,715",4.38,"3,152",9.14,"169,134",5.07,"84,292",11.39,"12,429",-5.19,"6,030",-3.24,"151,747",14.06,"149,387",14.23,"2,360",4.29
2006M09,"336,864",6.76,"184,301",2.79,"3,153",9.14,"168,986",3.58,"84,308",9.76,"12,162",-8.35,"5,931",-4.81,"152,563",11.99,"150,194",12.09,"2,369",5.85
2006M10,"336,985",5.11,"184,259",1.88,"3,145",5.43,"169,065",2.89,"84,242",8.54,"12,049",-11.13,"5,963",-7.96,"152,726",9.28,"150,326",9.34,"2,400",5.87
2006M11,"338,041",4.73,"184,871",1.65,"3,243",8.17,"169,498",2.48,"84,182",7.25,"12,130",-10.03,"6,007",-6.05,"153,170",8.71,"150,764",8.74,"2,406",6.89
2006M12,"338,755",3.47,"184,970",0.87,"3,322",5.56,"169,903",1.78,"83,993",5.56,"11,745",-11.73,"5,884",-4.99,"153,785",6.78,"151,391",6.80,"2,394",5.79
2007M01,"341,871",4.45,"186,040",2.79,"3,356",6.20,"170,902",3.82,"84,061",6.20,"11,782",-10.92,"5,822",-5.21,"155,831",6.50,"153,396",6.48,"2,435",7.79
2007M02,"341,623",2.98,"184,312",0.63,"3,417",7.28,"169,167",1.41,"83,184",2.92,"11,728",-10.80,"5,840",-8.78,"157,311",5.87,"154,856",5.83,"2,455",8.48
2007M03,"345,812",3.79,"187,255",1.82,"3,542",9.56,"172,031",2.68,"84,128",3.14,"11,682",-10.99,"5,959",-6.22,"158,557",6.21,"156,069",6.18,"2,488",8.32
2007M04,"347,172",4.07,"187,747",1.64,"3,572",10.32,"172,947",2.91,"84,371",2.74,"11,228",-16.35,"5,952",-10.28,"159,425",7.09,"156,915",7.03,"2,510",10.52
2007M05,"348,670",4.56,"188,371",1.97,"3,623",11.61,"173,975",3.16,"84,776",2.04,"10,773",-16.05,"5,871",-5.25,"160,299",7.76,"157,761",7.72,"2,538",10.49
2007M06,"350,955",4.16,"190,051",1.72,"3,656",13.43,"176,061",3.08,"85,546",1.36,"10,334",-19.27,"5,858",-5.52,"160,904",7.19,"158,360",7.15,"2,544",9.51
2007M07,"351,215",4.29,"190,002",2.44,"3,656",14.32,"176,368",3.98,"85,269",1.20,"9,978",-21.10,"5,949",-3.05,"161,213",6.55,"158,683",6.53,"2,530",7.80
2007M08,"352,297",4.71,"190,442",3.10,"3,660",16.12,"177,242",4.79,"85,412",1.33,"9,540",-23.24,"5,801",-3.80,"161,855",6.66,"159,312",6.64,"2,543",7.75
2007M09,"355,756",5.61,"192,606",4.51,"3,727",18.20,"179,726",6.36,"86,082",2.10,"9,153",-24.74,"5,841",-1.52,"163,150",6.94,"160,602",6.93,"2,548",7.56
2007M10,"356,510",5.79,"194,270",5.43,"3,713",18.06,"181,269",7.22,"86,417",2.58,"9,288",-22.91,"6,091",2.15,"162,240",6.23,"159,713",6.24,"2,527",5.29
2007M11,"357,705",5.82,"195,233",5.60,"3,724",14.83,"182,813",7.86,"86,666",2.95,"8,696",-28.31,"6,150",2.38,"162,472",6.07,"159,934",6.08,"2,538",5.49
2007M12,"357,937",5.66,"195,709",5.81,"3,786",13.97,"183,329",7.90,"86,582",3.08,"8,594",-26.83,"5,992",1.84,"162,228",5.49,"159,702",5.49,"2,526",5.51
2008M01,"359,103",5.04,"195,220",4.93,"3,785",12.78,"183,142",7.16,"86,328",2.70,"8,293",-29.61,"5,773",-0.84,"163,883",5.17,"161,353",5.19,"2,530",3.90
2008M02,"362,782",6.19,"196,426",6.57,"3,947",15.51,"184,542",9.09,"86,496",3.98,"7,937",-32.32,"5,455",-6.59,"166,356",5.75,"163,815",5.79,"2,541",3.50
2008M03,"365,229",5.61,"198,085",5.78,"4,091",15.50,"186,224",8.25,"86,701",3.06,"7,770",-33.49,"5,380",-9.72,"167,144",5.42,"164,572",5.45,"2,572",3.38
2008M04,"367,119",5.75,"199,139",6.07,"4,204",17.69,"187,298",8.30,"86,566",2.60,"7,637",-31.98,"5,287",-11.17,"167,980",5.37,"165,383",5.40,"2,597",3.47
2008M05,"369,406",5.95,"201,291",6.86,"4,302",18.74,"189,484",8.91,"86,592",2.14,"7,505",-30.34,"5,191",-11.58,"168,115",4.88,"165,517",4.92,"2,598",2.36
2008M06,"372,097",6.02,"203,927",7.30,"4,417",20.82,"192,230",9.18,"86,400",1.00,"7,280",-29.55,"5,015",-14.39,"168,170",4.52,"165,573",4.55,"2,597",2.08
2008M07,"374,147",6.53,"205,849",8.34,"4,497",23.00,"194,258",10.14,"85,936",0.78,"7,094",-28.90,"4,947",-16.84,"168,298",4.39,"165,727",4.44,"2,571",1.62
2008M08,"373,336",5.97,"205,657",7.99,"4,497",22.87,"194,221",9.58,"84,689",-0.85,"6,939",-27.26,"4,817",-16.96,"167,679",3.60,"165,093",3.63,"2,586",1.69
2008M09,"369,730",3.93,"204,014",5.92,"4,488",20.42,"192,598",7.16,"83,190",-3.36,"6,928",-24.31,"4,797",-17.87,"165,716",1.57,"163,167",1.60,"2,549",0.04
2008M10,"373,190",4.68,"206,532",6.31,"4,613",24.24,"195,268",7.72,"82,636",-4.38,"6,651",-28.39,"4,633",-23.94,"166,658",2.72,"164,116",2.76,"2,542",0.59
2008M11,"373,276",4.35,"205,163",5.09,"4,723",26.83,"194,052",6.15,"80,834",-6.73,"6,388",-26.54,"4,559",-25.87,"168,113",3.47,"165,564",3.52,"2,549",0.43
2008M12,"365,060",1.99,"196,633",0.47,"4,865",28.50,"185,624",1.25,"74,757",-13.66,"6,144",-28.51,"4,467",-25.45,"168,427",3.82,"165,898",3.88,"2,529",0.12
2009M01,"355,743",-0.94,"186,606",-4.41,"4,929",30.22,"175,910",-3.95,"68,871",-20.22,"5,767",-30.46,"4,212",-27.04,"169,137",3.21,"166,603",3.25,"2,534",0.16
2009M02,"349,258",-3.73,"178,216",-9.27,"5,222",32.30,"167,601",-9.18,"62,704",-27.51,"5,393",-32.05,"3,978",-27.08,"171,042",2.82,"168,484",2.85,"2,558",0.67
2009M03,"343,227",-6.02,"172,509",-12.91,"5,387",31.68,"162,015",-13.00,"59,660",-31.19,"5,107",-34.27,"3,829",-28.83,"170,718",2.14,"168,179",2.19,"2,539",-1.28
2009M04,"344,372",-6.20,"171,715",-13.77,"5,877",39.80,"160,988",-14.05,"58,716",-32.17,"4,850",-36.49,"3,618",-31.57,"172,657",2.78,"170,146",2.88,"2,511",-3.31
