期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
1999M03,"130,354",-5.23,"39,040",-47.42,"49,980",72.50,"23,265",370.00,"5,091",59.09,"9,895",52.61,"3,083",-84.34,-,-
1999M04,"133,143",-3.52,"59,060",-28.12,"36,037",9.12,"14,830",165.20,"3,690",405.48,"15,776",462.42,"3,750",-72.58,-,-
1999M05,"145,309",-11.38,"57,798",-27.04,"43,971",-11.87,"17,894",206.40,"8,977",335.78,"12,534",4.97,"4,135",-72.46,-,-
1999M06,"156,018",-16.81,"69,466",-18.29,"34,455",-47.36,"19,531",220.34,"6,280",86.90,"22,101",73.34,"4,185",-71.84,-,-
1999M07,"174,793",4.10,"71,318",-19.81,"44,343",28.33,"19,255",38.03,"9,879",122.75,"26,178",33.11,"3,820",-39.94,-,-
1999M08,"159,957",-8.20,"25,217",-70.32,"35,769",-21.07,"47,698",268.04,"17,605",137.26,"28,738",72.29,"4,930",-28.65,-,-
1999M09,"160,017",-28.83,"44,584",-54.16,"38,535",-51.00,"22,860",-14.70,"8,593",84.40,"40,925",292.19,"4,520",-35.61,-,-
1999M10,"152,617",-16.81,"31,556",-61.69,"26,595",-61.36,"31,114",101.49,"10,835",294.00,"41,032",391.40,"11,485",100.79,-,-
1999M11,"174,314",-7.40,"43,199",-58.29,"32,001",-41.42,"21,744",38.45,"17,215",428.07,"43,055",711.59,"17,100",196.88,-,-
1999M12,"159,609",11.03,"30,951",-25.50,"37,656",-38.90,"20,215",9.56,"14,700",157.89,"39,482",237.68,"16,605",251.06,-,-
2000M01,"115,563",-33.50,"40,960",-55.00,"14,334",-69.43,"7,842",-42.29,"7,372",-20.73,"30,937",196.33,"14,118",455.17,-,-
2000M02,"104,126",-40.86,"31,776",-66.74,"18,106",-53.75,"12,990",18.20,"3,860",-73.34,"23,531",65.44,"13,863",709.28,-,-
2000M03,"154,971",18.88,"31,022",-20.54,"40,942",-18.08,"20,380",-12.40,"4,910",-3.56,"37,114",275.08,"20,603",568.28,-,-
2000M04,"162,380",21.96,"35,728",-39.51,"46,447",28.89,"11,555",-22.08,"7,845",112.60,"38,972",147.03,"21,833",482.21,-,-
2000M05,"130,744",-10.02,"40,136",-30.56,"38,348",-12.79,"13,870",-22.49,"2,310",-74.27,"21,900",74.72,"14,180",242.93,-,-
2000M06,"104,863",-32.79,"40,295",-41.99,"29,558",-14.21,"15,290",-21.71,"4,200",-33.12,"13,040",-41.00,"2,480",-40.74,-,-
2000M07,"167,156",-4.37,"67,278",-5.66,"45,243",2.03,"18,770",-2.52,"10,320",4.46,"22,095",-15.60,"3,450",-9.69,-,-
2000M08,"153,358",-4.13,"66,306",162.94,"40,198",12.38,"12,905",-72.94,"8,700",-50.58,"21,099",-26.58,"4,150",-15.82,-,-
2000M09,"175,953",9.96,"63,012",41.33,"61,529",59.67,"13,050",-42.91,"10,400",21.03,"25,412",-37.91,"2,550",-43.58,-,-
2000M10,"181,988",19.24,"20,507",-35.01,"94,311",254.62,"32,930",5.84,"7,400",-31.70,"20,790",-49.33,"6,050",-47.32,-,-
2000M11,"198,404",13.82,"65,957",52.68,"69,213",116.28,"28,260",29.97,"4,700",-72.70,"18,424",-57.21,"11,850",-30.70,-,-
2000M12,"226,141",41.68,"93,640",202.54,"62,750",66.64,"30,559",51.17,"1,680",-88.57,"18,080",-54.21,"19,432",17.02,-,-
2001M01,"177,094",53.24,"38,854",-5.14,"38,579",169.14,"47,284",502.96,"16,485",123.62,"21,410",-30.79,"14,232",0.81,-,-
2001M02,"191,894",84.29,"40,291",26.80,"106,187",486.47,"18,593",43.13,"2,696",-30.16,"16,237",-31.00,"7,890",-43.09,-,-
2001M03,"208,925",34.82,"24,451",-21.18,"136,040",232.27,"27,594",35.40,"4,580",-6.72,"12,370",-66.67,"3,890",-81.12,-,-
2001M04,"212,221",30.69,"32,499",-9.04,"81,063",74.53,"34,279",196.66,"6,820",-13.07,"38,120",-2.19,"19,440",-10.96,-,-
2001M05,"280,542",114.57,"45,075",12.31,"127,896",233.51,"54,154",290.44,"10,372",349.00,"20,155",-7.97,"22,890",61.42,-,-
2001M06,"304,003",189.90,"42,883",6.42,"102,931",248.23,"68,402",347.36,"43,076",925.62,"26,211",101.00,"20,500",726.61,-,-
2001M07,"294,122",75.96,"62,414",-7.23,"95,778",111.70,"51,441",174.06,"16,170",56.69,"43,999",99.14,"24,320",604.93,-,-
2001M08,"192,003",25.20,"53,585",-19.19,"63,545",58.08,"32,621",152.78,"7,091",-18.49,"11,441",-45.77,"23,720",471.57,-,-
2001M09,"227,137",29.09,"44,728",-29.02,"111,603",81.38,"40,683",211.75,"5,100",-50.96,"6,373",-74.92,"18,650",631.37,-,-
2001M10,"202,069",11.03,"35,178",71.54,"87,679",-7.03,"33,186",0.78,"13,305",79.80,"15,671",-24.62,"17,050",181.82,-,-
2001M11,"176,437",-11.07,"35,565",-46.08,"62,212",-10.12,"42,168",49.21,"8,421",79.17,"9,721",-47.24,"18,350",54.85,-,-
2001M12,"185,904",-17.79,"45,690",-51.21,"73,955",17.86,"29,923",-2.08,"12,215",627.08,"4,071",-77.48,"20,050",3.18,-,-
2002M01,"190,620",7.64,"46,484",19.64,"67,522",75.02,"17,511",-62.97,"17,402",5.56,"21,981",2.67,"19,720",38.56,-,-
2002M02,"147,151",-23.32,"30,380",-24.60,"50,393",-52.54,"19,671",5.80,"8,500",215.28,"18,987",16.94,"19,220",143.60,-,-
2002M03,"119,516",-42.79,"24,737",1.17,"39,763",-70.77,"19,275",-30.15,"5,090",11.14,"11,801",-4.60,"18,850",384.58,-,-
2002M04,"188,181",-11.33,"63,758",96.18,"60,886",-24.89,"18,746",-45.31,"5,770",-15.40,"17,321",-54.56,"21,700",11.63,-,-
2002M05,"197,962",-29.44,"67,211",49.11,"59,535",-53.45,"24,280",-55.16,"7,300",-29.62,"16,321",-19.02,"23,315",1.86,-,-
2002M06,"156,834",-48.41,"45,309",5.66,"34,015",-66.95,"27,639",-59.59,"9,630",-77.64,"17,126",-34.66,"23,115",12.76,-,-
2002M07,"205,408",-30.16,"45,340",-27.36,"92,261",-3.67,"28,711",-44.19,"8,260",-48.92,"9,221",-79.04,"21,615",-11.12,-,-
2002M08,"246,539",28.40,"75,017",40.00,"83,680",31.69,"49,276",51.06,"10,240",44.41,"6,741",-41.08,"21,585",-9.00,-,-
2002M09,"297,999",31.20,"61,199",36.82,"100,348",-10.08,"79,341",95.02,"23,260",356.08,"11,281",77.01,"22,570",21.02,-,-
2002M10,"226,349",12.02,"29,218",-16.94,"69,514",-20.72,"68,997",107.91,"22,500",69.11,"12,250",-21.83,"23,870",40.00,-,-
2002M11,"105,291",-40.32,"19,776",-44.39,"26,969",-56.65,"16,896",-59.93,"14,110",67.56,"7,970",-18.01,"19,570",6.65,-,-
2002M12,"138,880",-25.29,"13,409",-70.65,"53,761",-27.31,"35,970",20.21,"11,370",-6.92,"5,700",40.01,"18,670",-6.88,-,-
2003M01,"142,810",-25.08,0,-100.00,"33,450",-50.46,"20,250",15.64,"16,015",-7.97,"51,035",132.18,"22,060",11.87,-,-
2003M02,"175,827",19.49,"34,867",14.77,"51,661",2.52,"42,429",115.69,"8,430",-0.82,"16,900",-10.99,"21,540",12.07,-,-
2003M03,"163,646",36.92,"16,663",-32.64,"44,586",12.13,"40,117",108.13,"25,270",396.46,"19,360",64.05,"17,650",-6.37,-,-
2003M04,"192,029",2.04,"40,120",-37.07,"54,784",-10.02,"42,880",128.74,"28,350",391.33,"23,995",38.53,"1,900",-91.24,-,-
2003M05,"225,862",14.09,"51,145",-23.90,"55,977",-5.98,"60,560",149.42,"27,365",274.86,"28,315",73.49,"2,500",-89.28,-,-
2003M06,"183,308",16.88,"31,904",-29.59,"58,964",73.35,"58,800",112.74,"20,080",108.52,"11,120",-35.07,"2,440",-89.44,-,-
2003M07,"119,876",-41.64,"34,785",-23.28,"28,471",-69.14,"23,160",-19.33,"8,630",4.48,"21,190",129.80,"3,640",-83.16,-,-
2003M08,"120,480",-51.13,"19,603",-73.87,"52,070",-37.77,"27,337",-44.52,"10,820",5.66,"7,350",9.03,"3,300",-84.71,-,-
2003M09,"170,978",-42.62,"41,053",-32.92,"64,980",-35.25,"31,495",-60.30,"10,650",-54.21,"18,000",59.56,"4,800",-78.73,-,-
2003M10,"164,465",-27.34,"47,040",61.00,"71,685",3.12,"31,300",-54.64,"3,550",-84.22,"6,990",-42.94,"3,900",-83.66,-,-
2003M11,"203,144",92.94,"46,180",133.52,"61,614",128.46,"65,260",286.25,"19,040",34.94,"8,200",2.89,"2,850",-85.44,-,-
2003M12,"183,064",31.81,"34,342",156.11,"53,232",-0.98,"56,470",56.99,"25,320",122.69,"12,150",113.16,"1,550",-91.70,-,-
2004M01,"151,267",5.92,"16,241",--,"33,191",-0.77,"34,825",71.98,"32,855",105.15,"32,605",-36.11,"1,550",-92.97,-,-
2004M02,"134,600",-23.45,"53,679",53.95,"39,931",-22.71,"22,950",-45.91,"8,540",1.30,"7,950",-52.96,"1,550",-92.80,-,-
2004M03,"201,031",22.85,"65,049",290.38,"67,371",51.10,"32,871",-18.06,"14,470",-42.74,"20,970",8.32,300,-98.30,-,-
2004M04,"172,347",-10.25,"36,602",-8.77,"57,725",5.37,"53,420",24.58,"11,820",-58.31,"11,480",-52.16,"1,300",-31.58,-,-
2004M05,"213,108",-5.65,"32,136",-37.17,"68,907",23.10,"74,925",23.72,"13,300",-51.40,"22,840",-19.34,"1,000",-60.00,-,-
2004M06,"198,959",8.54,"39,903",25.07,"56,952",-3.41,"75,628",28.62,"16,600",-17.33,"8,476",-23.78,"1,400",-42.62,-,-
2004M07,"213,191",77.84,"38,109",9.56,"94,995",233.66,"55,087",137.85,"14,530",68.37,"8,570",-59.56,"1,900",-47.80,-,-
2004M08,"185,671",54.11,"43,650",122.67,"75,460",44.92,"44,747",63.69,"14,454",33.59,"5,110",-30.48,"2,250",-31.82,-,-
2004M09,"151,450",-11.42,"56,760",38.26,"36,440",-43.92,"30,870",-1.98,"18,250",71.36,"6,850",-61.94,"2,280",-52.50,-,-
2004M10,"161,360",-1.89,"37,070",-21.19,"49,065",-31.55,"46,630",48.98,"13,460",279.15,"12,905",84.62,"2,230",-42.82,-,-
2004M11,"161,219",-20.64,"42,295",-8.41,"48,734",-20.90,"45,160",-30.80,"9,140",-52.00,"12,660",54.39,"3,230",13.33,-,-
2004M12,"162,041",-11.48,"72,306",110.55,"32,345",-39.24,"27,510",-51.28,"9,260",-63.43,"16,170",33.09,"4,450",187.10,-,-
2005M01,"187,103",23.69,"60,791",274.31,"51,131",54.05,"28,735",-17.49,"13,390",-59.25,"22,096",-32.23,"10,960",607.10,-,-
2005M02,"179,520",33.37,"44,223",-17.62,"54,176",35.67,"46,847",104.13,"4,496",-47.35,"20,618",159.35,"9,160",490.97,-,-
2005M03,"215,793",7.34,"36,500",-43.89,"58,753",-12.79,"60,998",85.57,"23,067",59.41,"17,860",-14.83,"18,615","6,105.00",-,-
2005M04,"224,539",30.28,"41,670",13.85,"41,176",-28.67,"77,014",44.17,"25,580",116.41,"15,500",35.02,"23,599","1,715.31",-,-
2005M05,"213,791",0.32,"45,004",40.04,"66,402",-3.64,"60,950",-18.65,"17,175",29.14,"10,150",-55.56,"14,110","1,311.00",-,-
2005M06,"222,808",11.99,"58,320",46.15,"53,598",-5.89,"62,060",-17.94,"34,220",106.14,"8,090",-4.55,"6,520",365.71,-,-
2005M07,"266,965",25.22,"46,106",20.98,"62,644",-34.06,"73,810",33.99,"26,990",85.75,"19,185",123.86,"38,230","1,912.11",-,-
2005M08,"300,470",61.83,"8,336",-80.90,"121,560",61.09,"92,515",106.75,"30,044",107.86,"20,900",309.00,"26,115","1,060.67",-,-
2005M09,"300,768",98.59,"11,660",-79.46,"133,368",265.99,"91,224",195.51,"32,351",77.27,"16,285",137.74,"15,880",596.49,-,-
2005M10,"330,517",104.83,"65,856",77.65,"108,861",121.87,"86,355",85.19,"21,715",61.33,"11,600",-10.11,"36,130","1,520.18",-,-
2005M11,"357,449",121.72,"67,678",60.01,"104,213",113.84,"108,689",140.68,"31,371",243.23,"25,473",101.21,"20,025",519.97,-,-
2005M12,"308,784",90.56,"50,702",-29.88,"139,205",330.38,"66,390",141.33,"21,173",128.65,"13,871",-14.22,"17,443",291.98,-,-
2006M01,"366,463",95.86,"26,410",-56.56,-,-,"155,635",441.62,"121,727",809.09,"40,270",82.25,"22,421",104.57,-,-
2006M02,"364,744",103.18,"76,325",72.59,"77,345",42.77,"132,224",182.25,"52,985","1,078.49","15,115",-26.69,"10,750",17.36,-,-
2006M03,"313,249",45.16,"29,817",-18.31,"92,415",57.29,"109,129",78.91,"61,608",167.08,"11,430",-36.00,"8,850",-52.46,-,-
2006M04,"360,805",60.69,"79,352",90.43,"93,650",127.44,"129,433",68.06,"31,695",23.91,"5,360",-65.42,"20,900",-11.44,415,-
2006M05,"361,986",69.32,"39,667",-11.86,"111,603",68.07,"157,719",158.77,"25,997",51.37,"3,800",-62.56,"22,160",57.05,"1,040",-
2006M06,"345,432",55.04,"44,866",-23.07,"132,018",146.31,"99,501",60.33,"47,790",39.66,"9,127",12.82,"10,790",65.49,"1,340",-
2006M07,"278,505",4.32,"35,314",-23.41,"87,364",39.46,"103,398",40.09,"27,239",0.92,"7,150",-62.73,"16,400",-57.10,"1,640",-
2006M08,"270,282",-10.05,"26,237",214.74,"112,469",-7.48,"98,376",6.34,"21,610",-28.07,"2,700",-87.08,"7,150",-72.62,"1,740",-
2006M09,"322,237",7.14,"54,978",371.51,"145,214",8.88,"90,345",-0.96,"19,550",-39.57,"3,770",-76.85,"6,440",-59.45,"1,940",-
2006M10,"315,742",-4.47,"68,915",4.64,"96,264",-11.57,"95,198",10.24,"45,360",108.89,"3,400",-70.69,"4,790",-86.74,"1,815",-
2006M11,"234,531",-34.39,"34,855",-48.50,"98,135",-5.83,"58,300",-46.36,"22,250",-29.07,"1,000",-96.07,"14,391",-28.13,"5,600",-
2006M12,"256,391",-16.97,"33,679",-33.57,"90,679",-34.86,"83,177",25.29,"29,855",41.01,"1,610",-88.39,"11,391",-34.70,"6,000",-
2007M01,"239,134",-34.75,"33,799",27.98,"107,024",-,"58,800",-62.22,"21,050",-82.71,"1,700",-95.78,"11,046",-50.73,"5,715",-
2007M02,"249,206",-31.68,"50,625",-33.67,"62,946",-18.62,"46,720",-64.67,"62,564",18.08,"13,986",-7.47,"6,435",-40.14,"5,930",-
2007M03,"232,319",-25.84,"20,697",-30.59,"93,373",1.04,"73,124",-32.99,"17,750",-71.19,"5,400",-52.76,"16,230",83.39,"5,745",-
2007M04,"282,497",-21.70,"52,543",-33.78,"83,167",-11.19,"89,072",-31.18,"15,190",-52.07,"12,300",129.48,"23,735",13.56,"6,490","1,463.86"
2007M05,"238,081",-34.23,"44,346",11.80,"116,050",3.98,"28,450",-81.96,"15,050",-42.11,"7,010",84.47,"24,785",11.85,"2,390",129.81
2007M06,"160,929",-53.41,"48,853",8.89,"65,077",-50.71,"31,724",-68.12,"3,500",-92.68,"1,350",-85.21,"8,735",-19.05,"1,690",26.12
2007M07,"164,447",-40.95,"34,318",-2.82,"82,129",-5.99,"41,155",-60.20,590,-97.83,"1,100",-84.62,"3,480",-78.78,"1,675",2.13
2007M08,"212,940",-21.22,"54,719",108.56,"91,796",-18.38,"59,745",-39.27,100,-99.54,-,-,"5,220",-26.99,"1,360",-21.84
2007M09,"172,791",-46.38,"52,133",-5.17,"80,053",-44.87,"25,030",-72.30,"2,550",-86.96,"6,100",61.80,"5,580",-13.35,"1,345",-30.67
2007M10,"159,678",-49.43,"32,317",-53.11,"72,221",-24.98,"38,660",-59.39,400,-99.12,-,-,"15,780",229.44,300,-83.47
2007M11,"223,765",-4.59,"40,910",17.37,"100,967",2.89,"64,395",10.45,"5,000",-77.53,"5,550",455.00,"6,940",-51.78,3,-99.95
2007M12,"200,663",-21.74,"32,250",-4.24,"66,580",-26.58,"89,320",7.39,"5,950",-80.07,250,-84.47,"6,310",-44.61,3,-99.95
2008M01,"191,617",-19.87,"39,930",18.14,"38,470",-64.05,"45,809",-22.09,"45,370",115.53,"16,580",875.29,"5,455",-50.62,3,-99.95
2008M02,"242,164",-2.83,"39,669",-21.64,"85,058",35.13,"92,814",98.66,"9,370",-85.02,"6,970",-50.16,"8,280",28.67,3,-99.95
2008M03,"154,304",-33.58,"20,530",-0.81,"50,359",-46.07,"65,817",-9.99,"11,615",-34.56,-,-,"5,980",-63.15,3,-99.95
2008M04,"137,981",-51.16,"46,775",-10.98,"21,027",-74.72,"54,276",-39.07,"7,400",-51.28,-,-,"8,500",-64.19,3,-99.95
2008M05,"209,006",-12.21,"34,575",-22.03,"63,466",-45.31,"92,180",224.01,"10,500",-30.23,"2,050",-70.76,"6,235",-74.84,-,-
2008M06,"145,198",-9.78,"18,425",-62.28,"35,143",-46.00,"55,570",75.17,"25,810",637.43,"4,500",233.33,"5,750",-34.17,-,-
2008M07,"160,433",-2.44,"25,485",-25.74,"39,886",-51.43,"69,200",68.14,"20,207","3,324.92","2,300",109.09,"3,355",-3.59,-,-
2008M08,"215,438",1.17,"21,421",-60.85,"70,707",-22.97,"86,270",44.40,"29,285","29,185.00","3,100",-,"4,655",-10.82,-,-
2008M09,"215,126",24.50,"50,647",-2.85,"71,401",-10.81,"58,015",131.78,"19,708",672.86,"7,890",29.34,"7,465",33.78,-,-
2008M10,"103,508",-35.18,"13,118",-59.41,"55,975",-22.49,"26,930",-30.34,"1,200",200.00,300,-,"5,985",-62.07,-,-
2008M11,"134,226",-40.01,"25,332",-38.08,"78,505",-22.25,"24,155",-62.49,"2,270",-54.60,-,-,"3,964",-42.88,-,-
2008M12,"160,613",-19.96,"35,911",11.35,"49,500",-25.65,"69,340",-22.37,"2,800",-52.94,-,-,"3,062",-51.47,-,-
2009M01,"224,773",17.30,"74,549",86.70,-,-,"106,995",133.57,"33,650",-25.83,"5,000",-69.84,"3,979",-27.06,600,"19,900.00"
2009M02,"285,732",17.99,"83,744",111.11,"125,238",47.24,"41,990",-54.76,"18,240",94.66,"5,220",-25.11,"10,700",29.23,600,"19,900.00"
2009M03,"188,979",22.47,"42,506",107.04,"49,400",-1.90,"58,725",-10.78,"8,800",-24.24,"4,550",-,"24,398",307.99,600,"19,900.00"
2009M04,"237,583",72.19,"42,674",-8.77,"79,076",276.07,"61,371",13.07,"19,020",157.03,"4,650",-,"30,192",255.20,600,"19,900.00"
2009M05,"431,312",106.36,"61,964",79.22,"106,136",67.23,"174,150",88.92,"48,100",358.10,"7,885",284.63,"32,477",420.88,600,-
2009M06,"337,336",132.33,"67,380",265.70,"137,419",291.03,"107,785",93.96,"12,585",-51.24,640,-85.78,"10,877",89.17,650,-
2009M07,"303,592",89.23,"68,606",169.20,"141,152",253.89,"64,114",-7.35,"8,065",-60.09,"9,400",308.70,"11,705",248.88,550,-
2009M08,"276,354",28.28,"86,106",301.97,"97,874",38.42,"50,320",-41.67,"16,550",-43.49,"11,351",266.16,"13,603",192.22,550,-
2009M09,"313,393",45.68,"99,089",95.65,"143,816",101.42,"48,495",-16.41,"2,990",-84.83,"10,500",33.08,"7,953",6.54,550,-
2009M10,"325,357",214.33,"77,282",489.13,"167,447",199.15,"54,660",102.97,"8,100",575.00,"11,365","3,688.33","6,453",7.82,50,-
2009M11,"280,144",108.71,"83,509",229.66,"118,546",51.00,"57,405",137.65,"9,030",297.80,"4,400",-,"7,204",81.74,50,-
2009M12,"197,965",23.26,"30,151",-16.04,"110,990",124.22,"34,740",-49.90,"6,090",117.50,"1,500",-,"14,494",373.35,-,-
2010M01,"301,391",34.09,"74,515",-0.05,"157,207",-,"45,150",-57.80,"1,350",-95.99,"3,900",-22.00,"19,269",384.27,-,-
2010M02,"299,393",4.78,"77,649",-7.28,"133,745",6.79,"42,300",0.74,"6,170",-66.17,"18,022",245.25,"21,507",101.00,-,-
2010M03,"248,157",31.31,"106,883",151.45,"70,034",41.77,"26,605",-54.70,"1,000",-88.64,"16,797",269.16,"26,838",10.00,-,-
2010M04,"308,000",29.64,"113,116",165.07,"126,258",59.67,"36,360",-40.75,"2,500",-86.86,"8,219",76.75,"21,547",-28.63,-,-
2010M05,"308,662",-28.44,"86,700",39.92,"169,924",60.10,"16,737",-90.39,"1,500",-96.88,"3,700",-53.08,"30,101",-7.32,-,-
2010M06,"274,119",-18.74,"74,386",10.40,"146,123",6.33,"37,660",-65.06,"1,960",-84.43,"1,540",140.63,"12,450",14.46,-,-
2010M07,"316,265",4.17,"86,777",26.49,"186,960",32.45,"25,971",-59.49,"5,230",-35.15,400,-95.74,"10,927",-6.65,-,-
2010M08,"380,173",37.57,"86,096",-0.01,"196,822",101.10,"71,792",42.67,"10,410",-37.10,"2,720",-76.04,"12,333",-9.34,-,-
2010M09,"233,783",-25.40,"66,235",-33.16,"132,639",-7.77,"15,230",-68.59,"4,750",58.86,"1,893",-81.97,"13,036",63.91,-,-
2010M10,"274,232",-15.71,"84,524",9.37,"159,345",-4.84,"16,180",-70.40,"2,000",-75.31,"1,262",-88.90,"10,921",69.24,-,-
2010M11,"337,064",20.32,"87,045",4.23,"213,201",79.85,"28,485",-50.38,-,-,"5,370",22.05,"2,963",-58.87,-,-
2010M12,"229,932",16.15,"88,897",194.84,"128,620",15.88,"6,160",-82.27,-,-,"3,710",147.33,"2,545",-82.44,-,-
2011M01,"247,374",-17.92,"96,831",29.95,"53,003",-66.28,"91,896",103.53,"1,350",0.00,"2,000",-48.72,"2,294",-88.09,-,-
2011M02,"246,545",-17.65,"70,500",-9.21,"123,120",-7.94,"50,230",18.75,-,-,"2,080",-88.46,615,-97.14,-,-
2011M03,"248,062",-0.04,"104,421",-2.30,"106,557",52.15,"34,117",28.24,-,-,780,-95.36,"2,187",-91.85,-,-
2011M04,"239,282",-22.31,"115,585",2.18,"94,440",-25.20,"21,110",-41.94,"2,000",-20.00,"2,160",-73.72,"3,987",-81.50,-,-
2011M05,"170,779",-44.67,"58,976",-31.98,"94,326",-44.49,"11,380",-32.01,500,-66.67,"1,000",-72.97,"4,597",-84.73,-,-
2011M06,"188,331",-31.30,"91,676",23.24,"85,541",-41.46,"5,820",-84.55,-,-,"1,500",-2.60,"3,794",-69.53,-,-
2011M07,"229,752",-27.35,"100,746",16.10,"107,129",-42.70,"15,980",-38.47,-,-,"3,000",650.00,"2,897",-73.49,-,-
2011M08,"203,162",-46.56,"60,700",-29.50,"133,354",-32.25,"5,840",-91.87,570,-94.52,"1,000",-63.24,"1,698",-86.23,-,-
2011M09,"226,378",-3.17,"95,281",43.85,"110,385",-16.78,"17,010",11.69,-,-,"1,000",-47.17,"2,702",-79.27,-,-
2011M10,"161,453",-41.13,"60,921",-27.92,"81,474",-48.87,"14,290",-11.68,"2,500",25.00,"1,000",-20.76,"1,268",-88.39,-,-
2011M11,"245,548",-27.15,"70,031",-19.55,"153,768",-27.88,"17,690",-37.90,"1,680",-,"1,000",-81.38,"1,379",-53.46,-,-
2011M12,"162,776",-29.21,"59,926",-32.59,"90,524",-29.62,"5,300",-13.96,"3,200",-,-,-,"3,826",50.33,-,-
2012M01,"165,595",-33.06,"74,450",-23.11,"66,030",24.58,"14,969",-83.71,"2,800",107.41,"4,700",135.00,"2,646",15.34,-,-
