期間,醫院_原始值,醫院_年增率(%),公立醫院-署立及直轄市立醫院_原始值,公立醫院-署立及直轄市立醫院_年增率(%),公立醫院-縣市立醫院_原始值,公立醫院-縣市立醫院_年增率(%),公立醫院-公立醫學院校附設醫院_原始值,公立醫院-公立醫學院校附設醫院_年增率(%),公立醫院-軍方醫院民眾診療_原始值,公立醫院-軍方醫院民眾診療_年增率(%),公立醫院-榮民醫院_原始值,公立醫院-榮民醫院_年增率(%),公立醫院-公立機關(構)附設醫院_原始值,公立醫院-公立機關(構)附設醫院_年增率(%),公立醫院-公立中醫醫院_原始值,公立醫院-公立中醫醫院_年增率(%),非公立醫院-醫療財團法人醫院_原始值,非公立醫院-醫療財團法人醫院_年增率(%),非公立醫院-醫療社團法人醫院_原始值,非公立醫院-醫療社團法人醫院_年增率(%),非公立醫院-宗教財團法人附設醫院_原始值,非公立醫院-宗教財團法人附設醫院_年增率(%),非公立醫院-私立醫學院校附設醫院_原始值,非公立醫院-私立醫學院校附設醫院_年增率(%),非公立醫院-公益法人所設醫院_原始值,非公立醫院-公益法人所設醫院_年增率(%),非公立醫院-私立西醫醫院_原始值,非公立醫院-私立西醫醫院_年增率(%),非公立醫院-私立中醫醫院_原始值,非公立醫院-私立中醫醫院_年增率(%),診所-合計_原始值,診所-合計_年增率(%),診所-公立診所_原始值,診所-公立診所_年增率(%),診所-非公立診所_原始值,診所-非公立診所_年增率(%)
1995,787,...,45,...,11,...,3,...,20,...,15,...,0,...,1,...,28,...,0,...,18,...,6,...,16,...,526,...,98,...,"15,317",...,497,...,"14,820",...
1996,773,-1.78,45,0.00,11,0.00,3,0.00,20,0.00,15,0.00,0,--,1,0.00,32,14.29,0,--,15,-16.67,7,16.67,17,6.25,519,-1.33,88,-10.20,"15,872",3.62,497,0.00,"15,375",3.74
1997,750,-2.98,46,2.22,11,0.00,3,0.00,20,0.00,15,0.00,0,--,2,100.00,35,9.38,0,--,16,6.67,7,0.00,16,-5.88,498,-4.05,81,-7.95,"16,648",4.89,507,2.01,"16,141",4.98
1998,719,-4.13,47,2.17,10,-9.09,3,0.00,20,0.00,15,0.00,0,--,2,0.00,41,17.14,0,--,14,-12.50,7,0.00,15,-6.25,475,-4.62,70,-13.58,"17,012",2.19,499,-1.58,"16,513",2.30
1999,700,-2.64,48,2.13,10,0.00,3,0.00,20,0.00,15,0.00,0,--,2,0.00,46,12.20,0,--,11,-21.43,8,14.29,14,-6.67,459,-3.37,64,-8.57,"17,069",0.34,481,-3.61,"16,588",0.45
2000,669,-4.43,47,-2.08,8,-20.00,3,0.00,20,0.00,15,0.00,1,--,2,0.00,47,2.17,0,--,12,9.09,8,0.00,13,-7.14,443,-3.49,50,-21.88,"17,413",2.02,483,0.42,"16,930",2.06
2001,637,-4.78,47,0.00,6,-25.00,3,0.00,20,0.00,15,0.00,1,0.00,2,0.00,48,2.13,0,--,11,-8.33,9,12.50,14,7.69,419,-5.42,42,-16.00,"17,628",1.23,492,1.86,"17,136",1.22
2002,610,-4.24,46,-2.13,6,0.00,3,0.00,20,0.00,15,0.00,1,0.00,2,0.00,50,4.17,0,--,11,0.00,9,0.00,14,0.00,399,-4.77,34,-19.05,"17,618",-0.06,477,-3.05,"17,141",0.03
2003,594,-2.62,46,0.00,6,0.00,3,0.00,20,0.00,15,0.00,1,0.00,2,0.00,50,0.00,0,--,11,0.00,9,0.00,14,0.00,383,-4.01,34,0.00,"18,183",3.21,480,0.63,"17,703",3.28
2004,590,-0.67,45,-2.17,5,-16.67,4,33.33,17,-15.00,15,0.00,2,100.00,2,0.00,52,4.00,0,--,11,0.00,9,0.00,14,0.00,382,-0.26,32,-5.88,"18,650",2.57,481,0.21,"18,169",2.63
2005,556,-5.76,39,-13.33,4,-20.00,5,25.00,14,-17.65,15,0.00,2,0.00,1,-50.00,55,5.77,0,--,11,0.00,9,0.00,13,-7.14,364,-4.71,24,-25.00,"18,877",1.22,473,-1.66,"18,404",1.29
2006,547,-1.62,39,0.00,4,0.00,5,0.00,14,0.00,15,0.00,2,0.00,1,0.00,58,5.45,0,--,11,0.00,9,0.00,13,0.00,353,-3.02,23,-4.17,"19,135",1.37,468,-1.06,"18,667",1.43
2007,530,-3.11,39,0.00,4,0.00,5,0.00,14,0.00,15,0.00,2,0.00,1,0.00,57,-1.72,8,--,11,0.00,9,0.00,13,0.00,330,-6.52,22,-4.35,"19,370",1.23,461,-1.50,"18,909",1.30
2008,515,-2.83,38,-2.56,4,0.00,6,20.00,14,0.00,15,0.00,2,0.00,1,0.00,57,0.00,20,150.00,11,0.00,12,33.33,12,-7.69,302,-8.48,21,-4.55,"19,659",1.49,461,0.00,"19,198",1.53
2009,514,-0.19,38,0.00,4,0.00,6,0.00,14,0.00,15,0.00,2,0.00,1,0.00,60,5.26,26,30.00,10,-9.09,14,16.67,12,0.00,295,-2.32,17,-19.05,"19,792",0.68,461,0.00,"19,331",0.69
