期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2000,"408,030",...,"34,151",...,"37,315",...,"33,382",...,"38,848",...,"39,049",...,"35,206",...,"35,305",...,"36,736",...,"31,977",...,"24,548",...,"15,703",...,"11,468",...,"11,226",...,"9,566",...,"6,644",...,"3,895",...,"1,929",...,804,...,225,...,44,...,9,...,29.97,...
2001,"420,892",3.15,"34,009",-0.42,"38,937",4.35,"35,559",6.52,"39,043",0.50,"40,123",2.75,"36,050",2.40,"35,806",1.42,"37,242",1.38,"33,435",4.56,"26,238",6.88,"17,797",13.34,"11,332",-1.19,"11,400",1.55,"9,650",0.88,"6,973",4.95,"4,167",6.98,"2,043",5.91,814,1.24,223,-0.89,39,-11.36,12,33.33,30.10,0.44
2002,"433,689",3.04,"33,659",-1.03,"39,984",2.69,"37,947",6.72,"38,474",-1.46,"41,390",3.16,"37,050",2.77,"35,993",0.52,"37,560",0.85,"34,757",3.95,"28,433",8.37,"19,541",9.80,"12,055",6.38,"11,932",4.67,"9,916",2.76,"7,321",4.99,"4,376",5.02,"2,159",5.68,845,3.81,239,7.17,44,12.82,14,16.67,30.37,0.89
2003,"444,823",2.57,"33,344",-0.94,"40,156",0.43,"39,969",5.33,"38,347",-0.33,"42,559",2.82,"37,886",2.26,"36,327",0.93,"37,627",0.18,"36,282",4.39,"30,211",6.25,"21,193",8.45,"13,061",8.35,"12,019",0.73,"10,204",2.90,"7,512",2.61,"4,658",6.44,"2,315",7.23,828,-2.01,258,7.95,53,20.45,14,0.00,30.63,0.86
2004,"454,951",2.28,"33,095",-0.75,"39,964",-0.48,"42,049",5.20,"38,656",0.81,"42,687",0.30,"39,148",3.33,"36,691",1.00,"37,471",-0.41,"37,278",2.75,"31,857",5.45,"22,916",8.13,"14,483",10.89,"12,022",0.02,"10,352",1.45,"7,776",3.51,"4,897",5.13,"2,435",5.18,835,0.85,284,10.08,41,-22.64,14,0.00,30.89,0.83
2005,"464,961",2.20,"32,342",-2.28,"40,259",0.74,"43,549",3.57,"40,007",3.49,"42,199",-1.14,"40,469",3.37,"36,780",0.24,"37,329",-0.38,"38,510",3.30,"32,960",3.46,"25,175",9.86,"16,219",11.99,"11,511",-4.25,"10,481",1.25,"8,156",4.89,"5,166",5.49,"2,556",4.97,950,13.77,276,-2.82,53,29.27,14,0.00,31.16,0.87
2006,"474,919",2.14,"31,882",-1.42,"39,913",-0.86,"44,893",3.09,"41,955",4.87,"41,415",-1.86,"41,468",2.47,"37,483",1.91,"37,683",0.95,"38,802",0.76,"34,316",4.11,"26,822",6.54,"18,336",13.05,"11,378",-1.16,"10,713",2.21,"8,278",1.50,"5,404",4.61,"2,793",9.27,"1,026",8.00,293,6.16,52,-1.89,14,0.00,31.43,0.88
2007,"484,174",1.95,"31,803",-0.25,"39,418",-1.24,"45,684",1.76,"44,172",5.28,"40,321",-2.64,"42,672",2.90,"38,334",2.27,"37,532",-0.40,"38,918",0.30,"35,396",3.15,"28,743",7.16,"19,979",8.96,"11,758",3.34,"10,882",1.58,"8,486",2.51,"5,625",4.09,"2,948",5.55,"1,149",11.99,286,-2.39,58,11.54,10,-28.57,31.69,0.83
2008,"494,107",2.05,"32,187",1.21,"39,284",-0.34,"45,779",0.21,"46,136",4.45,"39,991",-0.82,"43,766",2.56,"39,125",2.06,"37,660",0.34,"38,813",-0.27,"36,716",3.73,"30,355",5.61,"21,510",7.66,"12,616",7.30,"10,885",0.03,"8,699",2.51,"5,816",3.40,"3,131",6.21,"1,259",9.57,303,5.94,68,17.24,8,-20.00,31.93,0.74
2009,"504,531",2.11,"32,256",0.21,"39,239",-0.11,"45,561",-0.48,"48,559",5.25,"40,340",0.87,"43,910",0.33,"40,476",3.45,"38,082",1.12,"38,622",-0.49,"37,712",2.71,"31,911",5.13,"23,098",7.38,"13,899",10.17,"10,846",-0.36,"8,832",1.53,"6,113",5.11,"3,346",6.87,"1,328",5.48,318,4.95,77,13.24,6,-25.00,32.18,0.79
