期間,求職人數-新登記_原始值,求職人數-新登記_年增率(%),求職人數-有效_原始值,求職人數-有效_年增率(%),求才人數-新登記_原始值,求才人數-新登記_年增率(%),求才人數-有效_原始值,求才人數-有效_年增率(%),求供倍數-新登記_原始值,求供倍數-新登記_年增率(%),求供倍數-有效_原始值,求供倍數-有效_年增率(%),求職推介就業人數_原始值,求職推介就業人數_年增率(%),求才僱用人數_原始值,求才僱用人數_年增率(%),求職就業率(%)_原始值,求職就業率(%)_年增率(%),求才利用率(%)_原始值,求才利用率(%)_年增率(%)
1982,"230,516",...,-,--,"272,366",...,-,--,1.18,-,-,-,"112,667",...,"112,667",...,48.88,-,41.37,-
1983,"234,038",1.53,-,--,"370,642",36.08,-,--,1.58,-,-,-,"121,891",8.19,"121,891",8.19,52.08,-,32.89,-
1984,"241,939",3.38,-,--,"389,774",5.16,-,--,1.61,-,-,-,"121,919",0.02,"121,919",0.02,50.39,-,31.28,-
1985,"291,177",20.35,-,--,"272,068",-30.20,-,--,0.93,-,-,-,"111,690",-8.39,"111,690",-8.39,38.36,-,41.05,-
1986,"265,604",-8.78,-,--,"452,416",66.29,-,--,1.70,-,-,-,"118,949",6.50,"118,949",6.50,44.78,-,26.29,-
1987,"208,508",-21.50,-,--,"560,547",23.90,-,--,2.69,-,-,-,"111,315",-6.42,"111,315",-6.42,53.39,-,19.86,-
1988,"202,981",-2.65,-,--,"583,175",4.04,-,--,2.87,-,-,-,"112,320",0.90,"112,320",0.90,55.34,-,19.26,-
1989,"167,696",-17.38,-,--,"483,428",-17.10,-,--,2.88,-,-,-,"90,119",-19.77,"90,119",-19.77,53.74,-,18.64,-
1990,"185,589",10.67,-,--,"509,393",5.37,-,--,2.74,-,-,-,"91,839",1.91,"91,839",1.91,49.49,-,18.03,-
1991,"195,337",5.25,-,--,"563,632",10.65,-,--,2.89,-,-,-,"102,660",11.78,"102,660",11.78,52.56,-,18.21,-
1992,"173,974",-10.94,-,--,"559,635",-0.71,-,--,3.22,-,-,-,"77,174",-24.83,"77,174",-24.83,44.36,-,13.79,-
1993,"144,960",-16.68,-,--,"511,388",-8.62,-,--,3.53,-,-,-,"70,390",-8.79,"70,390",-8.79,48.56,-,13.76,-
1994,"136,850",-5.59,-,--,"410,099",-19.81,-,--,3.00,-,-,-,"73,099",3.85,"73,099",3.85,53.42,-,17.82,-
1995,"165,034",20.59,-,--,"352,227",-14.11,-,--,2.13,-,-,-,"68,557",-6.21,"68,557",-6.21,41.54,-,19.46,-
1996,"174,090",5.49,-,--,"323,150",-8.26,-,--,1.86,-,-,-,"75,588",10.26,"75,588",10.26,43.42,-,23.39,-
1997,"167,036",-4.05,-,--,"413,060",27.82,-,--,2.47,-,-,-,"71,419",-5.52,"71,419",-5.52,42.76,-,17.29,-
1998,"174,262",4.33,-,--,"427,495",3.49,-,--,2.45,-,-,-,"68,015",-4.77,"68,015",-4.77,39.03,-,15.91,-
1999,"248,679",42.70,-,--,"365,629",-14.47,-,--,1.47,-,-,-,"69,644",2.40,"69,644",2.40,28.01,-,19.05,-
2000,"288,680",16.09,-,--,"470,278",28.62,-,--,1.63,-,-,-,"104,265",49.71,"104,265",49.71,36.12,-,22.17,-
2001,"439,489",52.24,-,--,"405,637",-13.75,-,--,0.92,-,-,-,"128,205",22.96,"128,205",22.96,29.17,-,31.61,-
2002,"442,573",0.70,-,--,"471,888",16.33,-,--,1.07,-,-,-,"125,713",-1.94,"125,713",-1.94,28.41,-,26.64,-
2003,"450,079",1.70,-,--,"720,746",52.74,-,--,1.60,-,-,-,"126,229",0.41,"126,229",0.41,28.05,-,17.51,-
2004,"547,745",21.70,-,--,"949,918",31.80,-,--,1.73,-,-,-,"228,395",80.94,"327,948",159.80,41.70,-,34.52,-
2005,"580,020",5.89,-,--,"1,008,307",6.15,-,--,1.74,-,-,-,"263,403",15.33,"478,826",46.01,45.41,-,47.49,-
2006,"760,680",31.15,-,--,"1,048,590",4.00,-,--,1.38,-,-,-,"324,426",23.17,"523,276",9.28,42.65,-,49.90,-
2007,"904,663",18.93,-,--,"1,170,045",11.58,-,--,1.29,-,-,-,"378,915",16.80,"532,438",1.75,41.88,-,45.51,-
2008,"1,147,798",26.88,-,--,"998,126",-14.69,-,--,0.87,-,-,-,"432,854",14.24,"579,594",8.86,37.71,-,58.07,-
2009,"1,414,541",23.24,-,--,"1,154,993",15.72,-,--,0.82,-,-,-,"558,536",29.04,"665,002",14.74,39.49,-,57.58,-
2010,"1,182,588",-16.40,-,--,"1,494,711",29.41,-,--,1.26,-,-,-,"590,695",5.76,"839,809",26.29,49.95,-,56.19,-
2011,"1,140,837",-3.53,-,--,"1,555,485",4.07,-,--,1.36,-,-,-,"694,419",17.56,"959,910",14.30,60.87,-,61.71,-
2012,"1,003,930",-12.00,-,--,"1,568,272",0.82,-,--,1.56,-,-,-,"530,593",-23.59,"1,010,607",5.28,52.85,-,64.44,-
2013,"921,513",-8.21,-,--,"1,556,332",-0.76,-,--,1.69,-,-,-,"493,828",-6.93,"967,433",-4.27,53.59,-,62.16,-
