期間,資產--放款_原始值,資產--放款_年增率(%),資產--證券投資-政府債券_原始值,資產--證券投資-政府債券_年增率(%),資產--證券投資-股份與債券等-公營事業_原始值,資產--證券投資-股份與債券等-公營事業_年增率(%),資產--證券投資-股份與債券等-民營企業_原始值,資產--證券投資-股份與債券等-民營企業_年增率(%),資產--證券投資-股份與債券等-金融機構_原始值,資產--證券投資-股份與債券等-金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構_原始值,負債與淨值--對金融機構負債-其他金融機構_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1980,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,--
1981,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,--
1982,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,--
1983,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,--
1984,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,--
1985,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,--
1986,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,--
1987,"71,001",...,"15,112",...,"4,252",...,"18,327",...,"14,100",...,"8,124",...,8,...,"7,379",...,570,...,199,...,"64,704",...,"203,776",...,"136,970",...,803,...,"21,954",...,230,...,"34,845",...,"8,974",--
1988,"99,832",40.61,"20,424",35.15,"3,588",-15.62,"21,978",19.92,"13,504",-4.23,"6,256",-22.99,10,25.00,"13,921",88.66,92,-83.86,200,0.50,"73,315",13.31,"253,120",24.21,"168,116",22.74,412,-48.69,"17,051",-22.33,"1,520",560.87,"41,538",19.21,"24,483",--
1989,"142,418",42.66,"36,843",80.39,"4,037",12.51,"32,555",48.13,"17,437",29.12,"5,323",-14.91,15,50.00,"48,204",246.27,"1,350","1,367.39",312,56.00,"71,663",-2.25,"360,157",42.29,"252,114",49.96,502,21.84,"18,193",6.70,"4,800",215.79,"45,780",10.21,"38,768",--
1990,"203,556",42.93,"28,210",-23.43,"9,212",128.19,"45,184",38.79,"37,413",114.56,"5,958",11.93,20,33.33,"80,171",66.32,"1,169",-13.41,377,20.83,"79,331",10.70,"490,601",36.22,"362,403",43.75,464,-7.57,"16,723",-8.08,"5,110",6.46,"54,574",19.21,"51,327",--
1991,"292,197",43.55,"48,986",73.65,"9,499",3.12,"45,423",0.53,"43,760",16.96,"8,915",49.63,15,-25.00,"91,592",14.25,"8,892",660.65,458,21.49,"84,264",6.22,"634,001",29.23,"481,597",32.89,694,49.57,"19,038",13.84,"12,220",139.14,"62,373",14.29,"58,079",--
1992,"233,222",-20.18,"48,154",-1.70,"8,254",-13.11,"37,625",-17.17,"14,748",-66.30,"9,591",7.58,11,-26.67,"28,563",-68.81,"3,677",-58.65,212,-53.71,"73,136",-13.21,"457,193",-27.89,"325,028",-32.51,737,6.20,"21,726",14.12,"5,100",-58.27,"59,460",-4.67,"45,142",--
1993,"276,074",18.37,"50,539",4.95,"6,503",-21.21,"40,387",7.34,"20,352",38.00,"13,299",38.66,4,-63.64,"38,645",35.30,903,-75.44,202,-4.72,"73,254",0.16,"520,162",13.77,"361,091",11.10,"1,203",63.23,"28,090",29.29,"5,590",9.61,"66,315",11.53,"57,873",--
1994,"220,537",-20.12,"46,034",-8.91,"4,992",-23.24,"38,999",-3.44,"23,674",16.32,"11,701",-12.02,"13,643","340,975.00","33,309",-13.81,"3,385",274.86,89,-55.94,"108,680",48.36,"505,043",-2.91,"276,617",-23.39,921,-23.44,"23,028",-18.02,"7,065",26.39,"129,283",94.95,"68,129",--
1995,"215,982",-2.07,"38,620",-16.11,"2,676",-46.39,"41,315",5.94,"20,472",-13.53,"14,802",26.50,33,-99.76,"31,142",-6.51,"1,891",-44.14,74,-16.85,"40,332",-62.89,"407,339",-19.35,"260,731",-5.74,"1,216",32.03,"20,877",-9.34,"8,196",16.01,"56,301",-56.45,"60,018",--
1996,"219,851",1.79,"36,916",-4.41,"3,398",26.98,"51,100",23.68,"23,558",15.07,"23,632",59.65,3,-90.91,"26,378",-15.30,"1,310",-30.72,92,24.32,"43,817",8.64,"430,055",5.58,"266,438",2.19,453,-62.75,"35,131",68.28,"5,443",-33.59,"55,324",-1.74,"67,266",--
1997,"245,992",11.89,"42,315",14.63,"4,701",38.35,"75,407",47.57,"22,200",-5.76,"25,057",6.03,7,133.33,"28,960",9.79,37,-97.18,101,9.78,"43,860",0.10,"488,637",13.62,"264,510",-0.72,82,-81.90,"37,777",7.53,"9,775",79.59,"60,873",10.03,"115,620",--
1998,"193,996",-21.14,"31,601",-25.32,"2,163",-53.99,"88,019",16.73,"17,411",-21.57,"26,971",7.64,3,-57.14,"22,194",-23.36,887,"2,297.30",74,-26.73,"49,528",12.92,"432,847",-11.42,"205,034",-22.49,-,-,"37,656",-0.32,"15,299",56.51,"65,249",7.19,"109,609",--
1999,"127,417",-34.32,"22,406",-29.10,"1,560",-27.88,"22,679",-74.23,"12,747",-26.79,"27,212",0.89,1,-66.67,"10,891",-50.93,578,-34.84,79,6.76,"43,309",-12.56,"268,879",-37.88,"156,301",-23.77,-,-,"27,084",-28.08,"9,598",-37.26,"44,836",-31.28,"31,060",--
2000,"89,939",-29.41,"24,835",10.84,934,-40.13,"14,711",-35.13,"3,789",-70.28,"27,297",0.31,2,100.00,"7,357",-32.45,822,42.21,74,-6.33,"45,455",4.96,"215,215",-19.96,"104,938",-32.86,"7,000",-,"44,327",63.66,"11,301",17.74,"25,440",-43.26,"22,209",--
2001,"68,428",-23.92,"34,756",39.95,650,-30.41,"15,087",2.56,"2,429",-35.89,"27,529",0.85,8,300.00,"9,728",32.23,719,-12.53,59,-20.27,"63,537",39.78,"222,930",3.58,"117,107",11.60,-,-,"46,704",5.36,"12,381",9.56,"30,382",19.43,"16,356",--
2002,"50,501",-26.20,"33,260",-4.30,438,-32.62,"11,917",-21.01,"1,014",-58.25,"28,834",4.74,122,"1,425.00","9,737",0.09,613,-14.74,54,-8.47,"60,498",-4.78,"196,988",-11.64,"116,233",-0.75,-,-,"41,421",-11.31,"8,044",-35.03,"19,588",-35.53,"11,702",--
2003,"53,683",6.30,"29,796",-10.41,188,-57.08,"11,900",-0.14,853,-15.88,"27,514",-4.58,209,71.31,"10,242",5.19,620,1.14,57,5.56,"52,163",-13.78,"187,225",-4.96,"118,842",2.24,-,-,"33,639",-18.79,"6,886",-14.40,"16,030",-18.16,"11,828",--
2004,"62,521",16.46,"25,100",-15.76,115,-38.83,"10,147",-14.73,"1,471",72.45,"23,132",-15.93,220,5.26,"6,133",-40.12,564,-9.03,52,-8.77,"44,433",-14.82,"173,888",-7.12,"121,233",2.01,-,-,"25,339",-24.67,"5,382",-21.84,"11,716",-26.91,"10,218",--
2005,"61,844",-1.08,"19,210",-23.47,238,106.96,"4,457",-56.08,"3,490",137.25,251,-98.91,6,-97.27,"6,120",-0.21,12,-97.87,32,-38.46,"34,652",-22.01,"130,312",-25.06,"115,552",-4.69,-,-,400,-98.42,"2,271",-57.80,"5,895",-49.68,"6,194",--
2006,"61,786",-0.09,"15,192",-20.92,200,-15.97,"5,023",12.70,147,-95.79,264,5.18,"6,152","102,433.33","5,895",-3.68,14,16.67,35,9.38,"24,871",-28.23,"119,579",-8.24,"110,374",-4.48,-,-,250,-37.50,"1,694",-25.41,"4,810",-18.41,"2,451",--
2007,"6,095",-90.14,"3,098",-79.61,-,-,433,-91.38,134,-8.84,275,4.17,-,-,543,-90.79,3,-78.57,20,-42.86,"6,835",-72.52,"17,436",-85.42,"13,559",-87.72,"2,100",-,-,-,359,-78.81,"1,680",-65.07,-262,--
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--
