期間,發行部門--存款貨幣機構,發行部門--其他金融機構,持有部門--存款貨幣機構,持有部門--保險公司及退休基金,持有部門--其他金融機構,持有部門--公營事業,持有部門--民營企業,持有部門--家庭及非營利團體
1982,...,...,...,...,...,...,...,...
1983,...,...,...,...,...,...,...,...
1984,...,...,...,...,...,...,...,...
1985,...,...,...,...,...,...,...,...
1986,...,"1,674","1,103",11,...,...,...,560
1987,...,"9,510","1,614",11,...,...,...,"7,885"
1988,...,"30,847",999,7,96,...,"1,450","28,295"
1989,...,"49,943","4,622",...,839,...,"2,727","41,755"
1990,...,"43,247","3,057",402,644,...,"2,850","36,294"
1991,...,"60,082","7,697","1,334","1,236",...,"4,006","45,809"
1992,...,"58,392","7,600","2,690","1,182",...,"2,460","44,460"
1993,...,"146,035","18,299","5,704","5,254",...,"9,081","107,697"
1994,...,"197,563","11,975","7,498","5,451",...,"11,842","160,797"
1995,...,"193,943","23,922","10,050","10,567",...,"25,359","124,045"
1996,...,"411,891","27,152","20,044","17,176",254,"88,718","258,547"
1997,...,"518,248","30,066","20,704","40,660","2,564","141,763","282,491"
1998,...,"731,068","44,625","38,065","59,757","1,735","149,005","437,881"
1999,...,"1,019,798","49,458","46,462","81,804","12,382","207,495","622,198"
2000,...,"1,086,095","64,084","58,209","60,573","5,726","232,319","665,184"
2001,...,"1,768,424","98,199","112,574","77,623","39,962","278,402","1,161,664"
2002,...,"2,175,768","116,219","137,769","131,690","57,885","548,903","1,183,302"
2003,...,"2,667,813","81,891","236,763","136,590","33,920","686,434","1,492,214"
2004,"1,494","2,493,150","89,663","106,670","142,752","38,949","635,016","1,481,594"
