期間,本國籍-合計_原始值,本國籍-合計_年增率(%),本國籍占總出生(%)_原始值,本國籍占總出生(%)_年增率(%),本國籍-男_原始值,本國籍-男_年增率(%),本國籍-女_原始值,本國籍-女_年增率(%),大陸港澳地區與外國籍-計_原始值,大陸港澳地區與外國籍-計_年增率(%),大陸港澳地區與外國籍-男_原始值,大陸港澳地區與外國籍-男_年增率(%),大陸港澳地區與外國籍-女_原始值,大陸港澳地區與外國籍-女_年增率(%),大陸港澳地區-計_原始值,大陸港澳地區-計_年增率(%),大陸港澳地區-男_原始值,大陸港澳地區-男_年增率(%),大陸港澳地區-女_原始值,大陸港澳地區-女_年增率(%),外國籍-計_原始值,外國籍-計_年增率(%),外國籍-男_原始值,外國籍-男_年增率(%),外國籍-女_原始值,外國籍-女_年增率(%)
2004M01,"14,130",...,85.48,-,"7,468",...,"6,662",...,"2,401",...,"1,232",...,"1,169",...,922,...,485,...,437,...,"1,479",...,747,...,732,...
2004M02,"14,728",...,85.99,-,"7,690",...,"7,038",...,"2,400",...,"1,245",...,"1,155",...,931,...,485,...,446,...,"1,469",...,760,...,709,...
2004M03,"16,261",...,86.79,-,"8,641",...,"7,620",...,"2,474",...,"1,321",...,"1,153",...,"1,037",...,547,...,490,...,"1,437",...,774,...,663,...
2004M04,"14,924",...,86.40,-,"7,757",...,"7,167",...,"2,350",...,"1,219",...,"1,131",...,928,...,485,...,443,...,"1,422",...,734,...,688,...
2004M05,"14,354",...,86.85,-,"7,673",...,"6,681",...,"2,173",...,"1,138",...,"1,035",...,814,...,429,...,385,...,"1,359",...,709,...,650,...
2004M06,"14,310",...,86.60,-,"7,563",...,"6,747",...,"2,214",...,"1,154",...,"1,060",...,857,...,452,...,405,...,"1,357",...,702,...,655,...
2004M07,"14,692",...,86.95,-,"7,755",...,"6,937",...,"2,205",...,"1,134",...,"1,071",...,845,...,445,...,400,...,"1,360",...,689,...,671,...
2004M08,"15,519",...,86.54,-,"8,271",...,"7,248",...,"2,413",...,"1,287",...,"1,126",...,911,...,497,...,414,...,"1,502",...,790,...,712,...
2004M09,"16,411",...,86.81,-,"8,514",...,"7,897",...,"2,494",...,"1,311",...,"1,183",...,999,...,538,...,461,...,"1,495",...,773,...,722,...
2004M10,"16,801",...,87.40,-,"8,909",...,"7,892",...,"2,422",...,"1,218",...,"1,204",...,969,...,490,...,479,...,"1,453",...,728,...,725,...
2004M11,"18,254",...,87.52,-,"9,449",...,"8,805",...,"2,604",...,"1,369",...,"1,235",...,"1,018",...,541,...,477,...,"1,586",...,828,...,758,...
2004M12,"17,369",...,87.35,-,"9,014",...,"8,355",...,"2,516",...,"1,307",...,"1,209",...,975,...,491,...,484,...,"1,541",...,816,...,725,...
2005M01,"15,589",10.33,87.36,-,"8,086",8.28,"7,503",12.62,"2,255",-6.08,"1,197",-2.84,"1,058",-9.50,861,-6.62,445,-8.25,416,-4.81,"1,394",-5.75,752,0.67,642,-12.30
2005M02,"12,699",-13.78,87.18,-,"6,605",-14.11,"6,094",-13.41,"1,868",-22.17,962,-22.73,906,-21.56,693,-25.56,363,-25.15,330,-26.01,"1,175",-20.01,599,-21.18,576,-18.76
2005M03,"16,599",2.08,87.57,-,"8,639",-0.02,"7,960",4.46,"2,357",-4.73,"1,227",-7.12,"1,130",-1.99,877,-15.43,462,-15.54,415,-15.31,"1,480",2.99,765,-1.16,715,7.84
2005M04,"13,466",-9.77,87.03,-,"7,028",-9.40,"6,438",-10.17,"2,007",-14.60,"1,048",-14.03,959,-15.21,716,-22.84,368,-24.12,348,-21.44,"1,291",-9.21,680,-7.36,611,-11.19
2005M05,"14,873",3.62,87.05,-,"7,789",1.51,"7,084",6.03,"2,212",1.79,"1,139",0.09,"1,073",3.67,828,1.72,406,-5.36,422,9.61,"1,384",1.84,733,3.39,651,0.15
2005M06,"13,785",-3.67,86.59,-,"7,168",-5.22,"6,617",-1.93,"2,135",-3.57,"1,110",-3.81,"1,025",-3.30,846,-1.28,441,-2.43,405,0.00,"1,289",-5.01,669,-4.70,620,-5.34
2005M07,"13,983",-4.83,86.75,-,"7,290",-6.00,"6,693",-3.52,"2,136",-3.13,"1,166",2.82,970,-9.43,812,-3.91,447,0.45,365,-8.75,"1,324",-2.65,719,4.35,605,-9.84
2005M08,"15,480",-0.25,86.32,-,"8,097",-2.10,"7,383",1.86,"2,453",1.66,"1,294",0.54,"1,159",2.93,917,0.66,496,-0.20,421,1.69,"1,536",2.26,798,1.01,738,3.65
2005M09,"15,294",-6.81,87.10,-,"7,943",-6.71,"7,351",-6.91,"2,265",-9.18,"1,143",-12.81,"1,122",-5.16,890,-10.91,438,-18.59,452,-1.95,"1,375",-8.03,705,-8.80,670,-7.20
