期間,發生件數(包括補報數)(件) - 合計_原始值,發生件數(包括補報數)(件) - 合計_年增率(%),發生件數(包括補報數)(件) - 竊盜_原始值,發生件數(包括補報數)(件) - 竊盜_年增率(%),發生件數(包括補報數)(件) - 暴力犯罪_原始值,發生件數(包括補報數)(件) - 暴力犯罪_年增率(%),發生件數(包括補報數)(件) - 其他刑案_原始值,發生件數(包括補報數)(件) - 其他刑案_年增率(%),破獲件數(包括破積案)(件) - 合計_原始值,破獲件數(包括破積案)(件) - 合計_年增率(%),破獲件數(包括破積案)(件) - 竊盜_原始值,破獲件數(包括破積案)(件) - 竊盜_年增率(%),破獲件數(包括破積案)(件) - 暴力犯罪_原始值,破獲件數(包括破積案)(件) - 暴力犯罪_年增率(%),破獲件數(包括破積案)(件) - 其他刑案_原始值,破獲件數(包括破積案)(件) - 其他刑案_年增率(%),嫌疑犯人數(人) - 合計_原始值,嫌疑犯人數(人) - 合計_年增率(%),嫌疑犯人數(人) - 竊盜_原始值,嫌疑犯人數(人) - 竊盜_年增率(%),嫌疑犯人數(人) - 暴力犯罪_原始值,嫌疑犯人數(人) - 暴力犯罪_年增率(%),嫌疑犯人數(人) - 其他刑案_原始值,嫌疑犯人數(人) - 其他刑案_年增率(%),刑案發生率(件/十萬人)_原始值,刑案發生率(件/十萬人)_年增率(%),犯罪人口率(人/十萬人)_原始值,犯罪人口率(人/十萬人)_年增率(%),破獲率(%)_原始值,破獲率(%)_年增率(%)
2005M08,"52,388",14.77,"29,969",5.10,"1,280",9.31,"21,139",32.44,"35,998",32.39,"19,172",26.50,828,34.85,"15,998",40.08,"20,601",31.82,"3,951",37.67,731,26.69,"15,919",30.69,230.43,-,90.61,-,68.71,-
2005M09,"46,998",-2.89,"29,157",-4.51,"1,328",-5.14,"16,513",0.29,"28,577",0.55,"15,768",-2.53,742,-5.12,"12,067",5.28,"16,544",6.33,"3,147",5.15,660,-6.25,"12,737",7.38,206.66,-,72.75,-,60.80,-
2005M10,"48,087",-2.20,"29,980",-4.85,"1,243",-15.67,"16,864",4.18,"28,689",0.16,"15,507",-6.70,725,-12.44,"12,457",11.26,"17,557",14.07,"3,279",6.46,662,-1.93,"13,616",17.02,211.38,-,77.18,-,59.66,-
2005M11,"46,706",-5.00,"28,092",-8.37,"1,311",-3.32,"17,303",0.90,"28,950",-1.93,"15,648",-6.25,856,-0.23,"12,446",3.99,"18,672",15.00,"3,084",1.08,706,-10.97,"14,882",20.09,205.24,-,82.05,-,61.98,-
2005M12,"43,708",-7.17,"26,089",-11.02,"1,293",-1.30,"16,326",-0.80,"24,646",-4.18,"12,506",-11.90,690,-12.77,"11,450",6.67,"17,858",10.32,"2,468",-11.38,644,-5.01,"14,746",15.89,191.99,-,78.44,-,56.39,-
2006M01,"43,932",-4.40,"24,951",-6.19,"1,107",-0.54,"17,874",-2.03,"30,677",2.20,"16,040",-4.99,787,24.53,"13,850",10.79,"19,418",10.27,"3,864",10.05,731,18.86,"14,823",9.93,192.90,-,85.26,-,69.83,-
2006M02,"41,892",18.30,"23,077",8.96,"1,182",32.21,"17,633",32.20,"27,955",28.19,"12,990",12.40,664,19.42,"14,301",47.52,"19,089",44.05,"2,885",28.17,665,43.94,"15,539",47.44,183.88,-,83.79,-,66.73,-
2006M03,"43,449",-8.52,"23,913",-12.62,"1,341",19.20,"18,195",-4.25,"25,527",-13.17,"11,755",-29.98,793,58.92,"12,979",7.15,"18,091",9.60,"2,791",-26.11,654,28.99,"14,646",19.82,190.67,-,79.39,-,58.75,-
2006M04,"42,664",-7.61,"24,232",-9.73,"1,029",-9.82,"17,403",-4.34,"27,362",-2.97,"14,064",-10.44,693,8.96,"12,605",6.27,"17,521",8.08,"3,297",-8.39,621,7.44,"13,603",13.04,187.17,-,76.87,-,64.13,-
2006M05,"43,362",-10.36,"24,485",-11.39,"1,068",-16.56,"17,809",-8.49,"27,562",-10.23,"13,717",-15.41,658,-30.88,"13,187",-2.56,"17,845",-1.12,"3,345",-5.64,678,-15.88,"13,822",0.92,190.17,-,78.26,-,63.56,-
2006M06,"40,635",-11.64,"22,786",-16.60,"1,015",-12.73,"16,834",-3.82,"26,855",-6.36,"13,431",-13.11,673,-4.67,"12,751",1.89,"17,990",7.09,"3,215",-0.99,665,18.75,"14,110",8.61,178.14,-,78.87,-,66.09,-
2006M07,"42,760",-10.58,"23,721",-15.05,892,-21.06,"18,147",-3.30,"29,997",-3.28,"15,189",-9.23,657,0.31,"14,151",3.85,"18,898",6.37,"3,325",-5.41,715,23.92,"14,858",8.65,187.39,-,82.82,-,70.15,-
2006M08,"46,663",-10.93,"24,884",-16.97,899,-29.77,"20,880",-1.23,"34,639",-3.78,"17,220",-10.18,578,-30.19,"16,841",5.27,"21,746",5.56,"3,798",-3.87,649,-11.22,"17,299",8.67,204.41,-,95.26,-,74.23,-
2006M09,"42,464",-9.65,"23,344",-19.94,961,-27.64,"18,159",9.97,"30,036",5.11,"14,498",-8.05,621,-16.31,"14,917",23.62,"19,181",15.94,"3,589",14.05,652,-1.21,"14,940",17.30,185.96,-,84.00,-,70.73,-
2006M10,"42,028",-12.60,"23,708",-20.92,932,-25.02,"17,388",3.11,"25,978",-9.45,"12,028",-22.44,599,-17.38,"13,351",7.18,"18,150",3.38,"3,179",-3.05,705,6.50,"14,266",4.77,183.97,-,79.45,-,61.81,-
2006M11,"43,398",-7.08,"21,667",-22.87,885,-32.49,"20,846",20.48,"30,495",5.34,"12,686",-18.93,602,-29.67,"17,207",38.25,"23,112",23.78,"3,624",17.51,670,-5.10,"18,818",26.45,189.87,-,101.12,-,70.27,-
2006M12,"39,541",-9.53,"20,793",-20.30,915,-29.23,"17,833",9.23,"25,246",2.43,"10,939",-12.53,577,-16.38,"13,730",19.91,"18,152",1.65,"3,015",22.16,573,-11.02,"14,564",-1.23,172.90,-,79.37,-,63.85,-
2007M01,"40,860",-6.99,"20,476",-17.94,861,-22.22,"19,523",9.23,"27,575",-10.11,"11,132",-30.60,512,-34.94,"15,931",15.03,"20,395",5.03,"3,115",-19.38,553,-24.35,"16,727",12.84,178.60,-,89.15,-,67.49,-
2007M02,"36,979",-11.73,"17,804",-22.85,821,-30.54,"18,354",4.09,"30,925",10.62,"13,284",2.26,839,26.36,"16,802",17.49,"23,166",21.36,"3,846",33.31,830,24.81,"18,490",18.99,161.63,-,101.25,-,83.63,-
2007M03,"40,942",-5.77,"19,967",-16.50,825,-38.48,"20,150",10.74,"30,392",19.06,"12,101",2.94,660,-16.77,"17,631",35.84,"22,575",24.79,"3,341",19.71,759,16.06,"18,475",26.14,178.94,-,98.67,-,74.23,-
2007M04,"37,800",-11.40,"18,994",-21.62,702,-31.78,"18,104",4.03,"26,325",-3.79,"10,740",-23.63,460,-33.62,"15,125",19.99,"19,080",8.90,"3,139",-4.79,476,-23.35,"15,465",13.69,165.18,-,83.38,-,69.64,-
2007M05,"40,880",-5.72,"19,903",-18.71,731,-31.55,"20,246",13.68,"30,064",9.08,"12,648",-7.79,576,-12.46,"16,840",27.70,"21,830",22.33,"3,788",13.24,607,-10.47,"17,435",26.14,178.59,-,95.37,-,73.54,-
2007M06,"38,026",-6.42,"19,463",-14.58,719,-29.16,"17,844",6.00,"27,523",2.49,"12,022",-10.49,487,-27.64,"15,014",17.75,"19,265",7.09,"3,399",5.72,535,-19.55,"15,331",8.65,166.07,-,84.13,-,72.38,-
2007M07,"44,160",3.27,"21,606",-8.92,876,-1.79,"21,678",19.46,"32,131",7.11,"12,891",-15.13,639,-2.74,"18,601",31.45,"23,311",23.35,"3,426",3.04,700,-2.10,"19,185",29.12,192.78,-,101.77,-,72.76,-
2007M08,"43,248",-7.32,"20,384",-18.08,773,-14.02,"22,091",5.80,"33,031",-4.64,"12,866",-25.28,597,3.29,"19,568",16.19,"24,112",10.88,"3,419",-9.98,598,-7.86,"20,095",16.16,188.73,-,105.22,-,76.38,-
2007M09,"42,540",0.18,"20,904",-10.45,815,-15.19,"20,821",14.66,"31,647",5.36,"12,825",-11.54,595,-4.19,"18,227",22.19,"22,825",19.00,"3,612",0.64,611,-6.29,"18,602",24.51,185.58,-,99.57,-,74.39,-
2007M10,"44,871",6.76,"21,690",-8.51,842,-9.66,"22,339",28.47,"34,843",34.13,"13,935",15.85,636,6.18,"20,272",51.84,"24,803",36.66,"3,827",20.38,664,-5.82,"20,312",42.38,195.69,-,108.17,-,77.65,-
2007M11,"40,413",-6.88,"19,799",-8.62,762,-13.90,"19,852",-4.77,"31,776",4.20,"13,181",3.90,584,-2.99,"18,011",4.67,"22,834",-1.20,"3,589",-0.97,595,-11.19,"18,650",-0.89,176.17,-,99.54,-,78.63,-
2007M12,"41,096",3.93,"20,101",-3.33,807,-11.80,"20,188",13.21,"30,769",21.88,"12,483",14.11,569,-1.39,"17,717",29.04,"21,664",19.35,"3,552",17.81,601,4.89,"17,511",20.23,179.05,-,94.39,-,74.87,-
2008M01,"41,018",0.39,"20,158",-1.55,726,-15.68,"20,134",3.13,"31,742",15.11,"13,223",18.78,589,15.04,"17,930",12.55,"26,439",29.63,"3,969",27.42,564,1.99,"21,906",30.96,178.63,-,115.14,-,77.39,-
2008M02,"34,493",-6.72,"16,809",-5.59,621,-24.36,"17,063",-7.03,"29,194",-5.60,"12,639",-4.86,579,-30.99,"15,976",-4.92,"21,983",-5.11,"4,049",5.28,582,-29.88,"17,352",-6.15,150.17,-,95.70,-,84.64,-
2008M03,"40,368",-1.40,"19,398",-2.85,730,-11.52,"20,240",0.45,"29,309",-3.56,"11,319",-6.46,547,-17.12,"17,443",-1.07,"22,655",0.35,"3,655",9.40,612,-19.37,"18,388",-0.47,175.69,-,98.60,-,72.60,-
2008M04,"39,091",3.42,"19,456",2.43,700,-0.28,"18,935",4.59,"29,537",12.20,"12,554",16.89,523,13.70,"16,460",8.83,"21,037",10.26,"3,926",25.07,532,11.76,"16,579",7.20,170.10,-,91.54,-,75.56,-
2008M05,"39,491",-3.40,"19,091",-4.08,760,3.97,"19,640",-2.99,"30,362",0.99,"12,208",-3.48,572,-0.69,"17,582",4.41,"22,872",4.77,"3,978",5.02,682,12.36,"18,212",4.46,171.81,-,99.50,-,76.88,-
2008M06,"38,472",1.17,"18,488",-5.01,628,-12.66,"19,356",8.47,"30,024",9.09,"11,830",-1.60,529,8.62,"17,665",17.66,"22,492",16.75,"3,830",12.68,599,11.96,"18,063",17.82,167.33,-,97.83,-,78.04,-
2008M07,"41,083",-6.97,"18,652",-13.67,700,-20.09,"21,731",0.24,"32,890",2.36,"12,666",-1.75,512,-19.87,"19,712",5.97,"25,132",7.81,"4,042",17.98,573,-18.14,"20,517",6.94,178.64,-,109.28,-,80.06,-
2008M08,"41,359",-4.37,"17,656",-13.38,686,-11.25,"23,017",4.19,"32,611",-1.27,"11,356",-11.74,549,-8.04,"20,706",5.82,"25,509",5.79,"3,627",6.08,554,-7.36,"21,328",6.14,179.80,-,110.89,-,78.85,-
2008M09,"36,307",-14.65,"15,616",-25.30,675,-17.18,"20,016",-3.87,"28,392",-10.29,"10,114",-21.14,578,-2.86,"17,700",-2.89,"21,890",-4.10,"3,246",-10.13,558,-8.67,"18,086",-2.77,157.81,-,95.15,-,78.20,-
2008M10,"36,301",-19.10,"15,636",-27.91,729,-13.42,"19,936",-10.76,"27,888",-19.96,"9,678",-30.55,568,-10.69,"17,642",-12.97,"22,044",-11.12,"3,121",-18.45,597,-10.09,"18,326",-9.78,157.75,-,95.79,-,76.82,-
2008M11,"32,869",-18.67,"14,462",-26.96,595,-21.92,"17,812",-10.28,"24,447",-23.06,"8,587",-34.85,450,-22.95,"15,410",-14.44,"19,085",-16.42,"2,444",-31.90,447,-24.87,"16,194",-13.17,142.77,-,82.90,-,74.38,-
2008M12,"32,587",-20.71,"13,929",-30.70,567,-29.74,"18,091",-10.39,"24,101",-21.67,"7,649",-38.72,497,-12.65,"15,955",-9.95,"20,048",-7.46,"2,477",-30.26,543,-9.65,"17,028",-2.76,141.48,-,87.04,-,73.96,-
2009M01,"32,317",-21.21,"14,133",-29.89,555,-23.55,"17,629",-12.44,"28,929",-8.86,"12,490",-5.54,455,-22.75,"15,984",-10.85,"22,120",-16.34,"3,956",-0.33,433,-23.23,"17,731",-19.06,140.25,-,96.00,-,89.52,-
2009M02,"33,953",-1.57,"13,612",-19.02,603,-2.90,"19,738",15.68,"28,849",-1.18,"10,066",-20.36,523,-9.67,"18,260",14.30,"24,591",11.86,"3,761",-7.11,561,-3.61,"20,269",16.81,147.32,-,106.70,-,84.97,-
2009M03,"34,503",-14.53,"12,907",-33.46,648,-11.23,"20,948",3.50,"26,811",-8.52,"7,799",-31.10,540,-1.28,"18,472",5.90,"22,930",1.21,"2,654",-27.39,539,-11.93,"19,737",7.34,149.66,-,99.46,-,77.71,-
