期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2000,"22,276,672",0.83,"1,489,242",-1.19,"1,615,158",-0.62,"1,598,693",-0.21,"1,875,363",-3.34,"2,001,787",2.20,"1,778,878",-0.96,"1,880,525",-0.48,"1,948,453",-0.13,"1,840,177",1.34,"1,644,449",4.89,"1,096,189",12.48,"817,926",-3.87,"768,524",2.82,"659,042",-0.66,"582,622",2.95,"378,169",6.70,"188,721",7.46,"84,265",5.25,"22,959",9.09,"4,564",10.29,966,11.55,33.55,1.03
2001,"22,405,568",0.58,"1,426,759",-4.20,"1,618,964",0.24,"1,616,161",1.09,"1,768,347",-5.71,"1,992,372",-0.47,"1,828,743",2.80,"1,855,510",-1.33,"1,946,820",-0.08,"1,859,355",1.04,"1,678,885",2.09,"1,250,525",14.08,"800,735",-2.10,"789,035",2.67,"656,027",-0.46,"591,347",1.50,"398,637",5.41,"207,848",10.14,"88,205",4.68,"25,222",9.86,"4,948",8.41,"1,123",16.25,33.96,1.23
2002,"22,520,776",0.51,"1,350,829",-5.32,"1,621,378",0.15,"1,626,685",0.65,"1,681,126",-4.93,"2,004,871",0.63,"1,856,171",1.50,"1,847,353",-0.44,"1,913,758",-1.70,"1,896,052",1.97,"1,706,154",1.62,"1,363,730",9.05,"821,946",2.65,"799,423",1.32,"665,502",1.44,"593,675",0.39,"419,184",5.15,"224,363",7.95,"92,436",4.80,"29,336",16.31,"5,506",11.28,"1,298",15.58,34.37,1.22
2003,"22,604,550",0.37,"1,309,903",-3.03,"1,561,046",-3.72,"1,610,671",-0.98,"1,646,048",-2.09,"1,977,231",-1.38,"1,901,431",2.44,"1,821,029",-1.42,"1,891,845",-1.15,"1,919,263",1.22,"1,744,527",2.25,"1,456,435",6.80,"866,063",5.37,"811,324",1.49,"677,189",1.76,"589,974",-0.62,"443,852",5.88,"239,280",6.65,"97,340",5.31,"32,724",11.55,"5,954",8.14,"1,421",9.48,34.82,1.30
2004,"22,689,122",0.37,"1,243,939",-5.04,"1,521,015",-2.56,"1,622,128",0.71,"1,592,665",-3.24,"1,928,089",-2.49,"1,958,601",3.01,"1,796,937",-1.32,"1,877,722",-0.75,"1,926,436",0.37,"1,783,714",2.25,"1,532,407",5.22,"943,933",8.99,"811,061",-0.03,"694,392",2.54,"588,148",-0.31,"464,817",4.72,"255,848",6.92,"103,711",6.55,"35,343",8.00,"6,643",11.57,"1,573",10.70,35.28,1.33
2005,"22,770,383",0.36,"1,144,355",-8.01,"1,502,936",-1.19,"1,611,758",-0.64,"1,590,254",-0.15,"1,864,520",-3.30,"2,002,501",2.24,"1,781,545",-0.86,"1,870,226",-0.40,"1,925,056",-0.07,"1,808,740",1.40,"1,608,391",4.96,"1,062,981",12.61,"780,316",-3.79,"715,262",3.01,"586,360",-0.30,"480,569",3.39,"275,448",7.66,"112,551",8.52,"37,635",6.49,"7,236",8.93,"1,743",10.81,35.76,1.34
2006,"22,876,527",0.47,"1,092,942",-4.49,"1,437,160",-4.38,"1,615,529",0.23,"1,608,668",1.16,"1,760,487",-5.58,"1,998,797",-0.18,"1,835,988",3.06,"1,850,260",-1.07,"1,927,547",0.13,"1,832,448",1.31,"1,646,546",2.37,"1,216,871",14.48,"766,255",-1.80,"737,193",3.07,"586,672",0.05,"491,500",2.27,"294,363",6.87,"126,836",12.69,"40,384",7.30,"8,137",12.45,"1,944",11.53,36.25,1.38
2007,"22,958,360",0.36,"1,052,585",-3.69,"1,359,780",-5.38,"1,618,280",0.17,"1,620,326",0.72,"1,675,596",-4.82,"2,017,016",0.91,"1,866,769",1.68,"1,845,404",-0.26,"1,897,013",-1.58,"1,869,685",2.03,"1,674,991",1.73,"1,329,160",9.23,"788,663",2.92,"748,863",1.58,"597,005",1.76,"495,565",0.83,"310,951",5.64,"137,363",8.30,"41,807",3.52,"9,576",17.68,"1,962",0.93,36.69,1.23
2008,"23,037,031",0.34,"1,026,206",-2.51,"1,319,870",-2.94,"1,559,127",-3.66,"1,605,952",-0.89,"1,642,305",-1.99,"1,994,567",-1.11,"1,916,670",2.67,"1,823,587",-1.18,"1,878,514",-0.98,"1,895,846",1.40,"1,715,897",2.44,"1,422,226",7.00,"834,044",5.75,"762,519",1.82,"609,541",2.10,"494,896",-0.13,"331,096",6.48,"147,409",7.31,"44,605",6.69,"10,281",7.36,"1,873",-4.54,37.16,1.26
2009,"23,119,772",0.36,"1,002,160",-2.34,"1,255,927",-4.84,"1,519,931",-2.51,"1,618,327",0.77,"1,589,926",-3.19,"1,950,841",-2.19,"1,982,094",3.41,"1,804,994",-1.02,"1,868,115",-0.55,"1,905,475",0.51,"1,755,730",2.32,"1,497,842",5.32,"910,762",9.20,"764,075",0.20,"627,518",2.95,"496,030",0.23,"349,408",5.53,"159,031",7.88,"48,364",8.43,"11,221",9.14,"2,001",6.83,37.63,1.27
2010,"23,162,123",0.18,"964,093",-3.80,"1,158,304",-7.77,"1,501,914",-1.19,"1,608,154",-0.63,"1,586,737",-0.20,"1,886,699",-3.29,"2,029,110",2.37,"1,791,704",-0.74,"1,862,445",-0.30,"1,904,868",-0.03,"1,780,392",1.40,"1,572,529",4.99,"1,027,281",12.79,"736,850",-3.56,"648,886",3.41,"497,209",0.24,"364,105",4.21,"173,270",8.95,"53,396",10.40,"12,066",7.53,"2,111",5.50,38.14,1.35
2011,"23,224,912",0.27,"956,990",-0.74,"1,108,386",-4.31,"1,436,414",-4.36,"1,612,237",0.25,"1,604,002",1.09,"1,778,838",-5.72,"2,023,066",-0.30,"1,844,591",2.95,"1,842,060",-1.09,"1,905,738",0.05,"1,800,906",1.15,"1,608,114",2.26,"1,175,321",14.41,"724,538",-1.67,"669,950",3.25,"498,980",0.36,"373,442",2.56,"186,330",7.54,"60,206",12.75,"12,662",4.94,"2,141",1.42,38.60,1.20
2012,"23,315,822",0.39,"983,683",2.79,"1,068,274",-3.62,"1,359,720",-5.34,"1,615,525",0.20,"1,615,579",0.72,"1,688,435",-5.08,"2,038,988",0.79,"1,874,388",1.62,"1,837,206",-0.26,"1,874,953",-1.62,"1,838,162",2.07,"1,636,437",1.76,"1,284,320",9.27,"747,480",3.17,"682,956",1.94,"509,783",2.17,"378,576",1.37,"198,883",6.74,"66,290",10.11,"13,585",7.29,"2,599",21.39,38.98,1.01
2013,"23,373,517",0.25,"986,951",0.33,"1,039,973",-2.65,"1,319,677",-2.94,"1,556,952",-3.63,"1,601,542",-0.87,"1,650,491",-2.25,"2,014,190",-1.22,"1,924,082",2.65,"1,815,671",-1.17,"1,856,314",-0.99,"1,863,764",1.39,"1,675,557",2.39,"1,373,947",6.98,"792,163",5.98,"696,464",1.98,"523,185",2.63,"380,160",0.42,"213,004",7.10,"71,974",8.57,"14,618",7.60,"2,838",9.20,39.42,1.12
