期間,原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%)
2002M12,"433,689",3.04,"220,121",2.22,"213,568",3.90,"203,197",3.08,"104,768",2.26,"98,429",3.96,"230,492",3.01,"115,353",2.19,"115,139",3.84
2003M01,"434,471",3.07,"220,405",2.25,"214,066",3.93,"203,595",3.14,"104,895",2.30,"98,700",4.06,"230,876",3.00,"115,510",2.20,"115,366",3.81
2003M02,"435,413",3.04,"220,788",2.24,"214,625",3.87,"204,086",3.11,"105,112",2.28,"98,974",4.00,"231,327",2.97,"115,676",2.20,"115,651",3.76
2003M03,"436,299",2.98,"221,108",2.23,"215,191",3.78,"204,545",3.06,"105,271",2.25,"99,274",3.95,"231,754",2.91,"115,837",2.20,"115,917",3.63
2003M04,"437,041",2.96,"221,341",2.16,"215,700",3.78,"204,928",3.05,"105,410",2.20,"99,518",3.96,"232,113",2.87,"115,931",2.13,"116,182",3.63
2003M05,"437,832",2.91,"221,648",2.15,"216,184",3.70,"205,366",3.02,"105,595",2.19,"99,771",3.91,"232,466",2.81,"116,053",2.11,"116,413",3.53
2003M06,"438,658",2.81,"221,933",2.08,"216,725",3.56,"205,763",2.90,"105,732",2.11,"100,031",3.75,"232,895",2.73,"116,201",2.06,"116,694",3.41
2003M07,"439,701",2.76,"222,287",2.05,"217,414",3.49,"206,244",2.85,"105,875",2.06,"100,369",3.68,"233,457",2.68,"116,412",2.03,"117,045",3.33
2003M08,"441,017",2.67,"222,818",2.00,"218,199",3.37,"206,857",2.76,"106,116",2.00,"100,741",3.58,"234,160",2.59,"116,702",2.01,"117,458",3.18
2003M09,"442,352",2.68,"223,306",1.98,"219,046",3.39,"207,501",2.76,"106,358",1.98,"101,143",3.61,"234,851",2.60,"116,948",1.99,"117,903",3.21
2003M10,"443,296",2.64,"223,669",1.95,"219,627",3.36,"207,957",2.75,"106,525",1.97,"101,432",3.59,"235,339",2.55,"117,144",1.94,"118,195",3.15
2003M11,"444,079",2.60,"224,008",1.94,"220,071",3.28,"208,301",2.70,"106,677",1.97,"101,624",3.49,"235,778",2.51,"117,331",1.92,"118,447",3.11
2003M12,"444,823",2.57,"224,289",1.89,"220,534",3.26,"208,685",2.70,"106,834",1.97,"101,851",3.48,"236,138",2.45,"117,455",1.82,"118,683",3.08
2004M01,"445,411",2.52,"224,514",1.86,"220,897",3.19,"208,955",2.63,"106,932",1.94,"102,023",3.37,"236,456",2.42,"117,582",1.79,"118,874",3.04
2004M02,"446,400",2.52,"224,898",1.86,"221,502",3.20,"209,435",2.62,"107,118",1.91,"102,317",3.38,"236,965",2.44,"117,780",1.82,"119,185",3.06
2004M03,"447,345",2.53,"225,196",1.85,"222,149",3.23,"209,906",2.62,"107,259",1.89,"102,647",3.40,"237,439",2.45,"117,937",1.81,"119,502",3.09
2004M04,"448,095",2.53,"225,456",1.86,"222,639",3.22,"210,306",2.62,"107,409",1.90,"102,897",3.40,"237,789",2.45,"118,047",1.83,"119,742",3.06
2004M05,"448,840",2.51,"225,736",1.84,"223,104",3.20,"210,677",2.59,"107,550",1.85,"103,127",3.36,"238,163",2.45,"118,186",1.84,"119,977",3.06
2004M06,"449,755",2.53,"226,105",1.88,"223,650",3.20,"211,134",2.61,"107,732",1.89,"103,402",3.37,"238,621",2.46,"118,373",1.87,"120,248",3.05
2004M07,"450,556",2.47,"226,434",1.87,"224,122",3.09,"211,520",2.56,"107,882",1.90,"103,638",3.26,"239,036",2.39,"118,552",1.84,"120,484",2.94
2004M08,"451,738",2.43,"226,925",1.84,"224,813",3.03,"212,098",2.53,"108,144",1.91,"103,954",3.19,"239,640",2.34,"118,781",1.78,"120,859",2.90
2004M09,"452,788",2.36,"227,324",1.80,"225,464",2.93,"212,676",2.49,"108,365",1.89,"104,311",3.13,"240,112",2.24,"118,959",1.72,"121,153",2.76
2004M10,"453,453",2.29,"227,574",1.75,"225,879",2.85,"213,004",2.43,"108,496",1.85,"104,508",3.03,"240,449",2.17,"119,078",1.65,"121,371",2.69
2004M11,"454,151",2.27,"227,809",1.70,"226,342",2.85,"213,365",2.43,"108,603",1.81,"104,762",3.09,"240,786",2.12,"119,206",1.60,"121,580",2.65
2004M12,"454,951",2.28,"228,104",1.70,"226,847",2.86,"213,755",2.43,"108,730",1.77,"105,025",3.12,"241,196",2.14,"119,374",1.63,"121,822",2.64
2005M01,"455,624",2.29,"228,352",1.71,"227,272",2.89,"214,044",2.44,"108,837",1.78,"105,207",3.12,"241,580",2.17,"119,515",1.64,"122,065",2.68
2005M02,"456,364",2.23,"228,655",1.67,"227,709",2.80,"214,397",2.37,"109,001",1.76,"105,396",3.01,"241,967",2.11,"119,654",1.59,"122,313",2.62
2005M03,"457,230",2.21,"228,999",1.69,"228,231",2.74,"214,806",2.33,"109,157",1.77,"105,649",2.92,"242,424",2.10,"119,842",1.62,"122,582",2.58
2005M04,"457,891",2.19,"229,230",1.67,"228,661",2.70,"215,147",2.30,"109,287",1.75,"105,860",2.88,"242,744",2.08,"119,943",1.61,"122,801",2.55
2005M05,"458,647",2.18,"229,529",1.68,"229,118",2.70,"215,504",2.29,"109,422",1.74,"106,082",2.87,"243,143",2.09,"120,107",1.63,"123,036",2.55
2005M06,"459,578",2.18,"229,892",1.67,"229,686",2.70,"215,930",2.27,"109,586",1.72,"106,344",2.85,"243,648",2.11,"120,306",1.63,"123,342",2.57
2005M07,"460,413",2.19,"230,189",1.66,"230,224",2.72,"216,381",2.30,"109,736",1.72,"106,645",2.90,"244,032",2.09,"120,453",1.60,"123,579",2.57
2005M08,"461,710",2.21,"230,726",1.68,"230,984",2.74,"217,029",2.32,"109,973",1.69,"107,056",2.98,"244,681",2.10,"120,753",1.66,"123,928",2.54
2005M09,"462,906",2.23,"231,193",1.70,"231,713",2.77,"217,657",2.34,"110,229",1.72,"107,428",2.99,"245,249",2.14,"120,964",1.69,"124,285",2.59
2005M10,"463,647",2.25,"231,463",1.71,"232,184",2.79,"218,024",2.36,"110,376",1.73,"107,648",3.00,"245,623",2.15,"121,087",1.69,"124,536",2.61
2005M11,"464,273",2.23,"231,714",1.71,"232,559",2.75,"218,321",2.32,"110,497",1.74,"107,824",2.92,"245,952",2.15,"121,217",1.69,"124,735",2.59
2005M12,"464,961",2.20,"231,961",1.69,"233,000",2.71,"218,641",2.29,"110,620",1.74,"108,021",2.85,"246,320",2.12,"121,341",1.65,"124,979",2.59
2006M01,"465,492",2.17,"232,153",1.66,"233,339",2.67,"218,878",2.26,"110,711",1.72,"108,167",2.81,"246,614",2.08,"121,442",1.61,"125,172",2.55
2006M02,"466,435",2.21,"232,549",1.70,"233,886",2.71,"219,372",2.32,"110,928",1.77,"108,444",2.89,"247,063",2.11,"121,621",1.64,"125,442",2.56
2006M03,"467,264",2.19,"232,863",1.69,"234,401",2.70,"219,827",2.34,"111,111",1.79,"108,716",2.90,"247,437",2.07,"121,752",1.59,"125,685",2.53
2006M04,"467,901",2.19,"233,110",1.69,"234,791",2.68,"220,150",2.33,"111,227",1.78,"108,923",2.89,"247,751",2.06,"121,883",1.62,"125,868",2.50
2006M05,"468,602",2.17,"233,388",1.68,"235,214",2.66,"220,513",2.32,"111,372",1.78,"109,141",2.88,"248,089",2.03,"122,016",1.59,"126,073",2.47
2006M06,"469,467",2.15,"233,757",1.68,"235,710",2.62,"221,002",2.35,"111,600",1.84,"109,402",2.88,"248,465",1.98,"122,157",1.54,"126,308",2.40
2006M07,"470,217",2.13,"234,069",1.69,"236,148",2.57,"221,393",2.32,"111,764",1.85,"109,629",2.80,"248,824",1.96,"122,305",1.54,"126,519",2.38
2006M08,"471,439",2.11,"234,573",1.67,"236,866",2.55,"221,995",2.29,"112,001",1.84,"109,994",2.74,"249,444",1.95,"122,572",1.51,"126,872",2.38
2006M09,"472,490",2.07,"235,052",1.67,"237,438",2.47,"222,452",2.20,"112,213",1.80,"110,239",2.62,"250,038",1.95,"122,839",1.55,"127,199",2.34
2006M10,"473,212",2.06,"235,350",1.68,"237,862",2.45,"222,772",2.18,"112,353",1.79,"110,419",2.57,"250,440",1.96,"122,997",1.58,"127,443",2.33
2006M11,"474,002",2.10,"235,656",1.70,"238,346",2.49,"223,193",2.23,"112,507",1.82,"110,686",2.65,"250,809",1.97,"123,149",1.59,"127,660",2.34
2006M12,"474,919",2.14,"236,000",1.74,"238,919",2.54,"223,612",2.27,"112,662",1.85,"110,950",2.71,"251,307",2.02,"123,338",1.65,"127,969",2.39
2007M01,"475,601",2.17,"236,274",1.78,"239,327",2.57,"223,917",2.30,"112,775",1.86,"111,142",2.75,"251,684",2.06,"123,499",1.69,"128,185",2.41
2007M02,"476,063",2.06,"236,472",1.69,"239,591",2.44,"224,128",2.17,"112,846",1.73,"111,282",2.62,"251,935",1.97,"123,626",1.65,"128,309",2.29
2007M03,"477,002",2.08,"236,869",1.72,"240,133",2.45,"224,603",2.17,"113,032",1.73,"111,571",2.63,"252,399",2.01,"123,837",1.71,"128,562",2.29
2007M04,"477,710",2.10,"237,172",1.74,"240,538",2.45,"224,943",2.18,"113,175",1.75,"111,768",2.61,"252,767",2.02,"123,997",1.73,"128,770",2.31
2007M05,"478,457",2.10,"237,465",1.75,"240,992",2.46,"225,285",2.16,"113,326",1.75,"111,959",2.58,"253,172",2.05,"124,139",1.74,"129,033",2.35
2007M06,"479,216",2.08,"237,776",1.72,"241,440",2.43,"225,649",2.10,"113,446",1.65,"112,203",2.56,"253,567",2.05,"124,330",1.78,"129,237",2.32
2007M07,"480,000",2.08,"238,105",1.72,"241,895",2.43,"225,980",2.07,"113,564",1.61,"112,416",2.54,"254,020",2.09,"124,541",1.83,"129,479",2.34
2007M08,"481,119",2.05,"238,582",1.71,"242,537",2.39,"226,469",2.02,"113,756",1.57,"112,713",2.47,"254,650",2.09,"124,826",1.84,"129,824",2.33
2007M09,"482,000",2.01,"238,953",1.66,"243,047",2.36,"226,911",2.00,"113,949",1.55,"112,962",2.47,"255,089",2.02,"125,004",1.76,"130,085",2.27
2007M10,"482,798",2.03,"239,279",1.67,"243,519",2.38,"227,257",2.01,"114,091",1.55,"113,166",2.49,"255,541",2.04,"125,188",1.78,"130,353",2.28
2007M11,"483,459",2.00,"239,533",1.65,"243,926",2.34,"227,613",1.98,"114,220",1.52,"113,393",2.45,"255,846",2.01,"125,313",1.76,"130,533",2.25
2007M12,"484,174",1.95,"239,832",1.62,"244,342",2.27,"227,960",1.94,"114,371",1.52,"113,589",2.38,"256,214",1.95,"125,461",1.72,"130,753",2.18
2008M01,"484,906",1.96,"240,158",1.64,"244,748",2.27,"228,260",1.94,"114,513",1.54,"113,747",2.34,"256,646",1.97,"125,645",1.74,"131,001",2.20
2008M02,"485,687",2.02,"240,470",1.69,"245,217",2.35,"228,644",2.01,"114,651",1.60,"113,993",2.44,"257,043",2.03,"125,819",1.77,"131,224",2.27
2008M03,"486,469",1.98,"240,783",1.65,"245,686",2.31,"229,083",1.99,"114,848",1.61,"114,235",2.39,"257,386",1.98,"125,935",1.69,"131,451",2.25
2008M04,"487,205",1.99,"241,113",1.66,"246,092",2.31,"229,478",2.02,"115,020",1.63,"114,458",2.41,"257,727",1.96,"126,093",1.69,"131,634",2.22
2008M05,"487,863",1.97,"241,373",1.65,"246,490",2.28,"229,825",2.02,"115,172",1.63,"114,653",2.41,"258,038",1.92,"126,201",1.66,"131,837",2.17
2008M06,"488,773",1.99,"241,787",1.69,"246,986",2.30,"230,238",2.03,"115,333",1.66,"114,905",2.41,"258,535",1.96,"126,454",1.71,"132,081",2.20
2008M07,"489,663",2.01,"242,152",1.70,"247,511",2.32,"230,645",2.06,"115,487",1.69,"115,158",2.44,"259,018",1.97,"126,665",1.71,"132,353",2.22
2008M08,"490,765",2.00,"242,624",1.69,"248,141",2.31,"231,200",2.09,"115,720",1.73,"115,480",2.45,"259,565",1.93,"126,904",1.66,"132,661",2.19
2008M09,"491,722",2.02,"243,058",1.72,"248,664",2.31,"231,642",2.08,"115,918",1.73,"115,724",2.45,"260,080",1.96,"127,140",1.71,"132,940",2.19
2008M10,"492,548",2.02,"243,380",1.71,"249,168",2.32,"232,031",2.10,"116,052",1.72,"115,979",2.49,"260,517",1.95,"127,328",1.71,"133,189",2.18
2008M11,"493,285",2.03,"243,682",1.73,"249,603",2.33,"232,371",2.09,"116,187",1.72,"116,184",2.46,"260,914",1.98,"127,495",1.74,"133,419",2.21
2008M12,"494,107",2.05,"243,997",1.74,"250,110",2.36,"232,762",2.11,"116,328",1.71,"116,434",2.50,"261,345",2.00,"127,669",1.76,"133,676",2.24
2009M01,"494,785",2.04,"244,285",1.72,"250,500",2.35,"233,116",2.13,"116,473",1.71,"116,643",2.55,"261,669",1.96,"127,812",1.72,"133,857",2.18
2009M02,"496,086",2.14,"244,794",1.80,"251,292",2.48,"233,758",2.24,"116,727",1.81,"117,031",2.67,"262,328",2.06,"128,067",1.79,"134,261",2.31
2009M03,"497,181",2.20,"245,217",1.84,"251,964",2.56,"234,290",2.27,"116,912",1.80,"117,378",2.75,"262,891",2.14,"128,305",1.88,"134,586",2.38
2009M04,"497,915",2.20,"245,525",1.83,"252,390",2.56,"234,669",2.26,"117,065",1.78,"117,604",2.75,"263,246",2.14,"128,460",1.88,"134,786",2.39
2009M05,"498,549",2.19,"245,785",1.83,"252,764",2.55,"234,961",2.23,"117,187",1.75,"117,774",2.72,"263,588",2.15,"128,598",1.90,"134,990",2.39
2009M06,"499,502",2.20,"246,182",1.82,"253,320",2.56,"235,420",2.25,"117,375",1.77,"118,045",2.73,"264,082",2.15,"128,807",1.86,"135,275",2.42
2009M07,"500,429",2.20,"246,589",1.83,"253,840",2.56,"235,873",2.27,"117,561",1.80,"118,312",2.74,"264,556",2.14,"129,028",1.87,"135,528",2.40
2009M08,"501,502",2.19,"247,093",1.84,"254,409",2.53,"236,419",2.26,"117,816",1.81,"118,603",2.70,"265,083",2.13,"129,277",1.87,"135,806",2.37
2009M09,"502,566",2.21,"247,537",1.84,"255,029",2.56,"236,888",2.26,"118,003",1.80,"118,885",2.73,"265,678",2.15,"129,534",1.88,"136,144",2.41
2009M10,"503,259",2.17,"247,797",1.81,"255,462",2.53,"237,216",2.23,"118,125",1.79,"119,091",2.68,"266,043",2.12,"129,672",1.84,"136,371",2.39
2009M11,"503,867",2.15,"248,039",1.79,"255,828",2.49,"237,525",2.22,"118,257",1.78,"119,268",2.65,"266,342",2.08,"129,782",1.79,"136,560",2.35
2009M12,"504,531",2.11,"248,321",1.77,"256,210",2.44,"237,815",2.17,"118,365",1.75,"119,450",2.59,"266,716",2.06,"129,956",1.79,"136,760",2.31
2010M01,"505,159",2.10,"248,590",1.76,"256,569",2.42,"238,084",2.13,"118,485",1.73,"119,599",2.53,"267,075",2.07,"130,105",1.79,"136,970",2.33
2010M02,"505,742",1.95,"248,836",1.65,"256,906",2.23,"238,335",1.96,"118,588",1.59,"119,747",2.32,"267,407",1.94,"130,248",1.70,"137,159",2.16
2010M03,"506,494",1.87,"249,139",1.60,"257,355",2.14,"238,700",1.88,"118,726",1.55,"119,974",2.21,"267,794",1.87,"130,413",1.64,"137,381",2.08
2010M04,"507,071",1.84,"249,355",1.56,"257,716",2.11,"238,941",1.82,"118,794",1.48,"120,147",2.16,"268,130",1.86,"130,561",1.64,"137,569",2.06
2010M05,"507,690",1.83,"249,614",1.56,"258,076",2.10,"239,218",1.81,"118,905",1.47,"120,313",2.16,"268,472",1.85,"130,709",1.64,"137,763",2.05
2010M06,"508,380",1.78,"249,876",1.50,"258,504",2.05,"239,542",1.75,"119,027",1.41,"120,515",2.09,"268,838",1.80,"130,849",1.59,"137,989",2.01
2010M07,"509,148",1.74,"250,196",1.46,"258,952",2.01,"239,910",1.71,"119,166",1.37,"120,744",2.06,"269,238",1.77,"131,030",1.55,"138,208",1.98
2010M08,"510,203",1.73,"250,632",1.43,"259,571",2.03,"240,364",1.67,"119,357",1.31,"121,007",2.03,"269,839",1.79,"131,275",1.55,"138,564",2.03
2010M09,"510,997",1.68,"250,991",1.40,"260,006",1.95,"240,790",1.65,"119,563",1.32,"121,227",1.97,"270,207",1.70,"131,428",1.46,"138,779",1.94
2010M10,"511,567",1.65,"251,203",1.37,"260,364",1.92,"241,057",1.62,"119,659",1.30,"121,398",1.94,"270,510",1.68,"131,544",1.44,"138,966",1.90
2010M11,"512,197",1.65,"251,510",1.40,"260,687",1.90,"241,298",1.59,"119,771",1.28,"121,527",1.89,"270,899",1.71,"131,739",1.51,"139,160",1.90
2010M12,"512,701",1.62,"251,679",1.35,"261,022",1.88,"241,514",1.56,"119,836",1.24,"121,678",1.87,"271,187",1.68,"131,843",1.45,"139,344",1.89
2011M01,"513,103",1.57,"251,840",1.31,"261,263",1.83,"241,654",1.50,"119,886",1.18,"121,768",1.81,"271,449",1.64,"131,954",1.42,"139,495",1.84
2011M02,"513,640",1.56,"252,089",1.31,"261,551",1.81,"241,910",1.50,"120,014",1.20,"121,896",1.79,"271,730",1.62,"132,075",1.40,"139,655",1.82
2011M03,"514,345",1.55,"252,375",1.30,"261,970",1.79,"242,219",1.47,"120,141",1.19,"122,078",1.75,"272,126",1.62,"132,234",1.40,"139,892",1.83
2011M04,"514,824",1.53,"252,556",1.28,"262,268",1.77,"242,444",1.47,"120,228",1.21,"122,216",1.72,"272,380",1.59,"132,328",1.35,"140,052",1.80
2011M05,"515,371",1.51,"252,795",1.27,"262,576",1.74,"242,683",1.45,"120,336",1.20,"122,347",1.69,"272,688",1.57,"132,459",1.34,"140,229",1.79
2011M06,"515,993",1.50,"253,057",1.27,"262,936",1.71,"242,961",1.43,"120,457",1.20,"122,504",1.65,"273,032",1.56,"132,600",1.34,"140,432",1.77
2011M07,"516,625",1.47,"253,283",1.23,"263,342",1.70,"243,245",1.39,"120,561",1.17,"122,684",1.61,"273,380",1.54,"132,722",1.29,"140,658",1.77
2011M08,"517,455",1.42,"253,649",1.20,"263,806",1.63,"243,618",1.35,"120,729",1.15,"122,889",1.56,"273,837",1.48,"132,920",1.25,"140,917",1.70
2011M09,"518,218",1.41,"253,966",1.19,"264,252",1.63,"243,984",1.33,"120,861",1.09,"123,123",1.56,"274,234",1.49,"133,105",1.28,"141,129",1.69
2011M10,"518,829",1.42,"254,237",1.21,"264,592",1.62,"244,197",1.30,"120,950",1.08,"123,247",1.52,"274,632",1.52,"133,287",1.33,"141,345",1.71
2011M11,"519,402",1.41,"254,454",1.17,"264,948",1.63,"244,456",1.31,"121,060",1.08,"123,396",1.54,"274,946",1.49,"133,394",1.26,"141,552",1.72
2011M12,"519,984",1.42,"254,704",1.20,"265,280",1.63,"244,758",1.34,"121,185",1.13,"123,573",1.56,"275,226",1.49,"133,519",1.27,"141,707",1.70
2012M01,"520,440",1.43,"254,906",1.22,"265,534",1.63,"244,952",1.36,"121,277",1.16,"123,675",1.57,"275,488",1.49,"133,629",1.27,"141,859",1.69
2012M02,"521,183",1.47,"255,262",1.26,"265,921",1.67,"245,319",1.41,"121,444",1.19,"123,875",1.62,"275,864",1.52,"133,818",1.32,"142,046",1.71
2012M03,"521,709",1.43,"255,518",1.25,"266,191",1.61,"245,581",1.39,"121,558",1.18,"124,023",1.59,"276,128",1.47,"133,960",1.31,"142,168",1.63
2012M04,"522,245",1.44,"255,719",1.25,"266,526",1.62,"245,820",1.39,"121,657",1.19,"124,163",1.59,"276,425",1.49,"134,062",1.31,"142,363",1.65
2012M05,"522,942",1.47,"256,008",1.27,"266,934",1.66,"246,161",1.43,"121,825",1.24,"124,336",1.63,"276,781",1.50,"134,183",1.30,"142,598",1.69
2012M06,"523,498",1.45,"256,279",1.27,"267,219",1.63,"246,407",1.42,"121,959",1.25,"124,448",1.59,"277,091",1.49,"134,320",1.30,"142,771",1.67
2012M07,"524,059",1.44,"256,523",1.28,"267,536",1.59,"246,657",1.40,"122,061",1.24,"124,596",1.56,"277,402",1.47,"134,462",1.31,"142,940",1.62
2012M08,"524,854",1.43,"256,848",1.26,"268,006",1.59,"247,006",1.39,"122,200",1.22,"124,806",1.56,"277,848",1.46,"134,648",1.30,"143,200",1.62
2012M09,"525,539",1.41,"257,154",1.26,"268,385",1.56,"247,304",1.36,"122,337",1.22,"124,967",1.50,"278,235",1.46,"134,817",1.29,"143,418",1.62
2012M10,"526,148",1.41,"257,409",1.25,"268,739",1.57,"247,541",1.37,"122,433",1.23,"125,108",1.51,"278,607",1.45,"134,976",1.27,"143,631",1.62
2012M11,"526,720",1.41,"257,650",1.26,"269,070",1.56,"247,784",1.36,"122,532",1.22,"125,252",1.50,"278,936",1.45,"135,118",1.29,"143,818",1.60
2012M12,"527,250",1.40,"257,888",1.25,"269,362",1.54,"248,042",1.34,"122,653",1.21,"125,389",1.47,"279,208",1.45,"135,235",1.29,"143,973",1.60
2013M01,"527,767",1.41,"258,113",1.26,"269,654",1.55,"248,248",1.35,"122,745",1.21,"125,503",1.48,"279,519",1.46,"135,368",1.30,"144,151",1.62
2013M02,"528,232",1.35,"258,300",1.19,"269,932",1.51,"248,480",1.29,"122,833",1.14,"125,647",1.43,"279,752",1.41,"135,467",1.23,"144,285",1.58
2013M03,"528,799",1.36,"258,532",1.18,"270,267",1.53,"248,725",1.28,"122,920",1.12,"125,805",1.44,"280,074",1.43,"135,612",1.23,"144,462",1.61
2013M04,"529,281",1.35,"258,719",1.17,"270,562",1.51,"248,939",1.27,"122,987",1.09,"125,952",1.44,"280,342",1.42,"135,732",1.25,"144,610",1.58
