期間,民意代表、主管及經理人員_原始值,民意代表、主管及經理人員_年增率(%),民意代表、主管及經理人員_原始值,民意代表、主管及經理人員_年增率(%),民意代表、主管及經理人員_原始值,民意代表、主管及經理人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),事務支援人員_原始值,事務支援人員_年增率(%),事務支援人員_原始值,事務支援人員_年增率(%),事務支援人員_原始值,事務支援人員_年增率(%),服務及銷售工作人員_原始值,服務及銷售工作人員_年增率(%),服務及銷售工作人員_原始值,服務及銷售工作人員_年增率(%),服務及銷售工作人員_原始值,服務及銷售工作人員_年增率(%),農林漁牧生產人員_原始值,農林漁牧生產人員_年增率(%),農林漁牧生產人員_原始值,農林漁牧生產人員_年增率(%),農林漁牧生產人員_原始值,農林漁牧生產人員_年增率(%),技藝有關工作人員、機械設備操作及勞力工_原始值,技藝有關工作人員、機械設備操作及勞力工_年增率(%),技藝有關工作人員、機械設備操作及勞力工_原始值,技藝有關工作人員、機械設備操作及勞力工_年增率(%),技藝有關工作人員、機械設備操作及勞力工_原始值,技藝有關工作人員、機械設備操作及勞力工_年增率(%)
2009M11,452,-1.63,364,-3.13,89,5.02,"1,091",-3.62,532,-3.91,558,-3.34,"2,015",4.66,"1,087",3.26,928,6.35,"1,120",3.40,247,-5.65,873,6.28,"2,048",0.15,894,0.63,"1,154",-0.22,518,3.47,362,0.13,156,12.12,"3,125",-4.30,"2,322",-2.97,803,-7.94
2009M12,448,-1.64,351,-4.16,97,8.66,"1,089",-3.15,529,-1.26,560,-4.86,"2,026",4.73,"1,097",5.45,930,3.90,"1,123",3.34,242,-9.22,880,7.43,"2,058",2.00,900,1.94,"1,158",2.04,511,1.60,358,-0.17,153,5.98,"3,128",-3.21,"2,343",-2.21,785,-6.05
2010M01,444,-1.46,353,-3.23,91,6.08,"1,087",-2.50,533,-2.54,554,-2.46,"2,032",4.20,"1,113",5.47,919,2.69,"1,117",2.90,237,-8.54,880,6.49,"2,067",2.81,919,2.10,"1,148",3.39,501,-0.83,355,-0.81,146,-0.87,"3,140",-1.45,"2,329",-0.09,811,-5.16
2010M02,443,-0.77,356,-2.41,87,6.56,"1,091",-1.20,527,-2.37,564,-0.08,"2,024",4.20,"1,109",3.86,914,4.61,"1,117",3.93,232,-5.37,885,6.68,"2,063",3.34,924,3.18,"1,139",3.46,512,1.75,364,2.80,148,-0.77,"3,123",-1.04,"2,307",0.64,817,-5.50
2010M03,441,0.01,358,-0.76,83,3.47,"1,099",-1.00,537,-1.51,563,-0.51,"2,015",4.12,"1,121",4.11,894,4.14,"1,133",4.85,229,-1.16,904,6.49,"2,052",2.80,907,4.41,"1,145",1.55,520,3.35,366,3.73,154,2.45,"3,124",-0.96,"2,302",-0.58,821,-2.02
2010M04,441,0.92,357,2.36,84,-4.76,"1,114",0.84,543,-1.09,571,2.76,"2,001",2.70,"1,120",3.38,881,1.86,"1,141",6.80,239,5.69,902,7.10,"2,051",2.09,915,4.12,"1,136",0.50,517,3.29,360,3.05,157,3.83,"3,149",-0.29,"2,312",-0.37,837,-0.08
2010M05,447,1.65,351,-0.90,97,12.08,"1,112",1.28,541,-0.86,570,3.39,"1,995",1.39,"1,105",2.58,891,-0.04,"1,143",6.35,248,9.23,895,5.58,"2,068",3.05,945,5.96,"1,123",0.72,524,5.09,369,2.81,154,10.97,"3,170",0.45,"2,312",0.39,858,0.59
2010M06,450,1.90,348,-1.39,102,15.01,"1,097",0.79,536,-0.30,561,1.85,"2,010",1.47,"1,095",1.36,916,1.60,"1,152",6.24,264,15.32,888,3.81,"2,064",2.94,921,3.44,"1,143",2.53,522,5.69,379,5.07,143,7.37,"3,189",1.22,"2,331",0.86,858,2.19
2010M07,445,0.48,351,-2.09,94,11.34,"1,106",0.69,557,1.28,549,0.10,"1,999",0.54,"1,061",-0.27,938,1.47,"1,161",7.76,272,12.33,889,6.44,"2,091",4.44,903,3.90,"1,188",4.86,513,2.98,372,2.92,141,3.14,"3,223",2.27,"2,378",2.55,845,1.48
2010M08,438,-0.88,354,-2.40,84,6.12,"1,118",1.46,565,3.55,553,-0.60,"1,986",0.25,"1,057",-0.93,929,1.61,"1,180",8.45,261,1.42,920,10.62,"2,101",4.26,904,4.81,"1,197",3.84,506,-0.24,373,-0.91,134,1.68,"3,240",2.89,"2,386",3.86,855,0.27
2010M09,441,0.30,352,-0.08,89,1.85,"1,128",2.64,565,6.46,562,-0.92,"1,971",-0.86,"1,078",-1.21,893,-0.44,"1,171",7.37,243,-1.11,928,9.84,"2,062",2.70,903,1.63,"1,159",3.56,509,-1.55,376,-2.43,133,1.02,"3,249",3.59,"2,374",4.15,875,2.11
2010M10,439,-1.40,346,-3.21,93,5.95,"1,136",3.26,557,4.95,579,1.68,"1,971",-1.48,"1,082",-0.80,890,-2.30,"1,181",8.24,260,5.65,922,8.99,"2,057",1.98,912,2.05,"1,145",1.92,510,-1.97,364,-2.11,146,-1.64,"3,266",4.15,"2,396",4.49,869,3.23
2010M11,443,-2.06,347,-4.48,96,7.84,"1,145",4.93,560,5.20,584,4.67,"1,976",-1.94,"1,066",-1.94,910,-1.94,"1,172",4.61,254,2.76,918,5.14,"2,074",1.27,940,5.14,"1,135",-1.72,511,-1.34,355,-1.72,155,-0.45,"3,285",5.13,"2,420",4.22,865,7.75
2010M12,442,-1.27,351,0.16,91,-6.46,"1,163",6.78,603,13.82,561,0.12,"1,960",-3.27,"1,064",-2.99,896,-3.59,"1,170",4.22,240,-1.04,930,5.67,"2,079",1.04,933,3.64,"1,147",-0.98,504,-1.42,357,-0.13,147,-4.42,"3,294",5.30,"2,399",2.39,895,13.99
2011M01,441,-0.51,352,-0.21,89,-1.66,"1,166",7.31,596,11.88,571,2.93,"1,956",-3.75,"1,074",-3.53,882,-4.00,"1,173",5.04,249,4.88,925,5.09,"2,081",0.68,926,0.75,"1,155",0.63,499,-0.50,362,1.96,137,-6.46,"3,306",5.27,"2,396",2.89,910,12.12
2011M02,439,-0.75,346,-2.87,94,7.96,"1,169",7.15,573,8.70,596,5.70,"1,949",-3.68,"1,073",-3.25,876,-4.19,"1,175",5.16,245,5.45,931,5.09,"2,065",0.08,931,0.77,"1,134",-0.47,494,-3.36,350,-3.73,144,-2.43,"3,309",5.93,"2,426",5.18,883,8.06
2011M03,437,-0.91,341,-4.79,96,15.89,"1,174",6.82,588,9.42,587,4.33,"1,952",-3.11,"1,056",-5.77,896,0.21,"1,179",4.10,238,3.79,942,4.18,"2,073",1.05,926,2.15,"1,147",0.18,493,-5.13,365,-0.38,128,-16.47,"3,320",6.28,"2,460",6.85,860,4.69
2011M04,436,-1.08,345,-3.51,92,9.24,"1,181",6.01,588,8.32,593,3.81,"1,949",-2.60,"1,039",-7.24,910,3.30,"1,177",3.19,243,1.63,934,3.60,"2,081",1.49,951,3.94,"1,130",-0.48,494,-4.52,363,0.74,131,-16.60,"3,329",5.73,"2,460",6.40,869,3.89
2011M05,439,-1.89,340,-2.98,99,2.07,"1,185",6.63,594,9.64,592,3.77,"1,954",-2.07,"1,046",-5.32,908,1.97,"1,176",2.90,266,7.54,910,1.62,"2,079",0.56,955,0.99,"1,125",0.20,491,-6.30,355,-4.04,136,-11.72,"3,345",5.52,"2,444",5.69,902,5.04
2011M06,437,-2.85,333,-4.32,104,2.21,"1,195",8.95,599,11.83,596,6.21,"1,961",-2.43,"1,056",-3.56,906,-1.09,"1,174",1.95,260,-1.77,915,3.06,"2,075",0.57,939,1.98,"1,136",-0.56,494,-5.31,360,-5.04,134,-6.03,"3,359",5.33,"2,461",5.58,897,4.64
2011M07,436,-2.01,336,-4.07,100,5.65,"1,203",8.82,605,8.68,598,8.97,"1,966",-1.64,"1,062",0.14,904,-3.65,"1,183",1.88,259,-4.79,924,3.92,"2,099",0.41,924,2.32,"1,176",-1.04,497,-3.07,363,-2.20,134,-5.34,"3,367",4.47,"2,474",4.02,893,5.74
2011M08,435,-0.72,341,-3.79,94,12.25,"1,206",7.95,606,7.41,600,8.49,"1,962",-1.20,"1,064",0.64,899,-3.29,"1,193",1.10,259,-0.55,934,1.57,"2,113",0.59,928,2.72,"1,185",-1.01,496,-2.14,364,-2.38,132,-1.46,"3,376",4.19,"2,480",3.92,897,4.92
2011M09,433,-1.76,353,0.22,80,-9.60,"1,208",7.13,599,6.00,609,8.27,"1,959",-0.60,"1,071",-0.69,889,-0.50,"1,197",2.23,267,10.12,930,0.17,"2,088",1.24,920,1.86,"1,168",0.75,495,-2.82,364,-3.09,131,-2.06,"3,369",3.71,"2,450",3.23,919,5.04
2011M10,431,-1.68,336,-2.72,95,2.19,"1,212",6.76,610,9.45,603,4.17,"1,961",-0.50,"1,075",-0.60,886,-0.38,"1,202",1.79,274,5.36,929,0.78,"2,085",1.35,923,1.18,"1,162",1.48,497,-2.59,366,0.55,131,-10.39,"3,376",3.36,"2,446",2.06,930,6.96
2011M11,430,-2.99,332,-4.53,98,2.57,"1,215",6.16,610,8.84,605,3.59,"1,958",-0.87,"1,071",0.51,887,-2.48,"1,207",3.01,256,0.62,952,3.68,"2,093",0.92,932,-0.83,"1,161",2.37,499,-2.30,362,1.84,137,-11.76,"3,385",3.05,"2,479",2.46,906,4.71
2011M12,428,-3.29,338,-3.68,89,-1.81,"1,221",4.99,607,0.71,614,9.60,"1,954",-0.31,"1,078",1.31,876,-2.23,"1,214",3.80,249,4.04,965,3.73,"2,098",0.90,932,-0.07,"1,166",1.69,498,-1.19,363,1.63,135,-8.07,"3,388",2.85,"2,482",3.44,906,1.27
2012M01,427,-3.32,330,-6.33,97,8.55,"1,224",4.96,612,2.74,612,7.29,"1,951",-0.24,"1,070",-0.38,882,-0.07,"1,218",3.85,267,7.44,951,2.88,"2,104",1.14,937,1.23,"1,167",1.07,497,-0.41,365,0.98,131,-4.09,"3,386",2.43,"2,480",3.51,906,-0.42
2012M02,428,-2.53,326,-5.64,102,8.91,"1,226",4.89,602,5.04,625,4.74,"1,945",-0.20,"1,057",-1.53,888,1.43,"1,219",3.74,268,9.48,951,2.23,"2,096",1.51,946,1.52,"1,151",1.50,494,-0.08,364,3.97,130,-9.92,"3,381",2.18,"2,486",2.49,894,1.33
2012M03,426,-2.46,330,-3.09,96,-0.20,"1,229",4.64,595,1.20,634,8.09,"1,944",-0.41,"1,043",-1.29,902,0.64,"1,222",3.62,251,5.75,971,3.08,"2,102",1.40,957,3.27,"1,146",-0.12,496,0.56,372,1.89,124,-3.20,"3,386",1.99,"2,507",1.89,880,2.30
2012M04,424,-2.89,331,-3.85,92,0.72,"1,233",4.40,612,4.01,621,4.78,"1,943",-0.30,"1,048",0.88,895,-1.65,"1,225",4.07,260,7.24,965,3.25,"2,109",1.35,961,1.05,"1,148",1.59,495,0.34,364,0.31,131,0.43,"3,388",1.77,"2,492",1.29,896,3.14
2012M05,423,-3.63,325,-4.42,98,-0.92,"1,238",4.49,619,4.24,620,4.73,"1,940",-0.71,"1,064",1.78,876,-3.57,"1,223",4.00,270,1.55,953,4.72,"2,121",2.01,977,2.32,"1,145",1.75,492,0.28,362,2.12,130,-4.49,"3,396",1.53,"2,472",1.15,924,2.55
2012M06,424,-3.06,332,-0.36,92,-11.68,"1,242",3.90,615,2.62,627,5.19,"1,945",-0.81,"1,061",0.52,884,-2.35,"1,220",3.90,256,-1.29,964,5.38,"2,119",2.10,960,2.27,"1,159",1.96,494,0.06,372,3.37,122,-8.81,"3,409",1.49,"2,499",1.51,910,1.44
2012M07,423,-2.94,326,-3.09,97,-2.43,"1,247",3.65,617,1.98,630,5.35,"1,947",-0.99,"1,046",-1.50,901,-0.38,"1,218",2.96,264,1.73,954,3.30,"2,139",1.90,970,4.98,"1,170",-0.52,496,-0.18,371,2.20,125,-6.64,"3,412",1.33,"2,504",1.24,907,1.59
2012M08,421,-3.15,323,-5.08,98,3.82,"1,252",3.81,623,2.71,630,4.93,"1,950",-0.61,"1,068",0.45,882,-1.86,"1,223",2.53,259,0.13,964,3.19,"2,137",1.14,962,3.67,"1,175",-0.85,495,-0.21,368,1.09,127,-3.80,"3,422",1.36,"2,500",0.81,922,2.86
2012M09,419,-3.16,330,-6.35,89,10.86,"1,254",3.82,608,1.40,647,6.20,"1,953",-0.31,"1,079",0.74,875,-1.57,"1,219",1.87,256,-4.32,963,3.65,"2,114",1.26,944,2.65,"1,170",0.17,494,-0.26,369,1.33,124,-4.68,"3,424",1.62,"2,498",1.95,926,0.75
2012M10,418,-3.06,317,-5.68,101,6.24,"1,258",3.78,611,0.21,647,7.40,"1,959",-0.10,"1,060",-1.42,900,1.51,"1,217",1.25,259,-5.35,958,3.19,"2,123",1.83,953,3.29,"1,170",0.68,493,-0.75,362,-1.11,131,0.27,"3,428",1.54,"2,530",3.44,898,-3.45
2012M11,416,-3.23,305,-7.91,111,12.54,"1,261",3.81,604,-1.00,658,8.65,"1,961",0.15,"1,070",-0.16,892,0.52,"1,223",1.33,257,0.57,966,1.53,"2,130",1.76,953,2.25,"1,177",1.38,495,-0.81,359,-0.77,136,-0.91,"3,431",1.35,"2,547",2.73,884,-2.42
2012M12,414,-3.18,315,-6.87,99,10.83,"1,265",3.62,604,-0.50,662,7.69,"1,958",0.20,"1,080",0.16,879,0.24,"1,229",1.23,261,4.74,968,0.33,"2,133",1.68,980,5.14,"1,153",-1.09,494,-0.78,360,-0.92,134,-0.39,"3,437",1.44,"2,508",1.06,929,2.48
2013M01,412,-3.40,311,-5.61,101,4.13,"1,269",3.66,619,1.06,651,6.25,"1,957",0.30,"1,065",-0.40,892,1.15,"1,230",0.98,257,-3.61,973,2.27,"2,138",1.61,976,4.19,"1,162",-0.47,493,-0.72,361,-1.11,132,0.35,"3,435",1.45,"2,522",1.69,913,0.78
2013M02,410,-4.21,304,-6.94,107,4.52,"1,270",3.56,615,2.12,656,4.94,"1,951",0.29,"1,046",-1.05,905,1.89,"1,226",0.60,260,-3.02,967,1.62,"2,139",2.04,985,4.20,"1,154",0.26,491,-0.57,359,-1.46,132,1.93,"3,427",1.37,"2,527",1.64,900,0.59
2013M03,409,-3.96,315,-4.68,94,-1.47,"1,273",3.62,620,4.32,653,2.97,"1,953",0.46,"1,036",-0.67,917,1.77,"1,225",0.26,251,-0.12,974,0.36,"2,143",1.94,980,2.41,"1,163",1.54,492,-0.78,359,-3.53,133,7.46,"3,425",1.14,"2,538",1.25,887,0.82
2013M04,407,-4.01,318,-4.14,89,-3.53,"1,278",3.67,631,3.13,647,4.20,"1,956",0.67,"1,026",-2.13,930,3.94,"1,223",-0.16,249,-4.42,974,0.99,"2,149",1.89,973,1.21,"1,177",2.46,493,-0.45,360,-0.98,133,1.02,"3,422",0.99,"2,543",2.05,879,-1.97
2013M05,406,-4.00,309,-4.93,97,-0.93,"1,281",3.47,617,-0.30,664,7.22,"1,954",0.72,"1,032",-3.02,922,5.26,"1,225",0.17,251,-7.36,975,2.31,"2,155",1.62,"1,003",2.70,"1,152",0.69,491,-0.28,355,-2.07,136,4.72,"3,426",0.87,"2,536",2.59,890,-3.73
2013M06,405,-4.41,308,-7.11,97,5.32,"1,283",3.33,597,-3.00,687,9.54,"1,951",0.31,"1,059",-0.17,892,0.88,"1,230",0.82,256,-0.10,974,1.07,"2,158",1.85,974,1.43,"1,184",2.21,492,-0.49,363,-2.49,129,5.60,"3,439",0.87,"2,557",2.36,881,-3.19
2013M07,403,-4.72,307,-5.97,97,-0.53,"1,288",3.31,621,0.69,667,5.88,"1,954",0.37,"1,046",-0.07,909,0.88,"1,227",0.75,266,0.70,962,0.76,"2,173",1.60,974,0.41,"1,200",2.58,495,-0.33,364,-2.10,131,4.93,"3,443",0.91,"2,545",1.63,898,-1.09
2013M08,401,-4.74,305,-5.79,97,-1.28,"1,293",3.27,647,3.94,646,2.60,"1,966",0.83,"1,031",-3.53,936,6.10,"1,234",0.89,258,-0.68,977,1.32,"2,172",1.64,972,1.04,"1,200",2.14,493,-0.38,360,-2.09,132,4.57,"3,440",0.52,"2,550",1.99,890,-3.47
2013M09,399,-4.79,303,-8.14,96,7.64,"1,296",3.34,644,5.95,652,0.88,"1,970",0.87,"1,063",-1.47,908,3.75,"1,239",1.65,246,-4.03,994,3.15,"2,148",1.61,950,0.62,"1,198",2.41,491,-0.55,362,-2.11,130,4.08,"3,436",0.35,"2,551",2.12,885,-4.43
2013M10,397,-5.09,291,-8.39,106,5.29,"1,302",3.48,651,6.49,651,0.64,"1,973",0.69,"1,054",-0.56,919,2.16,"1,237",1.64,250,-3.36,987,2.99,"2,158",1.65,971,1.92,"1,187",1.44,490,-0.59,364,0.70,126,-4.15,"3,438",0.30,"2,543",0.50,895,-0.27
2013M11,399,-4.01,280,-8.31,119,7.85,"1,298",2.93,638,5.77,660,0.33,"1,981",1.02,"1,050",-1.81,931,4.42,"1,235",0.97,263,2.46,972,0.58,"2,170",1.87,982,3.07,"1,188",0.90,491,-0.84,368,2.49,123,-9.63,"3,444",0.38,"2,555",0.31,889,0.58
2013M12,402,-2.82,291,-7.50,111,12.07,"1,303",2.99,623,3.18,680,2.82,"1,978",1.03,"1,050",-2.70,928,5.62,"1,244",1.22,275,5.16,970,0.15,"2,166",1.53,991,1.09,"1,175",1.90,493,-0.25,367,2.09,126,-6.52,"3,442",0.15,"2,547",1.53,895,-3.58
2014M01,399,-3.18,295,-5.12,104,2.79,"1,308",3.10,623,0.69,686,5.39,"1,977",1.03,"1,038",-2.57,939,5.34,"1,242",0.96,276,7.25,966,-0.70,"2,169",1.44,991,1.50,"1,178",1.39,495,0.33,367,1.67,127,-3.34,"3,445",0.29,"2,552",1.18,893,-2.20
2014M02,396,-3.46,280,-7.69,116,8.58,"1,310",3.16,622,1.15,689,5.04,"1,978",1.39,"1,054",0.74,924,2.15,"1,233",0.57,247,-4.83,986,2.02,"2,171",1.50,993,0.81,"1,178",2.08,493,0.37,365,1.65,128,-3.11,"3,437",0.29,"2,573",1.82,864,-4.00
2014M03,395,-3.44,291,-7.62,104,10.52,"1,313",3.14,613,-1.20,701,7.26,"1,976",1.18,"1,054",1.76,922,0.53,"1,237",0.98,242,-3.52,995,2.14,"2,167",1.13,"1,001",2.18,"1,166",0.24,494,0.38,370,2.99,125,-6.64,"3,444",0.56,"2,568",1.16,876,-1.18
2014M04,397,-2.35,307,-3.26,90,0.90,"1,321",3.36,619,-1.93,702,8.52,"1,979",1.18,"1,022",-0.40,958,2.93,"1,238",1.23,255,2.43,983,0.92,"2,162",0.60,995,2.27,"1,168",-0.77,493,-0.05,359,-0.45,134,1.06,"3,449",0.80,"2,578",1.39,871,-0.92
2014M05,396,-2.46,301,-2.46,95,-2.45,"1,330",3.82,612,-0.83,719,8.15,"1,982",1.44,"1,029",-0.37,954,3.46,"1,242",1.39,255,1.76,987,1.29,"2,154",-0.06,993,-1.00,"1,161",0.77,490,-0.11,347,-2.22,143,5.37,"3,457",0.91,"2,612",3.03,844,-5.12
2014M06,393,-2.96,295,-4.36,98,1.49,"1,338",4.29,608,1.97,730,6.30,"1,987",1.84,"1,054",-0.52,933,4.65,"1,248",1.48,255,-0.19,993,1.91,"2,148",-0.48,"1,007",3.38,"1,141",-3.65,491,-0.19,352,-2.84,138,7.24,"3,456",0.50,"2,593",1.37,863,-2.05
2014M07,394,-2.24,306,-0.22,88,-8.63,"1,340",4.03,628,1.05,712,6.81,"1,990",1.85,"1,033",-1.23,957,5.39,"1,251",1.95,258,-3.06,994,3.33,"2,163",-0.47,998,2.47,"1,165",-2.85,494,-0.09,362,-0.41,132,0.78,"3,458",0.43,"2,590",1.75,868,-3.29
