期間,收受部門-保險公司及退休基金_原始值,收受部門-保險公司及退休基金_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%)
2000,"363,431",...,"363,431",...
2001,"406,457",11.84,"406,457",11.84
2002,"454,912",11.92,"454,912",11.92
2003,"544,973",19.80,"544,973",19.80
2004,"619,971",13.76,"619,971",13.76
2005,"738,466",19.11,"738,466",19.11
2006,"942,978",27.69,"942,978",27.69
2007,"1,135,034",20.37,"1,135,034",20.37
2008,"1,144,084",0.80,"1,144,084",0.80
2009,"1,487,669",30.03,"1,487,669",30.03
2010,"1,701,576",14.38,"1,701,576",14.38
2011,"1,798,770",5.71,"1,798,770",5.71
2012,"2,060,099",14.53,"2,060,099",14.53
