期間,一般病床-合計,一般病床-急性一般病床,一般病床-急性精神病床,一般病床-慢性一般病床,一般病床-慢性精神病床,一般病床-慢性結核病床,一般病床-漢生病病床,特許病床-國際醫療病床,特殊病床-合計,特殊病床-加護病床,特殊病床-燒傷病床,特殊病床-燒傷加護病床,特殊病床-嬰兒病床,特殊病床-嬰兒床,特殊病床-安寧病床,特殊病床-慢性呼吸照護病床,特殊病床-亞急性呼吸照護病床,特殊病床-急性結核病床,特殊病床-精神科加護病床,特殊病床-普通隔離病床,特殊病床-正壓隔離病床,特殊病床-負壓隔離病床,特殊病床-骨髓移植病床,特殊病床-性侵害犯罪加害人強制治療病床
1995,69.72,69.66,69.44,46.83,82.67,43.27,57.01,...,58.38,70.88,53.46,...,...,49.40,...,...,...,...,...,...,...,...,...,...
1996,67.31,66.68,67.13,49.38,81.83,53.21,55.37,...,55.11,70.12,48.23,...,...,44.16,...,...,...,...,...,...,...,...,...,...
1997,64.66,63.87,68.08,36.18,84.92,26.82,51.49,...,51.54,66.52,43.01,...,39.85,42.93,...,...,...,...,...,...,...,...,...,...
1998,62.60,63.38,74.21,35.76,67.37,33.11,49.54,...,47.49,67.97,34.23,...,37.89,33.41,...,...,...,...,...,...,...,...,...,...
1999,64.66,64.70,71.50,34.22,80.59,31.45,47.41,...,50.07,67.78,38.43,...,45.40,35.08,45.36,...,...,...,...,...,...,...,...,...
2000,64.01,63.26,73.30,35.77,78.62,52.50,97.43,...,51.31,63.94,39.09,...,52.23,38.08,61.40,...,...,...,...,...,...,...,...,...
2001,68.67,66.87,78.67,44.53,86.62,53.17,92.28,...,51.19,68.45,41.02,...,48.21,34.91,60.78,45.94,...,...,...,...,...,...,...,...
2002,69.97,67.61,81.49,53.37,86.95,56.28,81.40,...,52.94,69.61,44.79,...,49.70,34.86,59.26,51.22,...,...,...,...,...,...,...,...
2003,68.54,64.78,82.82,55.62,89.13,57.93,98.05,...,54.80,70.17,44.08,...,43.13,32.00,57.67,61.50,...,88.49,...,...,...,...,...,...
2004,71.13,68.18,82.96,55.41,88.85,55.54,91.14,...,57.92,72.12,46.85,...,44.26,32.87,61.34,65.38,...,67.88,...,...,...,...,...,...
2005,69.15,66.27,81.97,55.85,83.69,32.61,92.50,...,60.86,73.25,46.69,...,46.58,33.83,60.16,70.56,...,32.23,...,...,...,...,...,...
2006,67.84,64.57,82.45,55.10,82.75,16.16,105.60,...,59.75,71.71,43.25,...,44.13,33.61,64.46,68.34,...,39.84,...,...,...,...,...,...
2007,68.80,65.26,80.12,52.41,87.43,9.46,100.00,...,62.56,74.23,43.20,...,43.38,34.96,55.66,73.78,...,34.68,...,...,...,...,...,...
2008,69.49,66.03,80.47,53.32,87.11,11.44,93.24,...,63.04,73.12,46.93,...,44.81,35.08,53.96,74.71,69.71,36.52,...,...,...,...,...,...
2009,68.84,65.21,78.58,53.22,87.88,12.89,84.55,...,62.46,72.26,48.14,...,45.58,35.22,58.68,72.39,61.52,26.33,0.00,...,...,...,...,...
2010,70.00,66.20,79.89,54.83,89.41,9.49,76.84,...,64.00,72.73,43.16,...,43.10,32.35,57.32,77.34,67.46,23.45,92.27,...,...,...,...,...
2011,70.98,67.78,79.74,49.08,90.39,1.78,71.54,...,66.42,72.41,44.08,...,52.11,39.90,59.32,77.82,67.51,25.55,86.31,...,...,...,...,...
2012,70.36,67.64,79.85,46.25,87.36,1.02,66.40,...,68.90,72.80,45.62,...,60.46,47.68,56.34,79.29,68.78,24.39,83.86,...,...,...,...,...
2013,70.57,67.26,78.31,47.64,90.53,0.72,73.12,0.00,65.65,72.14,41.06,52.74,55.16,42.45,59.25,79.88,65.72,10.77,79.92,32.27,39.66,31.09,42.22,0.00
