期間,1982,1983,1984,1985,1986
資產合計,"1,350,551","1,524,997","1,566,675","1,605,245","1,631,062"
一、庫存現金及零用金,529,371,372,442,464
二、金融機構存款及信託資金,"73,820","88,663","103,731","124,238","141,375"
1.活期性存款,"22,399","22,330","21,145","32,137","47,962"
2.定期性存款,"46,737","58,277","73,887","85,227","86,630"
3.外匯存款,"3,991","6,277","7,200","5,815","5,357"
4.信託資金,693,"1,779","1,499","1,059","1,426"
三、附賣(買)回交易,...,...,...,...,...
四、融通,"3,684","4,121","5,512","5,035","4,291"
1.政府,...,...,...,...,...
2.金融機構,...,...,...,...,...
3.公營事業,"1,024","2,036","3,663","3,410","3,105"
4.民營企業,534,341,203,307,386
5.個人及非營利團體,"2,126","1,744","1,646","1,318",800
6.國外,...,...,...,...,...
五、應收及預付款項淨額,"123,385","120,631","110,240","111,850","109,106"
1.政府,"17,275","16,185","18,073","20,312","23,878"
2.金融機構,"5,186","6,626","6,867","7,288","6,588"
3.公營事業,"48,133","43,020","23,122","23,047","22,386"
4.民營企業,"34,606","39,182","34,865","32,898","31,089"
5.個人及非營利團體,"7,529","7,157","11,888","12,702","12,935"
6.國外,"11,353","9,463","16,665","17,714","13,402"
7.備抵呆帳,697,"1,002","1,240","2,111","1,172"
六、有價證券及投資淨額,"21,768","22,579","17,739","21,210","22,463"
1.商業本票,"5,540",845,3,592,526
2.銀行承兌匯票,"5,835","10,446","6,356","3,676","3,030"
3.政府公債及國庫券,39,67,201,"1,849","3,350"
4.公司債,...,...,...,...,40
5.金融債券,...,...,...,2,9
6.受益憑證,...,...,...,...,...
7.金融機構股份,226,268,315,318,359
8.公營事業股份,"8,066","8,682","8,526","12,145","12,247"
9.民營企業股份,"2,062","2,271","2,338","2,628","2,902"
10.衍生性金融商品,...,...,...,...,...
11.其他國內投資,...,...,...,...,...
12.減 備抵跌價損失,...,...,...,...,...
七、國內不動產投資及閒置設備,"16,028","17,938","19,431","21,953","19,549"
八、國外投資淨額,"3,084","1,782","1,307","1,392","1,281"
1.國外存款,...,...,...,...,...
2.直接投資,781,"1,782",626,"1,109",930
3.有價證券投資,"2,303",...,681,283,351
4.不動產投資,...,...,...,...,...
