期間,合計_死亡人數(人),合計_死亡率(每十萬人口),男性_死亡人數(人),男性_死亡率(每十萬人口),女性_死亡人數(人),女性_死亡率(每十萬人口),0~4歲_死亡人數(人),0~4歲_死亡率(每十萬人口),5~9歲_死亡人數(人),5~9歲_死亡率(每十萬人口),10~14歲_死亡人數(人),10~14歲_死亡率(每十萬人口),15~19歲_死亡人數(人),15~19歲_死亡率(每十萬人口),20~24歲_死亡人數(人),20~24歲_死亡率(每十萬人口),25~29歲_死亡人數(人),25~29歲_死亡率(每十萬人口),30~34歲_死亡人數(人),30~34歲_死亡率(每十萬人口),35~39歲_死亡人數(人),35~39歲_死亡率(每十萬人口),40~44歲_死亡人數(人),40~44歲_死亡率(每十萬人口),45~49歲_死亡人數(人),45~49歲_死亡率(每十萬人口),50~54歲_死亡人數(人),50~54歲_死亡率(每十萬人口),55~59歲_死亡人數(人),55~59歲_死亡率(每十萬人口),60~64歲_死亡人數(人),60~64歲_死亡率(每十萬人口),65~69歲_死亡人數(人),65~69歲_死亡率(每十萬人口),70~74歲_死亡人數(人),70~74歲_死亡率(每十萬人口),75~79歲_死亡人數(人),75~79歲_死亡率(每十萬人口),80~84歲_死亡人數(人),80~84歲_死亡率(每十萬人口),85歲以上_死亡人數(人),85歲以上_死亡率(每十萬人口)
1986,"2,260",11.7,"1,406",14.0,854,9.2,0,0.0,0,0.0,12,0.7,132,7.0,258,13.0,238,12.5,220,12.8,141,11.4,128,14.5,150,17.1,137,17.3,172,22.1,191,31.1,159,37.8,175,58.8,94,56.0,36,46.1,17,48.0
1987,"1,851",9.5,"1,153",11.4,698,7.4,0,0.0,0,0.0,6,0.3,86,4.6,204,10.3,221,11.5,165,9.4,118,8.6,102,11.5,131,14.6,116,14.6,123,15.7,144,22.5,147,32.6,141,46.2,84,46.5,45,54.2,18,47.6
1988,"1,790",9.0,"1,126",11.0,664,7.0,0,0.0,0,0.0,9,0.5,66,3.6,188,9.7,166,8.5,173,9.7,113,7.6,98,10.6,137,15.1,110,13.7,136,17.4,151,22.6,130,27.2,150,47.8,100,51.1,46,52.0,17,41.7
1989,"1,573",7.9,980,9.5,593,6.1,0,0.0,0,0.0,8,0.4,77,4.2,140,7.3,150,7.6,150,8.2,113,7.2,83,8.5,100,11.0,110,13.5,102,13.2,143,20.6,122,24.4,112,34.7,87,41.9,56,59.4,20,46.0
1990,"1,359",6.7,852,8.1,507,5.2,0,0.0,0,0.0,4,0.2,65,3.6,134,7.0,145,7.4,131,7.1,99,6.0,74,6.8,68,7.6,98,11.7,99,12.9,107,14.9,115,21.7,89,26.4,81,37.2,41,40.8,9,19.3
1991,"1,465",7.2,953,9.0,512,5.2,0,0.0,0,0.0,8,0.4,50,2.8,168,8.9,169,8.6,137,7.3,146,8.6,86,7.0,76,8.6,83,9.6,80,10.5,104,14.2,124,22.2,108,30.0,82,36.2,28,26.1,16,31.5
1992,"1,381",6.7,931,8.7,450,4.5,0,0.0,0,0.0,13,0.6,49,2.6,112,6.0,163,8.4,149,7.8,123,7.1,98,7.2,67,7.6,74,8.4,72,9.4,111,15.1,104,17.9,99,25.6,77,32.8,42,35.7,27,48.8
1993,"1,301",6.2,847,7.9,454,4.5,0,0.0,0,0.0,4,0.2,43,2.3,105,5.7,168,8.8,122,6.3,96,5.4,88,6.0,77,8.5,91,10.3,68,8.8,81,11.1,107,17.6,107,26.1,87,35.9,44,33.9,13,21.9
1994,"1,451",6.9,977,9.0,474,4.6,0,0.0,0,0.0,5,0.2,53,2.7,112,6.2,154,8.1,155,8.0,129,7.1,122,7.9,79,8.2,95,10.7,78,10.0,103,14.2,111,17.5,95,22.0,86,34.3,52,37.1,22,34.1
1995,"1,618",7.6,"1,038",9.5,580,5.6,0,0.0,0,0.0,...,0.6,...,2.2,...,5.9,...,8.6,...,8.4,...,7.8,...,9.4,...,8.7,...,11.8,...,14.3,...,15.9,...,19.1,...,28.6,...,25.0,...,39.5,...,38.0
1996,"1,847",8.6,"1,250",11.3,597,5.7,0,0.0,1,0.1,6,0.3,51,2.5,109,6.0,171,9.2,205,10.5,166,8.9,177,10.5,122,10.2,88,10.5,138,16.8,109,15.3,136,20.4,159,33.1,98,34.7,73,47.3,38,49.4
1997,"2,172",10.0,"1,450",13.0,722,6.9,0,0.0,1,0.1,10,0.6,57,2.8,108,5.9,173,9.4,231,11.9,235,12.4,208,12.1,160,12.0,113,13.5,156,18.7,134,18.8,177,26.3,156,31.1,144,47.4,77,48.6,32,37.6
1998,"2,177",10.0,"1,439",12.8,738,6.9,0,0.0,0,0.0,4,0.2,55,2.8,109,5.8,174,9.5,245,12.8,217,11.2,211,12.0,187,13.0,113,13.0,137,16.2,141,19.5,179,26.7,151,28.6,119,36.7,79,48.2,56,59.4
1999,"2,281",10.4,"1,544",13.7,737,6.9,0,0.0,0,0.0,5,0.3,40,2.0,129,6.7,168,9.3,230,12.1,227,11.7,236,13.1,203,13.3,143,15.3,154,18.1,157,21.2,161,24.2,190,34.3,126,36.6,66,38.5,46,45.0
2000,"2,471",11.1,"1,645",14.5,826,7.6,0,0.0,0,0.0,8,0.5,38,2.0,118,6.0,187,10.5,225,11.9,244,12.5,250,13.7,222,13.8,157,15.2,155,18.6,195,25.7,159,24.0,197,34.3,161,44.0,94,51.6,61,55.7
2001,"2,781",12.4,"1,901",16.7,880,8.1,0,0.0,0,0.0,8,0.5,52,2.8,128,6.4,201,11.1,238,12.7,289,14.8,275,14.9,255,15.4,209,17.8,180,22.2,213,27.4,180,27.4,216,36.8,176,45.3,100,50.4,61,52.5
2002,"3,053",13.6,"2,114",18.4,939,8.5,0,0.0,0,0.0,4,0.2,55,3.2,163,8.2,232,12.6,301,16.3,302,15.6,339,18.0,321,19.0,252,19.3,198,24.4,208,26.2,179,27.1,187,31.6,158,38.6,103,47.7,51,41.1
2003,"3,195",14.2,"2,157",18.8,"1,038",9.4,0,0.0,1,0.1,6,0.4,54,3.2,169,8.5,225,12.0,310,16.9,345,18.1,337,17.7,330,19.1,281,19.9,172,20.4,240,29.8,182,27.1,188,31.8,178,41.2,108,46.6,69,51.9
2004,"3,468",15.3,"2,352",20.4,"1,116",10.0,0,0.0,0,0.0,4,0.2,57,3.5,165,8.4,292,15.1,307,17.0,414,22.0,367,19.1,377,21.4,327,21.9,183,20.2,207,25.5,178,26.0,205,34.8,180,39.6,135,54.5,70,49.2
2005,"4,282",18.8,"2,977",25.8,"1,305",11.7,0,0.0,0,0.0,8,0.5,60,3.8,204,10.8,431,21.8,409,22.9,433,23.1,501,26.0,434,24.2,437,27.8,295,29.4,256,32.2,206,29.2,209,35.6,203,43.0,126,47.4,70,45.7
2006,"4,406",19.3,"3,088",26.7,"1,318",11.7,0,0.0,1,0.1,8,0.5,46,2.9,191,10.5,386,19.3,465,25.7,485,26.1,530,27.5,429,23.6,425,26.1,316,27.7,240,31.0,243,33.5,230,39.2,190,39.1,138,48.4,83,49.3
2007,"3,933",17.2,"2,647",22.8,"1,286",11.4,0,0.0,0,0.0,5,0.3,53,3.3,185,10.8,338,16.8,361,19.5,380,20.6,442,23.1,405,21.9,365,22.0,319,25.1,239,30.7,219,29.5,202,34.1,199,40.3,144,47.6,77,41.8
2008,"4,128",18.0,"2,820",24.3,"1,308",11.5,0,0.0,1,0.1,8,0.5,45,2.8,156,9.4,354,17.6,392,20.7,413,22.5,485,25.7,441,23.4,375,22.1,331,24.1,259,31.9,244,32.3,214,35.5,193,39.0,141,43.9,76,36.7
2009,"4,063",17.6,"2,798",24.1,"1,265",11.0,0,0.0,0,0.0,6,0.4,59,3.7,144,8.9,312,15.8,387,19.8,411,22.6,431,23.0,439,23.1,412,23.7,389,26.6,250,28.7,237,31.0,199,32.2,158,31.9,139,40.8,90,42.4
2010,"3,889",16.8,"2,639",22.7,"1,250",10.9,0,0.0,0,0.0,6,0.4,48,3.0,128,8.1,275,14.3,383,19.1,330,18.4,425,22.8,417,21.9,402,22.7,345,22.5,244,25.2,239,31.8,227,35.6,178,35.8,147,41.2,95,41.2
2011,"3,507",15.1,"2,392",20.6,"1,115",9.6,0,0.0,0,0.0,4,0.3,42,2.6,132,8.3,239,13.0,334,16.5,336,18.5,362,19.5,375,19.7,320,17.9,299,18.8,257,23.3,193,26.4,194,29.4,159,31.9,145,39.3,116,46.2
