期間,總件數_原始值,總件數_年增率(%),室外集會_原始值,室外集會_年增率(%),室外遊行_原始值,室外遊行_年增率(%),室內集會_原始值,室內集會_年增率(%),申請核准_原始值,申請核准_年增率(%),申請不核准_原始值,申請不核准_年增率(%),未申請_原始值,未申請_年增率(%),政治性_原始值,政治性_年增率(%),社會性_原始值,社會性_年增率(%),經濟性_原始值,經濟性_年增率(%),涉外性_原始值,涉外性_年增率(%),其他活動性質_原始值,其他活動性質_年增率(%),使用警力(人次)_原始值,使用警力(人次)_年增率(%)
1993,"5,971",...,"4,844",...,543,...,584,...,"4,218",...,3,...,"1,750",...,"4,076",...,"1,722",...,80,...,2,...,91,...,"531,389",...
1994,"11,294",89.15,"9,396",93.97,"1,087",100.18,811,38.87,"9,666",129.16,9,200.00,"1,619",-7.49,"9,711",138.25,"1,479",-14.11,45,-43.75,8,300.00,51,-43.96,"819,679",54.25
1995,"6,678",-40.87,"5,412",-42.40,570,-47.56,696,-14.18,"4,996",-48.31,9,0.00,"1,673",3.34,"5,226",-46.18,"1,261",-14.74,131,191.11,5,-37.50,55,7.84,"513,822",-37.31
1996,"3,577",-46.44,"2,526",-53.33,637,11.75,414,-40.52,"2,409",-51.78,2,-77.78,"1,166",-30.30,"2,414",-53.81,"1,045",-17.13,82,-37.40,2,-60.00,34,-38.18,"453,681",-11.70
1997,"4,152",16.07,"3,336",32.07,619,-2.83,197,-52.42,"3,440",42.80,2,0.00,710,-39.11,"3,270",35.46,813,-22.20,47,-42.68,0,-100.00,22,-35.29,"265,803",-41.41
1998,"7,808",88.05,"6,563",96.73,"1,110",79.32,135,-31.47,"7,071",105.55,3,50.00,734,3.38,"6,880",110.40,877,7.87,38,-19.15,1,--,12,-45.45,"369,623",39.06
1999,"1,265",-83.80,991,-84.90,155,-86.04,119,-11.85,557,-92.12,4,33.33,704,-4.09,504,-92.67,676,-22.92,50,31.58,1,0.00,34,183.33,"116,036",-68.61
2000,"2,304",82.13,"1,682",69.73,492,217.42,130,9.24,"1,698",204.85,3,-25.00,603,-14.35,"1,609",219.25,607,-10.21,59,18.00,0,-100.00,29,-14.71,"195,334",68.34
2001,"5,628",144.27,"4,287",154.88,"1,080",119.51,261,100.77,"4,706",177.15,12,300.00,910,50.91,"4,536",181.91,929,53.05,121,105.08,1,--,41,41.38,"323,873",65.80
2002,"5,856",4.05,"4,254",-0.77,"1,368",26.67,234,-10.34,"5,166",9.77,10,-16.67,680,-25.27,"4,867",7.30,862,-7.21,87,-28.10,7,600.00,33,-19.51,"236,764",-26.90
2003,"1,448",-75.27,"1,159",-72.76,180,-86.84,109,-53.42,774,-85.02,9,-10.00,665,-2.21,653,-86.58,673,-21.93,80,-8.05,4,-42.86,38,15.15,"98,474",-58.41
2004,"5,464",277.35,"3,947",240.55,"1,351",650.56,166,52.29,"4,823",523.13,13,44.44,628,-5.56,"4,739",625.73,622,-7.58,67,-16.25,3,-25.00,33,-13.16,"371,600",277.36
2005,"6,812",24.67,"4,548",15.23,"2,098",55.29,166,0.00,"6,284",30.29,17,30.77,511,-18.63,"5,929",25.11,719,15.59,106,58.21,6,100.00,52,57.58,"306,977",-17.39
2006,"4,407",-35.31,"3,239",-28.78,970,-53.77,198,19.28,"3,898",-37.97,9,-47.06,500,-2.15,"3,557",-40.01,599,-16.69,112,5.66,4,-33.33,135,159.62,"309,047",0.67
2007,"2,997",-31.99,"2,337",-27.85,568,-41.44,92,-53.54,"2,613",-32.97,17,88.89,367,-26.60,"2,398",-32.58,451,-24.71,94,-16.07,15,275.00,39,-71.11,"184,482",-40.31
2008,"3,636",21.32,"2,110",-9.71,"1,427",151.23,99,7.61,"3,194",22.23,11,-35.29,431,17.44,"2,946",22.85,534,18.40,98,4.26,16,6.67,42,7.69,"289,336",56.84
2009,"6,305",73.40,"4,117",95.12,"2,088",46.32,100,1.01,"5,579",74.67,15,36.36,711,64.97,"5,540",88.05,627,17.42,96,-2.04,10,-37.50,32,-23.81,"348,921",20.59
2010,"9,267",46.98,"7,173",74.23,"2,094",0.29,-,--,"8,568",53.58,12,-20.00,687,-3.38,"8,358",50.87,669,6.70,103,7.29,9,-10.00,128,300.00,"372,841",6.86
2011,"5,298",-42.83,"4,289",-40.21,"1,009",-51.81,-,--,"4,405",-48.59,8,-33.33,885,28.82,"4,271",-48.90,646,-3.44,150,45.63,13,44.44,218,70.31,"282,616",-24.20
2012,"3,728",-29.63,"2,720",-36.58,"1,008",-0.10,-,--,"2,645",-39.95,45,462.50,"1,038",17.29,"2,756",-35.47,746,15.48,89,-40.67,9,-30.77,128,-41.28,"229,481",-18.80
2013,"2,365",-36.56,"2,013",-25.99,352,-65.08,-,--,"1,370",-48.20,22,-51.11,973,-6.26,"1,392",-49.49,765,2.55,88,-1.12,3,-66.67,117,-8.59,"153,536",-33.09
