期間,總計_原始值,總計_年增率(%),基隆港_原始值,基隆港_年增率(%),高雄港_原始值,高雄港_年增率(%),臺中港_原始值,臺中港_年增率(%),臺北港_原始值,臺北港_年增率(%),桃園空港_原始值,桃園空港_年增率(%)
2008M07,"13,101,390",134.59,"1,516,503",965.69,"485,925",24.32,"5,677,505",747.99,"675,816",74.92,"4,745,641",18.77
2008M08,"11,915,851",102.16,"680,519",400.07,"470,002",-1.52,"4,331,223",559.56,"367,608",-15.64,"6,066,499",44.83
2008M09,"9,407,631",22.93,"725,165",423.75,"516,615",87.61,"3,130,911",17.81,"539,829",30.47,"4,495,111",7.85
2008M10,"9,869,685",48.34,"49,781",438.81,"403,835",-5.21,"2,601,768",133.00,"598,529",61.74,"6,215,773",31.37
2008M11,"5,916,406",-21.41,"22,574",-86.18,"307,813",-3.08,"1,151,228",-50.18,"180,446",-59.72,"4,254,344",-0.81
2008M12,"8,513,930",12.41,"129,971",755.18,"275,352",-40.51,"3,445,999",38.43,"523,065",113.47,"4,139,543",-5.10
2009M01,"5,622,432",-28.29,"328,720",642.95,"356,640",-27.64,"1,181,561",-54.16,"1,030,305",60.92,"2,725,206",-33.29
2009M02,"8,083,278",7.21,"22,471",26.81,"254,602",-62.20,"2,734,685",-8.73,"1,114,517",88.48,"3,957,003",21.36
2009M03,"9,237,022",13.36,"46,179",-91.02,"656,795",-10.44,"2,593,135",240.33,"867,809",15.17,"5,073,105",-5.80
2009M04,"9,051,307",-16.82,"24,759",-53.10,"865,697",-5.65,"1,321,518",-67.79,"445,334",-29.17,"6,393,998",23.44
2009M05,"8,982,526",-13.07,"110,203",-68.39,"555,330",-27.48,"1,409,678",-62.13,"209,874",-59.30,"6,697,442",34.47
2009M06,"10,442,332",-17.49,"80,859",71.34,"659,584",-25.69,"1,131,787",-81.11,"456,267",-35.62,"8,113,835",61.65
2009M07,"12,179,875",-7.03,"35,502",-97.66,"960,664",97.70,"1,997,276",-64.82,"503,177",-25.55,"8,683,256",82.97
2009M08,"12,532,765",5.18,"29,753",-95.63,"931,014",98.09,"2,113,649",-51.20,"495,206",34.71,"8,963,143",47.75
2009M09,"15,325,411",62.90,"42,815",-94.10,"892,643",72.79,"2,176,104",-30.50,"727,003",34.67,"11,486,845",155.54
2009M10,"16,912,444",71.36,"99,611",100.10,"1,233,360",205.41,"1,678,374",-35.49,"880,456",47.10,"13,020,642",109.48
2009M11,"17,555,510",196.73,"38,942",72.51,"1,247,775",305.37,"2,065,490",79.42,"1,194,857",562.17,"13,008,447",205.77
2009M12,"17,542,802",106.05,"80,376",-38.16,"1,825,964",563.14,"2,002,759",-41.88,"1,696,943",224.42,"11,936,759",188.36
2010M01,"18,448,615",228.13,"59,503",-81.90,"1,366,079",283.04,"2,086,262",76.57,"1,153,914",12.00,"13,782,857",405.75
2010M02,"17,210,846",112.92,"50,430",124.42,"1,338,483",425.72,"2,186,488",-20.05,"1,070,161",-3.98,"12,565,285",217.55
2010M03,"22,633,417",145.03,"82,718",79.12,"1,244,942",89.55,"3,291,098",26.92,"1,724,280",98.69,"16,290,378",221.11
2010M04,"24,985,984",176.05,"101,486",309.90,"2,318,739",167.85,"4,630,314",250.38,"2,052,727",360.94,"15,882,719",148.40
2010M05,"22,599,697",151.60,"79,439",-27.92,"2,783,761",401.28,"3,578,543",153.86,"1,764,260",740.63,"14,393,693",114.91
2010M06,"21,712,171",107.92,"257,887",218.93,"1,691,945",156.52,"3,767,184",232.85,"2,155,709",372.47,"13,839,445",70.57
2010M07,"26,457,087",117.22,"107,359",202.40,"1,639,614",70.68,"6,345,680",217.72,"3,683,627",632.07,"14,680,807",69.07
2010M08,"27,995,908",123.38,"269,275",805.03,"1,853,842",99.12,"7,305,995",245.66,"3,382,303",583.01,"15,184,493",69.41
2010M09,"24,315,635",58.66,"153,763",259.13,"1,528,053",71.18,"5,548,704",154.98,"3,125,910",329.97,"13,959,206",21.52
2010M10,"26,345,628",55.78,"135,805",36.34,"1,421,575",15.26,"7,248,286",331.86,"4,575,617",419.69,"12,964,345",-0.43
2010M11,"27,344,227",55.76,"143,417",268.28,"1,608,341",28.90,"10,099,561",388.97,"4,593,740",284.46,"10,899,168",-16.21
2010M12,"22,918,976",30.65,"327,133",307.00,"1,658,563",-9.17,"5,025,429",150.93,"4,588,237",170.38,"11,319,614",-5.17
2011M01,"23,694,020",28.43,"491,337",725.73,"1,783,471",30.55,"4,725,350",126.50,"5,481,224",375.01,"11,212,638",-18.65
2011M02,"18,196,025",5.72,"307,258",509.28,"1,547,872",15.64,"2,534,853",15.93,"5,377,829",402.53,"8,428,213",-32.92
2011M03,"26,314,627",16.26,"511,386",518.23,"1,904,198",52.95,"6,445,154",95.84,"4,956,464",187.45,"12,497,424",-23.28
2011M04,"26,994,655",8.04,"357,819",252.58,"1,748,552",-24.59,"10,873,146",134.83,"3,126,627",52.32,"10,888,512",-31.44
2011M05,"19,093,620",-15.51,"300,813",278.67,"1,599,879",-42.53,"4,884,279",36.49,"2,944,776",66.91,"9,363,872",-34.94
2011M06,"20,994,577",-3.31,"290,283",12.56,"2,025,350",19.71,"4,123,522",9.46,"4,558,903",111.48,"9,996,519",-27.77
2011M07,"22,643,370",-14.41,"403,575",275.91,"2,191,333",33.65,"4,343,374",-31.55,"6,212,929",68.66,"9,492,159",-35.34
2011M08,"21,749,904",-22.31,"477,856",77.46,"1,445,095",-22.05,"4,630,369",-36.62,"3,955,592",16.95,"11,240,992",-25.97
2011M09,"23,455,003",-3.54,"532,882",246.56,"1,488,180",-2.61,"4,372,300",-21.20,"5,272,875",68.68,"11,788,766",-15.55
2011M10,"28,739,314",9.09,"394,935",190.81,"1,871,385",31.64,"9,360,614",29.14,"6,421,283",40.34,"10,691,097",-17.53
2011M11,"39,064,092",42.86,"380,443",165.27,"1,612,024",0.23,"20,456,567",102.55,"5,730,900",24.75,"10,884,158",-0.14
2011M12,"31,703,764",38.33,"376,229",15.01,"1,689,276",1.85,"14,212,976",182.82,"5,252,410",14.48,"10,167,237",-10.18
2012M01,"29,951,881",26.41,"273,089",-44.42,"1,597,488",-10.43,"16,681,642",253.02,"4,285,432",-21.82,"7,114,230",-36.55
2012M02,"29,232,525",60.65,"317,821",3.44,"2,243,147",44.92,"14,033,999",453.64,"5,910,252",9.90,"6,726,977",-20.19
2012M03,"48,058,936",82.63,"604,739",18.25,"4,251,148",123.25,"29,578,013",358.92,"5,121,181",3.32,"8,503,856",-31.96
2012M04,"27,843,936",3.15,"706,379",97.41,"1,978,902",13.17,"12,669,889",16.52,"5,198,151",66.25,"7,290,616",-33.04
2012M05,"41,480,806",117.25,"689,804",129.31,"3,161,300",97.60,"24,260,417",396.70,"4,137,331",40.50,"9,230,120",-1.43
2012M06,"39,226,167",86.84,"1,637,227",464.01,"1,924,594",-4.97,"22,171,986",437.70,"4,386,738",-3.78,"9,105,623",-8.91
2012M07,"39,358,114",73.82,"947,036",134.66,"2,803,819",27.95,"20,350,904",368.55,"4,858,042",-21.81,"10,398,313",9.55
2012M08,"38,610,391",77.52,"1,313,178",174.81,"2,169,066",50.10,"19,766,329",326.88,"4,279,641",8.19,"11,082,176",-1.41
2012M09,"44,418,329",89.38,"1,918,067",259.94,"2,976,443",100.01,"24,195,468",453.38,"4,252,769",-19.35,"11,075,582",-6.05
2012M10,"43,511,192",51.40,"2,657,691",572.94,"2,217,055",18.47,"22,012,512",135.16,"5,229,063",-18.57,"11,392,908",6.56
2012M11,"61,593,096",57.67,"1,046,102",174.97,"2,208,396",37.00,"42,609,611",108.29,"5,219,846",-8.92,"10,508,787",-3.45
2012M12,"58,643,722",84.97,"783,391",108.22,"2,483,183",47.00,"42,205,639",196.95,"3,620,909",-31.06,"9,550,599",-6.06
2013M01,"62,807,664",109.70,"662,043",142.43,"2,419,387",51.45,"44,161,840",164.73,"3,885,083",-9.34,"11,679,311",64.17
2013M02,"37,285,898",27.55,"246,505",-22.44,"1,838,305",-18.05,"22,894,507",63.14,"4,526,956",-23.41,"7,779,625",15.65
2013M03,"83,360,750",73.46,"712,670",17.85,"2,714,892",-36.14,"52,686,814",78.13,"6,731,216",31.44,"20,515,157",141.25
2013M04,"80,846,802",190.36,"1,374,874",94.64,"2,811,785",42.09,"52,003,102",310.45,"5,987,100",15.18,"18,669,941",156.08
2013M05,"63,480,083",53.03,"1,490,957",116.14,"2,135,281",-32.46,"32,430,309",33.68,"5,392,422",30.34,"22,031,115",138.69
2013M06,"38,502,173",-1.85,"935,046",-42.89,"2,045,998",6.31,"14,204,471",-35.94,"5,046,636",15.04,"16,270,022",78.68
2013M07,"46,746,448",18.77,"1,100,840",16.24,"2,376,673",-15.23,"16,732,253",-17.78,"5,738,885",18.13,"20,797,254",100.01
2013M08,"38,448,602",-0.42,"1,135,364",-13.54,"2,176,545",0.34,"20,012,599",1.25,"5,571,342",30.18,"9,549,832",-13.83
2013M09,"50,423,155",13.52,"1,222,717",-36.25,"2,590,745",-12.96,"28,696,713",18.60,"7,719,222",81.51,"10,190,842",-7.99
2013M10,"54,158,487",24.47,"1,958,264",-26.32,"2,969,736",33.95,"32,996,003",49.90,"6,732,641",28.75,"9,501,844",-16.60
2013M11,"58,638,220",-4.80,"1,385,052",32.40,"2,484,381",12.50,"35,522,161",-16.63,"9,308,941",78.34,"9,936,213",-5.45
2013M12,"54,237,092",-7.51,"1,842,451",135.19,"2,015,841",-18.82,"31,842,908",-24.55,"8,262,834",128.20,"10,266,184",7.49
2014M01,"46,461,366",-26.03,"1,838,238",177.66,"2,437,175",0.74,"26,277,733",-40.50,"5,796,175",49.19,"10,107,596",-13.46
2014M02,"33,867,134",-9.17,"832,209",237.60,"1,836,922",-0.08,"16,685,844",-27.12,"5,834,316",28.88,"8,677,843",11.55
2014M03,"51,303,860",-38.46,"765,990",7.48,"2,764,820",1.84,"25,218,512",-52.14,"10,172,400",51.12,"12,380,709",-39.65
2014M04,"53,722,942",-33.55,"1,189,509",-13.48,"4,032,233",43.40,"21,475,552",-58.70,"10,131,605",69.22,"16,891,087",-9.53
2014M05,"47,107,546",-25.79,"1,508,105",1.15,"3,700,103",73.28,"14,987,823",-53.78,"9,505,710",76.28,"17,405,805",-20.99
2014M06,"45,244,399",17.51,"1,333,269",42.59,"2,680,805",31.03,"16,522,210",16.32,"7,892,743",56.40,"16,814,736",3.35
2014M07,"48,044,702",2.78,"1,341,919",21.90,"4,762,782",100.40,"14,468,963",-13.53,"7,055,556",22.94,"20,415,327",-1.84
