期間,合計_原始值,合計_年增率(%),業務_原始值,業務_年增率(%),觀光_原始值,觀光_年增率(%),探親_原始值,探親_年增率(%),會議_原始值,會議_年增率(%),求學_原始值,求學_年增率(%),展覽_原始值,展覽_年增率(%),醫療_原始值,醫療_年增率(%),其他_原始值,其他_年增率(%),未列明_原始值,未列明_年增率(%)
2002M05,"243,941",1.35,"72,049",-7.15,"82,645",0.50,"28,057",3.38,"3,486",5.06,"1,275",-8.01,-,--,-,--,"11,118",4.87,"45,311",17.94
2002M06,"241,378",-4.82,"75,236",-3.93,"74,817",-15.30,"30,430",-5.22,"4,107",-29.63,"1,665",7.56,-,--,-,--,"9,481",7.78,"45,642",18.06
2002M07,"234,596",0.85,"65,527",-6.35,"68,793",-17.32,"29,591",-3.24,"3,008",1.97,"8,013",236.54,-,--,-,--,"12,330",49.98,"47,334",34.10
2002M08,"246,079",2.23,"59,496",-8.31,"82,880",-11.65,"25,808",-9.54,"2,934",-1.58,"11,612",301.94,-,--,-,--,"15,682",66.00,"47,667",24.93
2002M09,"233,613",7.90,"66,886",13.11,"79,160",-4.67,"20,492",-5.17,"4,015",37.31,"10,608",146.58,-,--,-,--,"11,855",37.26,"40,597",10.15
2002M10,"258,360",20.95,"78,695",9.09,"86,318",20.98,"21,889",-0.10,"4,304",22.55,"7,323",560.32,-,--,-,--,"12,819",60.78,"47,012",32.01
2002M11,"255,645",17.36,"69,409",1.40,"96,004",29.15,"24,135",-3.68,"4,456",9.06,"6,143",375.83,-,--,-,--,"11,035",58.21,"44,463",18.16
2002M12,"285,303",17.55,"63,230",7.99,"116,278",22.45,"33,687",-3.26,"3,344",9.75,"4,867",339.26,-,--,-,--,"12,320",66.26,"51,577",20.46
2003M01,"238,031",9.39,"65,554",-6.81,"85,072",18.87,"31,386",27.66,"2,025",-3.66,"4,379",273.63,-,--,-,--,"11,612",49.22,"38,003",-5.11
2003M02,"259,966",11.15,"66,554",18.55,"101,259",23.06,"25,290",-22.61,"2,411",58.72,"10,739",79.40,-,--,-,--,"13,867",58.21,"39,846",-14.35
2003M03,"258,128",-8.31,"74,433",-1.64,"99,707",-9.76,"27,304",-11.40,"2,968",-11.03,"4,571",169.99,-,--,-,--,"10,929",28.37,"38,216",-25.06
2003M04,"110,640",-54.98,"34,031",-56.80,"27,937",-63.90,"15,088",-45.30,"1,021",-64.47,"2,178",40.79,-,--,-,--,"6,815",-31.73,"23,570",-50.48
2003M05,"40,256",-83.50,"11,538",-83.99,"3,484",-95.78,"5,925",-78.88,152,-95.64,860,-32.55,-,--,-,--,"4,265",-61.64,"14,032",-69.03
2003M06,"57,131",-76.33,"18,441",-75.49,"4,147",-94.46,"9,867",-67.57,286,-93.04,"1,244",-25.29,-,--,-,--,"8,774",-7.46,"14,372",-68.51
2003M07,"154,174",-34.28,"57,350",-12.48,"29,577",-57.01,"23,676",-19.99,"1,196",-60.24,"3,399",-57.58,-,--,-,--,"16,002",29.78,"22,974",-51.46
2003M08,"200,614",-18.48,"67,266",13.06,"51,538",-37.82,"26,759",3.68,"2,232",-23.93,"5,732",-50.64,-,--,-,--,"19,377",23.56,"27,710",-41.87
2003M09,"218,594",-6.43,"80,163",19.85,"57,311",-27.60,"24,871",21.37,"4,148",3.31,"6,629",-37.51,-,--,-,--,"17,855",50.61,"27,617",-31.97
2003M10,"223,552",-13.47,"81,128",3.09,"64,304",-25.50,"25,569",16.81,"4,621",7.37,"2,825",-61.42,-,--,-,--,"17,378",35.56,"27,727",-41.02
2003M11,"241,349",-5.59,"77,605",11.81,"78,925",-17.79,"28,118",16.50,"5,831",30.86,"3,191",-48.05,-,--,-,--,"18,401",66.75,"29,278",-34.15
2003M12,"245,682",-13.89,"64,729",2.37,"92,016",-20.87,"36,169",7.37,"4,654",39.17,"2,828",-41.89,-,--,-,--,"17,381",41.08,"27,905",-45.90
2004M01,"212,854",-10.58,"62,635",-4.45,"63,766",-25.04,"36,966",17.78,"3,117",53.93,"2,733",-37.59,-,--,-,--,"17,793",53.23,"25,844",-31.99
2004M02,"221,020",-14.98,"79,000",18.70,"62,147",-38.63,"27,144",7.33,"2,753",14.18,"7,871",-26.71,-,--,-,--,"17,277",24.59,"24,828",-37.69
2004M03,"239,575",-7.19,"84,527",13.56,"74,308",-25.47,"30,506",11.73,"3,573",20.38,"2,280",-50.12,-,--,-,--,"17,691",61.87,"26,690",-30.16
2004M04,"229,061",107.03,"75,256",121.14,"75,862",171.55,"29,785",97.41,"2,706",165.03,"2,153",-1.15,-,--,-,--,"17,598",158.22,"25,701",9.04
2004M05,"232,293",477.04,"80,663",599.11,"75,276","2,060.62","28,465",380.42,"3,378","2,122.37","1,951",126.86,-,--,-,--,"15,751",269.31,"26,809",91.06
2004M06,"258,861",353.10,"80,824",338.28,"90,445","2,080.97","34,240",247.02,"3,505","1,125.52","2,214",77.97,-,--,-,--,"18,293",108.49,"29,340",104.15
2004M07,"243,396",57.87,"72,699",26.76,"81,999",177.24,"36,384",53.67,"3,336",178.93,"2,971",-12.59,-,--,-,--,"18,956",18.46,"27,051",17.75
2004M08,"253,544",26.38,"73,142",8.74,"92,524",79.53,"31,065",16.09,"3,433",53.81,"4,445",-22.45,-,--,-,--,"20,500",5.80,"28,435",2.62
2004M09,"245,915",12.50,"75,529",-5.78,"92,192",60.86,"25,109",0.96,"3,813",-8.08,"5,468",-17.51,-,--,-,--,"17,547",-1.73,"26,257",-4.92
2004M10,"266,590",19.25,"84,936",4.69,"100,784",56.73,"27,458",7.39,"4,726",2.27,"1,615",-42.83,-,--,-,--,"18,398",5.87,"28,673",3.41
2004M11,"270,553",12.10,"83,626",7.76,"104,036",31.82,"28,046",-0.26,"5,363",-8.03,"2,012",-36.95,-,--,-,--,"18,246",-0.84,"29,224",-0.18
2004M12,"276,680",12.62,"67,540",4.34,"118,374",28.65,"38,840",7.38,"3,913",-15.92,"1,611",-43.03,-,--,-,--,"17,490",0.63,"28,912",3.61
2005M01,"244,252",14.75,"79,439",26.83,"89,523",40.39,"27,428",-25.80,"2,489",-20.15,"1,868",-31.65,-,--,-,--,"16,487",-7.34,"27,018",4.54
2005M02,"257,340",16.43,"65,662",-16.88,"100,527",61.76,"35,011",28.98,"2,310",-16.09,"9,209",17.00,-,--,-,--,"16,912",-2.11,"27,709",11.60
2005M03,"298,282",24.50,"89,114",5.43,"122,328",64.62,"34,077",11.71,"3,904",9.26,"2,399",5.22,-,--,-,--,"17,432",-1.46,"29,028",8.76
2005M04,"269,513",17.66,"81,536",8.34,"104,526",37.78,"30,247",1.55,"3,350",23.80,"2,202",2.28,-,--,-,--,"17,458",-0.80,"30,194",17.48
2005M05,"284,049",22.28,"87,445",8.41,"110,805",47.20,"30,473",7.05,"7,057",108.91,"1,940",-0.56,-,--,-,--,"16,336",3.71,"29,993",11.88
2005M06,"293,044",13.21,"82,282",1.80,"117,947",30.41,"34,645",1.18,"4,121",17.57,"2,225",0.50,-,--,-,--,"17,422",-4.76,"34,402",17.25
2005M07,"268,269",10.22,"73,857",1.59,"101,799",24.15,"35,248",-3.12,"3,612",8.27,"2,990",0.64,-,--,-,--,"18,737",-1.16,"32,026",18.39
2005M08,"281,693",11.10,"73,540",0.54,"112,637",21.74,"31,352",0.92,"3,434",0.03,"4,915",10.57,-,--,-,--,"20,218",-1.38,"35,597",25.19
2005M09,"270,700",10.08,"75,635",0.14,"108,597",17.79,"26,317",4.81,"3,832",0.50,"5,845",6.89,-,--,-,--,"17,169",-2.15,"33,305",26.84
2005M10,"297,454",11.58,"85,996",1.25,"125,333",24.36,"28,417",3.49,"5,198",9.99,"1,652",2.29,-,--,-,--,"17,196",-6.53,"33,662",17.40
2005M11,"302,277",11.73,"82,331",-1.55,"136,504",31.21,"28,440",1.40,"5,810",8.33,"1,945",-3.33,-,--,-,--,"16,965",-7.02,"30,282",3.62
2005M12,"311,245",12.49,"67,650",0.16,"151,111",27.66,"37,597",-3.20,"4,569",16.76,"1,527",-5.21,-,--,-,--,"17,789",1.71,"31,002",7.23
2006M01,"264,347",8.23,"68,050",-14.34,"109,594",22.42,"36,913",34.58,"2,592",4.14,"1,499",-19.75,-,--,-,--,"17,152",4.03,"28,547",5.66
2006M02,"286,156",11.20,"80,382",22.42,"111,346",10.76,"26,106",-25.43,"2,825",22.29,"9,479",2.93,-,--,-,--,"20,831",23.17,"35,187",26.99
2006M03,"309,381",3.72,"88,730",-0.43,"131,487",7.49,"31,024",-8.96,"4,601",17.85,"1,896",-20.97,-,--,-,--,"17,530",0.56,"34,113",17.52
2006M04,"290,043",7.62,"80,160",-1.69,"122,678",17.37,"31,471",4.05,"4,019",19.97,"1,992",-9.54,-,--,-,--,"19,114",9.49,"30,609",1.37
2006M05,"283,075",-0.34,"81,477",-6.82,"120,406",8.66,"28,955",-4.98,"3,937",-44.21,"1,826",-5.88,-,--,-,--,"16,032",-1.86,"30,442",1.50
2006M06,"305,127",4.12,"89,071",8.25,"122,616",3.96,"35,281",1.84,"4,818",16.91,"2,245",0.90,-,--,-,--,"17,067",-2.04,"34,029",-1.08
2006M07,"270,850",0.96,"75,118",1.71,"105,786",3.92,"35,417",0.48,"3,743",3.63,"3,269",9.33,-,--,-,--,"17,733",-5.36,"29,784",-7.00
2006M08,"292,561",3.86,"74,450",1.24,"127,126",12.86,"31,143",-0.67,"4,205",22.45,"4,839",-1.55,-,--,-,--,"19,036",-5.85,"31,762",-10.77
2006M09,"274,118",1.26,"76,001",0.48,"116,808",7.56,"24,183",-8.11,"4,303",12.29,"6,481",10.88,-,--,-,--,"16,546",-3.63,"29,796",-10.54
2006M10,"301,575",1.39,"85,178",-0.95,"130,267",3.94,"29,219",2.82,"6,013",15.68,"1,643",-0.54,-,--,-,--,"16,688",-2.95,"32,567",-3.25
2006M11,"318,663",5.42,"83,482",1.40,"148,194",8.56,"28,596",0.55,"7,559",30.10,"1,815",-6.68,-,--,-,--,"15,681",-7.57,"33,336",10.09
2006M12,"323,931",4.08,"67,737",0.13,"163,899",8.46,"39,147",4.12,"4,019",-12.04,"1,665",9.04,-,--,-,--,"15,416",-13.34,"32,048",3.37
2007M01,"274,198",3.73,"77,343",13.66,"116,436",6.24,"25,154",-31.86,"3,009",16.09,"1,792",19.55,-,--,-,--,"15,573",-9.21,"34,891",22.22
2007M02,"261,799",-8.51,"60,276",-25.01,"109,025",-2.08,"36,513",39.86,"2,154",-23.75,"6,799",-28.27,-,--,-,--,"15,610",-25.06,"31,422",-10.70
2007M03,"345,295",11.61,"90,817",2.35,"147,192",11.94,"33,444",7.80,"4,409",-4.17,"5,175",172.94,-,--,-,--,"20,580",17.40,"43,678",28.04
2007M04,"316,119",8.99,"80,788",0.78,"138,761",13.11,"32,238",2.44,"5,281",31.40,"2,064",3.61,-,--,-,--,"19,637",2.74,"37,350",22.02
2007M05,"294,021",3.87,"78,742",-3.36,"128,501",6.72,"28,569",-1.33,"4,566",15.98,"1,749",-4.22,-,--,-,--,"15,760",-1.70,"36,134",18.70
2007M06,"320,676",5.10,"85,709",-3.77,"135,858",10.80,"35,159",-0.35,"5,780",19.97,"2,480",10.47,-,--,-,--,"17,619",3.23,"38,071",11.88
2007M07,"285,075",5.25,"77,492",3.16,"112,751",6.58,"36,805",3.92,"4,079",8.98,"3,043",-6.91,-,--,-,--,"19,279",8.72,"31,626",6.18
2007M08,"308,481",5.44,"71,102",-4.50,"136,113",7.07,"34,673",11.33,"4,197",-0.19,"5,106",5.52,-,--,-,--,"20,797",9.25,"36,493",14.90
2007M09,"295,594",7.83,"74,169",-2.41,"128,764",10.24,"28,751",18.89,"4,862",12.99,"8,429",30.06,-,--,-,--,"18,569",12.23,"32,050",7.56
2007M10,"314,519",4.29,"85,310",0.15,"139,189",6.85,"30,094",2.99,"6,291",4.62,"1,590",-3.23,-,--,-,--,"17,583",5.36,"34,462",5.82
2007M11,"336,370",5.56,"80,917",-3.07,"161,399",8.91,"31,950",11.73,"7,263",-3.92,"1,791",-1.32,-,--,-,--,"18,067",15.22,"34,983",4.94
2007M12,"363,916",12.34,"68,110",0.55,"194,518",18.68,"42,410",8.34,"5,948",48.00,"1,883",13.09,-,--,-,--,"17,414",12.96,"33,633",4.95
2008M01,"297,442",8.48,"80,126",3.60,"129,827",11.50,"32,905",30.81,"3,459",14.96,"1,708",-4.69,-,--,-,--,"16,899",8.51,"32,518",-6.80
2008M02,"315,134",20.37,"63,911",6.03,"141,667",29.94,"38,295",4.88,"2,766",28.41,"11,234",65.23,-,--,-,--,"18,659",19.53,"38,602",22.85
2008M03,"342,062",-0.94,"85,286",-6.09,"159,366",8.27,"35,886",7.30,"3,937",-10.71,"2,589",-49.97,-,--,-,--,"17,516",-14.89,"37,482",-14.19
2008M04,"302,819",-4.21,"82,939",2.66,"124,999",-9.92,"31,705",-1.65,"4,318",-18.24,"1,888",-8.53,-,--,-,--,"20,804",5.94,"36,166",-3.17
2008M05,"314,700",7.03,"71,840",-8.77,"149,415",16.28,"32,333",13.18,"4,491",-1.64,"1,927",10.18,-,--,-,--,"17,847",13.24,"36,847",1.97
2008M06,"340,454",6.17,"84,388",-1.54,"149,473",10.02,"36,578",4.04,"6,172",6.78,"2,394",-3.47,-,--,-,--,"18,563",5.36,"42,886",12.65
2008M07,"307,287",7.79,"72,769",-6.09,"131,359",16.50,"37,489",1.86,"4,541",11.33,"3,198",5.09,-,--,-,--,"21,268",10.32,"36,663",15.93
2008M08,"311,587",1.01,"65,509",-7.87,"143,140",5.16,"32,973",-4.90,"3,435",-18.16,"6,078",19.04,-,--,-,--,"21,330",2.56,"39,122",7.20
2008M09,"307,402",3.99,"72,442",-2.33,"134,740",4.64,"27,998",-2.62,"5,882",20.98,"9,038",7.23,-,--,-,--,"19,250",3.67,"38,052",18.73
2008M10,"327,038",3.98,"76,009",-10.90,"152,998",9.92,"29,528",-1.88,"7,043",11.95,"1,615",1.57,-,--,-,--,"20,743",17.97,"39,102",13.46
2008M11,"327,224",-2.72,"70,173",-13.28,"164,530",1.94,"29,663",-7.16,"8,272",13.89,"1,928",7.65,-,--,-,--,"18,391",1.79,"34,267",-2.05
2008M12,"352,038",-3.26,"56,039",-17.72,"193,715",-0.41,"39,339",-7.24,"4,910",-17.45,"1,632",-13.33,-,--,-,--,"19,446",11.67,"36,957",9.88
2009M01,"276,896",-6.91,"49,118",-38.70,"135,960",4.72,"39,871",21.17,"2,333",-32.55,"2,198",28.69,-,--,-,--,"19,133",13.22,"28,283",-13.02
2009M02,"303,302",-3.75,"61,858",-3.21,"143,202",1.08,"25,395",-33.69,"3,043",10.01,"13,042",16.09,-,--,-,--,"21,105",13.11,"35,657",-7.63
2009M03,"395,201",15.53,"75,505",-11.47,"207,998",30.52,"33,243",-7.36,"5,662",43.82,"2,441",-5.72,-,--,-,--,"22,011",25.66,"48,341",28.97
2009M04,"448,486",48.10,"65,662",-20.83,"257,470",105.98,"35,385",11.61,"5,626",30.29,"2,074",9.85,-,--,-,--,"25,719",23.63,"56,550",56.36
2009M05,"366,375",16.42,"57,736",-19.63,"200,858",34.43,"30,795",-4.76,"5,909",31.57,"2,050",6.38,-,--,-,--,"22,653",26.93,"46,374",25.86
2009M06,"321,383",-5.60,"71,473",-15.30,"149,736",0.18,"33,051",-9.64,"5,804",-5.96,"2,509",4.80,-,--,-,--,"22,081",18.95,"36,729",-14.36
2009M07,"346,718",12.83,"64,247",-11.71,"170,861",30.07,"39,469",5.28,"4,524",-0.37,"3,442",7.63,-,--,-,--,"24,876",16.96,"39,299",7.19
2009M08,"367,491",17.94,"64,883",-0.96,"186,110",30.02,"36,751",11.46,"5,340",55.46,"6,832",12.41,-,--,-,--,"26,651",24.95,"40,924",4.61
2009M09,"340,645",10.81,"67,271",-7.14,"166,884",23.86,"29,078",3.86,"7,495",27.42,"12,074",33.59,-,--,-,--,"21,504",11.71,"36,339",-4.50
2009M10,"368,212",12.59,"73,705",-3.03,"190,285",24.37,"32,035",8.49,"7,628",8.31,"2,476",53.31,-,--,-,--,"22,522",8.58,"39,561",1.17
2009M11,"410,489",25.45,"79,412",13.17,"222,273",35.10,"33,281",12.20,"9,490",14.72,"2,783",44.35,-,--,-,--,"22,788",23.91,"40,462",18.08
2009M12,"449,806",27.77,"64,799",15.63,"266,697",37.67,"45,588",15.88,"6,071",23.65,"2,780",70.34,-,--,-,--,"23,990",23.37,"39,881",7.91
2010M01,"345,981",24.95,"73,392",49.42,"182,678",34.36,"31,715",-20.46,"4,836",107.29,"2,221",1.05,-,--,-,--,"20,279",5.99,"30,860",9.11
2010M02,"387,143",27.64,"57,409",-7.19,"214,722",49.94,"46,616",83.56,"2,518",-17.25,"14,006",7.39,-,--,-,--,"19,229",-8.89,"32,643",-8.45
2010M03,"516,512",30.70,"91,664",21.40,"303,714",46.02,"43,154",29.81,"9,109",60.88,"4,538",85.91,-,--,-,--,"24,181",9.86,"40,152",-16.94
2010M04,"506,400",12.91,"81,763",24.52,"316,990",23.12,"39,850",12.62,"6,957",23.66,"2,688",29.60,-,--,-,--,"23,612",-8.19,"34,540",-38.92
2010M05,"505,856",38.07,"82,855",43.51,"308,267",53.48,"38,103",23.73,"7,478",26.55,"3,013",46.98,-,--,-,--,"27,557",21.65,"38,583",-16.80
2010M06,"470,447",46.38,"82,573",15.53,"274,989",83.65,"41,351",25.11,"7,442",28.22,"3,306",31.77,-,--,-,--,"24,049",8.91,"36,737",0.02
2010M07,"427,763",23.37,"73,580",14.53,"240,033",40.48,"45,507",15.30,"5,680",25.55,"3,964",15.17,-,--,-,--,"25,048",0.69,"33,951",-13.61
2010M08,"442,235",20.34,"77,174",18.94,"245,851",32.10,"42,245",14.95,"7,192",34.68,"7,501",9.79,-,--,-,--,"25,201",-5.44,"37,071",-9.42
2010M09,"419,389",23.12,"75,967",12.93,"225,268",34.98,"35,443",21.89,"7,764",3.59,"13,048",8.07,-,--,-,--,"23,335",8.51,"38,564",6.12
2010M10,"485,959",31.98,"84,937",15.24,"280,999",47.67,"40,518",26.48,"11,158",46.28,"2,524",1.94,-,--,-,--,"25,220",11.98,"40,603",2.63
2010M11,"528,998",28.87,"85,053",7.10,"323,792",45.67,"40,288",21.05,"11,345",19.55,"3,096",11.25,-,--,-,--,"25,995",14.07,"39,429",-2.55
2010M12,"530,594",17.96,"71,410",10.20,"328,702",23.25,"51,837",13.71,"6,618",9.01,"2,776",-0.14,-,--,-,--,"31,342",30.65,"37,909",-4.94
2011M01,"400,617",15.79,"76,284",3.94,"216,902",18.73,"48,704",53.57,"4,263",-11.85,"2,158",-2.84,...,--,...,--,"26,437",30.37,"25,869",-16.17
2011M02,"453,468",17.13,"70,745",23.23,"259,821",21.00,"45,514",-2.36,"3,899",54.85,"15,020",7.24,...,--,...,--,"28,944",50.52,"29,525",-9.55
2011M03,"518,215",0.33,"89,668",-2.18,"316,752",4.29,"39,598",-8.24,"6,496",-28.69,"3,109",-31.49,...,--,...,--,"48,534",100.71,"14,058",-64.99
2011M04,"550,158",8.64,"83,533",2.16,"350,884",10.69,"40,956",2.78,"6,978",0.30,"2,444",-9.08,...,--,...,--,"49,707",110.52,"15,656",-54.67
2011M05,"470,471",-7.00,"89,323",7.81,"274,035",-11.10,"35,454",-6.95,"6,858",-8.29,"2,715",-9.89,...,--,...,--,"47,813",73.51,"14,273",-63.01
2011M06,"462,640",-1.66,"86,589",4.86,"254,424",-7.48,"42,235",2.14,"7,013",-5.76,"2,806",-15.12,...,--,...,--,"52,948",120.17,"16,625",-54.75
2011M07,"465,656",8.86,"78,726",6.99,"257,359",7.22,"45,809",0.66,"6,087",7.17,"4,634",16.90,...,--,...,--,"51,069",103.88,"21,972",-35.28
2011M08,"506,898",14.62,"75,556",-2.10,"298,990",21.61,"43,624",3.26,"6,093",-15.28,"7,719",2.91,...,--,...,--,"54,167",114.94,"20,749",-44.03
2011M09,"460,994",9.92,"80,669",6.19,"252,005",11.87,"35,129",-0.89,"7,096",-8.60,"14,299",9.59,...,--,...,--,"49,916",113.91,"21,880",-43.26
2011M10,"530,430",9.15,"88,525",4.22,"318,239",13.25,"37,674",-7.02,"8,734",-21.72,"2,506",-0.71,...,--,...,--,"52,300",107.38,"22,452",-44.70
2011M11,"619,343",17.08,"91,813",7.95,"395,798",22.24,"36,424",-9.59,"12,532",10.46,"2,950",-4.72,...,--,...,--,"54,831",110.93,"24,995",-36.61
2011M12,"648,594",22.24,"73,414",2.81,"438,647",33.45,"49,010",-5.45,"5,731",-13.40,"2,469",-11.06,...,--,...,--,"56,638",80.71,"22,685",-40.16
2012M01,"460,064",14.84,"61,452",-19.44,"281,951",29.99,"48,749",0.09,"3,352",-21.37,"2,501",15.89,238,--,207,--,"61,614",133.06,-,--
2012M02,"525,240",15.83,"77,454",9.48,"323,360",24.45,"31,592",-30.59,"4,996",28.14,"14,713",-2.04,467,--,859,--,"71,799",148.06,-,--
2012M03,"693,185",33.76,"87,277",-2.67,"478,521",51.07,"35,285",-10.89,"5,465",-15.87,"2,906",-6.53,"2,443",--,"2,316",--,"78,972",62.71,-,--
2012M04,"691,086",25.62,"78,341",-6.22,"481,276",37.16,"35,905",-12.33,"4,990",-28.49,"2,915",19.27,"2,132",--,"4,486",--,"81,041",63.04,-,--
2012M05,"599,098",27.34,"77,230",-13.54,"399,553",45.80,"32,174",-9.25,"4,583",-33.17,"2,521",-7.15,551,--,"4,544",--,"77,942",63.01,-,--
2012M06,"607,778",31.37,"82,545",-4.67,"383,135",50.59,"39,625",-6.18,"5,651",-19.42,"3,271",16.57,"4,683",--,"3,024",--,"85,844",62.13,-,--
2012M07,"592,449",27.23,"73,225",-6.99,"377,714",46.77,"41,328",-9.78,"4,584",-24.69,"4,041",-12.80,408,--,"3,898",--,"87,251",70.85,-,--
2012M08,"607,122",19.77,"65,919",-12.75,"401,156",34.17,"39,473",-9.52,"4,014",-34.12,"7,590",-1.67,490,--,"4,369",--,"84,111",55.28,-,--
2012M09,"550,901",19.50,"72,324",-10.34,"317,588",26.02,"30,916",-11.99,"5,449",-23.21,"14,323",0.17,"1,383",--,"5,127",--,"103,791",107.93,-,--
2012M10,"610,342",15.07,"76,827",-13.21,"357,450",12.32,"30,538",-18.94,"6,604",-24.39,"2,357",-5.95,"1,561",--,"7,624",--,"127,381",143.56,-,--
2012M11,"671,617",8.44,"76,717",-16.44,"410,454",3.70,"33,638",-7.65,"8,933",-28.72,"2,751",-6.75,897,--,"10,985",--,"127,242",132.06,-,--
2012M12,"702,588",8.32,"64,456",-12.20,"465,172",6.05,"44,990",-8.20,"4,367",-23.80,"2,830",14.62,536,--,"11,005",--,"109,232",92.86,-,--
2013M01,"527,096",14.57,"81,258",32.23,"340,370",20.72,"32,182",-33.98,"3,931",17.27,"2,619",4.72,394,65.55,"7,991","3,760.39","58,351",-5.30,-,--
2013M02,"572,156",8.93,"58,629",-24.30,"373,778",15.59,"49,375",56.29,"2,052",-58.93,"17,262",17.32,182,-61.03,"5,230",508.85,"65,648",-8.57,-,--
2013M03,"759,233",9.53,"90,603",3.81,"537,648",12.36,"38,972",10.45,"4,660",-14.73,"4,293",47.73,"3,814",56.12,"8,232",255.44,"71,011",-10.08,-,--
2013M04,"691,501",0.06,"82,091",4.79,"478,064",-0.67,"36,387",1.34,"5,127",2.75,"3,433",17.77,"2,097",-1.64,"13,325",197.04,"70,977",-12.42,-,--
2013M05,"617,943",3.15,"76,929",-0.39,"413,039",3.38,"33,718",4.80,"4,918",7.31,"3,134",24.32,459,-16.70,"9,963",119.26,"75,783",-2.77,-,--
2013M06,"637,577",4.90,"83,691",1.39,"416,955",8.83,"41,073",3.65,"4,592",-18.74,"4,282",30.91,"4,466",-4.63,"10,282",240.01,"72,236",-15.85,-,--
2013M07,"635,232",7.22,"74,353",1.54,"422,183",11.77,"42,030",1.70,"4,666",1.79,"4,090",1.21,381,-6.62,"7,350",88.56,"80,179",-8.11,-,--
2013M08,"686,684",13.10,"67,424",2.28,"479,786",19.60,"41,788",5.86,"3,744",-6.73,"9,604",26.53,574,17.14,"8,400",92.26,"75,364",-10.40,-,--
2013M09,"674,072",22.36,"77,470",7.12,"446,633",40.63,"34,798",12.56,"6,475",18.83,"17,581",22.75,904,-34.63,"11,985",133.76,"78,226",-24.63,-,--
2013M10,"679,028",11.25,"84,016",9.36,"463,725",29.73,"34,374",12.56,"7,983",20.88,"2,918",23.80,"1,478",-5.32,"5,233",-31.36,"79,301",-37.75,-,--
2013M11,"731,430",8.91,"81,752",6.56,"516,778",25.90,"35,991",7.00,"8,373",-6.27,"3,352",21.85,"1,093",21.85,"6,096",-44.51,"77,995",-38.70,-,--
2013M12,"804,328",14.48,"69,046",7.12,"590,140",26.86,"49,189",9.33,"5,087",16.49,"3,370",19.08,474,-11.57,"5,996",-45.52,"81,026",-25.82,-,--
2014M01,"667,234",26.59,"55,514",-31.68,"472,163",38.72,"42,318",31.50,"3,098",-21.19,"3,778",44.25,441,11.93,"2,930",-63.33,"86,992",49.08,-,--
