期間,垃圾產生量(公噸)-總計_原始值,垃圾產生量(公噸)-總計_年增率(%),垃圾產生量(公噸)-焚化_原始值,垃圾產生量(公噸)-焚化_年增率(%),垃圾產生量(公噸)-衛生掩埋_原始值,垃圾產生量(公噸)-衛生掩埋_年增率(%),垃圾產生量(公噸)-巨大垃圾回收再利用_原始值,垃圾產生量(公噸)-巨大垃圾回收再利用_年增率(%),垃圾產生量(公噸)-廚餘回收_原始值,垃圾產生量(公噸)-廚餘回收_年增率(%),垃圾產生量(公噸)-資源回收_原始值,垃圾產生量(公噸)-資源回收_年增率(%),垃圾產生量(公噸)-其他_原始值,垃圾產生量(公噸)-其他_年增率(%),平均每人每日垃圾產生量(公斤)_原始值,平均每人每日垃圾產生量(公斤)_年增率(%),平均每人每日垃圾清運量(公斤)_原始值,平均每人每日垃圾清運量(公斤)_年增率(%),垃圾妥善處理率(%)_原始值,垃圾妥善處理率(%)_年增率(%),垃圾回收率(%)-總計_原始值,垃圾回收率(%)-總計_年增率(%),垃圾回收率(%)-巨大垃圾回收再利用率_原始值,垃圾回收率(%)-巨大垃圾回收再利用率_年增率(%),垃圾回收率(%)-廚餘回收率_原始值,垃圾回收率(%)-廚餘回收率_年增率(%),垃圾回收率(%)-資源回收率_原始值,垃圾回收率(%)-資源回收率_年增率(%)
2003M03,"580,727",-5.06,"353,782",3.65,"127,978",-29.34,0,-,"11,475",-,"75,360",18.89,"12,132",-53.13,0.837,-5.424,0.712,-10.214,97.91,-,14.96,-,0.00,-,1.98,-,12.98,-
2003M04,"604,490",-4.75,"363,095",-0.04,"132,651",-26.26,0,-,"12,310",-,"78,936",17.03,"17,498",-27.29,0.899,-5.169,0.763,-9.917,97.11,-,15.10,-,0.00,-,2.04,-,13.06,-
2003M05,"634,417",-4.17,"360,923",-5.19,"163,623",-12.99,0,-,"13,769",-,"83,343",15.61,"12,759",-39.78,0.912,-4.702,0.773,-9.272,97.99,-,15.31,-,0.00,-,2.17,-,13.14,-
2003M06,"628,026",-2.83,"371,443",-0.62,"146,906",-16.05,0,-,"13,449",-,"85,470",23.15,"10,758",-61.81,0.933,-3.616,0.786,-9.028,98.29,-,15.75,-,0.00,-,2.14,-,13.61,-
2003M07,"640,964",-3.56,"376,891",-3.49,"145,700",-14.19,0,-,"14,774",-,"94,140",21.08,"9,459",-64.41,0.923,-4.550,0.766,-10.304,98.52,-,16.99,-,0.00,-,2.30,-,14.69,-
2003M08,"630,228",-2.63,"375,969",-1.75,"134,222",-17.41,0,-,"14,517",-,"96,613",26.82,"8,907",-65.66,0.907,-3.613,0.747,-10.000,98.59,-,17.63,-,0.00,-,2.30,-,15.33,-
2003M09,"639,626",2.51,"384,130",6.83,"135,537",-17.50,0,-,"15,680",-,"95,982",22.70,"8,297",-62.13,0.950,1.171,0.784,-4.507,98.70,-,17.46,-,0.00,-,2.45,-,15.01,-
2003M10,"602,888",-5.33,"350,951",2.25,"134,396",-27.21,0,-,"16,201",-,"93,052",15.70,"8,288",-71.01,0.866,-6.580,0.709,-12.469,98.63,-,18.12,-,0.00,-,2.69,-,15.43,-
2003M11,"574,018",-1.48,"313,532",-4.69,"144,108",-7.27,0,-,"17,034",-,"88,080",11.35,"11,264",-41.17,0.851,-2.743,0.695,-8.069,98.04,-,18.31,-,0.00,-,2.97,-,15.34,-
2003M12,"609,304",-0.26,"339,698",-3.87,"140,055",-13.28,0,-,"19,103",-,"100,936",21.99,"9,512",-28.50,0.874,-1.466,0.702,-8.475,98.44,-,19.71,-,0.00,-,3.14,-,16.57,-
2004M01,"689,440",1.60,"395,233",-0.62,"151,548",-12.40,0,-,"21,789",144.71,"111,255",32.23,"9,615",-35.13,0.986,0.612,0.796,-5.910,98.61,-,19.30,-,0.00,-,3.16,-,16.14,-
2004M02,"573,123",7.71,"326,367",3.13,"117,994",-3.49,0,-,"21,379",111.90,"99,117",35.90,"8,266",-20.05,0.876,3.180,0.692,-3.352,98.56,-,21.02,-,0.00,-,3.73,-,17.29,-
2004M03,"602,482",3.75,"349,888",-1.10,"116,664",-8.84,0,-,"22,963",100.11,"105,801",40.39,"7,166",-40.93,0.860,2.748,0.676,-5.056,98.81,-,21.37,-,0.00,-,3.81,-,17.56,-
2004M04,"603,415",-0.18,"339,664",-6.45,"124,011",-6.51,0,-,"23,390",90.01,"106,194",34.53,"10,156",-41.96,0.890,-1.001,0.699,-8.388,98.32,-,21.48,-,0.00,-,3.88,-,17.60,-
2004M05,"641,491",1.12,"361,769",0.23,"137,501",-15.96,0,-,"25,916",88.22,"109,048",30.84,"7,257",-43.12,0.916,0.439,0.723,-6.468,98.87,-,21.04,-,0.00,-,4.04,-,17.00,-
2004M06,"654,411",4.20,"387,857",4.42,"117,681",-19.89,0,-,"26,548",97.40,"116,999",36.89,"5,326",-50.49,0.965,3.430,0.754,-4.071,99.19,-,21.94,-,0.00,-,4.06,-,17.88,-
2004M07,"657,570",2.59,"394,328",4.63,"116,719",-19.89,0,-,"25,424",72.09,"116,351",23.59,"4,748",-49.80,0.938,1.625,0.736,-3.916,99.28,-,21.56,-,0.00,-,3.87,-,17.69,-
2004M08,"643,475",2.10,"382,116",1.63,"114,372",-14.79,0,-,"24,301",67.40,"117,996",22.13,"4,690",-47.34,0.917,1.103,0.715,-4.284,99.27,-,22.11,-,0.00,-,3.78,-,18.34,-
2004M09,"631,912",-1.21,"366,284",-4.65,"111,339",-17.85,0,-,"24,823",58.31,"124,454",29.66,"5,012",-39.59,0.931,-2.000,0.711,-9.311,99.21,-,23.62,-,0.00,-,3.93,-,19.69,-
2004M10,"613,472",1.76,"330,194",-5.91,"124,193",-7.59,0,-,"25,208",55.60,"129,038",38.67,"4,839",-41.61,0.874,0.924,0.654,-7.757,99.21,-,25.14,-,0.00,-,4.11,-,21.03,-
2004M11,"617,681",7.61,"332,284",5.98,"123,097",-14.58,0,-,"27,554",61.76,"127,152",44.36,"7,594",-32.58,0.909,6.816,0.681,-2.014,98.77,-,25.05,-,0.00,-,4.46,-,20.59,-
2004M12,"626,397",2.81,"341,754",0.61,"119,047",-15.00,0,-,"29,970",56.89,"129,309",28.11,"6,317",-33.59,0.892,2.059,0.665,-5.271,98.99,-,25.43,-,0.00,-,4.78,-,20.64,-
2005M01,"663,666",-3.74,"380,660",-3.69,"104,940",-30.75,"2,574",-,"35,827",64.43,"134,190",20.61,"5,475",-43.06,0.944,-4.260,0.699,-12.186,99.18,-,26.01,-,0.39,-,5.40,-,20.22,-
2005M02,"649,836",13.39,"370,156",13.42,"104,681",-11.28,"2,200",-,"36,133",69.01,"132,332",33.51,"4,334",-47.57,1.023,16.781,0.755,9.104,99.33,-,26.26,-,0.34,-,5.56,-,20.36,-
2005M03,"637,464",5.81,"359,579",2.77,"98,553",-15.52,"1,347",-,"37,432",63.01,"137,246",29.72,"3,307",-53.85,0.907,5.465,0.656,-2.959,99.48,-,27.61,-,0.21,-,5.87,-,21.53,-
2005M04,"629,297",4.29,"332,646",-2.07,"104,069",-16.08,"1,512",-,"42,990",83.80,"143,025",34.68,"5,055",-50.23,0.925,3.933,0.649,-7.153,99.20,-,29.80,-,0.24,-,6.83,-,22.73,-
2005M05,"658,250",2.61,"359,270",-0.69,"106,375",-22.64,"1,561",-,"43,718",68.69,"141,998",30.22,"5,328",-26.58,0.936,2.183,0.669,-7.469,99.19,-,28.45,-,0.24,-,6.64,-,21.57,-
2005M06,"665,285",1.66,"380,450",-1.91,"90,663",-22.96,"2,163",-,"41,526",56.42,"146,917",25.57,"3,566",-33.05,0.977,1.244,0.697,-7.560,99.46,-,28.65,-,0.33,-,6.24,-,22.08,-
2005M07,"677,695",3.06,"385,660",-2.20,"96,356",-17.45,"4,873",-,"37,372",46.99,"150,736",29.55,"2,698",-43.18,0.963,2.665,0.688,-6.522,99.60,-,28.48,-,0.72,-,5.51,-,22.24,-
2005M08,"665,585",3.44,"382,372",0.07,"93,080",-18.62,"2,675",-,"37,483",54.24,"149,250",26.49,725,-84.54,0.946,3.162,0.676,-5.455,99.89,-,28.46,-,0.40,-,5.63,-,22.42,-
2005M09,"654,217",3.53,"364,280",-0.55,"89,777",-19.37,"3,153",-,"37,439",50.82,"157,048",26.19,"2,520",-49.72,0.960,3.115,0.670,-5.767,99.61,-,30.21,-,0.48,-,5.72,-,24.01,-
2005M10,"630,572",2.79,"335,791",1.70,"97,689",-21.34,"2,773",-,"37,973",50.64,"154,641",19.84,"1,705",-64.77,0.895,2.403,0.618,-5.505,99.73,-,30.99,-,0.44,-,6.02,-,24.52,-
2005M11,"610,906",-1.10,"318,023",-4.29,"99,670",-19.03,"2,573",-,"37,572",36.36,"150,580",18.43,"2,488",-67.24,0.896,-1.430,0.616,-9.545,99.59,-,31.22,-,0.42,-,6.15,-,24.65,-
2005M12,"632,290",0.94,"331,511",-3.00,"98,745",-17.05,"2,171",-,"38,736",29.25,"158,072",22.24,"3,055",-51.64,0.897,0.561,0.615,-7.519,99.52,-,31.47,-,0.34,-,6.13,-,25.00,-
2006M01,"697,531",5.10,"367,784",-3.38,"103,616",-1.26,"3,578",39.01,"41,125",14.79,"177,932",32.60,"3,496",-36.15,0.989,4.767,0.673,-3.720,99.50,-,31.92,-,0.51,-,5.90,-,25.51,-
2006M02,"607,487",-6.52,"324,825",-12.25,"84,760",-19.03,"1,464",-33.45,"42,845",18.58,"151,514",14.50,"2,079",-52.03,0.953,-6.843,0.646,-14.437,99.66,-,32.23,-,0.24,-,7.05,-,24.94,-
2006M03,"614,147",-3.66,"326,259",-9.27,"82,062",-16.73,"2,267",68.30,"44,991",20.19,"157,146",14.50,"1,422",-57.00,0.870,-4.079,0.580,-11.585,99.77,-,33.28,-,0.37,-,7.33,-,25.59,-
2006M04,"610,131",-3.05,"320,099",-3.77,"73,868",-29.02,"1,566",3.57,"48,058",11.79,"164,884",15.28,"1,656",-67.24,0.893,-3.459,0.579,-10.786,99.73,-,35.16,-,0.26,-,7.88,-,27.02,-
2006M05,"656,819",-0.22,"344,364",-4.15,"84,207",-20.84,"2,364",51.44,"50,420",15.33,"174,493",22.88,971,-81.78,0.930,-0.641,0.608,-9.118,99.85,-,34.60,-,0.36,-,7.68,-,26.57,-
2006M06,"664,101",-0.18,"359,602",-5.48,"70,987",-21.70,"2,698",24.73,"48,985",17.96,"181,275",23.39,554,-84.46,0.971,-0.614,0.630,-9.613,99.92,-,35.08,-,0.41,-,7.38,-,27.30,-
2006M07,"666,548",-1.64,"367,193",-4.79,"65,409",-32.12,"1,660",-65.93,"46,399",24.15,"185,252",22.90,635,-76.46,0.943,-2.077,0.613,-10.901,99.90,-,35.00,-,0.25,-,6.96,-,27.79,-
2006M08,"660,089",-0.83,"361,360",-5.50,"63,265",-32.03,"2,053",-23.25,"48,268",28.77,"184,599",23.68,544,-24.97,0.933,-1.374,0.601,-11.095,99.92,-,35.59,-,0.31,-,7.31,-,27.97,-
2006M09,"632,381",-3.34,"344,741",-5.36,"57,317",-36.16,"2,529",-19.79,"48,448",29.41,"178,493",13.66,853,-66.15,0.923,-3.854,0.588,-12.239,99.87,-,36.29,-,0.40,-,7.66,-,28.23,-
2006M10,"646,121",2.47,"352,267",4.91,"58,321",-40.30,"2,832",2.13,"50,159",32.09,"180,869",16.96,"1,673",-1.88,0.913,2.011,0.582,-5.825,99.74,-,36.19,-,0.44,-,7.76,-,27.99,-
2006M11,"639,817",4.73,"350,407",10.18,"50,525",-49.31,"2,949",14.61,"50,462",34.31,"183,322",21.74,"2,152",-13.50,0.933,4.129,0.588,-4.545,99.66,-,37.00,-,0.46,-,7.89,-,28.65,-
2006M12,"643,359",1.75,"345,067",4.09,"56,679",-42.60,"2,687",23.77,"50,017",29.12,"187,258",18.46,"1,651",-45.96,0.908,1.226,0.569,-7.480,99.74,-,37.30,-,0.42,-,7.77,-,29.11,-
2007M01,"664,765",-4.70,"371,663",1.05,"48,035",-53.64,"3,038",-15.09,"50,076",21.77,"191,107",7.40,848,-75.74,0.938,-5.157,0.593,-11.887,99.87,-,36.74,-,0.46,-,7.53,-,28.75,-
2007M02,"679,248",11.81,"386,836",19.09,"48,880",-42.33,"3,037",107.45,"50,669",18.26,"188,908",24.68,918,-55.84,1.061,11.333,0.682,5.573,99.86,-,35.72,-,0.45,-,7.46,-,27.81,-
2007M03,"659,990",7.46,"368,444",12.93,"44,152",-46.20,"1,988",-12.31,"55,526",23.42,"189,050",20.30,831,-41.56,0.931,7.011,0.583,0.517,99.87,-,37.36,-,0.30,-,8.41,-,28.64,-
2007M04,"645,092",5.73,"353,137",10.32,"45,477",-38.43,"2,178",39.08,"53,678",11.69,"189,025",14.64,"1,597",-3.56,0.940,5.263,0.583,0.691,99.75,-,37.96,-,0.34,-,8.32,-,29.30,-
2007M05,"671,927",2.30,"365,524",6.14,"50,618",-39.89,"2,829",19.67,"56,691",12.44,"194,245",11.32,"2,019",107.93,0.947,1.828,0.589,-3.125,99.70,-,37.77,-,0.42,-,8.44,-,28.91,-
2007M06,"684,625",3.09,"381,399",6.06,"37,541",-47.12,"2,341",-13.23,"57,053",16.47,"203,076",12.03,"3,215",480.32,0.997,2.678,0.615,-2.381,99.53,-,38.34,-,0.34,-,8.33,-,29.66,-
2007M07,"689,592",3.46,"375,015",2.13,"38,329",-41.40,"2,724",64.10,"58,048",25.11,"214,343",15.70,"1,132",78.27,0.971,2.969,0.584,-4.731,99.84,-,39.90,-,0.39,-,8.42,-,31.08,-
2007M08,"700,453",6.11,"385,436",6.66,"37,044",-41.45,"3,091",50.56,"58,798",21.82,"215,928",16.97,157,-71.14,0.986,5.681,0.595,-0.998,99.98,-,39.66,-,0.44,-,8.39,-,30.83,-
2007M09,"641,557",1.45,"348,446",1.07,"30,804",-46.26,"2,508",-0.83,"55,275",14.09,"204,379",14.50,145,-83.00,0.933,1.083,0.552,-6.122,99.98,-,40.86,-,0.39,-,8.62,-,31.86,-
2007M10,"676,695",4.73,"355,058",0.79,"45,373",-22.20,"2,738",-3.32,"54,999",9.65,"211,139",16.74,"7,387",341.54,0.952,4.272,0.574,-1.375,98.91,-,39.73,-,0.40,-,8.13,-,31.20,-
2007M11,"619,156",-3.23,"310,086",-11.51,"43,163",-14.57,"2,570",-12.85,"54,493",7.99,"201,751",10.05,"7,094",229.65,0.900,-3.537,0.524,-10.884,98.85,-,41.80,-,0.42,-,8.80,-,32.58,-
2007M12,"642,587",-0.12,"334,726",-3.00,"35,531",-37.31,"2,188",-18.57,"57,485",14.93,"205,478",9.73,"7,179",334.83,0.903,-0.551,0.531,-6.678,98.88,-,41.26,-,0.34,-,8.95,-,31.98,-
2008M01,"684,735",3.00,"382,802",3.00,"27,405",-42.95,"2,676",-11.92,"58,545",16.91,"213,132",11.52,176,-79.25,0.962,2.559,0.577,-2.698,99.97,-,40.07,-,0.39,-,8.55,-,31.13,-
2008M02,"653,822",-3.74,"365,300",-5.57,"23,174",-52.59,"2,292",-24.53,"57,652",13.78,"205,272",8.66,133,-85.51,0.982,-7.446,0.584,-14.370,99.98,-,40.56,-,0.35,-,8.82,-,31.40,-
2008M03,"615,646",-6.72,"337,292",-8.46,"18,753",-57.53,"2,161",8.70,"57,681",3.88,"199,608",5.58,151,-81.83,0.865,-7.089,0.500,--,99.98,-,42.14,-,0.35,-,9.37,-,32.42,-
2008M04,"616,037",-4.50,"337,406",-4.45,"17,960",-60.51,"2,301",5.65,"57,321",6.79,"200,890",6.28,158,-90.11,0.894,-4.894,0.516,-11.492,99.97,-,42.29,-,0.37,-,9.30,-,32.61,-
2008M05,"649,470",-3.34,"354,148",-3.11,"21,247",-58.02,"2,399",-15.20,"61,232",8.01,"210,435",8.33,8,-99.60,0.912,-3.696,0.527,-10.526,100.00,-,42.20,-,0.37,-,9.43,-,32.40,-
2008M06,"646,306",-5.60,"353,399",-7.34,"17,489",-53.41,"2,955",26.23,"60,109",5.36,"212,346",4.56,8,-99.75,0.937,-6.018,0.538,-12.520,100.00,-,42.61,-,0.46,-,9.30,-,32.86,-
2008M07,"652,819",-5.33,"360,850",-3.78,"19,080",-50.22,"4,325",58.77,"58,798",1.29,"209,758",-2.14,7,-99.38,0.916,-5.664,0.533,-8.733,100.00,-,41.80,-,0.66,-,9.01,-,32.13,-
2008M08,"625,774",-10.66,"333,976",-13.35,"17,645",-52.37,"4,321",39.79,"56,479",-3.94,"213,346",-1.20,7,-95.54,0.878,-10.953,0.493,--,100.00,-,43.81,-,0.69,-,9.03,-,34.09,-
2008M09,"644,923",0.52,"348,806",0.10,"18,396",-40.28,"5,525",120.30,"57,677",4.35,"214,470",4.94,49,-66.21,0.935,0.214,0.532,-3.623,99.99,-,43.06,-,0.86,-,8.94,-,33.26,-
2008M10,"623,244",-7.90,"331,001",-6.78,"19,926",-56.08,"6,097",122.68,"55,602",1.10,"210,611",-0.25,7,-99.91,0.874,-8.193,0.492,--,100.00,-,43.69,-,0.98,-,8.92,-,33.79,-
2008M11,"579,131",-6.46,"299,502",-3.41,"18,319",-57.56,"4,644",80.70,"53,494",-1.83,"203,166",0.70,7,-99.90,0.839,-6.778,0.460,--,100.00,-,45.12,-,0.80,-,9.24,-,35.08,-
2008M12,"615,891",-4.15,"332,802",-0.57,"16,728",-52.92,"4,770",118.01,"56,603",-1.53,"204,950",-0.26,37,-99.48,0.863,-4.430,0.490,--,99.99,-,43.24,-,0.77,-,9.19,-,33.28,-
2009M01,"698,183",1.96,"387,876",1.33,"19,520",-28.77,"5,776",115.84,"57,250",-2.21,"227,753",6.86,8,-95.45,0.977,1.559,0.570,-1.213,100.00,-,41.65,-,0.83,-,8.20,-,32.62,-
2009M02,"608,505",-6.93,"321,171",-12.08,"16,055",-30.72,"4,367",90.53,"58,098",0.77,"208,807",1.72,7,-94.74,0.943,-3.971,0.523,-10.445,100.00,-,44.58,-,0.72,-,9.55,-,34.31,-
2009M03,"617,724",0.34,"329,950",-2.18,"15,827",-15.60,"4,397",103.47,"58,772",1.89,"208,772",4.59,7,-95.36,0.864,-0.116,0.484,--,100.00,-,44.02,-,0.71,-,9.51,-,33.80,-
2009M04,"623,822",1.26,"328,230",-2.72,"14,598",-18.72,"4,227",83.70,"59,782",4.29,"216,979",8.01,7,-95.57,0.902,0.895,0.496,--,100.00,-,45.04,-,0.68,-,9.58,-,34.78,-
2009M05,"635,823",-2.10,"334,901",-5.43,"14,086",-33.70,"4,430",84.66,"60,543",-1.13,"221,517",5.27,346,"4,225.00",0.889,-2.522,0.489,--,99.95,-,45.06,-,0.70,-,9.52,-,34.84,-
2009M06,"672,657",4.08,"357,906",1.28,"14,520",-16.98,"5,072",71.64,"63,185",5.12,"231,074",8.82,900,"11,150.00",0.972,3.735,0.540,0.372,99.87,-,44.50,-,0.75,-,9.39,-,34.35,-
2009M07,"660,488",1.17,"344,645",-4.49,"14,165",-25.76,"5,678",31.28,"62,929",7.03,"233,064",11.11,7,0.00,0.923,0.764,0.502,-5.816,100.00,-,45.67,-,0.86,-,9.53,-,35.29,-
2009M08,"683,263",9.19,"363,353",8.80,"21,476",21.71,"8,009",85.35,"58,633",3.81,"231,785",8.64,7,0.00,0.955,8.770,0.538,--,100.00,-,43.68,-,1.17,-,8.58,-,33.92,-
2009M09,"623,113",-3.38,"311,225",-10.77,"14,501",-21.17,"6,346",14.86,"58,567",1.54,"232,467",8.39,7,-85.71,0.900,-3.743,0.470,--,100.00,-,47.72,-,1.02,-,9.40,-,37.31,-
2009M10,"647,985",3.97,"328,883",-0.64,"13,837",-30.56,"6,016",-1.33,"61,217",10.10,"238,024",13.02,7,0.00,0.905,3.547,0.479,--,100.00,-,47.11,-,0.93,-,9.45,-,36.73,-
2009M11,"629,816",8.75,"314,302",4.94,"13,897",-24.14,"5,590",20.37,"61,198",14.40,"234,822",15.58,7,0.00,0.909,8.343,0.474,--,100.00,-,47.89,-,0.89,-,9.72,-,37.28,-
2009M12,"627,851",1.94,"313,962",-5.66,"13,282",-20.60,"5,565",16.67,"61,296",8.29,"233,738",14.05,7,-81.08,0.876,1.506,0.457,--,100.00,-,47.88,-,0.89,-,9.76,-,37.23,-
2010M01,"663,200",-5.01,"338,901",-12.63,"13,836",-29.12,"7,365",27.51,"60,115",5.00,"242,977",6.68,7,-12.50,0.925,-5.322,0.492,--,100.00,-,46.81,-,1.11,-,9.06,-,36.64,-
2010M02,"686,392",12.80,"359,297",11.87,"15,164",-5.55,"6,993",60.13,"59,564",2.52,"245,368",17.51,6,-14.29,1.060,12.407,0.578,10.516,100.00,-,45.44,-,1.02,-,8.68,-,35.75,-
2010M03,"651,688",5.50,"329,915",-0.01,"14,762",-6.73,"5,636",28.18,"62,408",6.19,"238,961",14.46,7,0.00,0.909,5.208,0.481,--,100.00,-,47.11,-,0.86,-,9.58,-,36.67,-
2010M04,"630,825",1.12,"314,467",-4.19,"13,777",-5.62,"5,729",35.53,"60,830",1.75,"234,706",8.17,"1,316","18,700.00",0.909,0.776,0.475,--,99.79,-,47.76,-,0.91,-,9.64,-,37.21,-
2010M05,"664,407",4.50,"334,249",-0.19,"17,138",21.67,"6,135",38.49,"64,227",6.08,"242,652",9.54,7,-97.98,0.926,4.162,0.490,--,100.00,-,47.11,-,0.92,-,9.67,-,36.52,-
