期間,授信部門--政府,授信部門--公營事業,授信部門--民營企業,授信部門--家庭及非營利團體,受信部門--政府,受信部門--公營事業,受信部門--民營企業,受信部門--家庭及非營利團體
1982,0,"42,135","74,663","74,820",0,"34,143","98,388","59,087"
1983,0,"46,339","77,907","89,519",0,"37,434","113,027","63,304"
1984,0,"46,753","83,494","96,874",0,"36,837","116,526","73,758"
1985,0,"45,600","77,142","96,636",0,"35,404","114,802","69,172"
1986,0,"44,024","86,842","126,118",0,"43,792","138,522","74,670"
1987,0,"39,530","100,367","147,294",0,"40,057","160,914","86,220"
1988,0,"50,389","150,110","202,209",0,"56,390","219,733","126,585"
1989,0,"56,360","173,146","236,944",0,"77,611","244,084","144,755"
1990,0,"63,545","198,849","259,146",0,"97,574","268,554","155,412"
1991,0,"61,230","216,026","298,248",0,"106,655","296,502","172,347"
1992,0,"63,717","222,383","258,413",0,"117,257","258,261","168,995"
1993,0,"75,583","229,726","339,369",0,"143,296","323,286","178,096"
1994,0,"81,529","247,246","462,821",0,"147,476","439,694","204,426"
1995,0,"77,419","389,046","664,178",0,"207,140","619,091","304,412"
1996,0,"83,695","416,411","1,257,721",0,"229,553","1,194,653","333,621"
1997,0,"78,527","463,765","1,273,787",0,"248,969","1,191,941","375,169"
1998,0,"73,150","462,401","1,518,136",0,"247,113","1,427,686","378,888"
1999,0,"96,853","498,897","1,761,423",0,"318,114","1,636,485","402,574"
2000,0,"84,226","422,288","1,415,589",0,"349,320","1,245,089","327,694"
2001,0,"90,993","465,657","2,066,322",0,"266,717","1,953,572","402,683"
2002,0,"90,088","470,428","2,345,647",0,"271,802","2,228,287","406,074"
2003,...,"93,039","399,534","2,208,818",...,"313,306","2,061,391","326,694"
2004,...,"95,647","457,018","2,406,057",...,"291,043","2,287,288","380,391"
