期間,雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%)
1978,197,-,177,-,20,-,"1,374",-,"1,157",-,217,-,775,-,290,-,485,-,"3,141",-,"2,018",-,"1,123",-,744,-,541,-,203,-
1979,266,35.06,241,36.06,25,26.16,"1,348",-1.88,"1,116",-3.54,232,6.99,717,-7.42,258,-10.91,459,-5.35,"3,329",5.99,"2,128",5.45,"1,201",6.96,771,3.58,562,3.94,209,2.62
1980,290,9.07,261,8.49,29,14.57,"1,341",-0.55,"1,113",-0.29,228,-1.79,701,-2.30,233,-9.63,468,1.82,"3,400",2.14,"2,166",1.78,"1,234",2.76,815,5.77,583,3.71,232,11.33
1981,301,3.86,269,3.11,32,10.69,"1,387",3.44,"1,158",4.07,229,0.38,695,-0.88,234,0.22,461,-1.42,"3,464",1.87,"2,203",1.69,"1,261",2.19,825,1.19,584,0.15,241,3.80
1982,291,-3.33,262,-2.65,29,-9.01,"1,437",3.63,"1,202",3.73,236,3.11,716,2.99,239,2.06,477,3.46,"3,513",1.43,"2,207",0.17,"1,307",3.61,853,3.40,600,2.82,253,4.81
1983,283,-2.80,255,-2.57,28,-4.78,"1,492",3.82,"1,231",2.45,261,10.77,783,9.44,242,1.52,541,13.40,"3,647",3.80,"2,234",1.24,"1,413",8.14,864,1.31,598,-0.34,266,5.23
1984,298,5.49,269,5.47,29,5.64,"1,513",1.40,"1,250",1.51,264,0.91,787,0.52,235,-2.79,552,2.01,"3,851",5.60,"2,318",3.74,"1,534",8.53,858,-0.72,590,-1.47,268,0.95
1985,319,6.85,284,5.60,35,18.33,"1,544",2.05,"1,276",2.12,268,1.72,804,2.10,234,-0.45,569,3.19,"3,896",1.16,"2,338",0.88,"1,558",1.58,865,0.87,587,-0.51,279,3.91
1986,331,3.71,293,3.23,37,7.64,"1,563",1.22,"1,280",0.27,283,5.73,840,4.50,242,3.37,598,4.97,"4,081",4.74,"2,383",1.93,"1,697",8.96,919,6.14,622,6.08,296,6.26
1987,342,3.37,304,3.67,38,1.01,"1,537",-1.67,"1,255",-1.93,282,-0.54,794,-5.49,223,-7.82,571,-4.54,"4,415",8.18,"2,560",7.43,"1,854",9.23,935,1.82,623,0.07,313,5.49
1988,365,6.81,323,6.12,42,12.42,"1,534",-0.18,"1,259",0.29,275,-2.28,772,-2.72,207,-7.15,565,-0.98,"4,498",1.88,"2,632",2.80,"1,866",0.62,938,0.29,622,-0.03,316,0.93
1989,381,4.23,337,4.54,43,1.85,"1,552",1.18,"1,276",1.41,276,0.13,759,-1.74,207,-0.28,552,-2.28,"4,624",2.81,"2,706",2.79,"1,919",2.83,943,0.48,622,0.01,320,1.42
1990,399,4.82,353,4.59,46,6.62,"1,543",-0.58,"1,264",-0.94,279,1.10,744,-1.93,199,-3.95,546,-1.17,"4,641",0.36,"2,740",1.26,"1,901",-0.92,956,1.44,619,-0.54,337,5.30
1991,431,8.01,381,7.82,50,9.41,"1,572",1.88,"1,300",2.86,272,-2.58,770,3.46,212,6.98,558,2.18,"4,700",1.27,"2,766",0.95,"1,934",1.73,966,1.08,615,-0.67,351,4.30
1992,437,1.35,382,0.30,55,9.33,"1,572",0.01,"1,280",-1.54,292,7.44,768,-0.31,212,-0.21,556,-0.35,"4,854",3.28,"2,878",4.04,"1,976",2.20,"1,002",3.63,628,2.13,373,6.27
1993,455,4.15,397,4.04,58,4.91,"1,539",-2.10,"1,246",-2.68,293,0.44,743,-3.19,200,-5.49,543,-2.31,"4,981",2.61,"2,940",2.17,"2,040",3.25,"1,028",2.59,638,1.63,389,4.21
1994,471,3.53,409,2.89,62,7.94,"1,542",0.15,"1,253",0.53,289,-1.47,766,3.08,209,4.19,557,2.67,"5,159",3.58,"3,025",2.87,"2,134",4.60,"1,001",-2.56,616,-3.51,385,-1.01
1995,480,2.01,416,1.90,64,2.70,"1,537",-0.31,"1,243",-0.77,294,1.70,767,0.19,208,-0.48,560,0.45,"5,257",1.89,"3,086",2.03,"2,171",1.70,"1,003",0.22,604,-1.88,399,3.58
1996,485,0.92,421,1.13,64,-0.45,"1,538",0.10,"1,235",-0.62,303,3.12,758,-1.21,193,-7.28,566,1.05,"5,259",0.05,"3,054",-1.04,"2,205",1.60,"1,027",2.39,605,0.13,422,5.82
1997,506,4.48,435,3.20,72,12.90,"1,515",-1.51,"1,214",-1.69,301,-0.74,731,-3.63,185,-4.17,546,-3.45,"5,400",2.68,"3,129",2.45,"2,271",2.99,"1,023",-0.41,600,-0.86,423,0.23
1998,506,-0.03,436,0.33,70,-2.23,"1,512",-0.18,"1,210",-0.34,302,0.47,715,-2.12,179,-3.23,536,-1.75,"5,580",3.33,"3,219",2.88,"2,361",3.95,975,-4.68,567,-5.55,409,-3.45
1999,511,1.01,436,0.09,75,6.74,"1,523",0.72,"1,206",-0.34,317,4.97,726,1.47,182,1.85,544,1.35,"5,663",1.49,"3,250",0.97,"2,413",2.19,961,-1.43,549,-3.07,412,0.84
2000,513,0.30,438,0.26,75,0.49,"1,523",-0.02,"1,206",-0.04,317,0.03,710,-2.20,178,-2.28,532,-2.17,"5,790",2.25,"3,301",1.57,"2,489",3.16,955,-0.61,548,-0.26,408,-1.08
2001,492,-4.08,413,-5.61,79,4.76,"1,483",-2.62,"1,173",-2.71,310,-2.29,681,-4.06,170,-4.66,511,-3.85,"5,766",-0.43,"3,244",-1.75,"2,522",1.32,961,0.58,554,1.08,407,-0.10
2002,492,-0.02,414,0.33,78,-1.83,"1,496",0.87,"1,176",0.22,320,3.35,695,2.12,171,0.64,525,2.62,"5,825",1.03,"3,255",0.36,"2,570",1.89,946,-1.56,532,-3.99,414,1.75
2003,496,0.91,414,0.03,82,5.60,"1,484",-0.79,"1,157",-1.60,327,2.17,695,-0.13,171,0.09,524,-0.20,"5,910",1.46,"3,294",1.20,"2,616",1.78,988,4.46,543,2.05,446,7.55
2004,510,2.81,423,1.99,88,6.97,"1,458",-1.75,"1,125",-2.72,333,1.66,686,-1.16,171,0.44,515,-1.69,"6,137",3.85,"3,419",3.78,"2,719",3.94,994,0.57,542,-0.12,452,1.41
2005,503,-1.47,416,-1.70,87,-0.40,"1,438",-1.39,"1,100",-2.21,337,1.40,666,-2.94,163,-4.79,503,-2.33,"6,374",3.86,"3,556",4.03,"2,818",3.65,961,-3.28,517,-4.57,444,-1.74
2006,517,2.85,423,1.85,94,7.59,"1,406",-2.22,"1,060",-3.68,346,2.53,647,-2.93,155,-5.16,492,-2.20,"6,608",3.66,"3,673",3.29,"2,934",4.13,934,-2.84,499,-3.51,435,-2.06
