期間,累積家數(家)_原始值,累積家數(家)_年增率(%),通報人數(人)_原始值,通報人數(人)_年增率(%),實際實施人數(人)_原始值,實際實施人數(人)_年增率(%)
2009M01,416,...,"187,377",...,...,...
2009M02,586,...,"238,975",...,...,...
2009M03,866,...,"219,542",...,...,...
2009M04,903,...,"178,946",...,...,...
2009M05,839,...,"147,021",...,...,...
2009M06,848,...,"126,175",...,...,...
2009M07,655,...,"74,468",...,...,...
2009M08,614,...,"58,983",...,...,...
2009M09,514,...,"42,342",...,...,...
2009M10,419,...,"26,377",...,...,...
2009M11,336,...,"19,948",...,...,...
2009M12,169,...,"9,662",...,...,...
2010M01,139,-66.59,"5,615",-97.00,...,...
2010M02,82,-86.01,"2,572",-98.92,...,...
2010M03,73,-91.57,"1,842",-99.16,...,...
2010M04,57,-93.69,"1,486",-99.17,...,...
2010M05,47,-94.40,"1,261",-99.14,...,...
2010M06,22,-97.41,694,-99.45,...,...
2010M07,20,-96.95,653,-99.12,...,...
2010M08,15,-97.56,526,-99.11,...,...
2010M09,12,-97.67,494,-98.83,...,...
2010M10,6,-98.57,215,-99.18,...,...
2010M11,6,-98.21,205,-98.97,...,...
2010M12,5,-97.04,99,-98.98,...,...
2011M01,...,...,...,...,...,...
2011M02,2,-97.56,66,-97.43,...,...
2011M03,1,-98.63,52,-97.18,...,...
2011M04,1,-98.25,52,-96.50,...,...
2011M05,0,-100.00,0,-100.00,...,...
2011M06,0,-100.00,0,-100.00,...,...
2011M07,0,-100.00,0,-100.00,...,...
2011M08,0,-100.00,0,-100.00,...,...
2011M09,0,-100.00,0,-100.00,...,...
2011M10,12,100.00,"2,801","1,202.79",...,...
2011M11,85,"1,316.67","8,636","4,112.68","7,994",...
2011M12,109,"2,080.00","13,034","13,065.66","12,487",...
2012M01,87,--,"11,946",--,"11,891",...
2012M02,75,"3,650.00","7,446","11,181.82","7,391",...
2012M03,39,"3,800.00","4,682","8,903.85","3,960",...
2012M04,23,"2,200.00","2,280","4,284.62","2,280",...
2012M05,20,--,"1,365",--,"1,365",...
2012M06,17,--,"1,073",--,"1,073",...
2012M07,22,--,628,--,628,...
2012M08,23,--,605,--,605,...
2012M09,36,--,"1,595",--,"1,413",...
2012M10,47,291.67,"2,859",2.07,"2,855",...
2012M11,49,-42.35,"4,323",-49.94,"4,323",-45.92
2012M12,62,-43.12,"4,450",-65.86,"4,289",-65.65
2013M01,53,-39.08,"3,797",-68.22,"3,636",-69.42
2013M02,42,-44.00,"2,547",-65.79,"2,216",-70.02
2013M03,38,-2.56,"1,780",-61.98,"1,457",-63.21
2013M04,33,43.48,"1,581",-30.66,"1,252",-45.09
2013M05,27,35.00,"1,137",-16.70,813,-40.44
2013M06,28,64.71,824,-23.21,799,-25.54
2013M07,34,54.55,797,26.91,704,12.10
2013M08,34,47.83,"2,345",287.60,"2,240",270.25
2013M09,35,-2.78,"1,671",4.76,"1,625",15.00
2013M10,42,-10.64,"2,057",-28.05,"2,037",-28.65
2013M11,41,-16.33,"2,386",-44.81,"2,366",-45.27
2013M12,42,-32.26,"2,513",-43.53,"1,501",-65.00
2014M01,...,...,...,...,...,...
2014M02,24,-42.86,"2,315",-9.11,"2,315",4.47
2014M03,21,-44.74,"1,769",-0.62,951,-34.73
2014M04,19,-42.42,414,-73.81,414,-66.93
2014M05,17,-37.04,380,-66.58,380,-53.26
2014M06,14,-50.00,245,-70.27,245,-69.34
2014M07,19,-44.12,344,-56.84,344,-51.14
2014M08,21,-38.24,357,-84.78,357,-84.06
