期間,提存戶數(家)_原始值,提存戶數(家)_年增率(%),提存戶數-家數提存率(%)_原始值,提存戶數-家數提存率(%)_年增率(%),有餘額戶數(家)_原始值,有餘額戶數(家)_年增率(%),提存廠商開戶時員工人數(人)_原始值,提存廠商開戶時員工人數(人)_年增率(%),提存金額(千元)_原始值,提存金額(千元)_年增率(%),撥發金額(千元)_原始值,撥發金額(千元)_年增率(%),累計提存金額(含孳息、收益) (千元)_原始值,累計提存金額(含孳息、收益) (千元)_年增率(%),累計撥發金額(千元)_原始值,累計撥發金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
1989,"20,211",...,16.48,-,"17,848",...,"1,533,612",...,"13,093,798",...,"6,668",...,"49,897,170",...,"13,331,697",...,"31,904,700",...
1990,"21,044",4.12,16.01,-,"18,860",5.67,"1,551,689",1.18,"13,778,352",5.23,"9,393,395","140,772.75","67,018,267",34.31,"23,044,498",72.85,"40,083,750",25.64
1991,"21,452",1.94,15.12,-,"19,347",2.58,"1,556,529",0.31,"16,832,339",22.17,"11,422,735",21.60,"87,893,396",31.15,"34,639,313",50.31,"53,384,537",33.18
1992,"21,778",1.52,13.95,-,"19,669",1.66,"1,569,591",0.84,"17,395,510",3.35,"10,216,421",-10.56,"109,745,716",24.86,"45,091,630",30.17,"60,593,457",13.50
1993,"22,634",3.93,13.60,-,"20,363",3.53,"1,590,995",1.36,"19,244,511",10.63,"12,557,432",22.91,"134,347,952",22.42,"58,086,009",28.82,"70,229,890",15.90
1994,"23,620",4.36,13.43,-,"21,213",4.17,"1,612,005",1.32,"22,302,657",15.89,"15,384,357",22.51,"162,444,064",20.91,"73,885,263",27.20,"83,254,131",18.55
1995,"24,218",2.53,14.15,-,"21,855",3.03,"1,627,586",0.97,"24,610,032",10.35,"15,150,411",-1.52,"193,263,294",18.97,"97,080,217",31.39,"89,379,301",7.36
1996,"25,176",3.96,15.19,-,"22,798",4.31,"1,661,032",2.05,"26,169,966",6.34,"17,739,614",17.09,"225,941,581",16.91,"115,315,964",18.78,"105,061,587",17.55
1997,"28,750",14.20,17.13,-,"25,140",10.27,"1,811,255",9.04,"29,951,499",14.45,"20,219,829",13.98,"262,762,690",16.30,"135,535,793",17.53,"121,604,570",15.75
1998,"36,655",27.50,14.37,-,"32,911",30.91,"2,277,958",25.77,"43,236,474",44.35,"24,699,540",22.16,"313,982,582",19.49,"160,235,332",18.22,"142,413,528",17.11
1999,"42,203",15.14,11.81,-,"38,709",17.62,"2,555,277",12.17,"53,693,743",24.19,"27,268,581",10.40,"376,792,705",20.00,"187,503,913",17.02,"177,276,158",24.48
2000,"45,930",8.83,12.66,-,"42,651",10.18,"2,735,359",7.05,"51,322,772",-4.42,"25,740,158",-5.61,"428,115,477",13.62,"213,244,071",13.73,"236,842,642",33.60
2001,"48,508",5.61,13.44,-,"45,634",6.99,"2,858,192",4.49,"68,879,287",34.21,"38,779,427",50.66,"496,994,764",16.09,"252,023,498",18.19,"261,387,148",10.36
2002,"50,287",3.67,13.83,-,"47,439",3.96,"2,901,789",1.53,"68,817,688",-0.09,"36,557,258",-5.73,"565,812,452",13.85,"288,580,756",14.51,"293,048,927",12.11
2003,"52,018",3.44,13.79,-,"49,183",3.68,"2,952,468",1.75,"66,502,127",-3.36,"32,428,355",-11.29,"632,314,579",11.75,"317,938,816",10.17,"329,334,224",12.38
2004,"55,277",6.27,14.14,-,"52,029",5.79,"3,031,661",2.68,"70,008,161",5.27,"28,425,932",-12.34,"702,322,740",11.07,"346,364,749",8.94,"373,847,267",13.52
2005,"99,983",80.88,24.05,-,"79,854",53.48,"3,436,762",13.36,"68,356,825",-2.36,"42,424,845",49.25,"770,679,565",9.73,"388,789,594",12.25,"391,742,648",4.79
2006,"117,373",17.39,27.61,-,"103,537",29.66,"3,581,966",4.23,"65,979,765",-3.48,"39,821,047",-6.14,"836,659,330",8.56,"428,610,661",10.24,"420,109,000",7.24
2007,"125,344",6.79,29.29,-,"113,497",9.62,"3,601,644",0.55,"67,218,568",1.88,"40,285,663",1.17,"903,877,899",8.03,"468,896,324",9.40,"458,988,409",9.25
2008,"125,912",0.45,29.39,-,"115,246",1.54,"3,557,042",-1.24,"73,859,901",9.88,"43,773,893",8.66,"977,737,800",8.17,"512,670,217",9.34,"471,619,982",2.75
2009,"122,567",-2.66,28.08,-,"114,156",-0.95,"3,480,245",-2.16,"70,541,786",-4.49,"44,869,634",2.50,"1,048,279,586",7.21,"557,539,851",8.75,"496,826,265",5.34
2010,"125,359",2.28,53.05,-,"118,163",3.51,"3,441,108",-1.12,"68,309,782",-3.16,"31,867,546",-28.98,"1,116,589,368",6.52,"589,407,396",5.72,"537,809,111",8.25
2011,"124,684",-0.54,57.72,-,"117,970",-0.16,"3,409,506",-0.92,"56,172,476",-17.77,"32,504,221",2.00,"1,172,761,844",5.03,"621,911,617",5.51,"562,128,221",4.52
2012,"122,704",-1.59,60.09,-,"116,257",-1.45,"3,381,389",-0.82,"56,267,972",0.17,"39,572,456",21.75,"1,229,029,815",4.80,"661,484,074",6.36,"580,045,746",3.19
2013,"124,033",1.08,68.20,-,"117,025",0.66,"3,377,162",-0.13,"57,048,759",1.39,"51,559,431",30.29,"1,286,078,575",4.64,"713,043,505",7.79,"601,618,839",3.72
