期間,平均每人GNP_原始值,平均每人GNP_年增率(%),平均每人GNP_原始值,平均每人GNP_年增率(%),平均每人GDP_原始值,平均每人GDP_年增率(%),平均每人GDP_原始值,平均每人GDP_年增率(%),平均每人NI_原始值,平均每人NI_年增率(%),平均每人NI_原始值,平均每人NI_年增率(%),平均每人民間消費支出_原始值,平均每人民間消費支出_年增率(%),平均每人民間消費支出_原始值,平均每人民間消費支出_年增率(%)
1951,"1,629",--,158,--,"1,630",--,158,--,"1,582",--,154,--,"1,157",--,112,--
1952,"2,190",34.44,213,34.81,"2,190",34.36,213,34.81,"2,127",34.45,207,34.42,"1,590",37.42,154,37.50
1953,"2,810",28.31,181,-15.02,"2,811",28.36,181,-15.02,"2,725",28.11,175,-15.46,"2,094",31.70,135,-12.34
1954,"2,978",5.98,192,6.08,"2,978",5.94,192,6.08,"2,862",5.03,184,5.14,"2,172",3.72,140,3.70
1955,"3,422",14.91,220,14.58,"3,422",14.91,220,14.58,"3,268",14.19,210,14.13,"2,428",11.79,156,11.43
1956,"3,788",10.70,153,-30.45,"3,789",10.72,153,-30.45,"3,607",10.37,146,-30.48,"2,630",8.32,106,-32.05
1957,"4,276",12.88,173,13.07,"4,282",13.01,173,13.07,"4,054",12.39,164,12.33,"2,919",10.99,118,11.32
1958,"4,618",8.00,186,7.51,"4,636",8.27,187,8.09,"4,366",7.70,176,7.32,"3,158",8.19,127,7.63
1959,"5,134",11.17,141,-24.19,"5,150",11.09,142,-24.06,"4,846",10.99,133,-24.43,"3,496",10.70,96,-24.41
1960,"5,975",16.38,164,16.31,"5,977",16.06,164,15.49,"5,653",16.65,155,16.54,"4,026",15.16,111,15.63
1961,"6,465",8.20,162,-1.22,"6,472",8.28,162,-1.22,"6,103",7.96,153,-1.29,"4,347",7.97,109,-1.80
1962,"6,884",6.48,172,6.17,"6,894",6.52,172,6.17,"6,489",6.32,162,5.88,"4,611",6.07,115,5.50
1963,"7,533",9.43,188,9.30,"7,542",9.40,189,9.88,"7,124",9.79,178,9.88,"4,795",3.99,120,4.35
1964,"8,528",13.21,213,13.30,"8,527",13.06,213,12.70,"8,082",13.45,202,13.48,"5,343",11.43,134,11.67
1965,"9,125",7.00,228,7.04,"9,140",7.19,229,7.51,"8,645",6.97,216,6.93,"5,766",7.92,144,7.46
1966,"9,910",8.60,248,8.77,"9,917",8.50,248,8.30,"9,381",8.51,235,8.80,"6,058",5.06,151,4.86
1967,"11,138",12.39,278,12.10,"11,163",12.56,279,12.50,"10,526",12.21,263,11.91,"6,711",10.78,168,11.26
1968,"12,648",13.56,316,13.67,"12,682",13.61,317,13.62,"11,926",13.30,298,13.31,"7,625",13.62,191,13.69
1969,"14,138",11.78,353,11.71,"14,156",11.62,354,11.67,"13,289",11.43,332,11.41,"8,227",7.90,206,7.85
1970,"15,702",11.06,393,11.33,"15,730",11.12,393,11.02,"14,767",11.12,369,11.14,"8,904",8.23,223,8.25
1971,"17,868",13.79,447,13.74,"17,876",13.64,447,13.74,"16,777",13.61,419,13.55,"9,734",9.32,243,8.97
1972,"21,001",17.53,525,17.45,"20,996",17.45,525,17.45,"19,640",17.07,491,17.18,"11,018",13.19,275,13.17
1973,"26,765",27.45,700,33.33,"26,773",27.51,700,33.33,"24,842",26.49,649,32.18,"13,602",23.45,356,29.45
1974,"35,232",31.63,927,32.43,"35,243",31.64,927,32.43,"32,214",29.68,848,30.66,"19,343",42.21,509,42.98
1975,"36,971",4.94,973,4.96,"37,179",5.49,978,5.50,"33,497",3.98,882,4.01,"21,374",10.50,562,10.41
1976,"43,415",17.43,"1,143",17.47,"43,721",17.60,"1,151",17.69,"39,355",17.49,"1,036",17.46,"23,001",7.61,605,7.65
1977,"49,951",15.05,"1,315",15.05,"50,257",14.95,"1,323",14.94,"45,278",15.05,"1,192",15.06,"26,136",13.63,688,13.72
1978,"58,932",17.98,"1,595",21.29,"59,069",17.53,"1,599",20.86,"53,696",18.59,"1,453",21.90,"29,971",14.67,811,17.88
1979,"69,983",18.75,"1,944",21.88,"69,960",18.44,"1,943",21.51,"63,450",18.17,"1,763",21.34,"35,834",19.56,995,22.69
1980,"85,732",22.50,"2,381",22.48,"85,851",22.71,"2,385",22.75,"77,386",21.96,"2,150",21.95,"44,671",24.66,"1,241",24.72
1981,"99,899",16.52,"2,715",14.03,"100,434",16.99,"2,730",14.47,"90,314",16.71,"2,455",14.19,"52,803",18.20,"1,435",15.63
1982,"105,721",5.83,"2,702",-0.48,"105,758",5.30,"2,703",-0.99,"95,622",5.88,"2,444",-0.45,"56,082",6.21,"1,434",-0.07
1983,"116,409",10.11,"2,906",7.55,"116,235",9.91,"2,902",7.36,"104,784",9.58,"2,616",7.04,"59,525",6.14,"1,486",3.63
1984,"129,127",10.93,"3,259",12.15,"127,543",9.73,"3,219",10.92,"116,768",11.44,"2,947",12.65,"64,226",7.90,"1,621",9.08
1985,"133,615",3.48,"3,352",2.85,"131,158",2.83,"3,290",2.21,"121,375",3.95,"3,045",3.33,"67,075",4.44,"1,683",3.82
1986,"155,628",16.47,"4,112",22.67,"151,663",15.63,"4,007",21.79,"142,498",17.40,"3,765",23.65,"71,587",6.73,"1,891",12.36
1987,"171,545",10.23,"5,383",30.91,"167,806",10.64,"5,265",31.40,"157,673",10.65,"4,947",31.39,"79,713",11.35,"2,501",32.26
1988,"180,745",5.36,"6,318",17.37,"175,837",4.79,"6,146",16.73,"170,183",7.93,"5,948",20.23,"90,929",14.07,"3,178",27.07
1989,"204,632",13.22,"7,748",22.63,"199,608",13.52,"7,558",22.97,"188,419",10.72,"7,134",19.94,"106,171",16.76,"4,020",26.49
1990,"224,241",9.58,"8,339",7.63,"218,456",9.44,"8,124",7.49,"205,105",8.86,"7,628",6.92,"117,800",10.95,"4,381",8.98
1991,"248,433",10.79,"9,263",11.08,"241,822",10.70,"9,016",10.98,"227,244",10.79,"8,473",11.08,"130,064",10.41,"4,850",10.71
1992,"273,147",9.95,"10,856",17.20,"267,315",10.54,"10,625",17.85,"247,655",8.98,"9,843",16.17,"146,275",12.46,"5,814",19.88
1993,"297,820",9.03,"11,285",3.95,"292,363",9.37,"11,079",4.27,"270,335",9.16,"10,244",4.07,"161,629",10.50,"6,125",5.35
1994,"322,148",8.17,"12,175",7.89,"317,049",8.44,"11,982",8.15,"292,861",8.33,"11,068",8.04,"180,604",11.74,"6,826",11.44
1995,"347,404",7.84,"13,115",7.72,"342,188",7.93,"12,918",7.81,"314,748",7.47,"11,882",7.35,"195,563",8.28,"7,383",8.16
1996,"373,836",7.61,"13,614",3.80,"368,729",7.76,"13,428",3.95,"338,582",7.57,"12,330",3.77,"213,624",9.24,"7,779",5.36
1997,"400,497",7.13,"13,955",2.50,"396,355",7.49,"13,810",2.84,"363,109",7.24,"12,652",2.61,"229,630",7.49,"8,001",2.85
1998,"424,659",6.03,"12,692",-9.05,"421,519",6.35,"12,598",-8.78,"382,087",5.23,"11,419",-9.75,"245,083",6.73,"7,325",-8.45
1999,"442,497",4.20,"13,712",8.04,"438,384",4.00,"13,585",7.83,"396,244",3.71,"12,279",7.53,"257,417",5.03,"7,977",8.90
2000,"465,502",5.20,"14,906",8.71,"459,212",4.75,"14,704",8.24,"415,336",4.82,"13,299",8.31,"269,906",4.85,"8,643",8.35
2001,"453,084",-2.67,"13,401",-10.10,"444,489",-3.21,"13,147",-10.59,"399,665",-3.77,"11,821",-11.11,"269,798",-0.04,"7,980",-7.67
2002,"474,294",4.68,"13,716",2.35,"463,498",4.28,"13,404",1.95,"417,639",4.50,"12,077",2.17,"277,680",2.92,"8,030",0.63
2003,"488,645",3.03,"14,197",3.51,"474,069",2.28,"13,773",2.75,"431,947",3.43,"12,549",3.91,"283,593",2.13,"8,239",2.60
2004,"518,280",6.06,"15,503",9.20,"501,849",5.86,"15,012",9.00,"454,718",5.27,"13,602",8.39,"300,633",6.01,"8,993",9.15
2005,"529,313",2.13,"16,449",6.10,"516,516",2.92,"16,051",6.92,"463,778",1.99,"14,412",5.96,"311,958",3.77,"9,694",7.79
2006,"550,099",3.93,"16,911",2.81,"536,442",3.86,"16,491",2.74,"478,968",3.28,"14,724",2.16,"317,583",1.80,"9,763",0.71
2007,"577,869",5.05,"17,596",4.05,"563,349",5.02,"17,154",4.02,"498,912",4.16,"15,192",3.18,"327,544",3.14,"9,974",2.16
