期間,家庭生活補助(人次)_原始值,家庭生活補助(人次)_年增率(%),家庭生活補助(戶次)_原始值,家庭生活補助(戶次)_年增率(%),家庭生活補助(元)_原始值,家庭生活補助(元)_年增率(%),就學生活補助(人次)_原始值,就學生活補助(人次)_年增率(%),就學生活補助(元)_原始值,就學生活補助(元)_年增率(%),以工代賑(人次)_原始值,以工代賑(人次)_年增率(%),以工代賑(元)_原始值,以工代賑(元)_年增率(%),子女教育補助(人次)_原始值,子女教育補助(人次)_年增率(%),子女教育補助(元)_原始值,子女教育補助(元)_年增率(%),喪葬補助(人次)_原始值,喪葬補助(人次)_年增率(%),喪葬補助(元)_原始值,喪葬補助(元)_年增率(%),節日慰問(元)_原始值,節日慰問(元)_年增率(%),其他補助(元)_原始值,其他補助(元)_年增率(%)
2003Q4,"176,299",5.86,"55,633",-1.49,"692,885,189",0.94,"65,476",21.40,"277,096,124",15.58,"11,165",13.73,"135,004,391",3.87,"3,367",33.51,"15,309,732",220.02,745,-5.93,"8,804,500",-23.39,"117,568,429",66.76,...,...
2004Q1,"178,491",12.26,"54,742",3.20,"691,831,869",4.71,"47,993",0.98,"200,074,750",2.60,"10,207",-4.75,"136,386,932",5.32,942,89.54,"8,872,000","1,157.49",658,-27.29,"10,016,497",21.40,0,--,...,...
2004Q2,"193,396",15.86,"55,443",2.57,"730,648,693",5.42,"58,693",25.10,"240,680,100",28.68,"10,332",-5.51,"140,115,051",4.04,"2,287",-33.75,"8,068,000",-36.21,604,-6.36,"10,517,202",3.44,"178,315,321",-3.29,...,...
2004Q3,"193,201",12.10,"56,631",2.89,"737,335,743",3.79,"36,847",15.41,"147,388,000",15.41,"10,345",-6.84,"139,079,640",4.57,0,-100.00,0,-100.00,740,34.30,"12,125,857",19.08,0,--,...,...
2004Q4,"194,293",10.21,"57,059",2.56,"738,340,384",6.56,"75,906",15.93,"321,448,741",16.01,"9,920",-11.15,"135,497,901",0.37,"5,411",60.71,"15,804,850",3.23,643,-13.69,"11,459,399",30.15,"98,802,755",-15.96,...,...
2005Q1,"184,083",3.13,"55,058",0.58,"714,817,918",3.32,"55,911",16.50,"223,962,651",11.94,"10,359",1.49,"136,797,612",0.30,845,-10.30,"2,535,000",-71.43,618,-6.08,"9,863,000",-1.53,0,--,...,...
2005Q2,"203,303",5.12,"54,958",-0.87,"755,915,750",3.46,"69,049",17.64,"275,957,150",14.66,"10,487",1.50,"144,462,786",3.10,"5,560",143.11,"17,682,200",119.16,778,28.81,"12,752,600",21.25,"193,486,205",8.51,...,...
2005Q3,"201,943",4.52,"55,835",-1.41,"756,816,850",2.64,"45,395",23.20,"180,609,400",22.54,"10,710",3.53,"145,692,470",4.75,10,--,"80,000",--,786,6.22,"12,814,000",5.68,0,--,...,...
2005Q4,"195,003",0.37,"57,957",1.57,"751,534,631",1.79,"90,152",18.77,"360,765,700",12.23,"10,659",7.45,"150,051,422",10.74,"7,928",46.52,"22,436,550",41.96,861,33.90,"14,806,000",29.20,"118,268,625",19.70,...,...
2006Q1,"190,751",3.62,"53,448",-2.92,"722,083,464",1.02,"57,923",3.60,"231,911,184",3.55,"10,472",1.09,"138,014,301",0.89,"2,517",197.87,"6,995,700",175.96,563,-8.90,"10,186,000",3.27,0,--,"25,005,442",...
2006Q2,"209,470",3.03,"56,501",2.81,"769,464,591",1.79,"71,453",3.48,"285,394,742",3.42,"10,348",-1.33,"144,031,908",-0.30,"5,076",-8.71,"14,285,350",-19.21,547,-29.69,"10,664,000",-16.38,"213,840,600",10.52,"39,506,145",...
2006Q3,"209,391",3.69,"59,038",5.74,"781,122,145",3.21,"44,744",-1.43,"177,435,000",-1.76,"10,211",-4.66,"144,474,337",-0.84,0,-100.00,0,-100.00,584,-25.70,"10,191,500",-20.47,0,--,"40,827,542",...
2006Q4,"212,102",8.77,"59,525",2.71,"788,240,345",4.88,"96,952",7.54,"394,374,284",9.32,"10,429",-2.16,"147,971,686",-1.39,"8,046",1.49,"18,143,150",-19.14,515,-40.19,"9,474,500",-36.01,"99,859,413",-15.57,"59,374,603",...
2007Q1,"198,977",4.31,"56,036",4.84,"740,632,855",2.57,"65,120",12.43,"260,453,213",12.31,"10,113",-3.43,"137,570,759",-0.32,94,-96.27,"1,061,500",-84.83,689,22.38,"10,771,000",5.74,0,--,"88,323,940",253.22
2007Q2,"214,271",2.29,"58,608",3.73,"780,733,058",1.46,"77,235",8.09,"319,253,562",11.86,"10,168",-1.74,"138,110,920",-4.11,"7,908",55.79,"15,639,650",9.48,522,-4.57,"10,650,000",-0.13,"208,103,231",-2.68,"48,296,429",22.25
2007Q3,"207,265",-1.02,"58,968",-0.12,"771,118,521",-1.28,"45,755",2.26,"183,029,000",3.15,"10,257",0.45,"139,129,515",-3.70,89,--,"1,381,123",--,473,-19.01,"9,716,000",-4.67,0,--,"41,959,617",2.77
2007Q4,"210,559",-0.73,"60,091",0.95,"783,315,928",-0.62,"102,738",5.97,"411,042,242",4.23,"10,323",-1.02,"145,792,946",-1.47,"9,070",12.73,"19,255,750",6.13,866,68.16,"17,769,810",87.55,"106,259,990",6.41,"58,066,062",-2.20
2008Q1,"186,567",-6.24,"55,870",-0.30,"718,090,487",-3.04,"69,986",7.47,"279,789,470",7.42,"10,232",1.18,"145,632,451",5.86,96,2.13,"1,478,166",39.25,558,-19.01,"9,212,450",-14.47,0,--,"30,332,856",-65.66
2008Q2,"206,419",-3.66,"58,334",-0.47,"767,082,062",-1.75,"80,074",3.68,"327,467,538",2.57,"9,942",-2.22,"136,331,626",-1.29,"9,484",19.93,"17,721,200",13.31,505,-3.26,"8,718,500",-18.14,"182,686,561",-12.21,"58,332,982",20.78
2008Q3,"210,451",1.54,"60,367",2.37,"892,441,273",15.73,"50,488",10.34,"246,679,285",34.78,"10,240",-0.17,"139,637,980",0.37,90,1.12,"1,315,715",-4.74,555,17.34,"9,729,000",0.13,0,--,"62,094,936",47.99
2008Q4,"201,697",-4.21,"58,612",-2.46,"917,521,390",17.13,"113,579",10.55,"564,179,829",37.26,"10,199",-1.20,"147,497,184",1.17,"10,406",14.73,"15,837,100",-17.75,472,-45.50,"7,442,900",-58.11,"95,447,830",-10.18,"127,614,789",119.78
2009Q1,"202,156",8.36,"60,525",8.33,"930,918,827",29.64,"107,855",54.11,"539,185,726",92.71,"10,203",-0.28,"137,304,662",-5.72,96,0.00,"1,233,000",-16.59,418,-25.09,"8,071,000",-12.39,0,--,"38,409,396",26.63
2009Q2,"254,024",23.06,"66,493",13.99,"1,082,167,693",41.08,"103,431",29.17,"526,428,159",60.76,"10,547",6.09,"146,796,414",7.68,"3,745",-60.51,"6,536,000",-63.12,405,-19.80,"7,633,000",-12.45,"181,410,068",-0.70,"66,788,269",14.49
2009Q3,"248,481",18.07,"67,222",11.36,"1,071,612,614",20.08,"48,669",-3.60,"243,336,800",-1.35,"10,744",4.92,"149,518,277",7.08,44,-51.11,"617,688",-53.05,364,-34.41,"8,132,000",-16.41,0,--,"79,186,488",27.52
2009Q4,"257,794",27.81,"66,108",12.79,"1,090,442,000",18.85,"142,367",25.35,"710,445,900",25.93,"10,952",7.38,"154,414,382",4.69,"4,291",-58.76,"7,302,500",-53.89,436,-7.63,"8,767,000",17.79,"97,216,830",1.85,"126,384,191",-0.96
2010Q1,"250,811",24.07,"64,482",6.54,"1,059,147,647",13.77,"93,923",-12.92,"464,918,100",-13.77,"10,679",4.67,"117,835,050",-14.18,"3,858","3,918.75","6,832,696",454.15,321,-23.21,"6,914,800",-14.33,0,--,"43,547,655",13.38
2010Q2,"276,470",8.84,"67,735",1.87,"1,130,882,501",4.50,"114,957",11.14,"576,895,926",9.59,"10,556",0.09,"145,044,571",-1.19,"1,222",-67.37,"10,628,050",62.61,291,-28.15,"5,890,000",-22.84,"207,603,310",14.44,"37,969,457",-43.15
2010Q3,"265,412",6.81,"67,326",0.15,"1,102,083,458",2.84,"55,488",14.01,"277,329,413",13.97,"10,938",1.81,"150,548,723",0.69,69,56.82,"1,035,000",67.56,299,-17.86,"5,867,000",-27.85,0,--,"39,739,905",-49.81
2010Q4,"273,607",6.13,"69,334",4.88,"1,136,749,681",4.25,"151,835",6.65,"751,471,381",5.77,"11,194",2.21,"156,673,577",1.46,"5,242",22.16,"19,489,000",166.88,315,-27.75,"6,123,800",-30.15,"108,616,745",11.73,"49,636,180",-60.73
2011Q1,"246,920",-1.55,"62,415",-3.21,"1,044,977,751",-1.34,"104,488",11.25,"529,828,749",13.96,"10,613",-0.62,"146,961,628",24.72,0,-100.00,0,-100.00,337,4.98,"6,331,000",-8.44,0,--,"19,178,005",-55.96
2011Q2,"278,659",0.79,"67,293",-0.65,"1,141,890,380",0.97,"118,938",3.46,"609,456,245",5.64,"10,754",1.88,"150,093,912",3.48,"6,286",414.40,"17,300,000",62.78,410,40.89,"8,467,700",43.76,"208,652,770",0.51,"57,934,610",52.58
2011Q3,"284,775",7.30,"66,890",-0.65,"1,154,329,203",4.74,"73,310",32.12,"365,320,800",31.73,"6,634",-39.35,"96,019,989",-36.22,53,-23.19,"136,000",-86.86,335,12.04,"7,148,000",21.83,0,--,"56,209,487",41.44
2011Q4,"310,502",13.48,"74,295",7.16,"1,259,589,906",10.81,"199,420",31.34,"1,008,242,707",34.17,"6,593",-41.10,"95,542,119",-39.02,"9,084",73.29,"38,756,000",98.86,352,11.75,"7,436,240",21.43,"89,169,445",-17.90,"44,290,063",-10.77
2012Q1,"300,128",21.55,"75,732",21.34,"1,433,495,192",37.18,"129,865",24.29,"750,748,300",41.70,"6,448",-39.24,"96,786,066",-34.14,262,--,"430,410",--,404,19.88,"8,220,825",29.85,0,--,"47,532,670",147.85
2012Q2,"341,709",22.63,"82,842",23.11,"1,609,712,880",40.97,"170,378",43.25,"1,023,802,668",67.99,"6,838",-36.41,"103,848,327",-30.81,"10,074",60.26,"38,849,410",124.56,461,12.44,"8,525,200",0.68,"241,101,301",15.55,"69,381,322",19.76
2012Q3,"328,231",15.26,"83,102",24.24,"1,574,189,185",36.37,"84,079",14.69,"495,979,125",35.77,"7,320",10.34,"109,259,693",13.79,6,-88.68,"22,000",-83.82,525,56.72,"10,336,730",44.61,0,--,"39,159,922",-30.33
2012Q4,"346,336",11.54,"85,490",15.07,"1,637,279,788",29.99,"214,293",7.46,"1,262,782,499",25.25,"7,015",6.40,"105,341,815",10.26,"10,143",11.66,"31,026,000",-19.95,514,46.02,"9,280,350",24.80,"120,213,952",34.82,"69,183,385",56.21
2013Q1,"323,565",7.81,"83,598",10.39,"1,558,212,561",8.70,"155,422",19.68,"917,107,300",22.16,"6,623",2.71,"99,572,359",2.88,38,-85.50,"128,000",-70.26,657,62.62,"14,244,100",73.27,0,--,"43,480,759",-8.52
2013Q2,"361,397",5.76,"90,852",9.67,"1,688,071,349",4.87,"187,420",10.00,"1,103,999,424",7.83,"6,784",-0.79,"97,687,803",-5.93,"14,477",43.71,"40,014,000",3.00,766,66.16,"15,460,400",81.35,"312,854,214",29.76,"43,122,245",-37.85
2013Q3,"330,320",0.64,"88,546",6.55,"1,592,236,182",1.15,"113,071",34.48,"666,993,100",34.48,"6,722",-8.17,"98,262,134",-10.07,20,233.33,"71,000",222.73,714,36.00,"14,345,979",38.79,0,--,"51,754,405",32.16
2013Q4,"345,688",-0.19,"89,856",5.11,"1,650,655,473",0.82,"239,111",11.58,"1,409,759,200",11.64,"6,800",-3.06,"103,189,664",-2.04,"13,946",37.49,"42,182,000",35.96,737,43.39,"14,696,009",58.36,"304,586,897",153.37,"53,802,706",-22.23
2014Q1,"317,059",-2.01,"85,559",2.35,"1,540,520,056",-1.14,"162,729",4.70,"959,701,200",4.64,"6,045",-8.73,"91,252,523",-8.36,"2,286","5,915.79","5,189,000","3,953.91",882,34.25,"17,198,400",20.74,0,--,"48,879,643",12.42
2014Q2,"335,699",-7.11,"88,256",-2.86,"1,604,953,351",-4.92,"184,111",-1.77,"1,085,948,000",-1.64,"11,608",71.11,"180,765,600",85.04,"15,736",8.70,"44,276,000",10.65,826,7.83,"15,173,440",-1.86,"368,474,226",17.78,"56,040,602",29.96
