期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
1999M06,"12,270,650",7.66,"4,141,538",3.47,"1,285,208",5.23,"664,905",10.65,"1,254,490",8.11,"4,924,509",11.62
1999M07,"12,188,569",7.41,"4,070,140",3.25,"1,273,902",4.44,"665,199",10.77,"1,248,032",7.14,"4,931,296",11.55
1999M08,"12,139,604",6.52,"4,005,830",1.53,"1,291,597",5.16,"675,452",11.37,"1,266,989",7.83,"4,899,736",10.32
1999M09,"12,247,407",6.29,"4,081,892",3.08,"1,319,736",5.76,"668,394",8.39,"1,273,448",6.70,"4,903,937",8.87
1999M10,"12,195,975",6.21,"4,029,550",3.95,"1,302,076",2.84,"673,566",9.17,"1,280,115",6.95,"4,910,668",8.48
1999M11,"12,345,489",5.16,"4,145,402",2.87,"1,305,827",-0.71,"684,220",9.59,"1,291,241",6.99,"4,918,799",7.79
1999M12,"12,537,233",6.29,"4,209,736",4.32,"1,354,410",3.23,"703,632",11.26,"1,305,794",8.33,"4,963,661",7.65
2000M01,"12,585,364",5.99,"4,230,947",6.38,"1,328,676",0.23,"729,565",12.51,"1,313,745",6.04,"4,982,431",6.36
2000M02,"12,589,621",5.52,"4,215,808",4.95,"1,327,682",1.03,"745,460",14.91,"1,309,077",5.89,"4,991,594",5.87
2000M03,"12,677,528",6.21,"4,252,995",6.50,"1,349,288",3.31,"771,687",13.79,"1,315,204",9.49,"4,988,354",4.86
2000M04,"12,703,727",6.02,"4,261,682",6.57,"1,345,593",4.42,"774,233",19.21,"1,314,649",5.46,"5,007,570",4.35
2000M05,"12,773,854",6.24,"4,309,136",7.39,"1,347,819",5.44,"783,591",19.98,"1,294,857",3.85,"5,038,451",4.25
2000M06,"12,898,802",5.12,"4,374,477",5.62,"1,358,509",5.70,"798,631",20.11,"1,316,349",4.93,"5,050,836",2.57
2000M07,"12,947,063",6.22,"4,370,977",7.39,"1,368,800",7.45,"816,365",22.72,"1,311,111",5.05,"5,079,810",3.01
2000M08,"12,895,221",6.22,"4,313,182",7.67,"1,352,191",4.69,"826,524",22.37,"1,311,397",3.51,"5,091,927",3.92
2000M09,"12,955,705",5.78,"4,326,303",5.99,"1,358,872",2.97,"840,595",25.76,"1,312,577",3.07,"5,117,358",4.35
2000M10,"13,062,344",7.10,"4,321,734",7.25,"1,395,527",7.18,"873,227",29.64,"1,319,189",3.05,"5,152,667",4.93
2000M11,"13,095,564",6.08,"4,249,765",2.52,"1,429,700",9.49,"912,727",33.40,"1,328,120",2.86,"5,175,252",5.21
2000M12,"13,295,437",6.05,"4,212,075",0.06,"1,431,385",5.68,"970,727",37.96,"1,407,817",7.81,"5,273,433",6.24
2001M01,"13,226,153",5.09,"4,098,336",-3.13,"1,423,660",7.15,"955,819",31.01,"1,457,280",10.93,"5,291,058",6.19
2001M02,"13,134,795",4.33,"4,030,169",-4.40,"1,412,427",6.38,"959,209",28.67,"1,453,654",11.04,"5,279,336",5.76
2001M03,"13,141,537",3.66,"4,011,582",-5.68,"1,412,299",4.67,"979,566",26.94,"1,453,587",10.52,"5,284,503",5.94
2001M04,"13,041,731",2.66,"3,931,234",-7.75,"1,404,480",4.38,"985,930",27.34,"1,441,381",9.64,"5,278,706",5.41
2001M05,"12,985,720",1.66,"3,864,807",-10.31,"1,406,825",4.38,"991,615",26.55,"1,446,163",11.69,"5,276,310",4.72
2001M06,"13,078,217",1.39,"3,923,013",-10.32,"1,417,738",4.36,"1,005,172",25.86,"1,434,491",8.97,"5,297,803",4.89
2001M07,"13,032,408",0.66,"3,895,732",-10.87,"1,429,440",4.43,"994,717",21.85,"1,437,949",9.67,"5,274,570",3.83
2001M08,"12,858,742",-0.28,"3,800,063",-11.90,"1,423,421",5.27,"1,015,495",22.86,"1,411,250",7.61,"5,208,513",2.29
2001M09,"12,941,194",-0.11,"3,813,550",-11.85,"1,445,473",6.37,"1,043,535",24.14,"1,427,516",8.76,"5,211,120",1.83
2001M10,"12,843,074",-1.68,"3,789,384",-12.32,"1,435,460",2.86,"1,049,495",20.19,"1,395,240",5.76,"5,173,495",0.40
2001M11,"12,789,108",-2.34,"3,767,929",-11.34,"1,444,663",1.05,"1,062,897",16.45,"1,355,388",2.05,"5,158,231",-0.33
2001M12,"13,094,597",-1.51,"3,934,022",-6.60,"1,459,667",1.98,"1,091,184",12.41,"1,376,372",-2.23,"5,233,352",-0.76
2002M01,"13,007,393",-1.65,"3,841,333",-6.27,"1,433,902",0.72,"1,091,180",14.16,"1,421,936",-2.43,"5,219,042",-1.36
2002M02,"12,919,598",-1.64,"3,803,191",-5.63,"1,400,101",-0.87,"1,102,254",14.91,"1,402,541",-3.52,"5,211,511",-1.28
2002M03,"12,802,650",-2.58,"3,702,774",-7.70,"1,333,589",-5.57,"1,105,996",12.91,"1,433,231",-1.40,"5,227,060",-1.09
2002M04,"12,807,741",-1.79,"3,713,439",-5.54,"1,317,236",-6.21,"1,110,470",12.63,"1,409,686",-2.20,"5,256,910",-0.41
2002M05,"12,734,970",-1.93,"3,698,919",-4.29,"1,311,108",-6.80,"1,114,232",12.37,"1,394,048",-3.60,"5,216,663",-1.13
2002M06,"12,762,660",-2.41,"3,676,466",-6.28,"1,325,915",-6.48,"1,133,112",12.73,"1,404,647",-2.08,"5,222,520",-1.42
2002M07,"12,675,978",-2.73,"3,647,642",-6.37,"1,333,128",-6.74,"1,123,494",12.95,"1,367,867",-4.87,"5,203,847",-1.34
2002M08,"12,702,760",-1.21,"3,700,718",-2.61,"1,340,846",-5.80,"1,121,445",10.43,"1,364,377",-3.32,"5,175,374",-0.64
2002M09,"12,739,383",-1.56,"3,696,791",-3.06,"1,369,231",-5.27,"1,161,403",11.30,"1,359,457",-4.77,"5,152,501",-1.12
2002M10,"12,656,153",-1.46,"3,668,318",-3.19,"1,350,362",-5.93,"1,169,565",11.44,"1,341,210",-3.87,"5,126,698",-0.90
2002M11,"12,666,824",-0.96,"3,654,695",-3.01,"1,332,373",-7.77,"1,183,429",11.34,"1,329,873",-1.88,"5,166,454",0.16
2002M12,"12,872,922",-1.69,"3,743,088",-4.85,"1,358,111",-6.96,"1,221,481",11.94,"1,336,703",-2.88,"5,213,539",-0.38
2003M01,"12,847,078",-1.23,"3,704,589",-3.56,"1,323,130",-7.73,"1,211,019",10.98,"1,345,893",-5.35,"5,262,447",0.83
2003M02,"12,810,141",-0.85,"3,688,866",-3.01,"1,311,583",-6.32,"1,209,390",9.72,"1,338,177",-4.59,"5,262,125",0.97
2003M03,"12,747,154",-0.43,"3,680,346",-0.61,"1,277,329",-4.22,"1,188,065",7.42,"1,339,817",-6.52,"5,261,597",0.66
2003M04,"12,800,232",-0.06,"3,738,213",0.67,"1,268,843",-3.67,"1,212,849",9.22,"1,327,666",-5.82,"5,252,661",-0.08
2003M05,"12,811,317",0.60,"3,768,941",1.89,"1,269,508",-3.17,"1,203,116",7.98,"1,288,522",-7.57,"5,281,230",1.24
2003M06,"13,018,637",2.01,"3,881,476",5.58,"1,316,847",-0.68,"1,226,543",8.25,"1,274,150",-9.29,"5,319,621",1.86
2003M07,"12,956,446",2.21,"3,835,732",5.16,"1,306,971",-1.96,"1,220,061",8.60,"1,240,612",-9.30,"5,353,070",2.87
2003M08,"12,977,910",2.17,"3,853,916",4.14,"1,352,388",0.86,"1,214,707",8.32,"1,207,533",-11.50,"5,349,366",3.36
2003M09,"13,086,452",2.72,"3,908,154",5.72,"1,337,981",-2.28,"1,214,017",4.53,"1,251,466",-7.94,"5,374,834",4.32
2003M10,"13,055,303",3.15,"3,875,752",5.65,"1,325,153",-1.87,"1,214,007",3.80,"1,232,957",-8.07,"5,407,434",5.48
2003M11,"13,202,942",4.23,"4,005,749",9.61,"1,348,660",1.22,"1,211,296",2.35,"1,239,420",-6.80,"5,397,817",4.48
2003M12,"13,504,740",4.91,"4,103,415",9.63,"1,397,741",2.92,"1,268,431",3.84,"1,267,120",-5.21,"5,468,033",4.88
2004M01,"13,557,171",5.53,"3,961,104",6.92,"1,430,678",8.13,"1,351,176",11.57,"1,306,723",-2.91,"5,507,490",4.66
2004M02,"13,636,398",6.45,"3,957,964",7.29,"1,459,878",11.31,"1,374,612",13.66,"1,311,538",-1.99,"5,532,406",5.14
2004M03,"13,746,522",7.84,"3,930,839",6.81,"1,485,045",16.26,"1,365,234",14.91,"1,360,267",1.53,"5,605,137",6.53
2004M04,"13,891,515",8.53,"3,990,877",6.76,"1,539,340",21.32,"1,376,274",13.47,"1,365,362",2.84,"5,619,662",6.99
2004M05,"14,097,001",10.04,"4,040,863",7.21,"1,631,489",28.51,"1,408,744",17.09,"1,346,659",4.51,"5,669,246",7.35
2004M06,"14,144,940",8.65,"4,009,514",3.30,"1,690,965",28.41,"1,424,701",16.16,"1,318,406",3.47,"5,701,353",7.18
2004M07,"14,216,853",9.73,"4,045,694",5.47,"1,719,824",31.59,"1,440,458",18.06,"1,292,720",4.20,"5,718,157",6.82
2004M08,"14,263,503",9.91,"4,013,986",4.15,"1,747,259",29.20,"1,455,566",19.83,"1,303,168",7.92,"5,743,525",7.37
2004M09,"14,334,628",9.54,"3,978,316",1.80,"1,811,631",35.40,"1,484,050",22.24,"1,288,576",2.97,"5,772,055",7.39
2004M10,"14,378,043",10.13,"3,979,664",2.68,"1,833,001",38.32,"1,488,566",22.62,"1,315,699",6.71,"5,761,112",6.54
2004M11,"14,607,097",10.64,"4,018,615",0.32,"1,916,685",42.12,"1,539,128",27.06,"1,328,613",7.20,"5,804,056",7.53
2004M12,"14,862,514",10.05,"3,981,130",-2.98,"2,072,043",48.24,"1,560,950",23.06,"1,356,796",7.08,"5,891,595",7.75
2005M01,"14,865,789",9.65,"3,901,601",-1.50,"2,114,744",47.81,"1,569,351",16.15,"1,359,110",4.01,"5,920,983",7.51
2005M02,"14,913,350",9.36,"3,872,106",-2.17,"2,131,665",46.02,"1,604,859",16.75,"1,358,888",3.61,"5,945,831",7.47
2005M03,"15,130,497",10.07,"3,916,734",-0.36,"2,194,972",47.81,"1,620,520",18.70,"1,388,249",2.06,"6,010,023",7.22
2005M04,"15,108,676",8.76,"3,844,938",-3.66,"2,196,966",42.72,"1,633,685",18.70,"1,396,833",2.30,"6,036,254",7.41
2005M05,"15,283,823",8.42,"3,889,949",-3.73,"2,247,764",37.77,"1,647,367",16.94,"1,409,748",4.68,"6,088,994",7.40
2005M06,"15,439,755",9.15,"3,933,891",-1.89,"2,281,650",34.93,"1,661,672",16.63,"1,431,587",8.58,"6,129,799",7.51
2005M07,"15,438,195",8.59,"3,907,332",-3.42,"2,264,239",31.66,"1,648,518",14.44,"1,444,940",11.78,"6,173,166",7.96
2005M08,"15,498,318",8.66,"3,904,060",-2.74,"2,267,742",29.79,"1,657,162",13.85,"1,453,388",11.53,"6,215,966",8.23
2005M09,"15,693,025",9.48,"3,998,848",0.52,"2,331,330",28.69,"1,669,273",12.48,"1,447,407",12.33,"6,246,168",8.21
2005M10,"15,631,581",8.72,"3,896,702",-2.08,"2,331,373",27.19,"1,677,943",12.72,"1,450,131",10.22,"6,275,432",8.93
2005M11,"15,778,699",8.02,"3,948,575",-1.74,"2,357,785",23.01,"1,690,573",9.84,"1,455,809",9.57,"6,325,957",8.99
2005M12,"16,098,378",8.32,"4,136,839",3.91,"2,421,215",16.85,"1,695,204",8.60,"1,483,174",9.31,"6,361,946",7.98
2006M01,"16,173,181",8.79,"4,131,643",5.90,"2,425,707",14.70,"1,703,632",8.56,"1,474,624",8.50,"6,437,575",8.72
2006M02,"16,174,133",8.45,"4,160,049",7.44,"2,423,616",13.70,"1,683,838",4.92,"1,465,174",7.82,"6,441,456",8.34
2006M03,"16,146,052",6.71,"4,116,082",5.09,"2,380,276",8.44,"1,691,825",4.40,"1,476,231",6.34,"6,481,639",7.85
2006M04,"16,157,925",6.94,"4,112,915",6.97,"2,370,977",7.92,"1,684,466",3.11,"1,457,800",4.36,"6,531,766",8.21
2006M05,"16,258,311",6.38,"4,167,254",7.13,"2,339,312",4.07,"1,696,232",2.97,"1,472,968",4.48,"6,582,545",8.11
2006M06,"16,280,713",5.45,"4,130,895",5.01,"2,339,953",2.56,"1,704,025",2.55,"1,479,071",3.32,"6,626,769",8.11
2006M07,"16,169,536",4.74,"4,019,905",2.88,"2,269,050",0.21,"1,689,708",2.50,"1,485,790",2.83,"6,705,083",8.62
2006M08,"16,169,445",4.33,"3,987,863",2.15,"2,131,846",-5.99,"1,705,097",2.89,"1,565,703",7.73,"6,778,936",9.06
2006M09,"16,257,758",3.60,"4,053,624",1.37,"2,158,160",-7.43,"1,676,412",0.43,"1,558,995",7.71,"6,810,567",9.04
2006M10,"16,258,424",4.01,"4,042,761",3.75,"2,149,798",-7.79,"1,666,051",-0.71,"1,561,930",7.71,"6,837,884",8.96
2006M11,"16,314,402",3.40,"4,060,836",2.84,"2,147,908",-8.90,"1,672,943",-1.04,"1,525,436",4.78,"6,907,279",9.19
2006M12,"16,501,113",2.50,"4,107,899",-0.70,"2,172,206",-10.28,"1,673,681",-1.27,"1,578,970",6.46,"6,968,358",9.53
2007M01,"16,565,127",2.42,"4,122,046",-0.23,"2,191,693",-9.65,"1,676,761",-1.58,"1,553,939",5.38,"7,020,687",9.06
2007M02,"16,645,515",2.91,"4,177,877",0.43,"2,190,497",-9.62,"1,674,383",-0.56,"1,545,389",5.47,"7,057,369",9.56
2007M03,"16,644,077",3.08,"4,215,456",2.41,"2,180,786",-8.38,"1,636,792",-3.25,"1,529,346",3.60,"7,081,698",9.26
2007M04,"16,664,719",3.14,"4,257,742",3.52,"2,132,050",-10.08,"1,609,344",-4.46,"1,536,369",5.39,"7,129,215",9.15
2007M05,"16,698,934",2.71,"4,284,779",2.82,"2,126,417",-9.10,"1,579,019",-6.91,"1,513,640",2.76,"7,195,078",9.31
2007M06,"16,685,247",2.48,"4,237,152",2.57,"2,148,764",-8.17,"1,567,122",-8.03,"1,503,774",1.67,"7,228,435",9.08
2007M07,"16,764,536",3.68,"4,280,161",6.47,"2,139,049",-5.73,"1,564,994",-7.38,"1,466,016",-1.33,"7,314,315",9.09
2007M08,"16,745,740",3.56,"4,194,129",5.17,"2,170,477",1.81,"1,561,212",-8.44,"1,462,531",-6.59,"7,357,391",8.53
2007M09,"16,818,155",3.45,"4,257,285",5.02,"2,164,775",0.31,"1,569,538",-6.38,"1,444,498",-7.34,"7,382,059",8.39
2007M10,"16,779,098",3.20,"4,212,027",4.19,"2,159,815",0.47,"1,565,269",-6.05,"1,451,904",-7.04,"7,390,084",8.08
2007M11,"16,772,693",2.81,"4,177,258",2.87,"2,163,138",0.71,"1,557,770",-6.88,"1,451,920",-4.82,"7,422,607",7.46
2007M12,"16,944,572",2.69,"4,168,569",1.48,"2,238,676",3.06,"1,561,930",-6.68,"1,485,797",-5.90,"7,489,600",7.48
2008M01,"17,018,645",2.74,"4,231,316",2.65,"2,211,734",0.91,"1,580,357",-5.75,"1,469,393",-5.44,"7,525,846",7.20
2008M02,"16,984,176",2.03,"4,224,981",1.13,"2,184,582",-0.27,"1,589,580",-5.06,"1,458,350",-5.63,"7,526,683",6.65
2008M03,"17,041,086",2.39,"4,297,470",1.95,"2,149,245",-1.45,"1,590,485",-2.83,"1,452,620",-5.02,"7,551,266",6.63
2008M04,"17,038,160",2.24,"4,303,881",1.08,"2,124,735",-0.34,"1,584,986",-1.51,"1,435,429",-6.57,"7,589,129",6.45
2008M05,"17,140,426",2.64,"4,386,895",2.38,"2,095,459",-1.46,"1,584,881",0.37,"1,437,699",-5.02,"7,635,492",6.12
2008M06,"17,241,592",3.33,"4,424,729",4.43,"2,093,540",-2.57,"1,602,937",2.29,"1,439,340",-4.28,"7,681,046",6.26
2008M07,"17,310,048",3.25,"4,429,832",3.50,"2,144,994",0.28,"1,608,411",2.77,"1,412,498",-3.65,"7,714,313",5.47
2008M08,"17,302,581",3.33,"4,441,982",5.91,"2,119,921",-2.33,"1,601,379",2.57,"1,418,655",-3.00,"7,720,643",4.94
2008M09,"17,399,432",3.46,"4,473,518",5.08,"2,153,741",-0.51,"1,628,630",3.76,"1,418,672",-1.79,"7,724,871",4.64
2008M10,"17,483,391",4.20,"4,503,624",6.92,"2,129,851",-1.39,"1,671,488",6.79,"1,469,999",1.25,"7,708,429",4.31
2008M11,"17,472,797",4.17,"4,382,961",4.92,"2,135,164",-1.29,"1,683,047",8.04,"1,536,152",5.80,"7,735,473",4.22
2008M12,"17,378,376",2.56,"4,224,240",1.34,"2,162,731",-3.39,"1,672,067",7.05,"1,559,137",4.94,"7,760,201",3.61
2009M01,"17,262,703",1.43,"4,135,515",-2.26,"2,133,019",-3.56,"1,673,569",5.90,"1,553,871",5.75,"7,766,729",3.20
2009M02,"17,061,257",0.45,"3,935,783",-6.84,"2,185,838",0.06,"1,636,669",2.96,"1,553,374",6.52,"7,749,593",2.96
2009M03,"17,010,372",-0.18,"3,900,495",-9.24,"2,139,411",-0.46,"1,646,683",3.53,"1,565,044",7.74,"7,758,740",2.75
2009M04,"16,991,459",-0.27,"3,875,168",-9.96,"2,095,136",-1.39,"1,659,421",4.70,"1,574,657",9.70,"7,787,077",2.61
2009M05,"16,968,121",-1.01,"3,853,624",-12.16,"2,072,223",-1.11,"1,649,801",4.10,"1,568,509",9.10,"7,823,964",2.47
2009M06,"17,011,706",-1.33,"3,848,613",-13.02,"2,069,301",-1.16,"1,643,674",2.54,"1,585,915",10.18,"7,864,203",2.38
2009M07,"17,043,005",-1.54,"3,895,138",-12.07,"2,014,857",-6.07,"1,620,057",0.72,"1,600,417",13.30,"7,912,536",2.57
2009M08,"17,154,480",-0.86,"3,980,089",-10.40,"2,001,967",-5.56,"1,600,702",-0.04,"1,607,847",13.34,"7,963,875",3.15
2009M09,"17,195,367",-1.17,"3,959,139",-11.50,"2,020,245",-6.20,"1,611,217",-1.07,"1,611,325",13.58,"7,993,441",3.48
2009M10,"17,121,968",-2.07,"3,888,326",-13.66,"1,966,980",-7.65,"1,620,743",-3.04,"1,613,836",9.78,"8,032,083",4.20
2009M11,"17,256,926",-1.24,"3,931,424",-10.30,"2,035,881",-4.65,"1,611,140",-4.27,"1,613,100",5.01,"8,065,381",4.26
2009M12,"17,554,377",1.01,"4,011,212",-5.04,"2,201,291",1.78,"1,642,852",-1.75,"1,582,976",1.53,"8,116,046",4.59
2010M01,"17,603,328",1.97,"4,003,013",-3.20,"2,202,864",3.27,"1,685,931",0.74,"1,572,669",1.21,"8,138,851",4.79
2010M02,"17,600,986",3.16,"4,011,251",1.92,"2,169,534",-0.75,"1,692,028",3.38,"1,566,922",0.87,"8,161,251",5.31
2010M03,"17,558,910",3.22,"3,944,614",1.13,"2,204,627",3.05,"1,703,639",3.46,"1,505,380",-3.81,"8,200,650",5.70
2010M04,"17,656,681",3.92,"4,039,608",4.24,"2,167,878",3.47,"1,719,720",3.63,"1,492,959",-5.19,"8,236,516",5.77
2010M05,"17,876,975",5.36,"4,187,837",8.67,"2,164,736",4.46,"1,744,580",5.74,"1,470,247",-6.26,"8,309,575",6.21
2010M06,"17,946,273",5.49,"4,202,616",9.20,"2,161,112",4.44,"1,753,250",6.67,"1,489,738",-6.06,"8,339,557",6.04
2010M07,"18,075,185",6.06,"4,313,622",10.74,"2,152,572",6.83,"1,774,503",9.53,"1,465,899",-8.41,"8,368,589",5.76
2010M08,"18,244,615",6.35,"4,370,121",9.80,"2,217,836",10.78,"1,819,461",13.67,"1,460,921",-9.14,"8,376,276",5.18
2010M09,"18,269,525",6.25,"4,331,739",9.41,"2,242,810",11.02,"1,836,594",13.99,"1,460,487",-9.36,"8,397,895",5.06
2010M10,"18,352,039",7.18,"4,447,081",14.37,"2,190,978",11.39,"1,813,529",11.89,"1,483,830",-8.06,"8,416,621",4.79
2010M11,"18,430,201",6.80,"4,463,271",13.53,"2,173,493",6.76,"1,862,680",15.61,"1,478,330",-8.35,"8,452,427",4.80
2010M12,"18,735,529",6.73,"4,419,736",10.18,"2,421,110",9.99,"1,869,810",13.81,"1,483,558",-6.28,"8,541,315",5.24
2011M01,"19,067,816",8.32,"4,623,754",15.51,"2,498,256",13.41,"1,884,566",11.78,"1,469,881",-6.54,"8,591,359",5.56
2011M02,"19,084,320",8.43,"4,578,895",14.15,"2,519,098",16.11,"1,902,671",12.45,"1,490,779",-4.86,"8,592,877",5.29
2011M03,"19,132,331",8.96,"4,581,736",16.15,"2,505,235",13.64,"1,926,977",13.11,"1,497,384",-0.53,"8,620,999",5.13
2011M04,"19,173,644",8.59,"4,637,589",14.80,"2,450,564",13.04,"1,928,809",12.16,"1,495,641",0.18,"8,661,041",5.15
2011M05,"19,322,496",8.09,"4,817,664",15.04,"2,389,811",10.40,"1,942,146",11.32,"1,486,672",1.12,"8,686,203",4.53
2011M06,"19,333,013",7.73,"4,777,799",13.69,"2,388,389",10.52,"1,982,244",13.06,"1,493,078",0.22,"8,691,503",4.22
2011M07,"19,438,129",7.54,"4,887,509",13.30,"2,336,166",8.53,"1,994,995",12.43,"1,477,357",0.78,"8,742,102",4.46
2011M08,"19,649,421",7.70,"4,913,073",12.42,"2,446,706",10.32,"2,029,487",11.54,"1,504,282",2.97,"8,755,873",4.53
2011M09,"19,719,780",7.94,"4,873,286",12.50,"2,455,103",9.47,"2,088,343",13.71,"1,524,669",4.39,"8,778,379",4.53
2011M10,"19,703,687",7.37,"4,863,685",9.37,"2,444,017",11.55,"2,079,672",14.68,"1,525,368",2.80,"8,790,945",4.45
2011M11,"19,735,697",7.08,"4,915,891",10.14,"2,409,491",10.86,"2,065,985",10.91,"1,536,237",3.92,"8,808,093",4.21
2011M12,"19,819,265",5.78,"4,781,346",8.18,"2,492,990",2.97,"2,110,223",12.86,"1,596,252",7.60,"8,838,454",3.48
2012M01,"19,958,028",4.67,"4,820,191",4.25,"2,562,389",2.57,"2,115,231",12.24,"1,623,028",10.42,"8,837,189",2.86
2012M02,"19,960,777",4.59,"4,823,268",5.34,"2,588,744",2.76,"2,117,372",11.28,"1,621,626",8.78,"8,809,767",2.52
2012M03,"20,018,297",4.63,"4,772,448",4.16,"2,653,334",5.91,"2,135,645",10.83,"1,626,092",8.60,"8,830,778",2.43
2012M04,"20,078,705",4.72,"4,763,911",2.72,"2,703,890",10.34,"2,088,674",8.29,"1,646,826",10.11,"8,875,404",2.48
2012M05,"20,090,724",3.98,"4,739,859",-1.61,"2,714,632",13.59,"2,072,409",6.71,"1,649,425",10.95,"8,914,399",2.63
2012M06,"19,907,754",2.97,"4,535,035",-5.08,"2,674,818",11.99,"2,083,160",5.09,"1,653,550",10.75,"8,961,191",3.10
2012M07,"20,067,640",3.24,"4,695,775",-3.92,"2,625,457",12.38,"2,065,578",3.54,"1,663,713",12.61,"9,017,117",3.15
2012M08,"20,074,680",2.16,"4,690,668",-4.53,"2,603,102",6.39,"2,071,410",2.07,"1,671,865",11.14,"9,037,635",3.22
2012M09,"20,094,454",1.90,"4,685,050",-3.86,"2,605,386",6.12,"2,067,576",-0.99,"1,669,893",9.52,"9,066,549",3.28
2012M10,"20,182,829",2.43,"4,819,102",-0.92,"2,545,932",4.17,"2,069,978",-0.47,"1,659,071",8.77,"9,088,746",3.39
2012M11,"20,135,286",2.02,"4,779,533",-2.77,"2,526,000",4.84,"2,055,843",-0.49,"1,659,430",8.02,"9,114,480",3.48
