期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%)
1997,"138,577",-24.57,"75,564",196.71,"392,118",56.57,"111,200",-39.47,"38,415",50.84,"323,228",29.06,"27,377",...,"37,149",...,"68,890",...
1998,"283,918",104.88,"64,683",-14.40,"611,355",55.91,"234,560",110.94,"38,853",1.14,"518,935",60.55,"49,358",80.29,"25,830",-30.47,"92,420",34.16
1999,"173,440",-38.91,"96,849",49.73,"687,945",12.53,"137,510",-41.38,"66,296",70.63,"590,149",13.72,"35,930",-27.21,"30,553",18.28,"97,796",5.82
2000,"227,340",31.08,"116,314",20.10,"798,972",16.14,"181,244",31.80,"64,089",-3.33,"707,304",19.85,"46,096",28.29,"52,225",70.93,"91,668",-6.27
2001,"317,038",39.46,"104,879",-9.83,"1,011,133",26.55,"198,049",9.27,"96,831",51.09,"808,522",14.31,"118,989",158.13,"8,048",-84.59,"202,611",121.03
2002,"499,778",57.64,"126,372",20.49,"1,384,540",36.93,"285,765",44.29,"87,050",-10.10,"1,007,237",24.58,"214,013",79.86,"39,322",388.59,"377,303",86.22
2003,"461,359",-7.69,"127,758",1.10,"1,718,140",24.09,"278,880",-2.41,"109,203",25.45,"1,176,914",16.85,"182,479",-14.73,"18,555",-52.81,"541,226",43.45
2004,"449,716",-2.52,"243,212",90.37,"1,924,645",12.02,"231,448",-17.01,"192,768",76.52,"1,215,594",3.29,"218,268",19.61,"50,444",171.86,"709,051",31.01
2005,"335,191",-25.47,"256,721",5.55,"2,003,115",4.08,"203,947",-11.88,"227,618",18.08,"1,191,923",-1.95,"131,244",-39.87,"29,103",-42.31,"811,192",14.41
2006,"402,586",20.11,"328,337",27.90,"2,077,363",3.71,"230,130",12.84,"270,605",18.89,"1,151,448",-3.40,"172,456",31.40,"57,732",98.37,"925,915",14.14
2007,"355,148",-11.78,"410,559",25.04,"2,021,951",-2.67,"162,918",-29.21,"209,508",-22.58,"1,104,858",-4.05,"192,530",11.64,"201,051",248.25,"917,393",-0.92
2008,"448,444",26.27,"434,603",5.86,"2,035,045",0.65,"287,275",76.33,"253,119",20.82,"1,139,014",3.09,"161,169",-16.29,"181,484",-9.73,"896,031",-2.33
2009,"302,547",-32.53,"388,203",-10.68,"1,949,389",-4.21,"203,880",-29.03,"205,955",-18.63,"1,136,939",-0.18,"98,667",-38.78,"182,248",0.42,"812,450",-9.33
2010,"488,195",61.36,"419,602",8.09,"2,017,981",3.52,"329,721",61.72,"264,456",28.40,"1,202,204",5.74,"158,474",60.61,"155,146",-14.87,"815,777",0.41
2011,"591,201",21.10,"357,722",-14.75,"2,251,458",11.57,"396,617",20.29,"247,788",-6.30,"1,351,033",12.38,"194,584",22.79,"109,934",-29.14,"900,425",10.38
2012,"662,852",12.12,"272,670",-23.78,"2,641,638",17.33,"482,478",21.65,"213,988",-13.64,"1,619,523",19.87,"180,374",-7.30,"58,682",-46.62,"1,022,115",13.51
2013,"576,265",-13.06,"322,783",18.38,"2,895,120",9.60,"466,001",-3.42,"220,191",2.90,"1,865,333",15.18,"110,264",-38.87,"102,592",74.83,"1,029,787",0.75
