期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2000M06,"856,094",5.96,"661,312",12.87,"147,802",0.95,"28,880",-31.32,"4,810",-48.99,"12,990",-41.55,300,-84.29,-,-
2000M07,"731,932",-7.62,"515,758",-2.96,"147,709",-15.38,"33,160",-19.40,"10,610",-42.89,"21,945",-16.17,"2,750",587.50,-,-
2000M08,"845,646",5.94,"596,287",22.10,"192,055",2.37,"25,105",-65.52,"10,100",-44.15,"20,999",-28.55,"1,100",-43.88,-,-
2000M09,"977,457",79.71,"677,244",124.25,"232,201",62.47,"30,500",-38.34,"11,250",1.99,"25,112",-33.79,"1,150",105.36,-,-
2000M10,"784,463",37.15,"347,928",2.49,"341,870",194.03,"60,205",11.24,"9,220",-32.18,"20,990",-48.81,"4,250",-43.52,-,-
2000M11,"906,393",50.71,"560,302",48.07,"255,872",125.84,"56,145",38.56,"8,500",-58.68,"18,224",-56.29,"7,350",6.29,-,-
2000M12,"1,608,022",122.86,"1,275,548",155.97,"249,020",96.08,"52,722",51.53,"2,910",-80.92,"18,390",-51.16,"9,432",10.44,-,-
2001M01,"1,067,778",139.48,"741,775",136.04,"219,411",208.24,"68,147",281.84,"17,185",107.75,"19,860",-35.18,"1,400",-61.94,-,-
2001M02,"932,179",103.88,"559,823",65.14,"318,041",379.79,"37,252",53.33,"3,046",-37.33,"13,127",-30.99,890,-76.23,-,-
2001M03,"1,140,008",59.89,"611,671",23.92,"449,581",272.19,"58,556",55.23,"4,930",-40.42,"13,870",-63.35,"1,400",-90.51,-,-
2001M04,"813,252",61.29,"326,019",-1.03,"359,404",241.39,"64,409",215.30,"9,610",9.89,"37,170",4.20,"16,640",254.04,-,-
2001M05,"1,038,905",47.27,"494,921",-5.38,"420,921",208.21,"87,836",308.63,"10,622",323.19,"19,855",-2.19,"4,750",220.95,-,-
2001M06,"1,117,447",30.53,"443,414",-32.95,"464,688",214.40,"135,258",368.34,"46,876",874.55,"25,961",99.85,"1,250",316.67,-,-
2001M07,"1,036,338",41.59,"424,324",-17.73,"399,948",170.77,"134,157",304.57,"28,540",168.99,"43,749",99.36,"5,620",104.36,-,-
2001M08,"834,432",-1.33,"467,214",-21.65,"268,600",39.86,"75,096",199.13,"11,631",15.16,"11,591",-44.80,300,-72.73,-,-
2001M09,"868,708",-11.13,"448,287",-33.81,"351,328",51.30,"57,170",87.44,"5,500",-51.11,"5,823",-76.81,600,-47.83,-,-
2001M10,"943,543",20.28,"492,440",41.54,"335,913",-1.74,"69,764",15.88,"17,255",87.15,"15,671",-25.34,"12,500",194.12,-,-
2001M11,"864,597",-4.61,"462,746",-17.41,"307,374",20.13,"69,035",22.96,"10,071",18.48,"9,721",-46.66,"5,650",-23.13,-,-
2001M12,"835,476",-48.04,"510,788",-59.96,"258,532",3.82,"47,120",-10.63,"12,865",342.10,"4,071",-77.86,"2,100",-77.74,-,-
2002M01,"930,841",-12.82,"582,824",-21.43,"264,332",20.47,"40,667",-40.32,"19,067",10.95,"22,081",11.18,"1,870",33.57,-,-
2002M02,"464,227",-50.20,"222,567",-60.24,"135,476",-57.40,"79,036",112.17,"14,961",391.17,"11,387",-13.26,800,-10.11,-,-
2002M03,"644,582",-43.46,"399,884",-34.62,"178,941",-60.20,"44,666",-23.72,"7,990",62.07,"11,401",-17.80,"1,700",21.43,-,-
2002M04,"699,757",-13.96,"397,233",21.84,"210,556",-41.42,"49,127",-23.73,"8,970",-6.66,"17,321",-53.40,"16,550",-0.54,-,-
2002M05,"671,718",-35.34,"405,033",-18.16,"190,212",-54.81,"46,337",-47.25,"8,050",-24.21,"15,721",-20.82,"6,365",34.00,-,-
2002M06,"951,938",-14.81,"707,003",59.45,"159,875",-65.60,"56,285",-58.39,"12,070",-74.25,"16,405",-36.81,300,-76.00,-,-
2002M07,"995,018",-3.99,"640,343",50.91,"262,486",-34.37,"58,328",-56.52,"9,790",-65.70,"8,821",-79.84,"15,250",171.35,-,-
2002M08,"1,186,206",42.16,"677,746",45.06,"377,810",40.66,"102,119",35.98,"16,710",43.67,"7,141",-38.39,"4,680","1,460.00",-,-
2002M09,"966,527",11.26,"468,514",4.51,"319,000",-9.20,"138,073",141.51,"27,840",406.18,"11,160",91.65,"1,940",223.33,-,-
2002M10,"943,048",-0.05,"448,026",-9.02,"305,059",-9.19,"134,863",93.31,"26,200",51.84,"12,450",-20.55,"16,450",31.60,-,-
2002M11,"682,814",-21.03,"453,022",-2.10,"175,923",-42.77,"31,539",-54.31,"14,360",42.59,"7,970",-18.01,0,-100.00,-,-
2002M12,"550,987",-34.05,"290,036",-43.22,"196,093",-24.15,"47,188",0.14,"11,970",-6.96,"5,700",40.01,0,-100.00,-,-
2003M01,"447,527",-51.92,"227,648",-60.94,"110,374",-58.24,"36,305",-10.73,"18,715",-1.85,"50,235",127.50,"4,250",127.27,-,-
2003M02,"439,840",-5.25,"254,010",14.13,"114,911",-15.18,"48,989",-38.02,"8,430",-43.65,"13,500",18.56,0,-100.00,-,-
2003M03,"561,361",-12.91,"287,612",-28.08,"165,766",-7.36,"62,003",38.81,"29,070",263.83,"16,910",48.32,0,-100.00,-,-
2003M04,"759,330",8.51,"412,295",3.79,"202,650",-3.75,"85,940",74.93,"32,650",263.99,"23,895",37.95,"1,900",-88.52,-,-
2003M05,"803,702",19.65,"426,091",5.20,"194,814",2.42,"122,067",163.43,"32,615",305.16,"27,515",75.02,600,-90.57,-,-
2003M06,"882,993",-7.24,"501,951",-29.00,"226,872",41.91,"119,330",112.01,"23,980",98.67,"10,520",-35.87,340,13.33,-,-
2003M07,"629,010",-36.78,"383,531",-40.11,"154,214",-41.25,"55,305",-5.18,"12,470",27.37,"22,290",152.69,"1,200",-92.13,-,-
2003M08,"732,122",-38.28,"484,667",-28.49,"178,138",-52.85,"48,697",-52.31,"13,070",-21.78,"6,950",-2.67,600,-87.18,-,-
2003M09,"628,270",-35.00,"358,937",-23.39,"176,293",-44.74,"59,440",-56.95,"13,350",-52.05,"18,250",63.53,"2,000",3.09,-,-
2003M10,"937,884",-0.55,"641,797",43.25,"215,537",-29.35,"68,140",-49.47,"5,070",-80.65,"6,640",-46.67,700,-95.74,-,-
2003M11,"960,929",40.73,"529,483",16.88,"287,506",63.43,"116,250",268.59,"19,890",38.51,"7,800",-2.13,-,-,-,-
2003M12,"993,585",80.33,"587,934",102.71,"263,661",34.46,"101,470",115.03,"28,170",135.34,"12,050",111.40,300,--,-,-
2004M01,"504,504",12.73,"248,418",9.12,"119,313",8.10,"68,773",89.43,"40,945",118.78,"27,055",-46.14,-,-,-,-
2004M02,"552,100",25.52,"364,026",43.31,"121,844",6.03,"49,640",1.33,"10,090",19.69,"6,500",-51.85,-,-,-,-
2004M03,"944,527",68.26,"643,050",123.58,"193,166",16.53,"67,421",8.74,"17,820",-38.70,"22,770",34.65,300,--,-,-
2004M04,"939,482",23.73,"602,414",46.11,"222,343",9.72,"89,015",3.58,"13,120",-59.82,"11,590",-51.50,"1,000",-47.37,-,-
2004M05,"709,882",-11.67,"310,585",-27.11,"223,542",14.75,"136,285",11.65,"16,130",-50.54,"23,340",-15.17,-,-,-,-
2004M06,"880,539",-0.28,"471,636",-6.04,"253,710",11.83,"126,507",6.01,"20,010",-16.56,"8,276",-21.33,400,17.65,-,-
2004M07,"821,344",30.58,"382,737",-0.21,"286,821",85.99,"117,726",112.87,"25,560",104.97,"8,000",-64.11,500,-58.33,-,-
2004M08,"781,235",6.71,"430,696",-11.14,"231,323",29.86,"96,102",97.35,"17,254",32.01,"5,110",-26.47,750,25.00,-,-
2004M09,"922,038",46.76,"671,708",87.14,"153,420",-12.97,"65,530",10.25,"24,000",79.78,"6,850",-62.47,530,-73.50,-,-
2004M10,"633,425",-32.46,"350,720",-45.35,"156,840",-27.23,"94,360",38.48,"16,350",222.49,"13,455",102.64,"1,700",142.86,-,-
2004M11,"905,083",-5.81,"618,619",16.83,"165,454",-42.45,"93,810",-19.30,"13,140",-33.94,"13,060",67.44,"1,000",-,-,-
2004M12,"1,605,268",61.56,"1,296,498",120.52,"207,840",-21.17,"67,190",-33.78,"13,520",-52.01,"17,670",46.64,"2,550",750.00,-,-
2005M01,"1,318,294",161.30,"1,028,896",314.18,"182,034",52.57,"60,768",-11.64,"17,540",-57.16,"22,096",-18.33,"6,960",-,-,-
2005M02,"877,637",58.96,"626,894",72.21,"149,757",22.91,"74,732",50.55,"8,956",-11.24,"17,298",166.12,-,-,-,-
2005M03,"1,376,421",45.73,"813,741",26.54,"313,978",62.54,"168,144",149.39,"46,158",159.02,"22,170",-2.64,"12,230","3,976.67",-,-
2005M04,"1,229,605",30.88,"721,537",19.77,"245,670",10.49,"181,874",104.32,"44,625",240.13,"18,400",58.76,"17,499","1,649.90",-,-
2005M05,"1,293,052",82.15,"718,659",131.39,"335,412",50.04,"192,956",41.58,"27,915",73.06,"11,100",-52.44,"7,010",-,-,-
2005M06,"1,572,910",78.63,"763,809",61.95,"506,794",99.75,"225,980",78.63,"62,087",210.28,"8,940",8.02,"5,300","1,225.00",-,-
2005M07,"1,564,115",90.43,"793,827",107.41,"429,301",49.68,"243,772",107.07,"44,300",73.32,"19,385",142.31,"33,530","6,606.00",-,-
2005M08,"1,890,163",141.95,"912,664",111.90,"629,452",172.11,"246,608",156.61,"59,774",246.44,"22,250",335.42,"18,415","2,355.33",-,-
2005M09,"2,126,308",130.61,"989,670",47.34,"779,211",407.89,"273,936",318.03,"50,666",111.11,"19,145",179.49,"13,680","2,481.13",-,-
2005M10,"1,929,335",204.59,"1,019,647",190.73,"588,877",275.46,"241,346",155.77,"37,595",129.94,"12,780",-5.02,"29,090","1,611.18",-,-
2005M11,"2,217,475",145.00,"1,168,929",88.96,"630,970",281.36,"324,357",245.76,"54,011",311.04,"26,573",103.47,"12,635","1,163.50",-,-
2005M12,"2,372,957",47.82,"1,259,800",-2.83,"680,398",227.37,"340,772",407.18,"50,503",273.54,"27,241",54.17,"14,243",458.55,-,-
2006M01,"1,579,744",19.83,"621,376",-39.61,"412,437",126.57,"351,390",478.25,"133,850",663.11,"40,570",83.61,"20,121",189.09,-,-
2006M02,"1,650,069",88.01,"830,553",32.49,"390,274",160.60,"328,212",339.19,"80,815",802.36,"15,115",-12.62,"5,100",-,-,-
2006M03,"2,580,612",87.49,"1,419,863",74.49,"664,383",111.60,"377,948",124.78,"96,078",108.15,"15,090",-31.94,"7,250",-40.72,-,-
2006M04,"2,345,575",90.76,"1,366,250",89.35,"515,803",109.96,"355,615",95.53,"83,032",86.07,"8,460",-54.02,"16,000",-8.57,415,-
2006M05,"2,305,187",78.27,"1,082,965",50.69,"744,605",122.00,"409,593",112.27,"50,609",81.30,"4,200",-62.16,"12,590",79.60,625,-
2006M06,"2,129,901",35.41,"832,506",8.99,"800,402",57.93,"408,077",80.58,"73,249",17.98,"10,127",13.28,"5,240",-1.13,300,-
2006M07,"1,936,214",23.79,"975,362",22.87,"610,412",42.19,"284,545",16.73,"43,770",-1.20,"8,450",-56.41,"13,375",-60.11,300,-
2006M08,"2,001,135",5.87,"1,009,578",10.62,"626,308",-0.50,"296,682",20.31,"61,805",3.40,"5,052",-77.29,"1,610",-91.26,100,-
2006M09,"1,858,822",-12.58,"856,464",-13.46,"648,098",-16.83,"297,785",8.71,"44,690",-11.79,"9,670",-49.49,"1,915",-86.00,200,-
2006M10,"2,045,560",6.02,"1,090,677",6.97,"469,201",-20.32,"396,917",64.46,"82,800",120.24,"3,400",-73.40,"2,265",-92.21,300,-
2006M11,"1,701,929",-23.25,"772,410",-33.92,"618,016",-2.05,"245,017",-24.46,"50,375",-6.73,"1,000",-96.24,"10,711",-15.23,"4,400",-
2006M12,"1,704,130",-28.19,"850,249",-32.51,"491,122",-27.82,"300,209",-11.90,"57,325",13.51,"2,010",-92.62,"2,515",-82.34,700,-
2007M01,"1,859,281",17.70,"858,127",38.10,"665,196",61.28,"282,693",-19.55,"47,230",-64.71,"1,900",-95.32,"4,120",-79.52,15,-
2007M02,"1,130,925",-31.46,"527,264",-36.52,"319,375",-18.17,"187,421",-42.90,"80,714",-0.12,"14,536",-3.83,"1,300",-74.51,315,-
2007M03,"1,653,756",-35.92,"691,036",-51.33,"646,961",-2.62,"238,334",-36.94,"57,000",-40.67,"8,400",-44.33,"12,010",65.66,15,-
2007M04,"1,528,389",-34.84,"704,732",-48.42,"460,986",-10.63,"304,201",-14.46,"28,300",-65.92,"12,600",48.94,"16,525",3.28,"1,045",151.81
2007M05,"1,861,073",-19.27,"1,024,751",-5.38,"565,317",-24.08,"200,225",-51.12,"44,710",-11.66,"10,410",147.86,"15,360",22.00,300,-52.00
2007M06,"1,754,902",-17.61,"1,032,007",23.96,"528,036",-34.03,"150,159",-63.20,"38,790",-47.04,"3,150",-68.90,"2,760",-47.33,-,-
2007M07,"1,735,765",-10.35,"992,224",1.73,"603,793",-1.08,"134,883",-52.60,"1,590",-96.37,"1,100",-86.98,"2,175",-83.74,-,-
2007M08,"1,941,775",-2.97,"1,044,836",3.49,"725,162",15.78,"164,572",-44.53,"3,950",-93.61,-,-,"3,255",102.17,-,-
2007M09,"1,524,243",-18.00,"961,012",12.21,"419,572",-35.26,"120,654",-59.48,"15,200",-65.99,"6,100",-36.92,"1,705",-10.97,-,-
2007M10,"1,616,866",-20.96,"979,128",-10.23,"473,118",0.83,"147,920",-62.73,"2,240",-97.29,-,-,"14,460",538.41,-,-
2007M11,"1,813,819",6.57,"1,054,253",36.49,"547,518",-11.41,"190,558",-22.23,"11,887",-76.40,"5,550",455.00,"4,050",-62.19,3,-99.93
2007M12,"1,817,471",6.65,"1,001,581",17.80,"578,094",17.71,"220,466",-26.56,"13,700",-76.10,250,-87.56,"3,380",34.39,-,-
2008M01,"1,482,546",-20.26,"751,397",-12.44,"471,450",-29.13,"181,744",-35.71,"58,820",24.54,"16,580",772.63,"2,555",-37.99,-,-
2008M02,"1,102,033",-2.55,"506,992",-3.84,"308,059",-3.54,"244,052",30.22,"30,250",-62.52,"9,470",-34.85,"3,210",146.92,-,-
2008M03,"1,410,326",-14.72,"741,189",7.26,"380,705",-41.15,"270,447",13.47,"16,815",-70.50,-,-,"1,170",-90.26,-,-
2008M04,"1,382,512",-9.54,"877,476",24.51,"321,419",-30.28,"168,452",-44.62,"10,600",-62.54,-,-,"4,565",-72.38,-,-
2008M05,"1,574,233",-15.41,"913,009",-10.90,"394,174",-30.27,"241,280",20.50,"21,610",-51.67,"2,300",-77.91,"1,860",-87.89,-,-
2008M06,"1,432,521",-18.37,"714,595",-30.76,"422,459",-19.99,"238,182",58.62,"50,010",28.92,"6,400",103.17,875,-68.30,-,-
2008M07,"1,291,124",-25.62,"734,893",-25.93,"301,072",-50.14,"212,212",57.33,"35,167","2,111.76","6,100",454.55,"1,680",-22.76,-,-
2008M08,"1,428,113",-26.45,"710,844",-31.97,"410,312",-43.42,"252,002",53.13,"49,095","1,142.91","3,200",-,"2,660",-18.28,-,-
2008M09,"1,511,989",-0.80,"885,967",-7.81,"371,162",-11.54,"210,242",74.25,"31,123",104.76,"7,890",29.34,"5,605",228.74,-,-
2008M10,"1,658,634",2.58,"1,075,144",9.81,"491,105",3.80,"88,085",-40.45,"1,900",-15.18,900,-,"1,500",-89.63,-,-
2008M11,"950,115",-47.62,"328,064",-68.88,"554,992",1.37,"62,305",-67.30,"2,850",-76.02,-,-,"1,904",-52.99,-,-
2008M12,"1,385,562",-23.76,"312,289",-68.82,"894,343",54.71,"170,495",-22.67,"6,835",-50.11,-,-,"1,600",-52.66,-,-
2009M01,"899,998",-39.29,"336,429",-55.23,"378,507",-19.71,"143,250",-21.18,"34,150",-41.94,"5,000",-69.84,"2,062",-19.30,600,-
2009M02,"1,499,035",36.02,"708,891",39.82,"647,191",110.09,"100,570",-58.79,"21,440",-29.12,"10,320",8.98,"10,623",230.93,-,-
2009M03,"1,367,673",-3.02,"816,628",10.18,"374,110",-1.73,"143,095",-47.09,"15,350",-8.71,"4,550",-,"13,940","1,091.45",-,-
2009M04,"1,177,464",-14.83,"701,913",-20.01,"297,054",-7.58,"123,815",-26.50,"28,320",167.17,"5,650",-,"20,712",353.71,-,-
2009M05,"1,332,233",-15.37,"463,934",-49.19,"555,634",40.96,"243,200",0.80,"51,200",136.93,"8,085",251.52,"10,180",447.31,-,-
2009M06,"2,784,746",94.39,"1,543,109",115.94,"940,235",122.56,"272,645",14.47,"24,205",-51.60,"1,940",-69.69,"2,562",192.80,50,-
2009M07,"2,719,878",110.66,"1,671,477",127.44,"815,199",170.77,"198,089",-6.66,"15,285",-56.54,"9,550",56.56,"10,278",511.79,-,-
2009M08,"2,608,654",82.66,"1,541,432",116.85,"823,646",100.74,"199,485",-20.84,"25,290",-48.49,"11,851",270.34,"6,950",161.28,-,-
2009M09,"2,432,480",60.88,"1,517,923",71.33,"735,919",98.27,"146,610",-30.27,"11,640",-62.60,"12,900",63.50,"7,488",33.60,-,-
2009M10,"3,063,955",84.73,"2,021,566",88.03,"808,768",64.68,"204,006",131.60,"11,800",521.05,"12,365","1,273.89","5,450",263.33,-,-
2009M11,"2,752,187",189.67,"1,847,266",463.08,"729,586",31.46,"143,666",130.59,"14,380",404.56,"11,000",-,"6,289",230.30,-,-
2009M12,"3,068,894",121.49,"1,899,276",508.18,"933,998",4.43,"203,290",19.24,"14,890",117.85,"8,700",-,"8,740",446.25,-,-
2010M01,"2,514,400",179.38,"1,661,531",393.87,"684,774",80.91,"146,280",2.12,"1,950",-94.29,"6,700",34.00,"13,165",538.46,-,-
2010M02,"2,100,436",40.12,"1,257,741",77.42,"535,889",-17.20,"248,280",146.87,"27,940",30.32,"22,522",118.24,"8,064",-24.09,-,-
2010M03,"2,537,458",85.53,"1,612,113",97.41,"763,133",103.99,"112,445",-21.42,"16,180",5.41,"20,697",354.88,"12,890",-7.53,-,-
2010M04,"2,675,473",127.22,"1,717,731",144.72,"834,787",181.02,"98,625",-20.34,"7,100",-74.93,"8,219",45.47,"9,011",-56.49,-,-
2010M05,"3,417,727",156.54,"2,161,056",365.81,"1,108,913",99.58,"119,584",-50.83,"4,050",-92.09,"5,100",-36.92,"19,024",86.88,-,-
2010M06,"2,806,485",0.78,"1,780,746",15.40,"895,607",-4.75,"115,842",-57.51,"8,910",-63.19,"3,540",82.47,"1,840",-28.18,-,-
2010M07,"3,348,551",23.11,"2,099,408",25.60,"1,101,288",35.09,"129,546",-34.60,"7,070",-53.75,"3,300",-65.45,"7,939",-22.76,-,-
2010M08,"3,733,867",43.13,"2,467,797",60.10,"1,045,756",26.97,"196,335",-1.58,"14,280",-43.53,"3,720",-68.61,"5,979",-13.97,-,-
2010M09,"2,895,982",19.05,"1,918,900",26.42,"813,476",10.54,"127,411",-13.10,"18,650",60.22,"11,243",-12.84,"6,302",-15.84,-,-
2010M10,"2,909,339",-5.05,"1,892,698",-6.37,"917,930",13.50,"79,020",-61.27,"11,780",-0.17,"1,262",-89.79,"6,649",22.00,-,-
2010M11,"3,342,709",21.46,"2,037,595",10.30,"1,185,360",62.47,"100,715",-29.90,"13,560",-5.70,"5,370",-51.18,109,-98.27,-,-
2010M12,"3,196,983",4.17,"1,934,774",1.87,"1,130,868",21.08,"117,640",-42.13,"5,200",-65.08,"6,010",-30.92,"2,491",-71.50,-,-
2011M01,"3,369,607",34.01,"2,157,059",29.82,"1,010,828",47.61,"192,021",31.27,"5,060",159.49,"3,600",-46.27,"1,039",-92.11,-,-
2011M02,"2,391,878",13.88,"1,521,923",21.00,"673,061",25.60,"190,145",-23.42,"5,630",-79.85,580,-97.42,539,-93.32,-,-
2011M03,"3,137,197",23.64,"1,862,347",15.52,"1,152,455",51.02,"110,317",-1.89,"8,680",-46.35,"1,780",-91.40,"1,618",-87.45,-,-
2011M04,"2,616,155",-2.22,"1,576,955",-8.20,"901,741",8.02,"126,580",28.34,"5,730",-19.30,"2,810",-65.81,"2,339",-74.04,-,-
2011M05,"2,476,840",-27.53,"1,563,942",-27.63,"843,245",-23.96,"62,240",-47.95,"4,170",2.96,"1,000",-80.39,"2,243",-88.21,-,-
2011M06,"2,523,109",-10.10,"1,849,248",3.85,"615,759",-31.25,"54,492",-52.96,570,-93.60,"1,500",-57.63,"1,540",-16.30,-,-
2011M07,"2,897,990",-13.46,"2,020,219",-3.77,"792,932",-28.00,"77,515",-40.16,"3,000",-57.57,"3,000",-9.09,"1,324",-83.32,-,-
2011M08,"2,843,529",-23.84,"1,875,479",-24.00,"917,085",-12.30,"48,536",-75.28,570,-96.01,"1,000",-73.12,859,-85.63,-,-
2011M09,"2,513,595",-13.20,"1,663,624",-13.30,"792,258",-2.61,"54,880",-56.93,-,-,"1,000",-91.11,"1,833",-70.91,-,-
2011M10,"2,556,277",-12.14,"1,764,026",-6.80,"689,201",-24.92,"97,285",23.11,"2,500",-78.78,"2,300",82.25,965,-85.49,-,-
2011M11,"2,548,848",-23.75,"1,512,996",-25.75,"952,301",-19.66,"79,570",-20.99,"1,680",-87.61,"1,000",-81.38,"1,301","1,093.58",-,-
