期間,北美洲_原始值,北美洲_年增率(%),北美洲_原始值,北美洲_年增率(%),北美洲_原始值,北美洲_年增率(%),北美洲_原始值,北美洲_年增率(%),加拿大_原始值,加拿大_年增率(%),加拿大_原始值,加拿大_年增率(%),加拿大_原始值,加拿大_年增率(%),加拿大_原始值,加拿大_年增率(%),美國_原始值,美國_年增率(%),美國_原始值,美國_年增率(%),美國_原始值,美國_年增率(%),美國_原始值,美國_年增率(%)
2000,"1,166,304",9.34,"37,479,133",13.23,"828,574",22.35,"26,555,073",26.75,"58,810",3.70,"1,890,128",7.40,"40,055",9.45,"1,284,793",13.52,"1,107,477",9.66,"35,588,452",13.56,"788,507",23.08,"25,269,878",27.51
2001,"1,000,950",-14.18,"29,715,132",-20.72,"654,526",-21.01,"19,419,288",-26.87,"53,175",-9.58,"1,578,802",-16.47,"34,212",-14.59,"1,011,996",-21.23,"947,751",-14.42,"28,135,593",-20.94,"620,313",-21.33,"18,407,253",-27.16
2002,"997,338",-0.36,"28,908,844",-2.71,"664,010",1.45,"19,206,841",-1.09,"53,254",0.15,"1,543,046",-2.26,"32,899",-3.84,"951,220",-6.01,"944,062",-0.39,"27,365,143",-2.74,"631,111",1.74,"18,255,577",-0.82
2003,"963,484",-3.39,"28,038,393",-3.01,"622,854",-6.20,"18,080,364",-5.86,"50,972",-4.29,"1,483,269",-3.87,"37,405",13.70,"1,085,056",14.07,"912,461",-3.35,"26,553,693",-2.97,"585,449",-7.24,"16,995,299",-6.90
2004,"1,016,568",5.51,"30,403,217",8.43,"770,386",23.69,"22,984,702",27.13,"55,215",8.32,"1,651,874",11.37,"40,380",7.95,"1,204,323",10.99,"961,342",5.36,"28,750,997",8.27,"730,006",24.69,"21,780,377",28.16
2005,"988,747",-2.74,"30,804,935",1.32,"723,127",-6.13,"22,494,970",-2.13,"54,221",-1.80,"1,690,300",2.33,"42,652",5.63,"1,324,077",9.94,"934,501",-2.79,"29,113,853",1.26,"680,474",-6.79,"21,170,843",-2.80
2006,"1,108,965",12.16,"34,131,470",10.80,"783,338",8.33,"24,038,316",6.86,"57,531",6.10,"1,770,286",4.73,"44,740",4.90,"1,373,811",3.76,"1,051,417",12.51,"32,360,688",11.15,"738,598",8.54,"22,664,494",7.06
2007,"1,112,575",0.33,"33,928,820",-0.59,"927,850",18.45,"28,205,133",17.33,"60,676",5.47,"1,850,505",4.53,"55,847",24.83,"1,697,045",23.53,"1,051,860",0.04,"32,077,102",-0.88,"872,002",18.06,"26,508,055",16.96
2008,"1,025,571",-7.82,"32,644,565",-3.79,"882,874",-4.85,"28,115,721",-0.32,"58,272",-3.96,"1,853,007",0.14,"56,298",0.81,"1,789,105",5.42,"967,281",-8.04,"30,790,956",-4.01,"826,575",-5.21,"26,326,558",-0.68
2009,"824,921",-19.56,"25,014,086",-23.37,"637,235",-27.82,"19,301,419",-31.35,"48,198",-17.29,"1,460,635",-21.17,"37,935",-32.62,"1,147,509",-35.86,"776,703",-19.70,"23,552,856",-23.51,"599,300",-27.50,"18,153,900",-31.04
2010,"1,053,276",27.68,"33,415,913",33.59,"850,460",33.46,"26,912,792",39.43,"61,329",27.24,"1,949,001",33.44,"48,446",27.71,"1,533,417",33.63,"991,920",27.71,"31,466,029",33.60,"802,014",33.83,"25,379,359",39.80
2011,"1,141,575",8.38,"38,934,764",16.52,"817,296",-3.90,"27,780,934",3.23,"75,430",22.99,"2,569,492",31.84,"59,482",22.78,"2,022,117",31.87,"1,066,117",7.48,"36,364,294",15.57,"757,814",-5.51,"25,758,792",1.50
2012,"1,048,771",-8.13,"35,481,481",-8.87,"748,301",-8.44,"25,228,145",-9.19,"74,022",-1.87,"2,504,514",-2.53,"48,209",-18.95,"1,624,297",-19.67,"974,725",-8.57,"32,976,155",-9.32,"700,092",-7.62,"23,603,823",-8.37
2013,"1,035,707",-1.25,"34,974,704",-1.43,"792,539",5.91,"26,694,883",5.81,"71,357",-3.60,"2,409,934",-3.78,"43,813",-9.12,"1,474,578",-9.22,"964,336",-1.07,"32,564,305",-1.25,"748,161",6.87,"25,201,256",6.77
