期間,發行部門--存款貨幣機構,持有部門--存款貨幣機構,持有部門--保險公司及退休基金,持有部門--其他金融機構,持有部門--公營事業,持有部門--民營企業,持有部門--家庭及非營利團體
1982,"9,380","1,155",760,"2,827",...,"1,047","3,591"
1983,"8,047","2,189",370,"3,120",...,849,"1,519"
1984,"7,796","3,428",564,"2,969",...,459,376
1985,"6,872","2,949",778,"2,009",2,505,629
1986,"4,000","1,432",704,"1,362",9,322,171
1987,"2,296",510,416,832,1,537,...
1988,"1,120",257,464,388,11,...,...
1989,"21,008","5,667","1,306","12,150",4,642,"1,239"
1990,"58,998","27,412",247,"30,288",...,...,"1,051"
1991,"95,762","54,289",255,"38,444",1,"2,660",113
1992,"90,324","65,170","4,079","16,839","1,400","2,836",...
1993,"87,009","53,769","4,567","23,037","1,451","4,185",...
1994,"94,164","61,523","5,449","22,608","2,071","2,513",...
1995,"97,468","64,782","3,170","25,490","1,200","1,958",868
1996,"92,858","60,539","1,024","29,590",32,"1,673",...
1997,"68,890","33,491","6,419","27,401",186,"1,393",...
1998,"92,420","41,639","22,403","26,600",920,858,...
1999,"97,796","40,750","26,446","26,076",984,"3,540",...
2000,"91,668","26,481","18,093","41,629","1,946","3,519",...
2001,"202,611","50,574","28,141","98,348",...,"6,492","19,056"
2002,"377,303","46,702","72,052","248,902",200,"8,261","1,186"
2003,"541,227","52,268","91,277","350,197","2,722","3,303","41,460"
2004,"709,051","64,042","157,506","459,685","4,075","5,780","17,962"
