期間,戶內人口(人)_原始值,戶內人口(人)_年增率(%),平均每戶就業人數(人)_原始值,平均每戶就業人數(人)_年增率(%),可支配所得平均數每戶(元)_原始值,可支配所得平均數每戶(元)_年增率(%),可支配所得平均數每人(元)_原始值,可支配所得平均數每人(元)_年增率(%),可支配所得中位數每戶(元)_原始值,可支配所得中位數每戶(元)_年增率(%),可支配所得中位數每人(元)_原始值,可支配所得中位數每人(元)_年增率(%),消費支出(元)_原始值,消費支出(元)_年增率(%),消費傾向(%)_原始值,消費傾向(%)_年增率(%),儲蓄(元)_原始值,儲蓄(元)_年增率(%),儲蓄率(%)_原始值,儲蓄率(%)_年增率(%),住宅坪數(坪)_原始值,住宅坪數(坪)_年增率(%),自有住宅率(%)_原始值,自有住宅率(%)_年增率(%)
1988,4.28,-2.95,1.78,-1.11,"410,483",12.00,"95,907",15.41,"359,440",12.14,"81,122",14.50,"302,207",9.85,73.62,-1.92,"108,276",18.49,26.38,5.79,32.0,0.95,77.76,-1.04
1989,4.25,-0.70,1.77,-0.56,"464,994",13.28,"109,410",14.08,"411,342",14.44,"93,324",15.04,"336,875",11.47,72.45,-1.60,"128,119",18.33,27.55,4.45,33.3,4.06,79.02,1.62
1990,4.19,-1.41,1.77,0.00,"520,147",11.86,"124,140",13.46,"453,416",10.23,"104,980",12.49,"370,323",9.93,71.20,-1.73,"149,824",16.94,28.80,4.54,33.9,1.80,80.47,1.83
1991,4.16,-0.72,1.76,-0.56,"587,242",12.90,"141,164",13.71,"510,410",12.57,"119,043",13.40,"411,760",11.19,70.12,-1.51,"175,482",17.13,29.88,3.74,34.4,1.47,80.40,-0.09
1992,4.10,-1.44,1.75,-0.57,"639,696",8.93,"156,023",10.53,"558,336",9.39,"132,358",11.19,"445,220",8.13,69.60,-0.74,"194,476",10.82,30.40,1.74,35.5,3.20,82.80,2.99
1993,4.10,0.00,1.77,1.14,"727,879",13.79,"177,531",13.79,"639,907",14.61,"150,492",13.70,"504,133",13.23,69.26,-0.49,"223,747",15.05,30.74,1.11,36.0,1.41,81.88,-1.11
1994,4.02,-1.95,1.75,-1.13,"769,755",5.75,"191,481",7.86,"668,450",4.46,"161,906",7.58,"545,987",8.30,70.93,2.41,"223,768",0.01,29.07,-5.43,36.8,2.14,82.52,0.78
1995,3.94,-1.99,1.71,-2.29,"811,338",5.40,"205,923",7.54,"700,873",4.85,"174,288",7.65,"591,035",8.25,72.85,2.70,"220,303",-1.55,27.15,-6.59,37.2,1.09,83.56,1.26
1996,3.92,-0.51,1.71,0.00,"826,378",1.85,"210,811",2.37,"720,970",2.87,"179,669",3.09,"614,435",3.96,74.35,2.07,"211,943",-3.79,25.65,-5.55,38.1,2.42,84.45,1.07
1997,3.84,-2.04,1.69,-1.17,"863,427",4.48,"224,851",6.66,"750,341",4.07,"190,899",6.25,"634,477",3.26,73.48,-1.17,"228,951",8.02,26.52,3.39,39.2,2.94,84.57,0.14
1998,3.77,-1.82,1.64,-2.96,"873,175",1.13,"231,611",3.01,"763,717",1.78,"195,227",2.27,"646,343",1.87,74.02,0.73,"226,831",-0.93,25.98,-2.03,39.8,1.53,84.61,0.05
1999,3.63,-3.71,1.60,-2.44,"889,053",1.82,"244,918",5.75,"776,134",1.63,"206,589",5.82,"655,282",1.38,73.71,-0.43,"233,770",3.06,26.29,1.22,39.6,-0.50,84.91,0.35
2000,3.62,-0.28,1.58,-1.25,"891,445",0.27,"246,256",0.55,"776,390",0.03,"207,552",0.47,"662,722",1.14,74.34,0.86,"228,723",-2.16,25.66,-2.42,40.4,2.10,85.35,0.52
2001,3.58,-1.10,1.56,-1.27,"868,651",-2.56,"242,640",-1.47,"737,682",-4.99,"200,685",-3.31,"657,872",-0.73,75.73,1.87,"210,779",-7.85,24.27,-5.43,41.0,1.41,85.64,0.34
2002,3.65,1.96,1.57,0.64,"875,919",0.84,"239,978",-1.10,"740,556",0.39,"198,621",-1.03,"672,619",2.24,76.79,1.39,"203,300",-3.55,23.21,-4.35,41.7,1.68,85.40,-0.28
2003,3.53,-3.29,1.54,-1.91,"881,662",0.66,"249,763",4.08,"739,648",-0.12,"208,253",4.85,"666,372",-0.93,75.58,-1.57,"215,290",5.90,24.42,5.21,41.9,0.46,85.11,-0.34
2004,3.50,-0.85,1.53,-0.65,"891,249",1.09,"254,643",1.95,"773,320",4.55,"213,633",2.58,"692,648",3.94,77.72,2.83,"198,600",-7.75,22.28,-8.74,42.4,1.29,86.80,1.98
2005,3.42,-2.29,1.51,-1.31,"894,574",0.37,"261,571",2.72,"775,656",0.30,"218,949",2.49,"701,076",1.22,78.37,0.84,"193,497",-2.57,21.63,-2.93,42.2,-0.48,87.33,0.61
2006,3.41,-0.29,1.52,0.66,"913,092",2.07,"267,769",2.37,"796,091",2.63,"225,061",2.79,"713,024",1.70,78.09,-0.36,"200,068",3.40,21.91,1.30,42.8,1.40,87.83,0.58
2007,3.38,-0.88,1.50,-1.32,"923,874",1.18,"273,336",2.08,"799,571",0.44,"230,122",2.25,"716,094",0.43,77.51,-0.74,"207,780",3.85,22.49,2.64,43.3,1.26,88.14,0.36
2008,3.35,-0.89,1.49,-0.67,"913,687",-1.10,"272,742",-0.22,"795,643",-0.49,"227,756",-1.03,"705,413",-1.49,77.21,-0.39,"208,274",0.24,22.79,1.36,43.2,-0.26,87.36,-0.89
2009,3.34,-0.30,1.46,-2.01,"887,605",-2.85,"265,750",-2.56,"769,705",-3.26,"225,056",-1.19,"705,680",0.04,79.50,2.98,"181,925",-12.65,20.50,-10.08,44.0,1.68,87.89,0.60
2010,3.25,-2.69,1.44,-1.37,"889,353",0.20,"273,647",2.97,"771,003",0.17,"231,975",3.07,"702,292",-0.48,78.97,-0.68,"187,061",2.82,21.03,2.62,43.1,-2.04,84.89,-3.42
2011,3.29,1.23,1.49,3.47,"907,988",2.10,"275,984",0.85,"782,517",1.49,"233,527",0.67,"729,010",3.80,80.29,1.67,"178,978",-4.32,19.71,-6.28,44.0,2.21,84.58,-0.36
2012,3.23,-1.82,1.46,-2.01,"923,584",1.72,"285,939",3.61,"808,193",3.28,"243,131",4.11,"727,693",-0.18,78.79,-1.87,"195,891",9.45,21.21,7.60,43.6,-1.02,85.77,1.40
2013,3.21,-0.62,1.46,0.00,"942,208",2.02,"293,523",2.65,"822,940",1.82,"250,308",2.95,"747,922",2.78,79.38,0.75,"194,286",-0.82,20.62,-2.78,43.5,-0.24,85.34,-0.50
