期間,授信部門_公營事業,授信部門_民營企業,授信部門_家庭及非營利團體,受信部門_公營事業,受信部門_民營企業,受信部門_家庭及非營利團體
1982,"2,126","14,787","175,062","11,317","163,745","16,913"
1983,"1,750","16,359","201,060","10,297","190,763","18,109"
1984,"1,646","16,793","235,817","5,565","230,252","18,439"
1985,"1,318","16,519","283,082","4,543","278,539","17,837"
1986,800,"10,302","404,134","3,678","400,456","11,102"
1987,841,"13,981","425,288","1,189","424,099","14,822"
1988,"1,435","16,256","528,826","9,806","519,020","17,691"
1989,"1,348","19,432","564,578","17,633","546,945","20,780"
1990,"1,485","23,813","564,015","21,878","542,137","25,298"
1991,"1,409","25,725","649,135","34,307","614,828","27,134"
1992,518,"23,936","773,574","33,712","739,862","24,454"
1993,580,"24,015","1,034,290","42,193","992,097","24,595"
1994,516,"30,261","1,459,299","48,651","1,410,648","30,777"
1995,"2,282","18,757","1,864,611","56,940","1,807,671","21,039"
1996,"3,360","43,916","1,533,821","60,547","1,473,274","47,276"
1997,"2,171","18,508","1,072,039","68,548","1,003,491","20,679"
1998,"1,906","14,019","807,694",...,"807,694","15,925"
1999,"1,916","18,938","622,827",...,"622,827","20,854"
2000,"1,801","30,303","1,267,373",...,"1,267,373","32,104"
2001,12,"10,309","239,952",...,"239,952","10,321"
2002,7,"8,323","66,831",...,"66,831","8,330"
2003,3,"2,904","82,120",...,"82,120","2,907"
2004,1,"3,088","83,573",...,"83,573","3,089"
