期間,總入境人數(人次)_原始值,總入境人數(人次)_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2002M03,"833,379",2.36,"503,663",-0.93,"329,716",7.85,"25,280",13.96,"747,622",1.63,"60,477",7.46,"551,857",0.69,"14,752",11.79,"40,000",...,"7,230",-78.03,"219,540",-0.19
2002M04,"881,754",-1.56,"525,813",-1.41,"355,941",-1.78,"27,072",-34.38,"778,987",-0.85,"75,695",10.03,"635,995",-1.82,"14,508",31.26,"27,008",...,"6,197",-81.95,"198,046",-2.23
2002M05,"866,016",0.11,"512,652",-2.32,"353,364",3.86,"25,164",8.64,"770,394",-0.30,"70,458",1.90,"622,075",-0.38,"13,363",10.88,"30,834",...,"6,892",-73.12,"192,852",-4.96
2002M06,"825,014",-9.66,"495,001",-9.27,"330,013",-10.25,"31,811",-5.18,"741,265",-9.41,"51,938",-15.42,"583,636",-11.53,"14,769",22.90,"26,350",...,"6,444",-81.95,"193,815",-5.84
2002M07,"952,947",1.30,"539,585",0.02,"413,362",3.03,"97,979",2.08,"808,172",1.42,"46,796",-2.17,"718,351",1.44,"14,429",19.23,"28,984",...,"7,421",-73.82,"183,762",-4.33
2002M08,"984,782",1.69,"550,024",0.74,"434,758",2.93,"107,555",5.03,"834,728",1.66,"42,499",-5.22,"738,703",1.22,"13,676",6.59,"37,155",...,"6,101",-81.87,"189,147",-1.54
2002M09,"820,450",11.69,"492,860",8.94,"327,590",16.09,"19,709",13.46,"748,135",11.52,"52,606",13.44,"586,837",12.03,"14,004",23.43,"27,439",...,"2,598",-92.02,"189,572",13.61
2002M10,"867,554",17.47,"522,249",14.63,"345,305",22.05,"18,903",-1.64,"776,216",17.12,"72,435",28.12,"609,194",14.80,"12,709",8.79,"32,612",...,"5,352",-80.94,"207,687",23.54
2002M11,"789,882",10.06,"489,715",7.62,"300,167",14.28,"19,136",8.73,"712,308",9.75,"58,438",14.46,"534,237",5.37,"14,090",12.75,"32,209",...,"6,747",-77.55,"202,599",20.49
2002M12,"808,612",6.71,"487,293",5.87,"321,319",8.01,"34,610",7.91,"729,487",6.31,"44,515",12.72,"523,309",-0.23,"15,178",25.41,"40,404",...,"9,856",-73.37,"219,865",19.39
2003M01,"800,782",14.29,"490,508",16.53,"310,274",10.91,"46,473",27.76,"716,621",14.55,"37,688",-2.72,"562,751",16.49,"14,485",21.95,"24,392",10.82,"2,155",-64.78,"196,999",10.93
2003M02,"783,759",-8.53,"439,491",-8.95,"344,268",-7.99,"59,495",-25.14,"684,747",-7.46,"39,517",5.58,"523,793",-15.92,"13,200",11.11,"38,559",10.62,"2,152",-71.75,"206,055",14.77
2003M03,"779,413",-6.48,"477,963",-5.10,"301,450",-8.57,"21,448",-15.16,"707,245",-5.40,"50,720",-16.13,"521,285",-5.54,"17,047",15.56,"29,957",-25.11,"1,932",-73.28,"209,192",-4.71
2003M04,"367,853",-58.28,"235,340",-55.24,"132,513",-62.77,"11,505",-57.50,"335,692",-56.91,"20,656",-72.71,"257,213",-59.56,"10,694",-26.29,"12,180",-54.90,"1,243",-79.94,"86,523",-56.31
2003M05,"142,638",-83.53,"87,725",-82.89,"54,913",-84.46,"3,448",-86.30,"133,792",-82.63,"5,398",-92.34,"102,382",-83.54,"3,833",-71.32,650,-97.89,603,-91.25,"35,170",-81.76
2003M06,"264,960",-67.88,"159,026",-67.87,"105,934",-67.90,"11,582",-63.59,"241,664",-67.40,"11,714",-77.45,"207,829",-64.39,"5,474",-62.94,"1,911",-92.75,923,-85.68,"48,823",-74.81
2003M07,"769,515",-19.25,"442,094",-18.07,"327,421",-20.79,"78,729",-19.65,"656,981",-18.71,"33,805",-27.76,"615,341",-14.34,"10,570",-26.74,"20,189",-30.34,"1,832",-75.31,"121,583",-33.84
2003M08,"929,212",-5.64,"527,343",-4.12,"401,869",-7.56,"99,570",-7.42,"788,537",-5.53,"41,105",-3.28,"728,598",-1.37,"11,022",-19.41,"29,680",-20.12,"2,105",-65.50,"157,807",-16.57
2003M09,"833,034",1.53,"506,915",2.85,"326,119",-0.45,"21,738",10.29,"755,944",1.04,"55,352",5.22,"614,440",4.70,"14,504",3.57,"25,781",-6.04,"1,869",-28.06,"176,440",-6.93
2003M10,"863,049",-0.52,"518,704",-0.68,"344,345",-0.28,"24,669",30.50,"772,577",-0.47,"65,803",-9.16,"639,497",4.97,"15,063",18.52,"25,676",-21.27,"1,615",-69.82,"181,198",-12.75
2003M11,"811,401",2.72,"500,854",2.27,"310,547",3.46,"21,934",14.62,"731,251",2.66,"58,216",-0.38,"570,052",6.70,"17,002",20.67,"25,329",-21.36,"1,537",-77.22,"197,481",-2.53
2003M12,"792,632",-1.98,"477,256",-2.06,"315,376",-1.85,"32,702",-5.51,"718,502",-1.51,"41,428",-6.93,"546,950",4.52,"16,282",7.27,"32,798",-18.82,"1,839",-81.34,"194,763",-11.42
2004M01,"860,503",7.46,"502,810",2.51,"357,693",15.28,"73,807",58.82,"752,939",5.07,"33,757",-10.43,"647,649",15.09,"13,560",-6.39,"26,993",10.66,"2,091",-2.97,"170,210",-13.60
2004M02,"708,913",-9.55,"423,138",-3.72,"285,775",-16.99,"39,998",-32.77,"635,904",-7.13,"33,011",-16.46,"487,893",-6.85,"15,315",16.02,"24,278",-37.04,"2,199",2.18,"179,228",-13.02
2004M03,"809,912",3.91,"494,658",3.49,"315,254",4.58,"23,970",11.76,"733,796",3.75,"52,146",2.81,"570,337",9.41,"12,715",-25.41,"25,918",-13.48,"1,856",-3.93,"199,086",-4.83
2004M04,"842,204",128.95,"508,326",116.00,"333,878",151.96,"29,547",156.82,"750,997",123.72,"61,660",198.51,"613,143",138.38,"11,766",10.02,"30,016",146.44,"1,594",28.24,"185,685",114.61
2004M05,"824,616",478.12,"496,835",466.36,"327,781",496.91,"26,359",664.47,"740,689",453.61,"57,568",966.47,"592,323",478.54,"10,779",181.22,"25,607","3,839.54","1,644",172.64,"194,263",452.35
2004M06,"937,643",253.88,"547,951",244.57,"389,692",267.86,"41,765",260.60,"835,689",245.81,"60,189",413.82,"678,782",226.61,"11,558",111.14,"35,447","1,754.89","1,951",111.38,"209,905",329.93
2004M07,"1,055,746",37.20,"590,500",33.57,"465,246",42.09,"121,650",54.52,"879,719",33.90,"54,377",60.85,"812,350",32.02,"12,475",18.02,"30,755",52.34,"2,264",23.58,"197,902",62.77
2004M08,"1,072,340",15.40,"590,988",12.07,"481,352",19.78,"124,743",25.28,"899,060",14.02,"48,537",18.08,"818,796",12.38,"12,907",17.10,"35,735",20.40,"2,044",-2.90,"202,858",28.55
2004M09,"899,128",7.93,"534,086",5.36,"365,042",11.94,"22,875",5.23,"819,603",8.42,"56,650",2.34,"653,213",6.31,"11,837",-18.39,"28,713",11.37,"1,811",-3.10,"203,554",15.37
2004M10,"929,300",7.68,"549,963",6.03,"379,337",10.16,"21,908",-11.19,"831,187",7.59,"76,205",15.81,"662,710",3.63,"13,130",-12.83,"29,678",15.59,"1,703",5.45,"222,079",22.56
2004M11,"872,786",7.57,"531,347",6.09,"341,439",9.95,"23,281",6.14,"784,635",7.30,"64,870",11.43,"602,233",5.65,"13,816",-18.74,"23,027",-9.09,"1,492",-2.93,"232,218",17.59
2004M12,"886,031",11.78,"529,978",11.05,"356,053",12.90,"38,906",18.97,"798,298",11.11,"48,827",17.86,"609,351",11.41,"13,332",-18.12,"30,042",-8.40,"1,997",8.59,"231,309",18.76
2005M01,"791,824",-7.98,"475,957",-5.34,"315,867",-11.69,"45,517",-38.33,"703,670",-6.54,"42,637",26.31,"547,572",-15.45,"11,576",-14.63,"18,000",-33.32,"2,126",1.67,"212,550",24.88
2005M02,"930,991",31.33,"531,379",25.58,"399,612",39.83,"82,391",105.99,"808,761",27.18,"39,839",20.68,"673,651",38.07,"12,735",-16.85,"34,158",40.70,"2,890",31.42,"207,557",15.81
2005M03,"892,384",10.18,"539,624",9.09,"352,760",11.90,"30,352",26.62,"804,086",9.58,"57,946",11.12,"594,102",4.17,"14,633",15.08,"34,328",32.45,"2,685",44.67,"246,636",23.88
2005M04,"968,000",14.94,"576,893",13.49,"391,107",17.14,"32,068",8.53,"855,786",13.95,"80,146",29.98,"698,487",13.92,"14,353",21.99,"24,881",-17.11,"1,804",13.17,"228,475",23.04
2005M05,"966,166",17.17,"571,633",15.05,"394,533",20.36,"30,623",16.18,"858,847",15.95,"76,696",33.23,"682,117",15.16,"14,594",35.39,"31,110",21.49,"1,620",-1.46,"236,725",21.86
2005M06,"995,750",6.20,"582,391",6.29,"413,359",6.07,"41,600",-0.40,"884,785",5.87,"69,365",15.25,"702,706",3.52,"15,296",32.34,"31,625",-10.78,"1,853",-5.02,"244,270",16.37
2005M07,"1,133,434",7.36,"629,985",6.69,"503,449",8.21,"127,429",4.75,"949,872",7.97,"56,133",3.23,"865,165",6.50,"17,280",38.52,"31,714",3.12,"2,235",-1.28,"217,040",9.67
2005M08,"1,109,110",3.43,"614,820",4.03,"494,290",2.69,"122,243",-2.00,"938,652",4.40,"48,215",-0.66,"827,417",1.05,"17,134",32.75,"35,990",0.71,"2,061",0.83,"226,508",11.66
2005M09,"955,678",6.29,"561,054",5.05,"394,624",8.10,"23,534",2.88,"868,787",6.00,"63,357",11.84,"684,978",4.86,"18,245",54.14,"27,177",-5.35,"2,021",11.60,"223,257",9.68
2005M10,"1,020,257",9.79,"597,074",8.57,"423,183",11.56,"27,580",25.89,"914,515",10.03,"78,162",2.57,"722,803",9.07,"18,405",40.18,"25,122",-15.35,"1,638",-3.82,"252,289",13.60
2005M11,"895,288",2.58,"541,577",1.93,"353,711",3.59,"25,027",7.50,"805,511",2.66,"64,750",-0.18,"593,011",-1.53,"22,580",63.43,"25,946",12.68,"1,565",4.89,"252,186",8.60
2005M12,"898,293",1.38,"536,080",1.15,"362,213",1.73,"40,497",4.09,"813,439",1.90,"44,357",-9.15,"587,048",-3.66,"23,311",74.85,"35,392",17.81,"1,825",-8.61,"250,717",8.39
2006M01,"893,161",12.80,"540,645",13.59,"352,516",11.60,"62,395",37.08,"789,178",12.15,"41,588",-2.46,"628,814",14.84,"19,279",66.54,"25,932",44.07,"1,959",-7.86,"217,177",2.18
2006M02,"963,695",3.51,"533,907",0.48,"429,788",7.55,"76,482",-7.17,"835,717",3.33,"51,496",29.26,"677,539",0.58,"21,117",65.82,"28,687",-16.02,"2,150",-25.61,"234,202",12.84
2006M03,"960,759",7.66,"571,640",5.93,"389,119",10.31,"27,931",-7.98,"858,663",6.79,"74,165",27.99,"651,378",9.64,"22,083",50.91,"27,822",-18.95,"2,004",-25.36,"257,472",4.39
2006M04,"1,020,864",5.46,"598,225",3.70,"422,639",8.06,"39,109",21.96,"895,663",4.66,"86,092",7.42,"730,821",4.63,"26,072",81.65,"34,812",39.91,"1,813",0.50,"227,346",-0.49
2006M05,"980,602",1.49,"567,439",-0.73,"413,163",4.72,"30,895",0.89,"869,482",1.24,"80,225",4.60,"697,527",2.26,"24,524",68.04,"29,469",-5.27,"1,659",2.41,"227,423",-3.93
2006M06,"1,009,466",1.38,"584,915",0.43,"424,551",2.71,"45,205",8.67,"895,622",1.22,"68,639",-1.05,"704,339",0.23,"23,076",50.86,"33,361",5.49,"2,064",11.39,"246,626",0.96
2006M07,"1,172,463",3.44,"642,302",1.96,"530,161",5.31,"137,722",8.08,"975,264",2.67,"59,477",5.96,"901,613",4.21,"24,141",39.70,"31,308",-1.28,"2,273",1.70,"213,128",-1.80
2006M08,"1,128,834",1.78,"622,185",1.20,"506,649",2.50,"123,821",1.29,"954,757",1.72,"50,256",4.23,"836,273",1.07,"24,481",42.88,"37,292",3.62,"2,067",0.29,"228,721",0.98
2006M09,"981,986",2.75,"573,669",2.25,"408,317",3.47,"22,218",-5.59,"891,801",2.65,"67,967",7.28,"707,868",3.34,"24,771",35.77,"26,565",-2.25,"1,768",-12.52,"221,014",-1.00
2006M10,"1,077,436",5.60,"615,085",3.02,"462,351",9.26,"32,120",16.46,"957,267",4.67,"88,049",12.65,"775,861",7.34,"24,421",32.69,"22,483",-10.50,"1,837",12.15,"252,834",0.22
2006M11,"970,278",8.38,"579,790",7.06,"390,488",10.40,"25,789",3.04,"864,536",7.33,"79,953",23.48,"651,615",9.88,"27,782",23.04,"22,484",-13.34,"1,548",-1.09,"266,849",5.81
2006M12,"989,150",10.11,"584,222",8.98,"404,928",11.79,"44,315",9.43,"887,907",9.15,"56,928",28.34,"665,219",13.32,"24,861",6.65,"34,120",-3.59,"2,113",15.78,"262,837",4.83
2007M01,"831,893",-6.86,"489,626",-9.44,"342,267",-2.91,"37,118",-40.51,"742,512",-5.91,"52,263",25.67,"557,695",-11.31,"19,839",2.90,"18,548",-28.47,"1,866",-4.75,"233,945",7.72
2007M02,"1,107,611",14.93,"620,309",16.18,"487,302",13.38,"114,571",49.80,"942,701",12.80,"50,339",-2.25,"845,812",24.84,"22,089",4.60,"31,006",8.08,"1,882",-12.47,"206,822",-11.69
2007M03,"990,278",3.07,"574,349",0.47,"415,929",6.89,"34,182",22.38,"880,432",2.54,"75,664",2.02,"644,983",-0.98,"25,436",15.18,"30,217",8.61,"2,215",10.53,"287,427",11.63
2007M04,"1,088,656",6.64,"622,552",4.07,"466,104",10.28,"42,115",7.69,"958,358",7.00,"88,183",2.43,"772,537",5.71,"26,108",0.14,"42,254",21.38,"1,900",4.80,"245,857",8.14
2007M05,"1,011,321",3.13,"579,538",2.13,"431,783",4.51,"29,938",-3.10,"895,685",3.01,"85,698",6.82,"717,300",2.83,"24,890",1.49,"32,564",10.50,"1,650",-0.54,"234,917",3.30
2007M06,"1,091,444",8.12,"624,205",6.72,"467,239",10.05,"48,993",8.38,"967,965",8.08,"74,486",8.52,"770,768",9.43,"24,205",4.89,"42,152",26.35,"2,090",1.26,"252,229",2.27
2007M07,"1,170,989",-0.13,"647,149",0.75,"523,840",-1.19,"130,088",-5.54,"981,587",0.65,"59,314",-0.27,"885,914",-1.74,"25,219",4.47,"35,394",13.05,"2,275",0.09,"222,187",4.25
2007M08,"1,162,311",2.97,"635,718",2.18,"526,593",3.94,"127,765",3.19,"982,208",2.88,"52,338",4.14,"853,830",2.10,"26,070",6.49,"41,859",12.25,"1,936",-6.34,"238,616",4.33
2007M09,"1,085,201",10.51,"619,084",7.92,"466,117",14.16,"31,562",42.06,"986,087",10.57,"67,552",-0.61,"789,607",11.55,"23,321",-5.85,"32,254",21.42,"1,697",-4.02,"238,322",7.83
2007M10,"1,039,188",-3.55,"592,147",-3.73,"447,041",-3.31,"28,401",-11.58,"923,705",-3.51,"87,082",-1.10,"724,669",-6.60,"24,292",-0.53,"29,913",33.05,"1,496",-18.56,"258,818",2.37
2007M11,"1,026,756",5.82,"603,021",4.01,"423,735",8.51,"28,481",10.44,"913,590",5.67,"84,685",5.92,"690,386",5.95,"26,301",-5.33,"31,633",40.69,"1,614",4.26,"276,822",3.74
2007M12,"1,034,300",4.56,"600,449",2.78,"433,851",7.14,"49,388",11.45,"924,028",4.07,"60,884",6.95,"670,384",0.78,"24,848",-0.05,"44,095",29.24,"2,120",0.33,"292,853",11.42
2008M01,"975,039",17.21,"560,292",14.43,"414,747",21.18,"64,370",73.42,"853,856",15.00,"56,813",8.71,"677,597",21.50,"21,251",7.12,"24,831",33.87,"2,194",17.58,"249,166",6.51
2008M02,"1,008,047",-8.99,"561,683",-9.45,"446,364",-8.40,"82,615",-27.89,"873,684",-7.32,"51,748",2.80,"692,913",-18.08,"24,612",11.42,"44,647",43.99,"2,209",17.38,"243,666",17.81
2008M03,"1,033,204",4.33,"596,863",3.92,"436,341",4.91,"36,433",6.59,"917,800",4.24,"78,971",4.37,"691,142",7.16,"17,575",-30.91,"48,571",60.74,"2,285",3.16,"273,631",-4.80
2008M04,"1,044,985",-4.01,"603,638",-3.04,"441,347",-5.31,"32,445",-22.96,"925,079",-3.47,"87,461",-0.82,"742,166",-3.93,"19,541",-25.15,"37,534",-11.17,"1,988",4.63,"243,756",-0.85
2008M05,"1,050,415",3.87,"596,966",3.01,"453,449",5.02,"32,612",8.93,"935,262",4.42,"82,541",-3.68,"735,715",2.57,"21,125",-15.13,"49,230",51.18,"1,714",3.88,"242,631",3.28
2008M06,"1,043,110",-4.43,"597,742",-4.24,"445,368",-4.68,"49,255",0.53,"926,913",-4.24,"66,942",-10.13,"702,656",-8.84,"21,154",-12.60,"59,552",41.28,"2,077",-0.62,"257,671",2.16
2008M07,"1,143,503",-2.35,"629,862",-2.67,"513,641",-1.95,"127,991",-1.61,"959,781",-2.22,"55,731",-6.04,"836,216",-5.61,"29,321",16.27,"50,057",41.43,"2,430",6.81,"225,479",1.48
2008M08,"1,099,580",-5.40,"603,012",-5.14,"496,568",-5.70,"118,599",-7.17,"932,486",-5.06,"48,495",-7.34,"787,993",-7.71,"27,739",6.40,"56,920",35.98,"1,937",0.05,"224,991",-5.71
2008M09,"985,702",-9.17,"567,913",-8.27,"417,789",-10.37,"25,011",-20.76,"892,950",-9.45,"67,741",0.28,"678,300",-14.10,"31,952",37.01,"41,064",27.31,"1,612",-5.01,"232,774",-2.33
2008M10,"1,036,006",-0.31,"592,253",0.02,"443,753",-0.74,"25,936",-8.68,"920,801",-0.31,"89,269",2.51,"708,968",-2.17,"33,674",38.62,"36,985",23.64,"2,951",97.26,"253,428",-2.08
2008M11,"948,511",-7.62,"558,416",-7.40,"390,095",-7.94,"27,154",-4.66,"842,486",-7.78,"78,871",-6.87,"621,287",-10.01,"33,811",28.55,"36,902",16.66,"2,722",68.65,"253,789",-8.32
2008M12,"929,723",-10.11,"533,318",-11.18,"396,405",-8.63,"44,727",-9.44,"831,181",-10.05,"53,815",-11.61,"577,685",-13.83,"33,159",33.45,"53,746",21.89,"3,579",68.82,"261,554",-10.69
2009M01,"994,996",2.05,"564,345",0.72,"430,651",3.83,"79,942",24.19,"864,395",1.23,"50,659",-10.83,"718,100",5.98,"42,630",100.60,"41,073",65.41,"2,996",36.55,"190,197",-23.67
2009M02,"842,801",-16.39,"458,945",-18.29,"383,856",-14.00,"53,173",-35.64,"734,799",-15.90,"54,829",5.95,"539,499",-22.14,"41,304",67.82,"38,535",-13.69,"2,266",2.58,"221,197",-9.22
2009M03,"1,021,407",-1.14,"575,241",-3.62,"446,166",2.25,"29,630",-18.67,"895,719",-2.41,"96,058",21.64,"626,206",-9.40,"85,731",387.80,"51,463",5.95,"3,083",34.92,"254,924",-6.84
2009M04,"1,123,921",7.55,"618,325",2.43,"505,596",14.56,"39,922",23.05,"962,831",4.08,"121,168",38.54,"675,435",-8.99,"129,994",565.24,"79,487",111.77,"2,975",49.65,"236,030",-3.17
2009M05,"1,019,722",-2.92,"564,553",-5.43,"455,169",0.38,"30,012",-7.97,"896,814",-4.11,"92,896",12.55,"653,347",-11.20,"109,043",416.18,"56,771",15.32,"2,943",71.70,"197,618",-18.55
2009M06,"896,740",-14.03,"516,281",-13.63,"380,459",-14.57,"40,429",-17.92,"798,672",-13.84,"57,639",-13.90,"575,357",-18.12,"55,543",162.56,"54,580",-8.35,"3,529",69.91,"207,731",-19.38
2009M07,"1,111,171",-2.83,"608,755",-3.35,"502,416",-2.19,"113,161",-11.59,"941,803",-1.87,"56,207",0.85,"764,453",-8.58,"68,580",133.89,"57,833",15.53,"4,166",71.44,"216,139",-4.14
2009M08,"1,212,262",10.25,"641,882",6.45,"570,380",14.86,"129,000",8.77,"1,023,531",9.76,"59,731",23.17,"844,771",7.21,"78,822",184.16,"64,031",12.49,"3,302",70.47,"221,336",-1.62
2009M09,"995,336",0.98,"568,984",0.19,"426,352",2.05,"22,581",-9.72,"906,164",1.48,"66,591",-1.70,"654,691",-3.48,"63,009",97.20,"39,614",-3.53,"2,340",45.16,"235,682",1.25
2009M10,"1,041,660",0.55,"589,872",-0.40,"451,788",1.81,"30,133",16.18,"923,830",0.33,"87,697",-1.76,"673,448",-5.01,"76,162",126.17,"46,221",24.97,"2,720",-7.83,"243,109",-4.07
2009M11,"1,114,994",17.55,"629,777",12.78,"485,217",24.38,"30,623",12.78,"985,521",16.98,"98,850",25.33,"704,505",13.39,"112,337",232.25,"41,950",13.68,"3,704",36.08,"252,498",-0.51
2009M12,"1,138,278",22.43,"638,709",19.76,"499,569",26.02,"54,006",20.75,"1,012,112",21.77,"72,160",34.09,"688,472",19.18,"89,854",170.98,"62,563",16.40,"3,768",5.28,"293,621",12.26
2010M01,"1,023,028",2.82,"560,036",-0.76,"462,992",7.51,"59,956",-25.00,"895,426",3.59,"67,646",33.53,"677,047",-5.72,"85,507",100.58,"31,199",-24.04,"1,836",-38.72,"227,439",19.58
2010M02,"1,288,818",52.92,"685,665",49.40,"603,153",57.13,"129,865",144.23,"1,092,070",48.62,"66,883",21.98,"901,675",67.13,"106,146",156.99,"56,203",45.85,"1,935",-14.61,"222,859",0.75
2010M03,"1,199,317",17.42,"655,294",13.92,"544,023",21.93,"37,959",28.11,"1,045,045",16.67,"116,313",21.09,"682,805",9.04,"148,156",72.81,"53,956",4.84,"2,150",-30.26,"312,250",22.49
2010M04,"1,240,871",10.41,"680,351",10.03,"560,520",10.86,"38,882",-2.61,"1,065,702",10.68,"136,287",12.48,"734,471",8.74,"179,045",37.73,"62,402",-21.49,"2,068",-30.49,"262,885",11.38
2010M05,"1,253,969",22.97,"689,703",22.17,"564,266",23.97,"35,582",18.56,"1,093,241",21.90,"125,146",34.72,"748,113",14.50,"177,843",63.09,"60,403",6.40,"1,905",-35.27,"265,705",34.45
2010M06,"1,255,978",40.06,"687,894",33.24,"568,084",49.32,"54,554",34.94,"1,103,338",38.15,"98,086",70.17,"785,531",36.53,"133,511",140.37,"70,215",28.65,"2,265",-35.82,"264,456",27.31
2010M07,"1,380,990",24.28,"733,848",20.55,"647,142",28.81,"150,311",32.83,"1,158,254",22.98,"72,425",28.85,"953,227",24.69,"127,065",85.28,"63,897",10.49,"2,302",-44.74,"234,499",8.49
