期間,受理件數(件)_原始值,受理件數(件)_年增率(%),受理件數(件)-初次認定申請件數_原始值,受理件數(件)-初次認定申請件數_年增率(%),受理件數(件)-再次認定申請件數_原始值,受理件數(件)-再次認定申請件數_年增率(%),核付件數(件)_原始值,核付件數(件)_年增率(%),核付件數(件)-初次認定核付件數_原始值,核付件數(件)-初次認定核付件數_年增率(%),核付件數(件)-再次認定核付件數_原始值,核付件數(件)-再次認定核付件數_年增率(%),核付金額(千元)_原始值,核付金額(千元)_年增率(%),推介就業人數(人)_原始值,推介就業人數(人)_年增率(%),安排職訓人數(人)_原始值,安排職訓人數(人)_年增率(%)
2000M10,"9,658",65.58,"2,543",52.73,"7,115",70.71,"9,421",62.99,"2,322",32.08,"7,099",76.50,"150,359",60.98,24,-33.33,4,-69.23
2000M11,"11,252",63.45,"3,185",75.48,"8,067",59.14,"10,734",67.46,"2,883",69.69,"7,851",66.65,"171,480",71.15,17,-39.29,4,-77.78
2000M12,"12,579",60.98,"3,813",122.20,"8,766",43.75,"12,400",70.66,"3,776",154.10,"8,624",49.20,"195,851",72.85,56,180.00,13,225.00
2001M01,"21,078",140.75,"8,767",301.24,"12,311",87.38,"15,189",87.06,"6,569",241.96,"8,620",39.05,"242,134",95.81,9,-75.68,1,-92.31
2001M02,"22,691",212.59,"6,442",449.66,"16,249",166.95,"23,441",240.76,"6,888",377.34,"16,553",204.51,"375,776",253.51,99,191.18,14,75.00
2001M03,"31,375",235.85,"8,066",363.03,"23,309",206.70,"31,013",222.72,"8,005",393.83,"23,008",188.00,"498,186",234.47,140,288.89,13,8.33
2001M04,"29,602",286.05,"6,408",299.25,"23,194",282.55,"25,244",237.85,"5,799",316.59,"19,445",219.82,"408,291",248.15,90,109.30,20,150.00
2001M05,"37,117",359.82,"7,916",444.80,"29,201",341.17,"39,624",379.30,"8,435",437.26,"31,189",365.72,"635,303",384.27,114,307.14,23,109.09
2001M06,"36,706",395.63,"8,177",485.74,"28,529",374.69,"33,469",366.34,"7,634",438.36,"25,835",348.60,"534,673",364.90,192,"2,033.33",35,133.33
2001M07,"42,227",421.13,"11,917",446.40,"30,310",411.82,"39,755",417.58,"10,444",470.71,"29,311",400.96,"635,539",410.76,158,485.19,51,750.00
2001M08,"50,768",460.29,"13,370",577.99,"37,398",427.55,"43,902",407.30,"11,717",467.96,"32,185",388.32,"707,552",407.88,177,555.56,49,188.24
2001M09,"46,185",440.43,"9,554",447.82,"36,631",438.53,"42,686",384.41,"10,598",495.73,"32,088",356.25,"686,985",388.23,152,590.91,29,70.59
2001M10,"59,004",510.93,"12,025",372.87,"46,979",560.28,"59,845",535.23,"11,427",392.12,"48,418",582.04,"962,762",540.31,105,337.50,25,525.00
2001M11,"59,696",430.54,"14,599",358.37,"45,097",459.03,"72,083",571.54,"16,851",484.50,"55,232",603.50,"1,165,355",579.59,255,"1,400.00",48,"1,100.00"
2001M12,"57,947",360.66,"11,181",193.23,"46,766",433.49,"59,600",380.65,"10,492",177.86,"49,108",469.43,"972,880",396.74,162,189.29,9,-30.77
2002M01,"75,852",259.86,"17,770",102.69,"58,082",371.79,"68,990",354.21,"15,287",132.71,"53,703",523.00,"1,139,993",370.81,164,"1,722.22",5,400.00
2002M02,"60,919",168.47,"8,559",32.86,"52,360",222.24,"50,008",113.34,"9,165",33.06,"40,843",146.74,"838,025",123.01,109,10.10,7,-50.00
2002M03,"73,647",134.73,"11,991",48.66,"61,656",164.52,"75,024",141.91,"10,579",32.15,"64,445",180.10,"1,248,584",150.63,179,27.86,16,23.08
2002M04,"64,083",116.48,"9,336",45.69,"54,747",136.04,"63,469",151.42,"9,471",63.32,"53,998",177.70,"1,063,426",160.46,291,223.33,13,-35.00
2002M05,"59,319",59.82,"8,485",7.19,"50,834",74.08,"64,672",63.21,"9,349",10.84,"55,323",77.38,"1,085,821",70.91,440,285.96,157,582.61
2002M06,"47,341",28.97,"6,124",-25.11,"41,217",44.47,"47,760",42.70,"6,127",-19.74,"41,633",61.15,"805,456",50.64,412,114.58,174,397.14
2002M07,"47,356",12.15,"7,302",-38.73,"40,054",32.15,"51,200",28.79,"7,542",-27.79,"43,658",48.95,"856,192",34.72,433,174.05,399,682.35
2002M08,"40,494",-20.24,"7,202",-46.13,"33,292",-10.98,"34,440",-21.55,"6,042",-48.43,"28,398",-11.77,"576,884",-18.47,536,202.82,224,357.14
2002M09,"37,398",-19.03,"7,916",-17.14,"29,482",-19.52,"43,322",1.49,"8,235",-22.30,"35,087",9.35,"719,508",4.73,563,270.39,373,"1,186.21"
2002M10,"40,485",-31.39,"7,880",-34.47,"32,605",-30.60,"37,020",-38.14,"7,182",-37.15,"29,838",-38.37,"614,603",-36.16,458,336.19,209,736.00
2002M11,"35,112",-41.18,"7,016",-51.94,"28,096",-37.70,"35,819",-50.31,"7,186",-57.36,"28,633",-48.16,"595,372",-48.91,687,169.41,383,697.92
2002M12,"33,151",-42.79,"5,881",-47.40,"27,270",-41.69,"39,916",-33.03,"7,095",-32.38,"32,821",-33.17,"660,256",-32.13,577,256.17,115,"1,177.78"
2003M01,"38,653",-49.04,"7,400",-58.36,"31,253",-46.19,"29,108",-57.81,"5,018",-67.17,"24,090",-55.14,"491,467",-56.89,498,203.66,340,"6,700.00"
2003M02,"29,154",-52.14,"5,243",-38.74,"23,911",-54.33,"29,012",-41.99,"5,037",-45.04,"23,975",-41.30,"487,790",-41.79,318,191.74,240,"3,328.57"
2003M03,"34,075",-53.73,"6,827",-43.07,"27,248",-55.81,"32,115",-57.19,"6,509",-38.47,"25,606",-60.27,"537,723",-56.93,466,160.34,600,"3,650.00"
2003M04,"28,790",-55.07,"5,969",-36.06,"22,821",-58.32,"29,781",-53.08,"6,000",-36.65,"23,781",-55.96,"501,273",-52.86,515,76.98,718,"5,423.08"
2003M05,"28,393",-52.14,"5,870",-30.82,"22,523",-55.69,"24,382",-62.30,"4,747",-49.22,"19,635",-64.51,"410,914",-62.16,562,27.73,"1,033",557.96
2003M06,"24,198",-48.89,"5,649",-7.76,"18,549",-55.00,"24,704",-48.27,"5,241",-14.46,"19,463",-53.25,"414,801",-48.50,462,12.14,780,348.28
2003M07,"29,120",-38.51,"6,716",-8.03,"22,404",-44.07,"30,930",-39.59,"7,036",-6.71,"23,894",-45.27,"516,761",-39.64,496,14.55,841,110.78
2003M08,"25,070",-38.09,"5,613",-22.06,"19,457",-41.56,"24,172",-29.81,"5,370",-11.12,"18,802",-33.79,"400,842",-30.52,514,-4.10,955,326.34
2003M09,"26,850",-28.20,"5,327",-32.71,"21,523",-27.00,"25,365",-41.45,"5,329",-35.29,"20,036",-42.90,"422,934",-41.22,432,-23.27,762,104.29
2003M10,"25,652",-36.64,"4,945",-37.25,"20,707",-36.49,"27,374",-26.06,"5,184",-27.82,"22,190",-25.63,"458,321",-25.43,862,88.21,493,135.89
2003M11,"21,776",-37.98,"4,234",-39.65,"17,542",-37.56,"21,439",-40.15,"4,020",-44.06,"17,419",-39.16,"360,740",-39.41,712,3.64,169,-55.87
2003M12,"25,102",-24.28,"4,887",-16.90,"20,215",-25.87,"26,958",-32.46,"5,046",-28.88,"21,912",-33.24,"455,168",-31.06,619,7.28,73,-36.52
2004M01,"22,163",-42.66,"4,771",-35.53,"17,392",-44.35,"14,681",-49.56,"2,527",-49.64,"12,154",-49.55,"248,314",-49.47,584,17.27,314,-7.65
2004M02,"18,363",-37.01,"3,576",-31.79,"14,787",-38.16,"24,293",-16.27,"5,230",3.83,"19,063",-20.49,"418,969",-14.11,640,101.26,327,36.25
2004M03,"22,378",-34.33,"4,472",-34.50,"17,906",-34.29,"21,872",-31.89,"4,358",-33.05,"17,514",-31.60,"376,937",-29.90,760,63.09,451,-24.83
2004M04,"18,066",-37.25,"3,670",-38.52,"14,396",-36.92,"17,359",-41.71,"3,380",-43.67,"13,979",-41.22,"298,529",-40.45,910,76.70,700,-2.51
2004M05,"17,911",-36.92,"3,357",-42.81,"14,554",-35.38,"15,349",-37.05,"2,842",-40.13,"12,507",-36.30,"265,369",-35.42,"1,199",113.35,441,-57.31
2004M06,"16,011",-33.83,"3,018",-46.57,"12,993",-29.95,"15,083",-38.95,"2,840",-45.81,"12,243",-37.10,"260,856",-37.11,832,80.09,582,-25.38
2004M07,"15,529",-46.67,"3,702",-44.88,"11,827",-47.21,"16,621",-46.26,"3,391",-51.81,"13,230",-44.63,"290,588",-43.77,624,25.81,669,-20.45
2004M08,"16,506",-34.16,"4,451",-20.70,"12,055",-38.04,"13,796",-42.93,"3,778",-29.65,"10,018",-46.72,"236,587",-40.98,773,50.39,594,-37.80
2004M09,"16,465",-38.68,"4,484",-15.83,"11,981",-44.33,"16,910",-33.33,"3,729",-30.02,"13,181",-34.21,"294,027",-30.48,860,99.07,461,-39.50
2004M10,"17,537",-31.63,"4,468",-9.65,"13,069",-36.89,"16,937",-38.13,"4,787",-7.66,"12,150",-45.25,"296,662",-35.27,"1,033",19.84,260,-47.26
2004M11,"19,714",-9.47,"5,219",23.26,"14,495",-17.37,"18,595",-13.27,"5,087",26.54,"13,508",-22.45,"327,608",-9.18,"1,175",65.03,207,22.49
2004M12,"20,867",-16.87,"4,318",-11.64,"16,549",-18.14,"20,601",-23.58,"4,205",-16.67,"16,396",-25.17,"365,711",-19.65,974,57.35,221,202.74
2005M01,"20,658",-6.79,"5,499",15.26,"15,159",-12.84,"20,439",39.22,"5,016",98.50,"15,423",26.90,"360,489",45.17,744,27.40,206,-34.39
2005M02,"18,226",-0.75,"3,936",10.07,"14,290",-3.36,"17,398",-28.38,"4,609",-11.87,"12,789",-32.91,"305,498",-27.08,653,2.03,487,48.93
2005M03,"23,514",5.08,"4,904",9.66,"18,610",3.93,"26,051",19.11,"4,436",1.79,"21,615",23.42,"460,374",22.14,"1,013",33.29,309,-31.49
2005M04,"19,255",6.58,"4,185",14.03,"15,070",4.68,"18,076",4.13,"3,993",18.14,"14,083",0.74,"315,758",5.77,855,-6.04,371,-47.00
2005M05,"19,629",9.59,"4,124",22.85,"15,505",6.53,"19,252",25.43,"4,287",50.84,"14,965",19.65,"340,908",28.47,876,-26.94,677,53.51
2005M06,"19,269",20.35,"4,748",57.32,"14,521",11.76,"19,643",30.23,"4,444",56.48,"15,199",24.14,"345,512",32.45,962,15.62,718,23.37
2005M07,"20,476",31.86,"5,975",61.40,"14,501",22.61,"18,804",13.13,"5,105",50.55,"13,699",3.54,"329,685",13.45,830,33.01,936,39.91
2005M08,"22,870",38.56,"5,807",30.47,"17,063",41.54,"21,859",58.44,"5,855",54.98,"16,004",59.75,"379,527",60.42,890,15.14,900,51.52
2005M09,"21,745",32.07,"5,403",20.50,"16,342",36.40,"22,056",30.43,"5,434",45.72,"16,622",26.11,"385,768",31.20,"1,045",21.51,799,73.32
2005M10,"21,898",24.87,"4,677",4.68,"17,221",31.77,"21,041",24.23,"4,493",-6.14,"16,548",36.20,"371,357",25.18,836,-19.07,534,105.38
2005M11,"23,393",18.66,"5,040",-3.43,"18,353",26.62,"23,587",26.85,"5,279",3.77,"18,308",35.53,"416,252",27.06,864,-26.47,255,23.19
2005M12,"23,649",13.33,"4,796",11.07,"18,853",13.92,"22,394",8.70,"4,536",7.87,"17,858",8.92,"395,196",8.06,669,-31.31,158,-28.51
2006M01,"22,765",10.20,"5,911",7.49,"16,854",11.18,"22,175",8.49,"5,072",1.12,"17,103",10.89,"391,305",8.55,499,-32.93,157,-23.79
2006M02,"23,046",26.45,"5,038",28.00,"18,008",26.02,"22,160",27.37,"4,870",5.66,"17,290",35.19,"394,926",29.27,626,-4.13,298,-38.81
2006M03,"27,262",15.94,"6,095",24.29,"21,167",13.74,"29,731",14.13,"6,614",49.10,"23,117",6.95,"535,756",16.37,"1,071",5.73,587,89.97
2006M04,"20,450",6.21,"4,424",5.71,"16,026",6.34,"19,605",8.46,"4,233",6.01,"15,372",9.15,"351,226",11.23,920,7.60,341,-8.09
2006M05,"22,976",17.05,"4,645",12.63,"18,331",18.23,"22,548",17.12,"4,860",13.37,"17,688",18.20,"407,340",19.49,"1,104",26.03,764,12.85
2006M06,"22,149",14.95,"4,841",1.96,"17,308",19.19,"22,750",15.82,"4,757",7.04,"17,993",18.38,"412,958",19.52,950,-1.25,832,15.88
2006M07,"21,671",5.84,"5,460",-8.62,"16,211",11.79,"20,802",10.63,"4,979",-2.47,"15,823",15.50,"375,281",13.83,896,7.95,754,-19.44
2006M08,"23,909",4.54,"6,236",7.39,"17,673",3.57,"23,047",5.43,"5,464",-6.68,"17,583",9.87,"414,676",9.26,"1,534",72.36,609,-32.33
2006M09,"21,875",0.60,"5,478",1.39,"16,397",0.34,"22,263",0.94,"5,988",10.20,"16,275",-2.09,"401,817",4.16,"1,043",-0.19,505,-36.80
2006M10,"24,452",11.66,"5,595",19.63,"18,857",9.50,"23,946",13.81,"5,526",22.99,"18,420",11.31,"427,626",15.15,"1,212",44.98,343,-35.77
2006M11,"23,199",-0.83,"5,611",11.33,"17,588",-4.17,"23,793",0.87,"5,522",4.60,"18,271",-0.20,"421,676",1.30,"1,225",41.78,282,10.59
2006M12,"25,010",5.76,"5,985",24.79,"19,025",0.91,"23,991",7.13,"5,609",23.66,"18,382",2.93,"423,345",7.12,"1,078",61.14,534,237.97
2007M01,"28,937",27.11,"7,991",35.19,"20,946",24.28,"27,375",23.45,"6,988",37.78,"20,387",19.20,"485,332",24.03,"1,020",104.41,165,5.10
2007M02,"23,178",0.57,"6,815",35.27,"16,363",-9.13,"16,728",-24.51,"4,470",-8.21,"12,258",-29.10,"295,056",-25.29,749,19.65,221,-25.84
2007M03,"32,514",19.26,"6,382",4.71,"26,132",23.46,"37,670",26.70,"8,832",33.53,"28,838",24.75,"670,217",25.10,"1,577",47.25,820,39.69
2007M04,"25,420",24.30,"5,528",24.95,"19,892",24.12,"25,416",29.64,"5,575",31.70,"19,841",29.07,"452,153",28.74,"1,747",89.89,725,112.61
2007M05,"27,728",20.68,"6,189",33.24,"21,539",17.50,"27,866",23.59,"5,989",23.23,"21,877",23.68,"499,045",22.51,"1,659",50.27,"1,420",85.86
2007M06,"23,080",4.20,"4,898",1.18,"18,182",5.05,"23,772",4.49,"5,182",8.93,"18,590",3.32,"428,114",3.67,"1,676",76.42,975,17.19
2007M07,"25,628",18.26,"5,892",7.91,"19,736",21.74,"23,442",12.69,"5,254",5.52,"18,188",14.95,"422,501",12.58,"1,509",68.42,755,0.13
2007M08,"23,745",-0.69,"5,493",-11.91,"18,252",3.28,"25,227",9.46,"5,611",2.69,"19,616",11.56,"454,979",9.72,"2,960",92.96,836,37.27
2007M09,"15,593",-28.72,"3,410",-37.75,"12,183",-25.70,"17,500",-21.39,"3,667",-38.76,"13,833",-15.00,"313,595",-21.96,"2,724",161.17,583,15.45
2007M10,"29,764",21.72,"7,099",26.88,"22,665",20.19,"27,539",15.00,"6,449",16.70,"21,090",14.50,"497,436",16.33,"3,091",155.03,549,60.06
2007M11,"22,816",-1.65,"5,471",-2.50,"17,345",-1.38,"22,286",-6.33,"5,266",-4.64,"17,020",-6.85,"401,850",-4.70,"3,361",174.37,510,80.85
2007M12,"21,686",-13.29,"5,079",-15.14,"16,607",-12.71,"24,038",0.20,"5,280",-5.87,"18,758",2.05,"432,741",2.22,"2,955",174.12,910,70.41
2008M01,"30,021",3.75,"8,890",11.25,"21,131",0.88,"29,719",8.56,"8,487",21.45,"21,232",4.14,"531,904",9.60,"2,438",139.02,238,44.24
2008M02,"24,554",5.94,"5,505",-19.22,"19,049",16.42,"20,972",25.37,"5,615",25.62,"15,357",25.28,"373,661",26.64,"2,468",229.51,286,29.41
2008M03,"28,626",-11.96,"6,842",7.21,"21,784",-16.64,"28,009",-25.65,"5,767",-34.70,"22,242",-22.87,"500,559",-25.31,"4,039",156.12,762,-7.07
2008M04,"27,297",7.38,"7,091",28.27,"20,206",1.58,"26,976",6.14,"6,780",21.61,"20,196",1.79,"483,761",6.99,"3,666",109.85,"1,254",72.97
2008M05,"26,902",-2.98,"6,211",0.36,"20,691",-3.94,"26,273",-5.72,"6,158",2.82,"20,115",-8.05,"471,202",-5.58,"3,744",125.68,693,-51.20
2008M06,"25,269",9.48,"5,594",14.21,"19,675",8.21,"24,528",3.18,"5,308",2.43,"19,220",3.39,"441,344",3.09,"3,315",97.79,"1,109",13.74
2008M07,"28,667",11.86,"7,142",21.22,"21,525",9.06,"27,684",18.10,"5,971",13.65,"21,713",19.38,"501,227",18.63,"3,042",101.59,929,23.05
2008M08,"27,251",14.77,"7,748",41.05,"19,503",6.85,"27,222",7.91,"7,704",37.30,"19,518",-0.50,"495,177",8.84,"3,641",23.01,"1,026",22.73
2008M09,"29,001",85.99,"7,830",129.62,"21,171",73.77,"27,770",58.69,"7,740",111.07,"20,030",44.80,"505,397",61.16,"3,411",25.22,731,25.39
2008M10,"36,072",21.19,"10,271",44.68,"25,801",13.84,"35,268",28.07,"9,557",48.19,"25,711",21.91,"641,410",28.94,"3,108",0.55,560,2.00
2008M11,"37,970",66.42,"14,304",161.45,"23,666",36.44,"32,518",45.91,"10,635",101.96,"21,883",28.57,"583,230",45.14,"2,741",-18.45,430,-15.69
2008M12,"67,842",212.84,"30,284",496.26,"37,558",126.16,"63,251",163.13,"26,773",407.06,"36,478",94.47,"1,117,000",158.12,"3,536",19.66,"1,705",87.36
2009M01,"72,548",141.66,"33,079",272.09,"39,469",86.78,"55,152",85.58,"25,359",198.80,"29,793",40.32,"961,258",80.72,"3,086",26.58,"1,101",362.61
2009M02,"120,195",389.51,"35,208",539.56,"84,987",346.15,"116,570",455.84,"38,563",586.79,"78,007",407.96,"2,036,649",445.05,"5,775",134.00,"2,868",902.80
2009M03,"124,460",334.78,"28,043",309.87,"96,417",342.60,"123,859",342.21,"27,165",371.04,"96,694",334.74,"2,139,905",327.50,"8,250",104.26,"2,774",264.04
2009M04,"114,843",320.72,"21,314",200.58,"93,529",362.88,"111,400",312.96,"22,147",226.65,"89,253",341.93,"1,913,053",295.45,"8,066",120.02,"2,875",129.27
2009M05,"105,776",293.19,"16,033",158.14,"89,743",333.73,"88,618",237.30,"12,229",98.59,"76,389",279.76,"1,555,397",230.09,"7,882",110.52,"2,729",293.80
2009M06,"120,276",375.98,"16,151",188.72,"104,125",429.22,"129,884",429.53,"17,729",234.01,"112,155",483.53,"2,531,788",473.65,"9,005",171.64,"3,765",239.50
2009M07,"104,203",263.49,"14,660",105.26,"89,543",316.00,"113,651",310.53,"15,208",154.70,"98,443",353.38,"2,219,897",342.89,"8,011",163.35,"2,821",203.66
2009M08,"88,296",224.01,"13,669",76.42,"74,627",282.64,"87,290",220.66,"12,651",64.21,"74,639",282.41,"1,705,634",244.45,"7,244",98.96,"2,923",184.89
2009M09,"83,023",186.28,"11,601",48.16,"71,422",237.36,"87,493",215.06,"11,177",44.41,"76,316",281.01,"1,718,866",240.10,"7,505",120.02,"2,825",286.46
2009M10,"72,626",101.34,"9,761",-4.97,"62,865",143.65,"75,350",113.65,"9,287",-2.83,"66,063",156.94,"1,479,707",130.70,"5,975",92.25,"2,028",262.14
2009M11,"63,109",66.21,"8,513",-40.49,"54,596",130.69,"60,982",87.53,"8,141",-23.45,"52,841",141.47,"1,196,382",105.13,"5,606",104.52,"2,043",375.12
2009M12,"66,114",-2.55,"9,284",-69.34,"56,830",51.31,"69,054",9.17,"9,116",-65.95,"59,938",64.31,"1,366,341",22.32,"5,207",47.26,"1,804",5.81
2010M01,"52,537",-27.58,"8,379",-74.67,"44,158",11.88,"51,046",-7.44,"7,594",-70.05,"43,452",45.85,"1,010,879",5.16,"4,250",37.72,"1,297",17.80
2010M02,"49,447",-58.86,"9,466",-73.11,"39,981",-52.96,"36,496",-68.69,"5,384",-86.04,"31,112",-60.12,"717,054",-64.79,"4,298",-25.58,"1,207",-57.91
2010M03,"55,944",-55.05,"8,133",-71.00,"47,811",-50.41,"70,712",-42.91,"11,736",-56.80,"58,976",-39.01,"1,396,462",-34.74,"7,506",-9.02,"2,277",-17.92
2010M04,"45,397",-60.47,"8,593",-59.68,"36,804",-60.65,"45,324",-59.31,"8,670",-60.85,"36,654",-58.93,"904,383",-52.73,"6,950",-13.84,"1,804",-37.25
2010M05,"41,638",-60.64,"6,868",-57.16,"34,770",-61.26,"42,015",-52.59,"6,562",-46.34,"35,453",-53.59,"839,386",-46.03,"5,727",-27.34,"1,617",-40.75
2010M06,"39,361",-67.27,"6,089",-62.30,"33,272",-68.05,"40,363",-68.92,"6,228",-64.87,"34,135",-69.56,"814,760",-67.82,"5,262",-41.57,"1,875",-50.20
2010M07,"37,293",-64.21,"6,449",-56.01,"30,844",-65.55,"37,478",-67.02,"6,063",-60.13,"31,415",-68.09,"755,183",-65.98,"5,011",-37.45,"1,393",-50.62
2010M08,"38,102",-56.85,"8,785",-35.73,"29,317",-60.72,"37,156",-57.43,"8,089",-36.06,"29,067",-61.06,"757,488",-55.59,"5,208",-28.11,"1,614",-44.78
2010M09,"34,518",-58.42,"6,847",-40.98,"27,671",-61.26,"33,408",-61.82,"6,565",-41.26,"26,843",-64.83,"680,170",-60.43,"6,476",-13.71,"1,857",-34.27
2010M10,"32,400",-55.39,"5,929",-39.26,"26,471",-57.89,"34,038",-54.83,"5,839",-37.13,"28,199",-57.31,"688,525",-53.47,"4,748",-20.54,783,-61.39
2010M11,"32,854",-47.94,"5,867",-31.08,"26,987",-50.57,"31,453",-48.42,"5,751",-29.36,"25,702",-51.36,"630,663",-47.29,"4,702",-16.13,787,-61.48
2010M12,"32,772",-50.43,"5,381",-42.04,"27,391",-51.80,"35,354",-48.80,"5,535",-39.28,"29,819",-50.25,"715,840",-47.61,"4,855",-6.76,827,-54.16
2011M01,"29,843",-43.20,"6,082",-27.41,"23,761",-46.19,"29,253",-42.69,"5,489",-27.72,"23,764",-45.31,"592,202",-41.42,"3,640",-14.35,641,-50.58
2011M02,"25,474",-48.48,"4,984",-47.35,"20,490",-48.75,"23,117",-36.66,"4,899",-9.01,"18,218",-41.44,"467,324",-34.83,"4,235",-1.47,809,-32.97
2011M03,"30,991",-44.60,"6,315",-22.35,"24,676",-48.39,"31,425",-55.56,"5,460",-53.48,"25,965",-55.97,"637,830",-54.33,"6,412",-14.58,"1,414",-37.90
2011M04,"21,240",-53.21,"4,531",-47.27,"16,709",-54.60,"23,785",-47.52,"5,254",-39.40,"18,531",-49.44,"484,043",-46.48,"5,126",-26.24,800,-55.65
2011M05,"25,733",-38.20,"4,720",-31.28,"21,013",-39.57,"22,716",-45.93,"4,230",-35.54,"18,486",-47.86,"464,005",-44.72,"3,881",-32.23,"1,075",-33.52
2011M06,"21,473",-45.45,"4,310",-29.22,"17,163",-48.42,"21,777",-46.05,"3,989",-35.95,"17,788",-47.89,"448,910",-44.90,"3,538",-32.76,"1,254",-33.12
2011M07,"21,224",-43.09,"4,988",-22.65,"16,236",-47.36,"21,227",-43.36,"5,009",-17.38,"16,218",-48.37,"440,719",-41.64,"3,781",-24.55,996,-28.50
2011M08,"25,949",-31.90,"8,519",-3.03,"17,430",-40.55,"25,396",-31.65,"7,767",-3.98,"17,629",-39.35,"537,378",-29.06,"4,587",-11.92,"1,173",-27.32
2011M09,"21,460",-37.83,"5,162",-24.61,"16,298",-41.10,"21,856",-34.58,"5,532",-15.73,"16,324",-39.19,"457,206",-32.78,"4,766",-26.41,"1,167",-37.16
2011M10,"20,801",-35.80,"5,281",-10.93,"15,520",-41.37,"20,303",-40.35,"4,999",-14.39,"15,304",-45.73,"423,364",-38.51,"3,410",-28.18,769,-1.79
2011M11,"22,933",-30.20,"6,122",4.35,"16,811",-37.71,"22,371",-28.87,"5,522",-3.98,"16,849",-34.44,"468,748",-25.67,"3,408",-27.52,958,21.73
2011M12,"23,692",-27.71,"5,820",8.16,"17,872",-34.75,"23,300",-34.10,"5,887",6.36,"17,413",-41.60,"488,123",-31.81,"3,022",-37.75,672,-18.74
2012M01,"24,879",-16.63,"7,146",17.49,"17,733",-25.37,"18,434",-36.98,"4,024",-26.69,"14,410",-39.36,"385,572",-34.89,"2,241",-38.43,285,-55.54
2012M02,"25,258",-0.85,"6,422",28.85,"18,836",-8.07,"28,713",24.21,"8,139",66.14,"20,574",12.93,"602,466",28.92,"3,684",-13.01,639,-21.01
