期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交量(十億股)_原始值,成交量(十億股)_年增率(%),日平均值(十億元)_原始值,日平均值(十億元)_年增率(%),交易日數_原始值,交易日數_年增率(%),交易所股價指數(月平均)_原始值,交易所股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
2005M03,"1,677.54",-54.88,62.98,-57.84,72.94,-54.88,23,0.00,"6,103.94",-8.32,"1,080,336",-41.98
2005M04,"1,192.19",-62.18,43.36,-62.84,59.61,-58.39,20,-9.09,"5,876.11",-11.85,"893,955",-48.08
2005M05,"1,309.17",-29.34,46.25,-37.01,62.34,-29.34,21,0.00,"5,930.40",0.32,"870,001",-35.21
2005M06,"1,822.19",25.06,74.51,26.93,82.83,19.37,22,4.76,"6,221.29",8.04,"1,035,018",-8.05
2005M07,"1,885.30",61.81,67.31,40.00,94.26,77.98,20,-9.09,"6,334.58",14.06,"1,046,453",8.63
2005M08,"1,726.64",39.12,55.57,7.13,78.48,26.46,22,10.00,"6,243.56",13.57,"1,044,951",15.91
2005M09,"1,368.79",-20.92,44.54,-40.42,65.18,-20.92,21,0.00,"6,066.80",3.43,"890,655",-19.92
2005M10,"1,415.50",-13.54,47.13,-34.06,70.78,-13.54,20,0.00,"5,879.88",-0.09,"938,888",-17.49
2005M11,"1,721.98",12.71,54.20,-15.76,78.27,12.72,22,0.00,"6,024.75",2.37,"970,945",-7.32
2005M12,"2,425.32",74.47,75.81,28.49,110.24,82.40,22,-4.35,"6,377.19",6.87,"1,122,241",11.33
2006M01,"2,163.52",87.30,64.76,30.14,120.20,118.51,18,-14.29,"6,609.32",11.69,"1,107,517",21.38
2006M02,"1,575.56",40.78,45.96,9.17,92.68,7.65,17,30.77,"6,614.03",8.42,"991,503",9.98
2006M03,"2,066.22",23.17,51.79,-17.77,89.84,23.17,23,0.00,"6,500.62",6.50,"1,080,365",0.00
2006M04,"2,333.83",95.76,70.07,61.60,122.83,106.06,19,-5.00,"6,941.09",18.12,"1,257,594",40.68
2006M05,"2,771.20",111.68,88.99,92.41,131.96,111.68,21,0.00,"7,123.00",20.11,"1,332,097",53.11
2006M06,"1,977.93",8.55,56.31,-24.43,89.91,8.55,22,0.00,"6,547.77",5.25,"1,087,695",5.09
2006M07,"1,470.87",-21.98,41.99,-37.62,70.04,-25.69,21,5.00,"6,504.24",2.68,"946,923",-9.51
2006M08,"1,701.62",-1.45,47.75,-14.07,73.98,-5.73,23,4.55,"6,551.76",4.94,"1,018,621",-2.52
2006M09,"1,561.69",14.09,44.25,-0.65,74.37,14.10,21,0.00,"6,781.58",11.78,"1,058,360",18.83
2006M10,"1,647.73",16.41,55.16,17.04,82.39,16.40,20,0.00,"7,029.40",19.55,"1,158,554",23.40
2006M11,"2,327.00",35.14,82.09,51.46,105.77,35.13,22,0.00,"7,266.97",20.62,"1,342,730",38.29
2006M12,"2,303.19",-5.04,83.39,10.00,109.68,-0.51,21,-4.55,"7,630.30",19.65,"1,406,052",25.29
2007M01,"2,630.24",21.57,76.83,18.64,119.56,-0.53,22,22.22,"7,814.79",18.24,"1,412,407",27.53
2007M02,"1,095.15",-30.49,29.97,-34.79,91.26,-1.53,12,-29.41,"7,817.84",18.20,"953,591",-3.82
2007M03,"2,575.91",24.67,70.94,36.98,112.00,24.67,23,0.00,"7,689.34",18.29,"1,392,458",28.89
2007M04,"2,116.36",-9.32,69.36,-1.01,105.82,-13.85,20,5.26,"7,991.85",15.14,"1,402,068",11.49
2007M05,"2,105.19",-24.03,58.54,-34.22,95.69,-27.49,22,4.76,"8,086.96",13.53,"1,259,594",-5.44
2007M06,"2,968.90",50.10,82.10,45.80,148.45,65.11,20,-9.09,"8,579.58",31.03,"1,508,264",38.67
2007M07,"4,950.47",236.57,144.01,242.96,225.02,221.27,22,4.76,"9,358.13",43.88,"1,956,315",106.60
2007M08,"3,541.40",108.12,91.27,91.14,153.97,108.12,23,0.00,"8,756.78",33.66,"1,680,013",64.93
2007M09,"2,472.72",58.34,61.83,39.73,137.37,84.71,18,-14.29,"9,069.11",33.73,"1,403,455",32.61
2007M10,"3,489.91",111.80,82.48,49.53,158.63,92.54,22,10.00,"9,605.19",36.64,"1,625,558",40.31
2007M11,"2,904.82",24.83,67.52,-17.75,132.04,24.84,22,0.00,"8,799.70",21.09,"1,492,237",11.13
2007M12,"2,192.77",-4.79,52.34,-37.23,104.42,-4.80,21,0.00,"8,309.00",8.89,"1,171,634",-16.67
2008M01,"3,057.47",16.24,78.39,2.03,138.98,16.24,22,0.00,"7,922.65",1.38,"1,350,749",-4.37
2008M02,"1,821.33",66.31,48.30,61.16,130.10,42.56,14,16.67,"7,999.48",2.32,"1,098,715",15.22
2008M03,"3,195.75",24.06,87.28,23.03,152.18,35.88,21,-8.70,"8,439.59",9.76,"1,482,325",6.45
2008M04,"3,295.62",55.72,85.35,23.05,156.93,48.30,21,5.00,"8,877.98",11.09,"1,577,881",12.54
2008M05,"2,949.93",40.13,75.51,28.99,140.47,46.80,21,-4.55,"8,910.21",10.18,"1,510,306",19.90
2008M06,"2,023.24",-31.85,50.80,-38.12,96.34,-35.10,21,5.00,"8,180.00",-4.66,"1,285,135",-14.79
2008M07,"2,203.09",-55.50,63.61,-55.83,100.14,-55.50,22,0.00,"7,127.70",-23.83,"1,200,625",-38.63
2008M08,"1,953.76",-44.83,52.62,-42.35,93.04,-39.57,21,-8.70,"7,071.12",-19.25,"1,082,396",-35.57
2008M09,"1,871.78",-24.30,60.39,-2.33,89.13,-35.12,21,16.67,"6,203.77",-31.59,"1,253,045",-10.72
2008M10,"1,246.85",-64.27,52.32,-36.57,56.68,-64.27,22,0.00,"5,043.05",-47.50,"1,204,447",-25.91
2008M11,"1,113.83",-61.66,54.44,-19.37,55.69,-57.82,20,-9.09,"4,509.53",-48.75,"1,095,513",-26.59
2008M12,"1,382.76",-36.94,69.89,33.53,60.12,-42.42,23,9.52,"4,496.38",-45.89,"1,052,907",-10.13
2009M01,846.03,-72.33,37.78,-51.81,56.40,-59.42,15,-31.82,"4,475.14",-43.51,"865,172",-35.95
2009M02,"1,309.13",-28.12,56.65,17.29,65.46,-49.68,20,42.86,"4,476.87",-44.04,"985,660",-10.29
2009M03,"2,309.60",-27.73,107.94,23.67,104.98,-31.02,22,4.76,"4,925.88",-41.63,"1,363,495",-8.02
2009M04,"3,132.24",-4.96,140.32,64.41,142.37,-9.28,22,4.76,"5,724.36",-35.52,"1,570,972",-0.44
2009M05,"3,459.42",17.27,132.89,75.99,192.19,36.82,18,-14.29,"6,586.30",-26.08,"1,644,960",8.92
2009M06,"2,845.15",40.62,100.94,98.70,123.70,28.40,23,9.52,"6,495.99",-20.59,"1,552,695",20.82
2009M07,"3,032.34",37.64,102.78,61.58,131.84,31.66,23,4.55,"6,834.54",-4.11,"1,565,738",30.41
2009M08,"2,096.28",7.29,71.56,35.99,104.81,12.65,20,-4.76,"6,855.82",-3.04,"1,443,477",33.36
2009M09,"2,640.41",41.06,84.07,39.21,120.02,34.66,22,4.76,"7,321.12",18.01,"1,580,103",26.10
2009M10,"2,779.02",122.88,89.86,71.75,126.32,122.87,22,0.00,"7,588.72",50.48,"1,636,714",35.89
2009M11,"2,284.02",105.06,72.62,33.39,108.76,95.30,21,5.00,"7,611.73",68.79,"1,509,855",37.82
2009M12,"2,946.84",113.11,91.36,30.72,128.12,113.11,23,0.00,"7,836.69",74.29,"1,772,937",68.38
2010M01,"2,982.78",252.56,91.69,142.69,149.14,164.43,20,33.33,"8,098.58",80.97,"1,831,378",111.68
2010M02,"1,306.70",-0.19,38.95,-31.24,93.34,42.59,14,-30.00,"7,431.71",66.00,"1,247,581",26.57
2010M03,"2,325.40",0.68,67.24,-37.71,101.10,-3.70,23,4.55,"7,775.16",57.84,"1,485,187",8.93
2010M04,"2,569.26",-17.97,75.30,-46.34,122.35,-14.06,21,-4.55,"8,052.45",40.67,"1,649,833",5.02
2010M05,"1,984.95",-42.62,58.39,-56.06,94.52,-50.82,21,16.67,"7,525.68",14.26,"1,552,994",-5.59
2010M06,"1,674.14",-41.16,48.67,-51.78,79.72,-35.55,21,-8.70,"7,383.42",13.66,"1,253,984",-19.24
2010M07,"2,235.85",-26.27,65.66,-36.12,101.63,-22.91,22,-4.35,"7,638.86",11.77,"1,434,372",-8.39
2010M08,"2,725.32",30.01,83.14,16.18,123.88,18.19,22,10.00,"7,883.91",15.00,"1,647,296",14.12
2010M09,"2,630.21",-0.39,71.30,-15.19,125.25,4.36,21,-4.55,"8,039.50",9.81,"1,604,110",1.52
2010M10,"2,387.01",-14.11,66.56,-25.93,113.67,-10.01,21,-4.55,"8,210.01",8.19,"1,552,896",-5.12
2010M11,"2,324.26",1.76,61.73,-15.00,105.65,-2.86,22,4.76,"8,350.26",9.70,"1,522,751",0.85
2010M12,"3,072.80",4.27,88.94,-2.65,133.60,4.28,23,0.00,"8,777.11",12.00,"1,787,444",0.82
2011M01,"2,621.30",-12.12,75.90,-17.22,131.07,-12.12,20,0.00,"8,970.76",10.77,"1,682,534",-8.13
2011M02,"1,908.63",46.06,48.14,23.59,136.33,46.06,14,0.00,"8,742.56",17.64,"1,479,924",18.62
2011M03,"2,632.64",13.21,64.40,-4.22,114.46,13.21,23,0.00,"8,575.49",10.29,"1,619,826",9.07
2011M04,"2,130.05",-17.09,50.96,-32.32,112.11,-8.37,19,-9.52,"8,860.92",10.04,"1,466,361",-11.12
2011M05,"2,172.78",9.46,49.71,-14.87,103.47,9.47,21,0.00,"8,910.54",18.40,"1,446,778",-6.84
2011M06,"2,067.54",23.50,44.62,-8.32,98.45,23.49,21,0.00,"8,748.66",18.49,"1,351,524",7.78
2011M07,"2,434.83",8.90,54.54,-16.94,115.94,14.08,21,-4.55,"8,681.24",13.65,"1,478,324",3.06
2011M08,"2,924.82",7.32,72.45,-12.86,127.17,2.66,23,4.55,"7,763.33",-1.53,"1,747,417",6.08
2011M09,"2,135.85",-18.80,53.62,-24.80,101.71,-18.79,21,0.00,"7,385.13",-8.14,"1,410,515",-12.07
2011M10,"1,818.49",-23.82,44.09,-33.76,90.92,-20.01,20,-4.76,"7,345.08",-10.54,"1,232,236",-20.65
2011M11,"1,899.71",-18.27,50.73,-17.82,86.35,-18.27,22,0.00,"7,275.44",-12.87,"1,377,522",-9.54
2011M12,"1,450.76",-52.79,41.78,-53.02,65.94,-50.64,22,-4.35,"6,969.15",-20.60,"1,120,909",-37.29
2012M01,"1,352.93",-48.39,37.48,-50.62,90.20,-31.18,15,-25.00,"7,176.74",-20.00,"1,141,570",-32.15
2012M02,"2,779.92",45.65,74.42,54.59,139.00,1.96,20,42.86,"7,855.93",-10.14,"1,545,715",4.45
2012M03,"2,296.00",-12.79,58.25,-9.55,99.83,-12.78,23,0.00,"8,020.00",-6.48,"1,464,497",-9.59
2012M04,"1,516.62",-28.80,36.61,-28.16,75.83,-32.36,20,5.26,"7,620.82",-14.00,"1,215,525",-17.11
2012M05,"1,605.05",-26.13,39.48,-20.58,72.96,-29.49,22,4.76,"7,356.84",-17.44,"1,168,051",-19.27
2012M06,"1,337.35",-35.32,33.50,-24.92,63.68,-35.32,21,0.00,"7,142.52",-18.36,"991,809",-26.62
2012M07,"1,452.99",-40.32,36.82,-32.49,66.05,-43.03,22,4.76,"7,187.14",-17.21,"1,100,596",-25.55
2012M08,"1,666.63",-43.02,42.39,-41.49,75.76,-40.43,22,-4.35,"7,409.60",-4.56,"1,128,186",-35.44
2012M09,"1,705.58",-20.15,47.60,-11.23,85.28,-16.15,20,-4.76,"7,610.38",3.05,"1,247,483",-11.56
2012M10,"1,385.88",-23.79,36.67,-16.83,62.99,-30.72,22,10.00,"7,438.14",1.27,"1,168,166",-5.20
2012M11,"1,512.67",-20.37,39.27,-22.59,68.76,-20.37,22,0.00,"7,255.63",-0.27,"1,051,134",-23.69
2012M12,"1,626.54",12.12,48.22,15.41,77.45,17.46,21,-4.55,"7,630.81",9.49,"1,138,236",1.55
2013M01,"1,716.89",26.90,50.30,34.20,78.04,-13.48,22,46.67,"7,759.25",8.12,"1,185,666",3.86
2013M02,"1,021.18",-63.27,30.61,-58.87,78.55,-43.49,13,-35.00,"7,932.68",0.98,"1,004,890",-34.99
2013M03,"1,607.47",-29.99,46.12,-20.82,76.55,-23.32,21,-8.70,"7,906.99",-1.41,"1,216,721",-16.92
2013M04,"1,460.62",-3.69,40.98,11.94,73.03,-3.69,20,0.00,"7,893.42",3.58,"1,202,073",-1.11
2013M05,"1,822.58",13.55,56.29,42.58,82.84,13.54,22,0.00,"8,272.34",12.44,"1,270,128",8.74
2013M06,"1,482.41",10.85,42.95,28.21,78.02,22.52,19,-9.52,"7,988.80",11.85,"1,170,973",18.06
2013M07,"1,880.00",29.39,51.13,38.86,81.74,23.75,23,4.55,"8,101.91",12.73,"1,202,603",9.27
2013M08,"1,564.10",-6.15,43.55,2.74,74.48,-1.69,21,-4.55,"7,932.02",7.05,"1,182,033",4.77
2013M09,"1,508.77",-11.54,42.35,-11.03,75.44,-11.54,20,0.00,"8,193.46",7.66,"1,200,093",-3.80
2013M10,"1,747.14",26.07,50.77,38.45,79.42,26.08,22,0.00,"8,366.18",12.48,"1,312,894",12.39
2013M11,"1,547.51",2.30,44.31,12.83,73.69,7.17,21,-4.55,"8,236.52",13.52,"1,218,394",15.91
2013M12,"1,582.25",-2.72,43.79,-9.19,71.92,-7.14,22,4.76,"8,431.40",10.49,"1,251,422",9.94
2014M01,"1,756.82",2.33,47.86,-4.85,97.60,25.06,18,-18.18,"8,566.62",10.41,"1,280,283",7.98
2014M02,"1,515.74",48.43,40.82,33.36,89.16,13.51,17,30.77,"8,496.09",7.10,"1,222,313",21.64
2014M03,"1,965.99",22.30,50.87,10.30,93.62,22.30,21,0.00,"8,687.45",9.87,"1,379,180",13.35
2014M04,"1,935.18",32.49,49.67,21.21,92.15,26.18,21,5.00,"8,900.14",12.75,"1,382,429",15.00
2014M05,"1,852.01",1.61,46.79,-16.88,88.19,6.46,21,-4.55,"8,936.23",8.03,"1,288,794",1.47
2014M06,"1,969.85",32.88,51.17,19.14,98.49,26.24,20,5.26,"9,229.31",15.53,"1,329,354",13.53
2014M07,"2,453.16",30.49,64.76,26.66,111.51,36.42,22,-4.35,"9,474.13",16.94,"1,477,712",22.88
