期間,產前門診檢查-初檢人數(人)_原始值,產前門診檢查-初檢人數(人)_年增率(%),產前門診檢查-34歲以上初檢人數(人)_原始值,產前門診檢查-34歲以上初檢人數(人)_年增率(%),產婦人次-合計(人次)_原始值,產婦人次-合計(人次)_年增率(%),產婦人次-自然產人次(人次)_原始值,產婦人次-自然產人次(人次)_年增率(%),產婦人次-剖腹產人次(人次)_原始值,產婦人次-剖腹產人次(人次)_年增率(%),子宮頸抹片檢查人次(人次)_原始值,子宮頸抹片檢查人次(人次)_年增率(%),兒童健康篩檢人次-1歲至未滿3歲(人次)_原始值,兒童健康篩檢人次-1歲至未滿3歲(人次)_年增率(%),兒童健康篩檢人次-3歲至未滿7歲(人次)_原始值,兒童健康篩檢人次-3歲至未滿7歲(人次)_年增率(%)
1996,"66,606",...,"8,661",...,"41,335",...,"26,763",...,"14,572",...,"178,818",...,...,...,...,...
1997,"45,737",-31.33,"6,472",-25.27,"39,432",-4.60,"25,823",-3.51,"13,609",-6.61,"206,908",15.71,...,...,...,...
1998,"35,996",-21.30,"6,431",-0.63,"31,939",-19.00,"20,536",-20.47,"11,403",-16.21,"247,647",19.69,...,...,...,...
1999,"279,031",675.17,"34,369",434.43,"256,793",704.01,"171,127",733.30,"85,666",651.26,"1,759,008",610.29,"781,272",...,"59,343",...
2000,"272,936",-2.18,"36,221",5.39,"275,526",7.29,"182,338",6.55,"93,188",8.78,"1,250,626",-28.90,"923,283",18.18,"60,552",2.04
2001,"244,665",-10.36,"23,057",-36.34,"238,551",-13.42,"159,296",-12.64,"79,255",-14.95,"1,254,282",0.29,"663,466",-28.14,"36,599",-39.56
2002,"214,708",-12.24,"29,392",27.48,"228,220",-4.33,"152,426",-4.31,"75,794",-4.37,"2,553,064",103.55,"991,821",49.49,"89,560",144.71
2003,"117,846",-45.11,"18,902",-35.69,"213,606",-6.40,"143,977",-5.54,"69,629",-8.13,"2,575,030",0.86,"936,173",-5.61,"90,534",1.09
2004,"186,841",58.55,"16,378",-13.35,"209,783",-1.79,"141,824",-1.50,"67,959",-2.40,"1,257,240",-51.18,"720,628",-23.02,"179,277",98.02
2005,"212,873",13.93,"20,814",27.09,"199,729",-4.79,"133,675",-5.75,"66,054",-2.80,"1,718,601",36.70,"1,186,092",64.59,"257,093",43.41
2006,"252,370",18.55,"29,512",41.79,"198,334",-0.70,"131,816",-1.39,"66,518",0.70,"1,943,181",13.07,"1,357,371",14.44,"269,982",5.01
2007,"209,387",-17.03,"37,700",27.74,"196,258",-1.05,"128,557",-2.47,"67,701",1.78,"1,745,442",-10.18,"1,053,912",-22.36,"195,413",-27.62
2008,"201,946",-3.55,"38,889",3.15,"190,035",-3.17,"124,559",-3.11,"65,476",-3.29,"1,822,753",4.43,"1,058,275",0.41,"191,143",-2.19
2009,"188,659",-6.58,"40,944",5.28,"186,547",-1.84,"120,456",-3.29,"66,091",0.94,"1,948,334",6.89,"1,031,630",-2.52,"218,784",14.46
2010,"189,681",0.54,"46,101",12.60,"162,794",-12.73,"104,159",-13.53,"58,635",-11.28,"2,007,043",3.01,"860,236",-16.61,"173,980",-20.48
2011,"224,173",18.18,"56,416",22.37,"194,006",19.17,"125,689",20.67,"68,317",16.51,"2,028,777",1.08,"853,897",-0.74,"143,323",-17.62
2012,"230,297",2.73,"64,490",14.31,"228,890",17.98,"148,991",18.54,"79,899",16.95,"2,020,949",-0.39,"935,002",9.50,"171,078",19.37
