期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2000,"9,535,749",1.80,"6,633,730",-,"2,066,636",-,"408,504",-,"90,062",-,"282,124",-,"54,693",-,-,-
2001,"11,492,663",20.52,"5,983,422",-9.80,"4,153,741",100.99,"903,800",121.25,"178,131",97.79,"220,469",-21.85,"53,100",-2.91,-,-
2002,"9,687,663",-15.71,"5,692,231",-4.87,"2,775,763",-33.17,"828,228",-8.36,"177,978",-0.09,"147,558",-33.07,"65,905",24.11,-,-
2003,"8,776,553",-9.40,"5,095,956",-10.48,"2,290,736",-17.47,"923,936",11.56,"237,480",33.43,"216,555",46.76,"11,890",-81.96,-,-
2004,"10,199,427",16.21,"6,391,107",25.42,"2,335,616",1.96,"1,072,359",16.06,"227,939",-4.02,"163,676",-24.42,"8,730",-26.58,-,-
2005,"19,768,272",93.82,"10,818,073",69.27,"5,471,854",134.28,"2,575,245",140.15,"504,130",121.17,"227,378",38.92,"170,592","1,854.09",-,-
2006,"23,838,878",20.59,"11,708,253",8.23,"6,991,061",27.76,"4,051,990",57.34,"858,398",70.27,"123,144",-45.84,"98,692",-42.15,"7,340",-
2007,"20,238,265",-15.10,"10,870,951",-7.15,"6,533,128",-6.55,"2,342,086",-42.20,"345,311",-59.77,"63,996",-48.03,"81,100",-17.83,"1,693",-76.93
2008,"16,609,708",-17.93,"8,551,859",-21.33,"5,321,252",-18.55,"2,339,498",-0.11,"315,075",-8.76,"52,840",-17.43,"29,184",-64.01,-,-
2009,"25,707,197",54.77,"15,069,844",76.22,"8,039,847",51.09,"2,121,721",-9.31,"267,950",-14.96,"101,911",92.87,"105,274",260.73,150,-
2010,"35,479,410",38.01,"22,542,090",49.58,"11,017,781",37.04,"1,591,723",-24.98,"136,670",-48.99,"97,683",-4.15,"93,463",-11.22,-,-
2011,"32,693,596",-7.85,"21,057,979",-6.58,"10,383,834",-5.75,"1,172,495",-26.34,"40,790",-70.15,"19,570",-79.97,"18,928",-79.75,-,-
2012,"34,876,258",6.68,"23,347,400",10.87,"10,240,763",-1.38,"1,035,681",-11.67,"100,132",145.48,"70,610",260.81,"81,672",331.49,-,-
2013,"39,843,083",14.24,"25,527,027",9.34,"11,649,681",13.76,"2,152,247",107.81,"334,091",233.65,"52,740",-25.31,"127,297",55.86,-,-
