期間,總計_原始值,總計_年增率(%),空氣污染(不含異味污染物)_原始值,空氣污染(不含異味污染物)_年增率(%),異味污染物_原始值,異味污染物_年增率(%),噪音_原始值,噪音_年增率(%),水污染_原始值,水污染_年增率(%),環境衛生_原始值,環境衛生_年增率(%),廢棄物_原始值,廢棄物_年增率(%),振動_原始值,振動_年增率(%),其他_原始值,其他_年增率(%)
2002M07,"10,317",24.66,939,7.68,"2,226",7.33,"1,959",13.96,706,16.31,"2,829",60.47,"1,587",30.83,3,0.00,68,172.00
2002M08,"10,647",40.07,"1,049",22.40,"2,111",26.18,"1,893",27.05,706,15.17,"2,969",70.83,"1,859",54.79,6,500.00,54,92.86
2002M09,"9,804",65.19,885,85.92,"2,014",37.47,"2,033",65.28,641,38.15,"2,747",101.99,"1,444",57.81,2,0.00,38,65.22
2002M10,"10,660",27.66,971,23.38,"2,153",11.90,"2,729",18.14,573,1.24,"2,867",82.50,"1,307",11.80,5,25.00,55,189.47
2002M11,"9,703",20.88,"1,094",25.75,"2,040",6.58,"2,977",34.04,530,-14.24,"1,857",35.05,"1,150",22.73,3,-94.12,52,26.83
2002M12,"8,345",11.56,"1,080",56.52,"1,827",10.86,"2,212",-2.77,478,-27.47,"1,635",26.35,"1,062",22.07,1,-50.00,50,19.05
2003M01,"8,014",2.94,855,25.55,"1,543",-13.75,"2,389",10.55,465,-39.22,"1,565",17.23,"1,145",13.82,3,50.00,49,6.52
2003M02,"6,129",6.02,591,34.01,"1,185",-11.17,"1,989",15.77,394,-20.88,"1,191",19.46,715,-5.67,19,375.00,45,45.16
2003M03,"8,480",-7.12,807,4.94,"1,548",-24.15,"2,702",4.89,595,-17.13,"1,666",-6.35,"1,115",-6.46,1,-50.00,46,-13.21
2003M04,"9,500",0.66,828,3.50,"1,830",-12.44,"2,627",4.95,638,-22.67,"2,314",17.64,"1,211",0.67,5,66.67,47,0.00
2003M05,"11,080",10.90,"1,052",32.66,"1,979",-11.34,"2,396",-3.39,694,-21.05,"3,363",55.77,"1,524",11.00,1,-83.33,71,2.90
2003M06,"9,451",2.01,823,3.39,"1,750",-18.30,"2,759",30.33,610,-17.46,"2,297",8.45,"1,173",-8.00,0,--,39,-46.58
2003M07,"11,414",10.63,"1,246",32.69,"2,118",-4.85,"2,553",30.32,629,-10.91,"2,602",-8.02,"2,200",38.63,1,-66.67,65,-4.41
2003M08,"9,070",-14.81,889,-15.25,"1,818",-13.88,"2,210",16.75,482,-31.73,"2,130",-28.26,"1,476",-20.60,1,-83.33,64,18.52
2003M09,"9,612",-1.96,995,12.43,"2,193",8.89,"2,394",17.76,560,-12.64,"2,117",-22.93,"1,283",-11.15,3,50.00,67,76.32
2003M10,"10,362",-2.80,"1,172",20.70,"2,237",3.90,"3,428",25.61,554,-3.32,"1,762",-38.54,"1,145",-12.39,4,-20.00,60,9.09
2003M11,"9,716",0.13,"1,183",8.14,"2,026",-0.69,"3,413",14.65,473,-10.75,"1,568",-15.56,987,-14.17,0,--,66,26.92
2003M12,"9,897",18.60,"1,308",21.11,"2,132",16.69,"3,232",46.11,500,4.60,"1,562",-4.46,"1,095",3.11,4,300.00,64,28.00
2004M01,"6,717",-16.18,651,-23.86,"1,396",-9.53,"2,161",-9.54,359,-22.80,"1,204",-23.07,879,-23.23,2,-33.33,65,32.65
2004M02,"7,500",22.37,679,14.89,"1,423",20.08,"2,394",20.36,462,17.26,"1,538",29.14,942,31.75,1,-94.74,61,35.56
2004M03,"9,251",9.09,778,-3.59,"1,820",17.57,"3,201",18.47,586,-1.51,"1,664",-0.12,"1,122",0.63,2,100.00,78,69.57
2004M04,"9,265",-2.47,778,-6.04,"1,856",1.42,"3,204",21.96,521,-18.34,"1,722",-25.58,"1,113",-8.09,5,0.00,66,40.43
2004M05,"9,981",-9.92,860,-18.25,"2,068",4.50,"2,739",14.32,705,1.59,"2,165",-35.62,"1,356",-11.02,2,100.00,86,21.13
2004M06,"12,292",30.06,"1,072",30.26,"2,030",16.00,"2,764",0.18,607,-0.49,"2,017",-12.19,"3,718",216.97,9,--,75,92.31
2004M07,"11,092",-2.82,893,-28.33,"2,103",-0.71,"2,292",-10.22,565,-10.17,"2,148",-17.45,"3,023",37.41,4,300.00,64,-1.54
2004M08,"10,037",10.66,819,-7.87,"1,963",7.98,"2,277",3.03,536,11.20,"2,030",-4.69,"2,329",57.79,7,600.00,76,18.75
2004M09,"9,520",-0.96,726,-27.04,"2,103",-4.10,"2,428",1.42,480,-14.29,"1,979",-6.52,"1,736",35.31,3,0.00,65,-2.99
2004M10,"10,180",-1.76,"1,122",-4.27,"2,285",2.15,"3,152",-8.05,521,-5.96,"1,837",4.26,"1,188",3.76,5,25.00,70,16.67
2004M11,"10,619",9.29,"1,053",-10.99,"2,548",25.77,"3,500",2.55,550,16.28,"1,709",8.99,"1,177",19.25,1,--,81,22.73
2004M12,"9,750",-1.49,904,-30.89,"2,241",5.11,"3,349",3.62,566,13.20,"1,600",2.43,"1,021",-6.76,5,25.00,64,0.00
2005M01,"8,970",33.54,800,22.89,"1,812",29.80,"3,112",44.01,530,47.63,"1,495",24.17,"1,156",31.51,4,100.00,61,-6.15
2005M02,"5,646",-24.72,463,-31.81,"1,129",-20.66,"1,787",-25.36,322,-30.30,"1,176",-23.54,707,-24.95,7,600.00,55,-9.84
2005M03,"9,401",1.62,690,-11.31,"1,819",-0.05,"3,400",6.22,503,-14.16,"1,703",2.34,"1,196",6.60,8,300.00,82,5.13
2005M04,"10,614",14.56,681,-12.47,"2,098",13.04,"3,675",14.70,620,19.00,"2,068",20.09,"1,396",25.43,8,60.00,68,3.03
2005M05,"11,596",16.18,682,-20.70,"2,412",16.63,"3,326",21.43,671,-4.82,"2,458",13.53,"1,952",43.95,4,100.00,91,5.81
2005M06,"11,555",-6.00,714,-33.40,"2,493",22.81,"3,022",9.33,748,23.23,"2,271",12.59,"2,198",-40.88,5,-44.44,104,38.67
2005M07,"12,401",11.80,"1,054",18.03,"2,504",19.07,"3,520",53.58,713,26.19,"2,100",-2.23,"2,392",-20.87,7,75.00,111,73.44
2005M08,"12,375",23.29,756,-7.69,"2,774",41.31,"3,314",45.54,712,32.84,"2,314",13.99,"2,375",1.98,6,-14.29,124,63.16
2005M09,"11,405",19.80,900,23.97,"2,588",23.06,"3,062",26.11,680,41.67,"2,144",8.34,"1,914",10.25,8,166.67,109,67.69
2005M10,"12,596",23.73,859,-23.44,"2,814",23.15,"3,788",20.18,618,18.62,"2,926",59.28,"1,466",23.40,4,-20.00,121,72.86
2005M11,"13,533",27.44,"1,105",4.94,"3,227",26.65,"4,405",25.86,665,20.91,"2,654",55.30,"1,341",13.93,15,"1,400.00",121,49.38
2005M12,"9,751",0.01,"1,040",15.04,"2,156",-3.79,"3,286",-1.88,550,-2.83,"1,531",-4.31,"1,120",9.70,7,40.00,61,-4.69
2006M01,"9,530",6.24,829,3.62,"1,925",6.24,"3,191",2.54,533,0.57,"1,876",25.48,"1,099",-4.93,1,-75.00,76,24.59
2006M02,"7,921",40.29,639,38.01,"1,668",47.74,"2,772",55.12,427,32.61,"1,491",26.79,859,21.50,9,28.57,56,1.82
2006M03,"10,843",15.34,744,7.83,"2,399",31.89,"3,680",8.24,638,26.84,"1,991",16.91,"1,257",5.10,9,12.50,125,52.44
2006M04,"10,770",1.47,739,8.52,"2,359",12.44,"3,657",-0.49,558,-10.00,"2,028",-1.93,"1,317",-5.66,10,25.00,102,50.00
2006M05,"11,236",-3.10,658,-3.52,"2,601",7.84,"3,385",1.77,711,5.96,"2,245",-8.67,"1,534",-21.41,4,0.00,98,7.69
2006M06,"11,002",-4.79,638,-10.64,"2,807",12.60,"2,816",-6.82,610,-18.45,"2,147",-5.46,"1,893",-13.88,4,-20.00,87,-16.35
2006M07,"11,528",-7.04,796,-24.48,"2,871",14.66,"2,625",-25.43,729,2.24,"2,257",7.48,"2,149",-10.16,4,-42.86,97,-12.61
2006M08,"12,660",2.30,854,12.96,"3,039",9.55,"2,793",-15.72,855,20.08,"2,650",14.52,"2,358",-0.72,7,16.67,104,-16.13
2006M09,"11,229",-1.54,629,-30.11,"2,879",11.24,"2,938",-4.05,633,-6.91,"2,405",12.17,"1,656",-13.48,8,0.00,81,-25.69
2006M10,"11,783",-6.45,944,9.90,"3,034",7.82,"3,435",-9.32,591,-4.37,"2,260",-22.76,"1,439",-1.84,11,175.00,69,-42.98
2006M11,"12,267",-9.35,825,-25.34,"2,858",-11.43,"4,209",-4.45,764,14.89,"2,223",-16.24,"1,318",-1.72,6,-60.00,64,-47.11
2006M12,"10,905",11.83,785,-24.52,"2,438",13.08,"4,135",25.84,572,4.00,"1,759",14.89,"1,146",2.32,9,28.57,61,0.00
2007M01,"11,665",22.40,721,-13.03,"2,663",38.34,"4,190",31.31,585,9.76,"2,076",10.66,"1,327",20.75,13,"1,200.00",90,18.42
2007M02,"8,014",1.17,696,8.92,"1,821",9.17,"2,486",-10.32,427,0.00,"1,538",3.15,973,13.27,1,-88.89,72,28.57
2007M03,"12,407",14.42,768,3.23,"2,851",18.84,"4,394",19.40,588,-7.84,"2,319",16.47,"1,367",8.75,7,-22.22,113,-9.60
2007M04,"11,854",10.06,712,-3.65,"2,764",17.17,"4,219",15.37,633,13.44,"2,107",3.90,"1,312",-0.38,12,20.00,95,-6.86
2007M05,"13,678",21.73,872,32.52,"3,462",33.10,"4,084",20.65,747,5.06,"2,528",12.61,"1,827",19.10,8,100.00,150,53.06
2007M06,"11,222",2.00,618,-3.13,"2,900",3.31,"2,723",-3.30,764,25.25,"2,314",7.78,"1,790",-5.44,4,0.00,109,25.29
2007M07,"13,017",12.92,"1,053",32.29,"3,521",22.64,"2,756",4.99,750,2.88,"2,593",14.89,"2,252",4.79,2,-50.00,90,-7.22
2007M08,"11,808",-6.73,681,-20.26,"3,282",8.00,"2,673",-4.30,693,-18.95,"2,454",-7.40,"1,908",-19.08,3,-57.14,114,9.62
2007M09,"12,186",8.52,698,10.97,"3,686",28.03,"3,216",9.46,637,0.63,"2,351",-2.25,"1,479",-10.69,7,-12.50,112,38.27
2007M10,"15,344",30.22,"1,078",14.19,"4,545",49.80,"4,687",36.45,764,29.27,"2,592",14.69,"1,565",8.76,4,-63.64,109,57.97
2007M11,"13,741",12.02,991,20.12,"3,879",35.72,"4,773",13.40,598,-21.73,"2,073",-6.75,"1,317",-0.08,8,33.33,102,59.38
2007M12,"13,618",24.88,"1,075",36.94,"3,804",56.03,"4,678",13.13,674,17.83,"1,937",10.12,"1,356",18.32,4,-55.56,90,47.54
2008M01,"12,046",3.27,"1,032",43.13,"2,752",3.34,"4,200",0.24,633,8.21,"2,004",-3.47,"1,334",0.53,7,-46.15,84,-6.67
2008M02,"7,592",-5.27,578,-16.95,"1,624",-10.82,"2,719",9.37,401,-6.09,"1,310",-14.82,901,-7.40,10,900.00,49,-31.94
2008M03,"11,802",-4.88,"1,000",30.21,"2,677",-6.10,"4,212",-4.14,664,12.93,"1,938",-16.43,"1,244",-9.00,1,-85.71,66,-41.59
2008M04,"12,568",6.02,997,40.03,"2,935",6.19,"4,223",0.09,682,7.74,"2,205",4.65,"1,448",10.37,6,-50.00,72,-24.21
2008M05,"13,996",2.32,"1,171",34.29,"3,610",4.27,"4,257",4.24,765,2.41,"2,403",-4.94,"1,693",-7.33,8,0.00,89,-40.67
2008M06,"14,413",28.44,"1,334",115.86,"3,764",29.79,"3,990",46.53,715,-6.41,"2,532",9.42,"1,915",6.98,8,100.00,155,42.20
2008M07,"14,260",9.55,"1,301",23.55,"3,941",11.93,"3,491",26.67,769,2.53,"2,657",2.47,"1,987",-11.77,3,50.00,111,23.33
2008M08,"15,110",27.96,"1,606",135.83,"4,071",24.04,"3,663",37.04,726,4.76,"2,693",9.74,"2,211",15.88,11,266.67,129,13.16
2008M09,"14,875",22.07,"1,334",91.12,"3,834",4.02,"4,172",29.73,644,1.10,"2,767",17.69,"2,007",35.70,7,0.00,110,-1.79
2008M10,"17,004",10.82,"1,703",57.98,"4,018",-11.60,"5,759",22.87,699,-8.51,"2,902",11.96,"1,811",15.72,3,-25.00,109,0.00
2008M11,"14,495",5.49,"1,551",56.51,"3,110",-19.82,"5,593",17.18,518,-13.38,"2,201",6.17,"1,448",9.95,0,--,74,-27.45
2008M12,"16,359",20.13,"1,923",78.88,"3,372",-11.36,"6,307",34.82,638,-5.34,"2,542",31.23,"1,461",7.74,1,-75.00,115,27.78
2009M01,"11,389",-5.45,"1,181",14.44,"2,396",-12.94,"4,226",0.62,419,-33.81,"2,019",0.75,"1,086",-18.59,3,-57.14,59,-29.76
2009M02,"13,821",82.05,"1,253",116.78,"2,793",71.98,"5,143",89.15,596,48.63,"2,808",114.35,"1,172",30.08,1,-90.00,55,12.24
2009M03,"15,422",30.67,"1,309",30.90,"3,382",26.34,"5,911",40.34,615,-7.38,"2,823",45.67,"1,288",3.54,0,--,94,42.42
2009M04,"15,057",19.80,"1,189",19.26,"3,235",10.22,"5,547",31.35,669,-1.91,"2,895",31.29,"1,431",-1.17,6,0.00,85,18.06
2009M05,"16,400",17.18,"1,570",34.07,"3,693",2.30,"5,368",26.10,797,4.18,"3,183",32.46,"1,706",0.77,4,-50.00,79,-11.24
2009M06,"16,329",13.29,"1,427",6.97,"4,070",8.13,"4,481",12.31,759,6.15,"3,390",33.89,"2,106",9.97,6,-25.00,90,-41.94
2009M07,"17,992",26.17,"2,037",56.57,"4,469",13.40,"4,170",19.45,812,5.59,"3,518",32.40,"2,870",44.44,5,66.67,111,0.00
2009M08,"15,251",0.93,"1,503",-6.41,"3,930",-3.46,"3,492",-4.67,659,-9.23,"3,132",16.30,"2,458",11.17,4,-63.64,73,-43.41
2009M09,"16,219",9.04,"1,693",26.91,"4,416",15.18,"4,089",-1.99,690,7.14,"3,226",16.59,"1,986",-1.05,3,-57.14,116,5.45
2009M10,"16,929",-0.44,"1,750",2.76,"4,205",4.65,"5,793",0.59,646,-7.58,"3,073",5.89,"1,379",-23.85,7,133.33,76,-30.28
2009M11,"18,319",26.38,"2,177",40.36,"4,598",47.85,"6,573",17.52,593,14.48,"2,918",32.58,"1,346",-7.04,4,--,110,48.65
2009M12,"16,667",1.88,"2,012",4.63,"4,016",19.10,"5,975",-5.26,625,-2.04,"2,640",3.86,"1,308",-10.47,5,400.00,86,-25.22
2010M01,"14,799",29.94,"1,097",-7.11,"3,560",48.58,"5,575",31.92,606,44.63,"2,933",45.27,959,-11.69,3,0.00,66,11.86
2010M02,"11,849",-14.27,871,-30.49,"2,977",6.59,"4,176",-18.80,413,-30.70,"2,552",-9.12,804,-31.40,4,300.00,52,-5.45
2010M03,"17,181",11.41,"1,349",3.06,"4,372",29.27,"6,306",6.68,632,2.76,"3,448",22.14,973,-24.46,6,--,95,1.06
2010M04,"16,162",7.34,"1,047",-11.94,"4,421",36.66,"5,952",7.30,654,-2.24,"3,090",6.74,897,-37.32,10,66.67,91,7.06
2010M05,"17,540",6.95,"1,115",-28.98,"4,667",26.37,"5,785",7.77,688,-13.68,"4,136",29.94,978,-42.67,0,--,171,116.46
2010M06,"16,951",3.81,"1,021",-28.45,"4,673",14.82,"5,161",15.18,594,-21.74,"4,390",29.50,"1,014",-51.85,5,-16.67,93,3.33
2010M07,"18,386",2.19,"1,577",-22.58,"5,231",17.05,"4,489",7.65,728,-10.34,"5,056",43.72,"1,100",-61.67,5,0.00,200,80.18
2010M08,"17,884",17.26,"1,335",-11.18,"5,302",34.91,"4,243",21.51,853,29.44,"4,931",57.44,"1,099",-55.29,6,50.00,115,57.53
2010M09,"16,428",1.29,"1,140",-32.66,"5,029",13.88,"4,177",2.15,643,-6.81,"4,388",36.02,968,-51.26,4,33.33,79,-31.90
2010M10,"17,122",1.14,"1,374",-21.49,"4,994",18.76,"5,548",-4.23,625,-3.25,"3,583",16.60,920,-33.28,0,--,78,2.63
2010M11,"17,617",-3.83,"1,417",-34.91,"4,538",-1.30,"6,985",6.27,561,-5.40,"3,115",6.75,926,-31.20,7,75.00,68,-38.18
2010M12,"17,150",2.90,"1,672",-16.90,"4,716",17.43,"6,079",1.74,591,-5.44,"3,097",17.31,894,-31.65,5,0.00,96,11.63
2011M01,"13,068",-11.70,891,-18.78,"3,094",-13.09,"5,147",-7.68,430,-29.04,"2,584",-11.90,835,-12.93,4,33.33,83,25.76
2011M02,"10,370",-12.48,725,-16.76,"2,493",-16.26,"3,996",-4.31,340,-17.68,"2,193",-14.07,572,-28.86,5,25.00,46,-11.54
2011M03,"15,959",-7.11,"1,092",-19.05,"3,729",-14.71,"6,207",-1.57,601,-4.91,"3,192",-7.42,"1,007",3.49,1,-83.33,130,36.84
2011M04,"18,212",12.68,"1,157",10.51,"4,470",1.11,"7,003",17.66,786,20.18,"3,629",17.44,"1,022",13.94,5,-50.00,140,53.85
2011M05,"19,155",9.21,"1,087",-2.51,"5,170",10.78,"6,132",6.00,869,26.31,"4,703",13.71,"1,027",5.01,3,--,164,-4.09
2011M06,"19,147",12.95,"1,314",28.70,"5,473",17.12,"4,729",-8.37,667,12.29,"5,742",30.80,975,-3.85,7,40.00,240,158.06
2011M07,"18,526",0.76,"1,607",1.90,"5,181",-0.96,"4,749",5.79,526,-27.75,"5,359",5.99,"1,003",-8.82,0,--,101,-49.50
2011M08,"19,121",6.92,"1,455",8.99,"5,374",1.36,"4,627",9.05,556,-34.82,"6,055",22.79,932,-15.20,7,16.67,115,0.00
2011M09,"18,586",13.14,"1,299",13.95,"5,185",3.10,"5,758",37.85,480,-25.35,"4,832",10.12,921,-4.86,9,125.00,102,29.11
2011M10,"19,226",12.29,"1,303",-5.17,"4,909",-1.70,"7,193",29.65,477,-23.68,"4,330",20.85,933,1.41,5,--,76,-2.56
2011M11,"19,050",8.13,"1,257",-11.29,"5,141",13.29,"7,018",0.47,511,-8.91,"4,148",33.16,875,-5.51,10,42.86,90,32.35
2011M12,"17,043",-0.62,"1,138",-31.94,"4,026",-14.63,"6,899",13.49,420,-28.93,"3,628",17.15,847,-5.26,20,300.00,65,-32.29
2012M01,"13,480",3.15,825,-7.41,"2,912",-5.88,"5,398",4.88,285,-33.72,"3,222",24.69,782,-6.35,3,-25.00,53,-36.14
2012M02,"14,658",41.35,852,17.52,"3,380",35.58,"5,858",46.60,389,14.41,"3,326",51.66,779,36.19,4,-20.00,70,52.17
2012M03,"19,396",21.54,"1,266",15.93,"4,778",28.13,"7,510",20.99,523,-12.98,"4,291",34.43,938,-6.85,11,"1,000.00",79,-39.23
2012M04,"19,551",7.35,"1,190",2.85,"5,101",14.12,"7,294",4.16,643,-18.19,"4,336",19.48,889,-13.01,9,80.00,89,-36.43
2012M05,"19,634",2.50,"1,089",0.18,"5,201",0.60,"6,437",4.97,519,-40.28,"5,311",12.93,971,-5.45,9,200.00,97,-40.85
2012M06,"19,693",2.85,"1,457",10.88,"5,110",-6.63,"5,885",24.44,507,-23.99,"5,606",-2.37,991,1.64,54,671.43,83,-65.42
2012M07,"21,114",13.97,"1,914",19.10,"5,566",7.43,"5,462",15.01,645,22.62,"6,286",17.30,"1,133",12.96,2,--,106,4.95
2012M08,"18,611",-2.67,"1,481",1.79,"5,210",-3.05,"4,930",6.55,583,4.86,"5,335",-11.89,980,5.15,2,-71.43,90,-21.74
2012M09,"19,973",7.46,"1,772",36.41,"5,232",0.91,"6,560",13.93,551,14.79,"4,861",0.60,919,-0.22,8,-11.11,70,-31.37
2012M10,"22,492",16.99,"2,154",65.31,"5,827",18.70,"8,168",13.55,617,29.35,"4,517",4.32,"1,110",18.97,4,-20.00,95,25.00
2012M11,"20,526",7.75,"1,554",23.63,"5,637",9.65,"7,766",10.66,620,21.33,"3,909",-5.76,957,9.37,8,-20.00,75,-16.67
2012M12,"18,803",10.33,"1,326",16.52,"4,593",14.08,"7,719",11.89,497,18.33,"3,694",1.82,878,3.66,7,-65.00,89,36.92
2013M01,"19,107",41.74,"1,311",58.91,"4,555",56.42,"7,595",40.70,563,97.54,"3,956",22.78,"1,035",32.35,11,266.67,81,52.83
2013M02,"14,032",-4.27,"1,127",32.28,"3,342",-1.12,"5,291",-9.68,422,8.48,"2,990",-10.10,789,1.28,3,-25.00,68,-2.86
2013M03,"20,957",8.05,"1,461",15.40,"5,456",14.19,"7,870",4.79,685,30.98,"4,427",3.17,934,-0.43,18,63.64,106,34.18
2013M04,"19,188",-1.86,"1,062",-10.76,"4,711",-7.65,"7,054",-3.29,574,-10.73,"4,757",9.71,916,3.04,17,88.89,97,8.99
2013M05,"22,084",12.48,"1,200",10.19,"5,592",7.52,"7,098",10.27,683,31.60,"6,253",17.74,"1,101",13.39,15,66.67,142,46.39
2013M06,"20,196",2.55,"1,617",10.98,"5,105",-0.10,"5,664",-3.76,660,30.18,"6,080",8.46,970,-2.12,5,-90.74,95,14.46
2013M07,"22,247",5.37,962,-49.74,"6,494",16.67,"5,921",8.40,646,0.16,"7,024",11.74,"1,075",-5.12,11,450.00,114,7.55
2013M08,"21,465",15.34,983,-33.63,"6,472",24.22,"6,157",24.89,668,14.58,"6,346",18.95,718,-26.73,11,450.00,110,22.22
2013M09,"21,367",6.98,910,-48.65,"6,194",18.39,"7,524",14.70,624,13.25,"5,308",9.20,658,-28.40,27,237.50,122,74.29
2013M10,"24,269",7.90,"1,379",-35.98,"7,172",23.08,"9,155",12.08,637,3.24,"5,125",13.46,697,-37.21,16,300.00,88,-7.37
2013M11,"23,824",16.07,"1,213",-21.94,"7,280",29.15,"9,388",20.89,647,4.35,"4,603",17.75,589,-38.45,20,150.00,84,12.00
2013M12,"21,048",11.94,909,-31.45,"5,972",30.02,"8,083",4.72,"1,280",157.55,"4,093",10.80,589,-32.92,30,328.57,92,3.37
2014M01,"21,819",14.19,"1,057",-19.37,"5,665",24.37,"8,790",15.73,857,52.22,"4,713",19.14,624,-39.71,29,163.64,84,3.70
2014M02,"15,236",8.58,592,-47.47,"3,620",8.32,"6,751",27.59,512,21.33,"3,299",10.33,391,-50.44,19,533.33,52,-23.53
2014M03,"20,742",-1.03,902,-38.26,"5,062",-7.22,"9,329",18.54,688,0.44,"4,162",-5.99,487,-47.86,30,66.67,82,-22.64
2014M04,"22,550",17.52,875,-17.61,"5,830",23.75,"9,505",34.75,771,34.32,"4,875",2.48,562,-38.65,42,147.06,90,-7.22
2014M05,"22,112",0.13,724,-39.67,"6,118",9.41,"8,184",15.30,661,-3.22,"5,731",-8.35,574,-47.87,26,73.33,94,-33.80
