期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
1998M01,"3,142",8.68,"9,118",28.75,347,-6.72,"29,474",70.85,"3,651",57.92,"11,147",11.63,"46,295",21.73,114,23.91,"103,288",32.39,"55,016",4.22,"61,948",-,"-13,676",--
1998M02,"3,147",7.41,"8,831",24.15,343,6.19,"31,590",77.71,"3,453",2.16,"11,123",10.54,"46,006",22.53,145,61.11,"104,638",32.09,"55,132",2.12,"62,770",-,"-13,264",--
1998M03,"3,039",1.98,"7,309",8.99,334,15.17,"34,303",88.32,"3,120",33.05,"11,630",18.84,"48,095",22.94,180,109.30,"108,010",35.81,"56,149",6.36,"62,153",-,"-10,292",--
1998M04,"3,115",11.85,"7,528",17.83,333,12.12,"37,480",87.10,"3,169",14.12,"11,471",13.48,"48,718",25.56,126,36.96,"111,940",37.72,"56,231",5.65,"68,496",-,"-12,787",--
1998M05,"3,107",14.23,"7,635",22.93,346,-1.70,"40,443",90.96,"2,596",13.86,"11,494",14.78,"47,565",22.19,158,81.61,"113,344",38.61,"56,227",5.72,"69,578",-,"-12,461",--
1998M06,"3,089",20.24,"7,808",15.59,326,-6.05,"40,161",81.68,"2,957",-13.36,"10,950",7.84,"48,503",26.04,107,30.49,"113,901",35.75,"57,592",6.70,"68,801",-,"-12,492",--
1998M07,"3,182",35.12,"8,295",25.57,325,-15.58,"41,576",72.11,"2,556",-18.99,"12,015",11.55,"44,875",15.55,137,45.74,"112,961",30.81,"57,617",7.05,"69,596",-,"-14,252",--
1998M08,"3,443",40.19,"8,953",15.88,326,-1.51,"41,005",60.88,"3,332",7.45,"12,028",17.86,"46,953",17.87,130,26.21,"116,170",30.17,"57,614",6.91,"70,246",-,"-11,690",--
1998M09,"3,609",28.94,"8,764",11.54,398,15.36,"40,862",55.30,"3,413",14.26,"11,883",16.36,"47,567",11.72,120,17.65,"116,616",25.14,"58,907",8.80,"69,425",-,"-11,716",--
1998M10,"3,569",14.03,"9,166",21.68,412,5.91,"40,280",35.22,"4,139",-8.53,"12,224",26.41,"47,110",9.05,127,24.51,"117,027",19.00,"58,816",8.23,"70,248",20.76,"-12,037",--
1998M11,"3,518",14.07,"10,024",26.41,402,6.63,"38,484",18.16,"4,761",59.50,"12,243",24.55,"46,996",10.84,132,37.50,"116,560",17.41,"59,056",8.33,"69,993",19.72,"-12,489",--
