期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
1998M12,"3,498",17.98,"9,561",12.44,573,68.04,"39,873",44.47,"4,543",44.96,"12,671",12.91,"47,032",1.26,107,-1.83,"117,858",17.48,"60,562",10.80,"67,654",12.92,"-10,358",--
1999M01,"3,869",23.14,"10,146",11.27,573,65.13,"40,947",38.93,"4,742",29.88,"13,085",17.39,"45,747",-1.18,139,21.93,"119,248",15.45,"60,802",10.52,"71,909",16.08,"-13,463",--
1999M02,"3,778",20.05,"10,431",18.12,573,67.06,"40,819",29.21,"4,456",29.05,"13,210",18.76,"45,691",-0.68,134,-7.59,"119,092",13.81,"60,679",10.06,"69,083",10.06,"-10,670",--
1999M03,"3,659",20.40,"10,165",39.08,492,47.31,"42,502",23.90,"4,867",55.99,"13,248",13.91,"46,907",-2.47,145,-19.44,"121,985",12.94,"63,739",13.52,"69,722",12.18,"-11,476",--
1999M04,"3,731",19.78,"10,796",43.41,534,60.36,"44,402",18.47,"4,051",27.83,"13,115",14.33,"48,242",-0.98,103,-18.25,"124,974",11.64,"64,236",14.24,"73,412",7.18,"-12,674",--
1999M05,"3,873",24.65,"10,828",41.82,534,54.34,"44,277",9.48,"4,951",90.72,"13,209",14.92,"48,621",2.22,103,-34.81,"126,396",11.52,"64,154",14.10,"75,508",8.52,"-13,266",--
1999M06,"3,818",23.60,"11,864",51.95,516,58.28,"44,992",12.03,"4,443",50.25,"12,484",14.01,"50,118",3.33,100,-6.54,"128,335",12.67,"66,468",15.41,"75,014",9.03,"-13,147",--
1999M07,"3,843",20.77,"12,072",45.53,516,58.77,"44,749",7.63,"4,611",80.40,"12,483",3.90,"49,878",11.15,109,-20.44,"128,261",13.54,"67,740",17.57,"76,628",10.10,"-16,107",--
1999M08,"3,793",10.17,"12,859",43.63,515,57.98,"44,517",8.56,"4,832",45.02,"12,482",3.77,"49,847",6.16,114,-12.31,"128,959",11.01,"68,137",18.26,"76,618",9.07,"-15,796",--
1999M09,"4,066",12.66,"13,218",50.82,529,32.91,"45,162",10.52,"4,343",27.25,"12,480",5.02,"49,571",4.21,105,-12.50,"129,474",11.03,"69,095",17.30,"75,926",9.36,"-15,547",--
1999M10,"4,099",14.85,"13,673",49.17,517,25.49,"46,998",16.68,"4,307",4.06,"12,490",2.18,"48,167",2.24,106,-16.54,"130,357",11.39,"70,215",19.38,"76,733",9.23,"-16,591",--
1999M11,"3,334",-5.23,"13,959",39.26,519,29.10,"45,310",17.74,"5,991",25.83,"12,494",2.05,"47,984",2.10,90,-31.82,"129,681",11.26,"71,076",20.35,"76,855",9.80,"-18,250",--
1999M12,"3,336",-4.63,"13,448",40.65,458,-20.07,"45,441",13.96,"5,418",19.26,"12,856",1.46,"47,246",0.46,111,3.74,"128,314",8.87,"71,933",18.78,"75,959",12.28,"-19,578",--
2000M01,"3,987",3.05,"13,188",29.98,448,-21.82,"48,826",19.24,"5,367",13.18,"12,868",-1.66,"46,099",0.77,106,-23.74,"130,889",9.76,"72,111",18.60,"78,894",9.71,"-20,116",--
2000M02,"4,253",12.57,"14,047",34.67,423,-26.18,"49,467",21.19,"5,725",28.48,"13,000",-1.59,"46,007",0.69,101,-24.63,"133,023",11.70,"72,213",19.01,"81,119",17.42,"-20,309",--
2000M03,"4,128",12.82,"14,504",42.69,423,-14.02,"49,396",16.22,"6,019",23.67,"13,025",-1.68,"46,470",-0.93,104,-28.28,"134,069",9.91,"72,665",14.00,"81,564",16.98,"-20,160",--
2000M04,"4,294",15.09,"14,198",31.51,411,-23.03,"52,569",18.39,"6,395",57.86,"13,051",-0.49,"45,816",-5.03,107,3.88,"136,841",9.50,"72,821",13.36,"82,533",12.42,"-18,513",--
2000M05,"4,297",10.95,"14,421",33.18,411,-23.03,"53,925",21.79,"5,287",6.79,"13,104",-0.79,"44,883",-7.69,109,5.83,"136,437",7.94,"73,358",14.35,"78,596",4.09,"-15,517",--
2000M06,"4,368",14.41,"14,174",19.47,415,-19.57,"54,101",20.25,"5,870",32.12,"13,204",5.77,"44,492",-11.23,118,18.00,"136,742",6.55,"74,001",11.33,"78,400",4.51,"-15,659",--
2000M07,"4,227",9.99,"14,439",19.61,400,-22.48,"53,352",19.23,"6,672",44.70,"13,210",5.82,"45,489",-8.80,119,9.17,"137,908",7.52,"74,401",9.83,"77,924",1.69,"-14,417",--
2000M08,"4,369",15.19,"15,545",20.89,384,-25.44,"50,687",13.86,"5,794",19.91,"13,210",5.83,"46,721",-6.27,120,5.26,"136,830",6.10,"74,640",9.54,"78,607",2.60,"-16,417",--
2000M09,"4,381",7.75,"15,936",20.56,372,-29.68,"50,782",12.44,"4,915",13.17,"13,255",6.21,"45,338",-8.54,115,9.52,"135,094",4.34,"75,263",8.93,"76,696",1.01,"-16,865",--
2000M10,"4,553",11.08,"16,324",19.39,361,-30.17,"50,898",8.30,"5,846",35.73,"13,313",6.59,"45,009",-6.56,121,14.15,"136,425",4.65,"74,854",6.61,"76,045",-0.90,"-14,474",--
2000M11,"4,368",31.01,"18,776",34.51,468,-9.83,"53,401",17.86,"6,059",1.14,"14,354",14.89,"47,038",-1.97,122,35.56,"144,586",11.49,"75,185",5.78,"83,934",9.21,"-14,533",--
2000M12,"4,142",24.16,"18,192",35.28,304,-33.62,"52,783",16.16,"7,675",41.66,"13,727",6.78,"45,622",-3.44,112,0.90,"142,557",11.10,"76,871",6.86,"81,108",6.78,"-15,422",--
2001M01,"4,229",6.07,"18,475",40.09,308,-31.25,"51,891",6.28,"7,505",39.84,"13,996",8.77,"46,034",-0.14,141,33.02,"142,579",8.93,"77,358",7.28,"83,450",5.77,"-18,229",--
2001M02,"4,336",1.95,"17,973",27.95,308,-27.19,"52,657",6.45,"8,745",52.75,"14,045",8.04,"44,254",-3.81,145,43.56,"142,463",7.10,"77,447",7.25,"84,784",4.52,"-19,768",--
2001M03,"4,488",8.72,"19,123",31.85,416,-1.65,"53,326",7.96,"8,333",38.44,"14,509",11.39,"45,474",-2.14,140,34.62,"145,809",8.76,"78,101",7.48,"84,379",3.45,"-16,671",--
2001M04,"4,568",6.38,"19,935",40.41,416,1.22,"52,919",0.67,"9,718",51.96,"14,646",12.22,"45,895",0.17,128,19.63,"148,225",8.32,"78,094",7.24,"84,109",1.91,"-13,978",--
2001M05,"4,580",6.59,"20,985",45.52,406,-1.22,"50,564",-6.23,"10,592",100.34,"14,649",11.79,"44,597",-0.64,144,32.11,"146,517",7.39,"78,709",7.29,"81,192",3.30,"-13,384",--
2001M06,"4,624",5.86,"24,291",71.38,408,-1.69,"49,222",-9.02,"10,570",80.07,"14,528",10.03,"43,486",-2.26,143,21.19,"147,272",7.70,"78,963",6.71,"81,454",3.90,"-13,145",--
2001M07,"4,760",12.61,"23,080",59.84,406,1.50,"49,809",-6.64,"10,543",58.02,"14,597",10.50,"42,726",-6.07,141,18.49,"146,062",5.91,"78,912",6.06,"80,441",3.23,"-13,291",--
2001M08,"4,895",12.04,"22,733",46.24,407,5.99,"50,733",0.09,"10,761",85.73,"14,698",11.26,"41,577",-11.01,144,20.00,"145,948",6.66,"78,568",5.26,"80,785",2.77,"-13,405",--
2001M09,"4,914",12.17,"24,365",52.89,407,9.41,"49,016",-3.48,"9,779",98.96,"14,671",10.68,"41,510",-8.44,136,18.26,"144,798",7.18,"79,576",5.73,"79,677",3.89,"-14,455",--
2001M10,"4,951",8.74,"26,129",60.06,402,11.36,"51,144",0.48,"10,250",75.33,"14,675",10.23,"40,380",-10.28,130,7.44,"148,061",8.53,"79,437",6.12,"79,288",4.26,"-10,664",--
2001M11,"4,990",14.24,"28,152",49.94,400,-14.53,"50,794",-4.88,"9,894",63.29,"14,692",2.35,"38,579",-17.98,130,6.56,"147,631",2.11,"79,102",5.21,"78,955",-5.93,"-10,426",--
2001M12,"4,694",13.33,"27,223",49.64,357,17.43,"48,837",-7.48,"9,420",22.74,"14,971",9.06,"38,260",-16.14,118,5.36,"143,880",0.93,"79,082",2.88,"80,973",-0.17,"-16,175",--
2002M01,"4,750",12.32,"25,379",37.37,672,118.18,"49,568",-4.48,"7,930",5.66,"15,688",12.09,"38,002",-17.45,520,268.79,"142,509",-0.05,"79,228",2.42,"81,440",-2.41,"-18,159",--
2002M02,"4,585",5.74,"24,935",38.74,509,65.26,"50,653",-3.81,"8,906",1.84,"15,849",12.84,"35,307",-20.22,459,216.55,"141,203",-0.88,"78,799",1.75,"82,037",-3.24,"-19,633",--
2002M03,"4,578",2.01,"23,941",25.19,435,4.57,"57,268",7.39,"9,074",8.89,"16,156",11.35,"33,832",-25.60,360,157.14,"145,644",-0.11,"80,694",3.32,"82,958",-1.68,"-18,008",--
2002M04,"5,412",18.48,"24,151",21.15,461,10.82,"59,074",11.63,"9,378",-3.50,"16,224",10.77,"35,031",-23.67,128,0.00,"149,859",1.10,"80,912",3.61,"82,442",-1.98,"-13,495",--
2002M05,"5,523",20.59,"25,182",20.00,803,97.78,"56,879",12.49,"10,365",-2.14,"16,232",10.81,"34,068",-23.61,130,-9.72,"149,182",1.82,"79,974",1.61,"82,880",2.08,"-13,672",--
2002M06,"5,494",18.81,"24,462",0.70,698,71.08,"57,504",16.83,"9,489",-10.23,"16,099",10.81,"31,390",-27.82,136,-4.90,"145,272",-1.36,"80,542",2.00,"83,241",2.19,"-18,511",--
2002M07,"5,570",17.02,"25,823",11.88,902,122.17,"60,010",20.48,"7,012",-33.49,"16,115",10.40,"31,271",-26.81,134,-4.96,"146,837",0.53,"81,158",2.85,"83,736",4.10,"-18,057",--
2002M08,"5,522",12.81,"24,469",7.64,"1,014",149.14,"61,354",20.94,"8,248",-23.35,"16,096",9.51,"30,049",-27.73,123,-14.58,"146,875",0.64,"80,914",2.99,"73,260",-9.31,"-7,299",--
2002M09,"5,473",11.38,"22,262",-8.63,"3,665",800.49,"50,868",3.78,"5,794",-40.75,"16,121",9.88,"30,854",-25.67,117,-13.97,"135,154",-6.66,"81,349",2.23,"72,758",-8.68,"-18,953",--
2002M10,"5,403",9.13,"22,778",-12.82,"1,621",303.23,"53,570",4.74,"7,067",-31.05,"16,880",15.03,"30,594",-24.23,118,-9.23,"138,031",-6.77,"81,216",2.24,"73,105",-7.80,"-16,290",--
2002M11,"5,338",6.97,"23,601",-16.17,831,107.75,"54,842",7.97,"7,447",-24.73,"16,845",14.65,"30,275",-21.52,120,-7.69,"139,299",-5.64,"81,502",3.03,"73,680",-6.68,"-15,883",--
2002M12,"5,269",12.25,"22,457",-17.51,598,67.51,"54,344",11.28,"10,433",10.75,"16,577",10.73,"31,848",-16.76,164,38.98,"141,690",-1.52,"81,542",3.11,"73,481",-9.25,"-13,333",--
2003M01,"5,240",10.32,"23,336",-8.05,647,-3.72,"54,497",9.94,"8,336",5.12,"18,200",16.01,"32,067",-15.62,140,-73.08,"142,463",-0.03,"82,370",3.97,"75,037",-7.86,"-14,944",--
2003M02,"5,170",12.76,"22,556",-9.54,733,44.01,"55,005",8.59,"9,085",2.01,"18,223",14.98,"31,965",-9.47,213,-53.59,"142,950",1.24,"82,392",4.56,"76,081",-7.26,"-15,523",--
2003M03,"5,177",13.08,"24,074",0.56,913,109.89,"56,731",-0.94,"7,473",-17.64,"18,491",14.45,"31,646",-6.46,223,-38.06,"144,728",-0.63,"84,305",4.47,"74,366",-10.36,"-13,943",--
2003M04,"5,163",-4.60,"24,414",1.09,932,102.17,"56,761",-3.92,"7,838",-16.42,"18,552",14.35,"31,046",-11.38,133,3.91,"144,839",-3.35,"84,336",4.23,"74,827",-9.24,"-14,324",--
2003M05,"5,153",-6.70,"24,313",-3.45,"1,046",30.26,"56,088",-1.39,"7,819",-24.56,"18,571",14.41,"30,599",-10.18,130,0.00,"143,719",-3.66,"84,239",5.33,"75,169",-9.30,"-15,689",--
2003M06,"5,371",-2.24,"24,646",0.75,998,42.98,"55,796",-2.97,"8,583",-9.55,"20,532",27.54,"30,553",-2.67,137,0.74,"146,616",0.93,"85,711",6.42,"74,956",-9.95,"-14,051",--
2003M07,"5,390",-3.23,"22,337",-13.50,"1,454",61.20,"57,915",-3.49,"9,468",35.03,"20,761",28.83,"29,675",-5.10,210,56.72,"147,210",0.25,"85,907",5.85,"75,998",-9.24,"-14,695",--
2003M08,"5,532",0.18,"21,936",-10.35,"1,105",8.97,"58,475",-4.69,"9,567",15.99,"21,009",30.52,"28,762",-4.28,130,5.69,"146,516",-0.24,"85,947",6.22,"76,423",4.32,"-15,854",--
2003M09,"5,546",1.33,"22,278",0.07,913,-75.09,"59,617",17.20,"9,806",69.24,"21,057",30.62,"29,078",-5.76,126,7.69,"148,421",9.82,"86,700",6.58,"76,839",5.61,"-15,118",--
2003M10,"5,797",7.29,"22,039",-3.24,"1,318",-18.69,"60,444",12.83,"10,570",49.57,"21,123",25.14,"29,591",-3.28,126,6.78,"151,008",9.40,"87,064",7.20,"77,765",6.37,"-13,821",--
2003M11,"5,799",8.64,"19,801",-16.10,"1,534",84.60,"61,222",11.63,"10,749",44.34,"22,136",31.41,"26,853",-11.30,128,6.67,"148,222",6.41,"86,817",6.52,"78,239",6.19,"-16,834",--
2003M12,"5,730",8.75,"20,346",-9.40,"1,483",147.99,"60,999",12.25,"10,376",-0.55,"22,052",33.03,"29,569",-7.16,118,-28.05,"150,673",6.34,"86,942",6.62,"78,742",7.16,"-15,011",--
2004M01,"5,699",8.76,"20,433",-12.44,"1,360",110.20,"52,378",-3.89,"11,888",42.61,"22,083",21.34,"30,050",-6.29,154,10.00,"144,045",1.11,"87,735",6.51,"81,112",8.10,"-24,802",--
2004M02,"5,700",10.25,"20,717",-8.15,"1,460",99.18,"55,110",0.19,"10,430",14.80,"22,039",20.94,"30,227",-5.44,154,-27.70,"145,837",2.02,"88,103",6.93,"81,915",7.67,"-24,181",--
2004M03,"5,706",10.22,"20,555",-14.62,"1,461",60.02,"56,392",-0.60,"10,068",34.73,"22,219",20.16,"32,050",1.28,164,-26.46,"148,615",2.69,"90,067",6.83,"81,325",9.36,"-22,777",--
2004M04,"5,711",10.61,"21,776",-10.81,"2,428",160.52,"55,348",-2.49,"9,486",21.03,"20,521",10.61,"32,373",4.27,149,12.03,"147,792",2.04,"90,580",7.40,"79,401",6.11,"-22,189",--
2004M05,"5,583",8.34,"22,432",-7.74,"1,181",12.91,"57,484",2.49,"7,751",-0.87,"20,585",10.84,"31,307",2.31,159,22.31,"146,482",1.92,"90,608",7.56,"79,200",5.36,"-23,326",--
2004M06,"5,636",4.93,"22,236",-9.78,"1,365",36.77,"57,392",2.86,"9,447",10.07,"19,529",-4.89,"31,587",3.38,154,12.41,"147,346",0.50,"91,678",6.96,"78,488",4.71,"-22,820",--
2004M07,"5,649",4.81,"22,317",-0.09,"1,454",0.00,"58,270",0.61,"7,876",-16.81,"19,480",-6.17,"29,806",0.44,156,-25.71,"145,008",-1.50,"92,520",7.70,"78,727",3.59,"-26,239",--
2004M08,"5,645",2.04,"23,060",5.12,"1,360",23.08,"57,836",-1.09,"7,827",-18.19,"19,489",-7.23,"30,793",7.06,167,28.46,"146,177",-0.23,"93,572",8.87,"79,016",3.39,"-26,411",--
2004M09,"5,623",1.39,"22,443",0.74,"1,298",42.17,"58,259",-2.28,"8,954",-8.69,"19,567",-7.08,"30,100",3.51,158,25.40,"146,402",-1.36,"93,826",8.22,"79,731",3.76,"-27,155",--
2004M10,"5,635",-2.79,"22,816",3.53,"1,356",2.88,"59,260",-1.96,"8,842",-16.35,"19,499",-7.69,"30,371",2.64,155,23.02,"147,934",-2.04,"94,331",8.35,"80,448",3.45,"-26,845",--
2004M11,"5,652",-2.53,"22,742",14.85,"1,470",-4.17,"58,800",-3.96,"9,401",-12.54,"19,175",-13.38,"31,947",18.97,156,21.88,"149,343",0.76,"94,295",8.61,"80,613",3.03,"-25,565",--
2004M12,"5,551",-3.12,"23,511",15.56,"1,345",-9.31,"56,498",-7.38,"10,140",-2.27,"19,505",-11.55,"31,717",7.26,141,19.49,"148,408",-1.50,"94,723",8.95,"77,972",-0.98,"-24,287",--
2005M01,"5,455",-4.28,"22,682",11.01,"1,631",19.93,"56,924",8.68,"9,517",-19.94,"19,523",-11.59,"32,086",6.78,168,9.09,"147,986",2.74,"95,776",9.17,"79,216",-2.34,"-27,006",--
2005M02,"5,348",-6.18,"23,048",11.25,"1,854",26.99,"56,473",2.47,"10,465",0.34,"19,519",-11.43,"30,977",2.48,171,11.04,"147,855",1.38,"95,976",8.94,"79,898",-2.46,"-28,019",--
2005M03,"5,447",-4.54,"24,069",17.10,"1,530",4.72,"59,100",4.80,"9,357",-7.06,"19,177",-13.69,"31,554",-1.55,158,-3.66,"150,392",1.20,"97,436",8.18,"79,313",-2.47,"-26,357",--
2005M04,"5,166",-9.54,"23,039",5.80,"1,879",-22.61,"60,052",8.50,"9,988",5.29,"19,085",-7.00,"30,995",-4.26,154,3.36,"150,358",1.74,"97,833",8.01,"75,590",-4.80,"-23,065",--
2005M05,"5,076",-9.08,"23,616",5.28,"1,919",62.49,"58,586",1.92,"10,355",33.60,"19,096",-7.23,"30,897",-1.31,157,-1.26,"149,702",2.20,"98,835",9.08,"73,868",-6.73,"-23,001",--
2005M06,"5,191",-7.90,"23,100",3.89,"1,910",39.93,"55,416",-3.44,"10,365",9.72,"19,144",-1.97,"30,679",-2.87,153,-0.65,"145,958",-0.94,"99,739",8.79,"73,711",-6.09,"-27,492",--
2005M07,"5,091",-9.88,"22,667",1.57,"1,697",16.71,"56,116",-3.70,"10,954",39.08,"19,087",-2.02,"30,006",0.67,158,1.28,"145,776",0.53,"100,873",9.03,"74,513",-5.35,"-29,610",--
2005M08,"5,042",-10.68,"22,816",-1.06,"1,686",23.97,"56,505",-2.30,"10,391",32.76,"19,037",-2.32,"30,960",0.54,164,-1.80,"146,601",0.29,"101,029",7.97,"74,868",-5.25,"-29,296",--
2005M09,"4,928",-12.36,"22,178",-1.18,"1,539",18.57,"56,429",-3.14,"10,680",19.28,"19,338",-1.17,"30,925",2.74,157,-0.63,"146,174",-0.16,"101,642",8.33,"75,100",-5.81,"-30,568",--
2005M10,"4,937",-12.39,"21,966",-3.73,97,-92.85,"56,824",-4.11,"11,749",32.88,"19,357",-0.73,"31,042",2.21,153,-1.29,"146,125",-1.22,"101,217",7.30,"74,731",-7.11,"-29,823",--
2005M11,"4,891",-13.46,"20,878",-8.20,281,-80.88,"57,288",-2.57,"12,450",32.43,"19,390",1.12,"30,921",-3.21,155,-0.64,"146,254",-2.07,"101,162",7.28,"75,089",-6.85,"-29,997",--
2005M12,"5,092",-8.27,"22,817",-2.95,37,-97.25,"56,943",0.79,"11,260",11.05,"19,079",-2.18,"31,010",-2.23,143,1.42,"146,381",-1.37,"100,599",6.20,"76,289",-2.16,"-30,507",--
2006M01,"5,401",-0.99,"22,427",-1.12,-,-,"53,979",-5.17,"11,903",25.07,"18,097",-7.30,"30,076",-6.26,411,144.64,"142,294",-3.85,"100,342",4.77,"79,520",0.38,"-37,568",--
2006M02,"5,484",2.54,"18,871",-18.12,-,-,"56,066",-0.72,"11,409",9.02,"18,110",-7.22,"30,496",-1.55,495,189.47,"140,931",-4.68,"100,604",4.82,"80,701",1.01,"-40,374",--
2006M03,"5,651",3.75,"21,241",-11.75,-,-,"59,523",0.72,"12,264",31.07,"17,858",-6.88,"29,498",-6.52,172,8.86,"146,207",-2.78,"101,739",4.42,"80,792",1.86,"-36,324",--
2006M04,"5,554",7.51,"21,193",-8.01,-,-,"60,648",0.99,"12,530",25.45,"17,877",-6.33,"29,111",-6.08,169,9.74,"147,082",-2.18,"101,942",4.20,"80,039",5.89,"-34,899",--
2006M05,"5,645",11.21,"20,344",-13.86,-,-,"58,335",-0.43,"14,882",43.72,"17,670",-7.47,"29,231",-5.39,167,6.37,"146,274",-2.29,"102,157",3.36,"79,567",7.72,"-35,450",--
2006M06,"5,778",11.31,"19,469",-15.72,-,-,"57,636",4.01,"12,489",20.49,"17,695",-7.57,"29,890",-2.57,163,6.54,"143,120",-1.94,"102,489",2.76,"79,433",7.76,"-38,802",--
2006M07,"5,894",15.77,"18,343",-19.08,-,-,"57,031",1.63,"13,656",24.67,"17,971",-5.85,"29,185",-2.74,157,-0.63,"142,237",-2.43,"105,511",4.60,"78,982",6.00,"-42,256",--
2006M08,"5,945",17.91,"17,781",-22.07,-,-,"55,963",-0.96,"12,632",21.57,"18,231",-4.23,"29,583",-4.45,155,-5.49,"140,290",-4.30,"102,824",1.78,"79,382",6.03,"-41,916",--
2006M09,"6,023",22.22,"18,203",-17.92,-,-,"55,093",-2.37,"11,618",8.78,"18,233",-5.71,"28,400",-8.16,150,-4.46,"137,720",-5.78,"103,568",1.89,"70,514",-6.11,"-36,362",--
2006M10,"6,066",22.87,"19,003",-13.49,-,-,"49,530",-12.84,"10,126",-13.81,"17,751",-8.30,"29,998",-3.36,150,-1.96,"132,624",-9.24,"103,342",2.10,"71,823",-3.89,"-42,541",--
2006M11,"6,116",25.05,"19,433",-6.92,-,-,"50,935",-11.09,"10,182",-18.22,"17,654",-8.95,"30,123",-2.58,149,-3.87,"134,592",-7.97,"103,727",2.54,"73,403",-2.25,"-42,538",--
2006M12,"6,318",24.08,"20,232",-11.33,-,-,"50,549",-11.23,"9,859",-12.44,"17,447",-8.55,"31,177",0.54,144,0.70,"135,726",-7.28,"104,636",4.01,"73,120",-4.15,"-42,030",--
2007M01,"6,346",17.50,"19,746",-11.95,-,-,"51,031",-5.46,"9,983",-16.13,"17,472",-3.45,"31,239",3.87,150,-63.50,"135,967",-4.45,"105,549",5.19,"73,200",-7.95,"-42,782",--
2007M02,"6,431",17.27,"18,921",0.26,-,-,"51,681",-7.82,"10,024",-12.14,"17,456",-3.61,"30,042",-1.49,158,-68.08,"134,713",-4.41,"105,452",4.82,"74,078",-8.21,"-44,817",--
2007M03,"3,029",-46.40,"19,499",-8.20,-,-,"54,487",-8.46,"9,057",-26.15,"17,346",-2.87,"29,322",-0.60,154,-10.47,"132,894",-9.11,"107,551",5.71,"68,676",-15.00,"-43,333",--
2007M04,"3,077",-44.60,"19,431",-8.31,-,-,"55,544",-8.42,"9,003",-28.15,"17,175",-3.93,"31,144",6.98,149,-11.83,"135,523",-7.86,"108,249",6.19,"68,679",-14.19,"-41,405",--
2007M05,"3,081",-45.42,"19,372",-4.78,-,-,"54,452",-6.66,"8,953",-39.84,"16,973",-3.94,"32,369",10.74,150,-10.18,"135,350",-7.47,"108,249",5.96,"66,697",-16.18,"-39,596",--
2007M06,"3,121",-45.98,"19,542",0.37,-,-,"54,827",-4.87,"8,246",-33.97,"16,885",-4.58,"33,276",11.33,152,-6.75,"136,049",-4.94,"109,795",7.13,"66,725",-16.00,"-40,471",--
2007M07,"3,124",-47.00,"19,050",3.85,-,-,"55,498",-2.69,"7,487",-45.17,"16,863",-6.17,"33,517",14.84,149,-5.10,"135,688",-4.60,"109,617",3.89,"68,259",-13.58,"-42,188",--
2007M08,"3,148",-47.05,"19,256",8.30,-,-,"56,913",1.70,"7,606",-39.79,"16,830",-7.68,"35,512",20.04,146,-5.81,"139,411",-0.63,"110,915",7.87,"69,854",-12.00,"-41,358",--
2007M09,"3,069",-49.05,"19,657",7.99,-,-,"57,657",4.65,"8,214",-29.30,"16,792",-7.90,"34,888",22.85,145,-3.33,"140,422",1.96,"111,155",7.33,"70,939",0.60,"-41,672",--
2007M10,"3,042",-49.85,"18,750",-1.33,-,-,"54,699",10.44,"7,803",-22.94,"14,436",-18.68,"31,951",6.51,140,-6.67,"130,821",-1.36,"101,997",-1.30,"66,843",-6.93,"-38,019",--
2007M11,"2,999",-50.96,"18,690",-3.82,-,-,"54,744",7.48,"8,007",-21.36,"16,822",-4.71,"35,234",16.97,145,-2.68,"136,641",1.52,"111,341",7.34,"67,741",-7.71,"-42,441",--
2007M12,"2,918",-53.81,"20,978",3.69,-,-,"53,225",5.29,"8,170",-17.13,"16,697",-4.30,"36,407",16.78,137,-4.86,"138,532",2.07,"112,776",7.78,"67,451",-7.75,"-41,695",--
