期間,合計_原始值,合計_年增率(%),小型車_原始值,小型車_年增率(%),大客貨車_原始值,大客貨車_年增率(%),聯結車_原始值,聯結車_年增率(%),每日平均通行車輛數_原始值,每日平均通行車輛數_年增率(%)
2002M01,"40,340",...,"33,473",...,"4,353",...,"2,514",...,"1,301",...
2002M02,"36,146",...,"29,392",...,"4,222",...,"2,532",...,"1,291",...
2002M03,"39,398",...,"31,664",...,"4,870",...,"2,863",...,"1,271",...
2002M04,"39,568",...,"32,323",...,"4,629",...,"2,616",...,"1,319",...
2002M05,"38,225",...,"30,610",...,"4,662",...,"2,953",...,"1,233",...
2002M06,"38,548",...,"31,163",...,"4,502",...,"2,883",...,"1,285",...
2002M07,"40,031",...,"32,339",...,"4,702",...,"2,989",...,"1,291",...
2002M08,"41,196",...,"33,053",...,"4,962",...,"3,180",...,"1,329",...
2002M09,"35,651",...,"28,797",...,"4,275",...,"2,578",...,"1,188",...
2002M10,"39,321",...,"31,497",...,"4,838",...,"2,986",...,"1,268",...
2002M11,"37,777",...,"30,201",...,"4,720",...,"2,856",...,"1,259",...
2002M12,"38,502",...,"31,264",...,"4,600",...,"2,638",...,"1,242",...
2003M01,"37,629",-6.72,"30,448",-9.04,"4,521",3.85,"2,660",5.81,"1,214",-6.72
2003M02,"38,568",6.70,"32,663",11.13,"3,802",-9.95,"2,103",-16.96,"1,377",6.70
2003M03,"41,519",5.38,"33,378",5.41,"5,021",3.10,"3,120",8.95,"1,339",5.38
2003M04,"40,799",3.11,"32,795",1.46,"4,941",6.73,"3,063",17.11,"1,360",3.11
2003M05,"40,817",6.78,"32,704",6.84,"4,984",6.92,"3,129",5.97,"1,317",6.78
2003M06,"41,121",6.68,"33,532",7.60,"4,689",4.16,"2,900",0.58,"1,371",6.68
2003M07,"42,370",5.84,"34,515",6.73,"4,881",3.79,"2,973",-0.52,"1,367",5.84
2003M08,"42,588",3.38,"34,958",5.76,"4,641",-6.47,"2,988",-6.05,"1,374",3.38
2003M09,"39,700",11.36,"32,522",12.94,"4,412",3.19,"2,766",7.26,"1,323",11.36
2003M10,"40,336",2.58,"32,636",3.62,"4,750",-1.81,"2,949",-1.23,"1,301",2.58
2003M11,"39,597",4.82,"32,196",6.61,"4,553",-3.54,"2,847",-0.30,"1,320",4.82
2003M12,"40,856",6.11,"33,361",6.71,"4,609",0.21,"2,885",9.35,"1,318",6.11
2004M01,"40,776",8.37,"33,426",9.78,"4,534",0.29,"2,817",5.91,"1,315",8.37
