期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公立職訓機構_原始值,公立職訓機構_年增率(%),公立職訓機構_原始值,公立職訓機構_年增率(%),公營事業附設_原始值,公營事業附設_年增率(%),公營事業附設_原始值,公營事業附設_年增率(%),民營事業附設_原始值,民營事業附設_年增率(%),民營事業附設_原始值,民營事業附設_年增率(%),政府機關附設_原始值,政府機關附設_年增率(%),政府機關附設_原始值,政府機關附設_年增率(%),各級學校附設_原始值,各級學校附設_年增率(%),各級學校附設_原始值,各級學校附設_年增率(%),民間團體附設_原始值,民間團體附設_年增率(%),民間團體附設_原始值,民間團體附設_年增率(%)
1994,894,17.02,"487,920",1.86,13,0.00,"21,471",-5.76,141,0.00,"275,702",10.10,508,26.05,"90,941",2.17,59,7.27,"33,753",-52.79,124,18.10,"22,539",40.33,49,4.26,"43,514",48.71
1995,958,7.16,"565,768",15.96,13,0.00,"21,038",-2.02,152,7.80,"316,092",14.65,539,6.10,"111,071",22.14,66,11.86,"40,950",21.32,133,7.26,"35,723",58.49,55,12.24,"40,894",-6.02
1996,911,-4.91,"610,898",7.98,13,0.00,"24,657",17.20,145,-4.61,"304,169",-3.77,497,-7.79,"159,183",43.32,66,0.00,"64,761",58.15,145,9.02,"30,070",-15.82,45,-18.18,"28,058",-31.39
1997,865,-5.05,"631,764",3.42,13,0.00,"28,253",14.58,110,-24.14,"294,077",-3.32,532,7.04,"191,805",20.49,43,-34.85,"56,218",-13.19,103,-28.97,"32,105",6.77,64,42.22,"29,306",4.45
1998,924,6.82,"623,495",-1.31,13,0.00,"29,823",5.56,138,25.45,"295,491",0.48,573,7.71,"169,854",-11.44,44,2.33,"58,426",3.93,101,-1.94,"31,059",-3.26,55,-14.06,"38,842",32.54
1999,935,1.19,"669,561",7.39,13,0.00,"27,065",-9.25,145,5.07,"305,760",3.48,500,-12.74,"163,100",-3.98,75,70.45,"88,289",51.11,121,19.80,"34,637",11.52,81,47.27,"50,710",30.55
2000,966,3.32,"757,670",13.16,13,0.00,"30,030",10.96,145,0.00,"327,191",7.01,576,15.20,"215,986",32.43,73,-2.67,"106,428",20.55,104,-14.05,"34,868",0.67,55,-32.10,"43,167",-14.87
2001,"1,062",9.94,"759,142",0.19,13,0.00,"33,342",11.03,146,0.69,"314,248",-3.96,586,1.74,"188,985",-12.50,64,-12.33,"112,219",5.44,132,26.92,"31,527",-9.58,121,120.00,"78,821",82.60
2002,"1,027",-3.30,"738,580",-2.71,13,0.00,"40,410",21.20,149,2.05,"301,828",-3.95,551,-5.97,"148,315",-21.52,65,1.56,"133,267",18.76,140,6.06,"48,653",54.32,109,-9.92,"66,107",-16.13
2003,"1,110",8.08,"859,308",16.35,11,-15.38,"35,347",-12.53,133,-10.74,"272,547",-9.70,647,17.42,"271,244",82.88,66,1.54,"167,076",25.37,146,4.29,"45,989",-5.48,107,-1.83,"67,105",1.51
2004,"1,102",-0.72,"883,921",2.86,11,0.00,"28,835",-18.42,122,-8.27,"225,340",-17.32,682,5.41,"390,181",43.85,63,-4.55,"128,426",-23.13,132,-9.59,"30,684",-33.28,92,-14.02,"80,455",19.89
2005,"1,251",13.52,"1,090,745",23.40,11,0.00,"27,845",-3.43,134,9.84,"213,192",-5.39,836,22.58,"580,833",48.86,59,-6.35,"154,902",20.62,117,-11.36,"36,885",20.21,94,2.17,"77,088",-4.18
2006,"1,220",-2.48,"1,139,902",4.51,11,0.00,"18,292",-34.31,126,-5.97,"293,554",37.69,831,-0.60,"592,091",1.94,61,3.39,"156,079",0.76,111,-5.13,"30,295",-17.87,80,-14.89,"49,591",-35.67
2007,"1,655",35.66,"1,623,920",42.46,11,0.00,"19,283",5.42,69,-45.24,"386,278",31.59,"1,258",51.38,"955,555",61.39,67,9.84,"111,553",-28.53,129,16.22,"39,870",31.61,121,51.25,"111,381",124.60
2008,"1,715",3.63,"1,776,273",9.38,11,0.00,"20,532",6.48,53,-23.19,"438,832",13.61,"1,409",12.00,"1,053,449",10.24,58,-13.43,"114,434",2.58,106,-17.83,"38,595",-3.20,78,-35.54,"110,431",-0.85
2009,"1,592",-7.17,"1,640,825",-7.63,11,0.00,"25,848",25.89,65,22.64,"206,955",-52.84,"1,282",-9.01,"1,089,055",3.38,54,-6.90,"145,382",27.04,111,4.72,"48,981",26.91,69,-11.54,"124,604",12.83
2010,"5,746",260.93,"4,733,179",188.46,11,0.00,"21,464",-16.96,103,58.46,"328,204",58.59,"5,181",304.13,"4,138,485",280.01,66,22.22,"16,179",-88.87,150,35.14,"45,277",-7.56,235,240.58,"138,570",11.21
