期間,合計_原始值,合計_年增率(%),政府_原始值,政府_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人及其他_原始值,個人及其他_年增率(%)
1997M01,"8,930,191",35.79,"582,555",-6.92,"220,950",8.35,"1,750,860",42.45,"6,375,826",41.13
1997M02,"8,970,638",37.60,"562,868",2.77,"214,245",20.78,"1,678,635",39.07,"6,514,890",42.03
1997M03,"9,038,021",38.30,"572,655",0.94,"207,004",19.17,"1,700,480",42.23,"6,557,882",42.62
1997M04,"9,017,166",36.67,"577,655",0.01,"209,792",17.64,"1,671,951",38.09,"6,557,768",41.60
1997M05,"9,100,323",34.81,"609,948",-0.54,"212,408",16.05,"1,719,519",34.08,"6,558,448",40.39
1997M06,"9,301,409",32.86,"635,308",1.89,"230,277",7.81,"1,772,939",27.86,"6,662,885",39.47
1997M07,"9,307,957",32.95,"621,553",3.77,"214,459",15.05,"1,775,393",26.97,"6,696,552",39.01
1997M08,"9,398,044",34.30,"608,042",6.74,"215,197",16.61,"1,858,784",33.98,"6,716,021",38.30
1997M09,"9,595,683",35.47,"623,054",7.57,"252,615",25.94,"1,841,727",31.74,"6,878,287",40.22
1997M10,"9,760,184",37.16,"577,999",3.42,"220,038",13.12,"1,916,244",34.83,"7,045,903",42.59
1997M11,"9,891,999",37.71,"584,686",2.86,"231,749",19.56,"1,948,475",36.48,"7,127,089",42.73
1997M12,"10,283,738",40.51,"627,452",10.71,"237,540",18.73,"2,102,501",39.83,"7,316,245",44.92
1998M01,"10,350,008",15.90,"623,840",7.09,"233,607",5.73,"1,992,425",13.80,"7,500,136",17.63
1998M02,"10,547,696",17.58,"625,011",11.04,"225,873",5.43,"1,992,833",18.72,"7,703,979",18.25
1998M03,"10,606,054",17.35,"632,903",10.52,"241,928",16.87,"2,028,630",19.30,"7,702,593",17.46
1998M04,"10,562,657",17.14,"571,726",-1.03,"243,763",16.19,"2,019,550",20.79,"7,727,618",17.84
1998M05,"10,662,135",17.16,"603,550",-1.05,"247,716",16.62,"2,036,792",18.45,"7,774,077",18.54
1998M06,"10,893,835",17.12,"625,144",-1.60,"266,834",15.88,"2,202,310",24.22,"7,799,547",17.06
1998M07,"10,933,056",17.46,"605,504",-2.58,"264,120",23.16,"2,189,526",23.33,"7,873,906",17.58
1998M08,"11,019,532",17.25,"594,473",-2.23,"253,774",17.93,"2,229,101",19.92,"7,942,184",18.26
1998M09,"11,177,249",16.48,"593,471",-4.75,"290,305",14.92,"2,279,483",23.77,"8,013,990",16.51
1998M10,"11,260,347",15.37,"559,672",-3.17,"269,791",22.61,"2,312,638",20.69,"8,118,246",15.22
1998M11,"11,438,996",15.64,"568,132",-2.83,"278,623",20.23,"2,325,221",19.34,"8,267,020",15.99
1998M12,"11,609,415",12.89,"623,535",-0.62,"272,959",14.91,"2,396,257",13.97,"8,316,664",13.67
1999M01,"11,737,729",13.41,"615,765",-1.29,"279,076",19.46,"2,301,452",15.51,"8,541,436",13.88
1999M02,"11,785,049",11.73,"569,106",-8.94,"266,558",18.01,"2,329,019",16.87,"8,620,366",11.89
1999M03,"11,848,715",11.72,"579,792",-8.39,"270,897",11.97,"2,324,746",14.60,"8,673,280",12.60
1999M04,"11,945,589",13.09,"599,126",4.79,"268,134",10.00,"2,324,633",15.11,"8,753,696",13.28
1999M05,"11,965,403",12.22,"643,920",6.69,"267,667",8.05,"2,328,536",14.32,"8,725,280",12.24
1999M06,"12,239,457",12.35,"680,512",8.86,"280,582",5.15,"2,414,528",9.64,"8,863,835",13.65
1999M07,"12,101,711",10.69,"615,589",1.67,"261,188",-1.11,"2,377,901",8.60,"8,847,033",12.36
1999M08,"12,135,196",10.12,"620,296",4.34,"267,221",5.30,"2,357,395",5.76,"8,890,284",11.94
1999M09,"12,221,332",9.34,"650,677",9.64,"269,321",-7.23,"2,373,819",4.14,"8,927,515",11.40
1999M10,"12,265,203",8.92,"648,074",15.80,"265,751",-1.50,"2,409,095",4.17,"8,942,283",10.15
1999M11,"12,333,343",7.82,"657,020",15.65,"267,034",-4.16,"2,432,460",4.61,"8,976,829",8.59
1999M12,"12,650,359",8.97,"670,058",7.46,"273,531",0.21,"2,621,048",9.38,"9,085,722",9.25
2000M01,"12,762,467",8.73,"640,748",4.06,"301,029",7.87,"2,551,470",10.86,"9,269,220",8.52
2000M02,"12,828,671",8.86,"672,134",18.10,"264,586",-0.74,"2,547,461",9.38,"9,344,490",8.40
2000M03,"12,997,984",9.70,"664,545",14.62,"271,596",0.26,"2,585,329",11.21,"9,476,514",9.26
2000M04,"12,941,602",8.34,"683,809",14.13,"270,866",1.02,"2,653,406",14.14,"9,333,521",6.62
2000M05,"12,890,947",7.74,"720,165",11.84,"270,299",0.98,"2,699,418",15.93,"9,201,065",5.45
2000M06,"13,028,294",6.45,"713,791",4.89,"266,428",-5.04,"2,832,794",17.32,"9,215,281",3.96
2000M07,"13,009,132",7.50,"723,427",17.52,"266,754",2.13,"2,755,778",15.89,"9,263,173",4.70
2000M08,"13,092,165",7.89,"714,494",15.19,"262,189",-1.88,"2,848,450",20.83,"9,267,032",4.24
2000M09,"13,092,558",7.13,"705,114",8.37,"256,504",-4.76,"2,898,748",22.11,"9,232,192",3.41
2000M10,"13,180,321",7.46,"691,006",6.62,"258,066",-2.89,"2,965,502",23.10,"9,265,747",3.62
2000M11,"13,345,154",8.20,"696,550",6.02,"257,648",-3.51,"3,015,748",23.98,"9,375,208",4.44
2000M12,"13,677,441",8.12,"715,766",6.82,"263,719",-3.59,"3,183,907",21.47,"9,514,049",4.71
2001M01,"13,604,097",6.59,"671,026",4.73,"248,916",-17.31,"2,982,692",16.90,"9,701,463",4.66
2001M02,"13,693,475",6.74,"658,355",-2.05,"250,295",-5.40,"2,972,834",16.70,"9,811,991",5.00
2001M03,"13,718,899",5.55,"663,869",-0.10,"256,857",-5.43,"2,939,911",13.72,"9,858,262",4.03
2001M04,"13,608,278",5.15,"678,773",-0.74,"249,946",-7.72,"2,898,647",9.24,"9,780,912",4.79
2001M05,"13,637,836",5.79,"691,596",-3.97,"244,412",-9.58,"2,902,943",7.54,"9,798,885",6.50
2001M06,"13,923,806",6.87,"694,658",-2.68,"251,659",-5.54,"3,041,685",7.37,"9,935,804",7.82
2001M07,"13,887,956",6.76,"706,509",-2.34,"288,681",8.22,"3,004,147",9.01,"9,888,619",6.75
2001M08,"13,916,396",6.30,"699,503",-2.10,"249,887",-4.69,"2,990,370",4.98,"9,976,636",7.66
2001M09,"14,135,536",7.97,"730,888",3.66,"157,705",-38.52,"2,917,842",0.66,"10,329,101",11.88
2001M10,"14,094,440",6.94,"708,781",2.57,"163,268",-36.73,"2,850,784",-3.87,"10,371,607",11.93
2001M11,"14,166,677",6.16,"720,284",3.41,"159,252",-38.19,"2,824,829",-6.33,"10,462,312",11.60
2001M12,"14,549,914",6.38,"764,115",6.75,"158,724",-39.81,"2,992,014",-6.03,"10,635,061",11.78
2002M01,"14,480,765",6.44,"692,948",3.27,"145,334",-41.61,"2,917,973",-2.17,"10,724,510",10.55
2002M02,"14,496,002",5.86,"658,723",0.06,"145,721",-41.78,"2,889,602",-2.80,"10,801,956",10.09
2002M03,"14,578,559",6.27,"660,578",-0.50,"140,827",-45.17,"2,930,046",-0.34,"10,847,108",10.03
2002M04,"14,517,276",6.68,"671,185",-1.12,"150,078",-39.96,"2,882,858",-0.54,"10,813,155",10.55
2002M05,"14,466,218",6.07,"695,273",0.53,"154,295",-36.87,"2,902,803",0.00,"10,713,847",9.34
2002M06,"14,621,074",5.01,"701,337",0.96,"160,886",-36.07,"3,028,773",-0.42,"10,730,078",7.99
2002M07,"14,492,997",4.36,"690,222",-2.31,"163,384",-43.40,"2,909,016",-3.17,"10,730,375",8.51
2002M08,"14,599,181",4.91,"678,889",-2.95,"150,761",-39.67,"2,947,632",-1.43,"10,821,899",8.47
2002M09,"14,560,150",3.00,"704,035",-3.67,"150,638",-4.48,"2,918,504",0.02,"10,786,973",4.43
2002M10,"14,601,114",3.59,"689,469",-2.72,"149,738",-8.29,"2,914,498",2.23,"10,847,409",4.59
2002M11,"14,714,082",3.86,"702,789",-2.43,"148,109",-7.00,"2,936,982",3.97,"10,926,202",4.43
2002M12,"14,962,324",2.83,"691,510",-9.50,"144,320",-9.07,"3,103,038",3.71,"11,023,456",3.65
2003M01,"14,927,014",3.08,"646,872",-6.65,"144,148",-0.82,"2,897,846",-0.69,"11,238,148",4.79
2003M02,"14,977,857",3.32,"654,528",-0.64,"138,437",-5.00,"2,925,360",1.24,"11,259,532",4.24
2003M03,"14,932,534",2.43,"655,251",-0.81,"137,671",-2.24,"2,891,668",-1.31,"11,247,944",3.70
2003M04,"14,929,350",2.84,"649,923",-3.17,"139,574",-7.00,"2,873,993",-0.31,"11,265,860",4.19
2003M05,"15,021,987",3.84,"674,854",-2.94,"150,344",-2.56,"2,882,720",-0.69,"11,314,069",5.60
2003M06,"15,240,989",4.24,"696,859",-0.64,"164,156",2.03,"3,005,206",-0.78,"11,374,768",6.01
2003M07,"15,293,563",5.52,"685,113",-0.74,"161,966",-0.87,"2,982,256",2.52,"11,464,228",6.84
2003M08,"15,412,014",5.57,"683,783",0.72,"148,048",-1.80,"3,019,053",2.42,"11,561,130",6.83
2003M09,"15,476,107",6.29,"713,861",1.40,"149,248",-0.92,"3,061,705",4.91,"11,551,293",7.09
2003M10,"15,527,199",6.34,"704,862",2.23,"150,766",0.69,"3,056,770",4.88,"11,614,801",7.07
2003M11,"15,632,634",6.24,"722,515",2.81,"149,671",1.05,"3,128,515",6.52,"11,631,933",6.46
2003M12,"15,946,296",6.58,"709,255",2.57,"149,807",3.80,"3,396,383",9.45,"11,690,851",6.05
