期間,合計_原始值,合計_年增率(%),政府_原始值,政府_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人及其他_原始值,個人及其他_年增率(%)
2004M01,"15,977,500",7.04,"648,885",0.31,"145,996",1.28,"3,218,720",11.07,"11,963,899",6.46
2004M02,"16,134,249",7.72,"665,805",1.72,"141,906",2.51,"3,272,007",11.85,"12,054,531",7.06
2004M03,"16,351,814",9.50,"703,966",7.43,"143,739",4.41,"3,459,060",19.62,"12,045,049",7.09
2004M04,"16,361,008",9.59,"707,897",8.92,"148,891",6.68,"3,432,891",19.45,"12,071,329",7.15
2004M05,"16,303,262",8.53,"758,121",12.34,"152,052",1.14,"3,397,762",17.87,"11,995,327",6.02
2004M06,"16,467,638",8.05,"713,453",2.38,"146,155",-10.97,"3,629,034",20.76,"11,978,996",5.31
2004M07,"16,531,147",8.09,"701,003",2.32,"143,192",-11.59,"3,554,603",19.19,"12,132,349",5.83
2004M08,"16,600,286",7.71,"703,999",2.96,"146,421",-1.10,"3,534,987",17.09,"12,214,879",5.65
2004M09,"16,658,062",7.64,"717,025",0.44,"136,029",-8.86,"3,522,322",15.04,"12,282,686",6.33
2004M10,"16,670,338",7.36,"718,220",1.90,"134,086",-11.06,"3,468,129",13.46,"12,349,903",6.33
2004M11,"16,696,694",6.81,"691,299",-4.32,"134,415",-10.19,"3,475,544",11.09,"12,395,436",6.56
2004M12,"17,083,597",7.13,"682,356",-3.79,"139,598",-6.81,"3,668,909",8.02,"12,592,734",7.71
2005M01,"16,989,569",6.33,"651,460",0.40,"147,645",1.13,"3,528,771",9.63,"12,661,693",5.83
2005M02,"17,013,074",5.45,"629,196",-5.50,"139,676",-1.57,"3,419,940",4.52,"12,824,262",6.39
2005M03,"17,147,137",4.86,"627,970",-10.80,"139,492",-2.95,"3,519,991",1.76,"12,859,684",6.76
2005M04,"17,123,469",4.66,"635,870",-10.17,"141,093",-5.24,"3,492,733",1.74,"12,853,773",6.48
2005M05,"17,100,544",4.89,"659,498",-13.01,"137,014",-9.89,"3,446,594",1.44,"12,857,438",7.19
2005M06,"17,563,031",6.65,"667,838",-6.39,"152,492",4.34,"3,751,339",3.37,"12,991,362",8.45
2005M07,"17,543,245",6.12,"663,079",-5.41,"154,588",7.96,"3,587,297",0.92,"13,138,281",8.29
2005M08,"17,534,377",5.63,"709,287",0.75,"134,682",-8.02,"3,563,581",0.81,"13,126,827",7.47
2005M09,"17,581,655",5.54,"661,907",-7.69,"133,492",-1.87,"3,630,289",3.07,"13,155,967",7.11
2005M10,"17,542,046",5.23,"664,466",-7.48,"128,660",-4.05,"3,574,719",3.07,"13,174,201",6.67
2005M11,"17,750,077",6.31,"667,190",-3.49,"135,386",0.72,"3,660,845",5.33,"13,286,656",7.19
2005M12,"18,176,571",6.40,"662,940",-2.85,"150,897",8.09,"3,880,723",5.77,"13,482,011",7.06
2006M01,"18,029,414",6.12,"589,866",-9.45,"148,177",0.36,"3,668,639",3.96,"13,622,732",7.59
2006M02,"18,188,032",6.91,"612,954",-2.58,"146,524",4.90,"3,837,980",12.22,"13,590,574",5.98
2006M03,"18,145,825",5.82,"606,931",-3.35,"146,758",5.21,"3,785,959",7.56,"13,606,177",5.80
2006M04,"18,320,529",6.99,"612,555",-3.67,"150,170",6.43,"3,793,599",8.61,"13,764,205",7.08
2006M05,"18,308,010",7.06,"647,720",-1.79,"144,984",5.82,"3,802,177",10.32,"13,713,129",6.66
2006M06,"18,376,163",4.63,"644,620",-3.48,"147,486",-3.28,"4,003,437",6.72,"13,580,620",4.54
2006M07,"18,329,166",4.48,"672,934",1.49,"146,939",-4.95,"3,907,988",8.94,"13,601,305",3.52
2006M08,"18,421,748",5.06,"662,129",-6.65,"138,804",3.06,"3,933,217",10.37,"13,687,598",4.27
2006M09,"18,525,366",5.37,"632,642",-4.42,"136,541",2.28,"3,923,325",8.07,"13,832,858",5.15
2006M10,"18,547,269",5.73,"648,106",-2.46,"139,689",8.57,"3,920,665",9.68,"13,838,809",5.04
2006M11,"18,686,338",5.27,"655,166",-1.80,"145,566",7.52,"3,981,165",8.75,"13,904,441",4.65
2006M12,"19,034,099",4.72,"646,800",-2.43,"159,822",5.91,"4,102,334",5.71,"14,125,143",4.77
2007M01,"19,012,256",5.45,"638,996",8.33,"170,492",15.06,"4,073,588",11.04,"14,129,180",3.72
2007M02,"19,049,292",4.74,"597,579",-2.51,"168,192",14.79,"3,989,182",3.94,"14,294,339",5.18
2007M03,"19,140,749",5.48,"599,293",-1.26,"159,272",8.53,"4,074,293",7.62,"14,307,891",5.16
2007M04,"19,247,535",5.06,"611,475",-0.18,"141,299",-5.91,"4,097,250",8.00,"14,397,511",4.60
2007M05,"19,203,458",4.89,"616,010",-4.90,"142,905",-1.43,"4,160,262",9.42,"14,284,281",4.17
2007M06,"19,288,931",4.97,"623,067",-3.34,"154,392",4.68,"4,216,781",5.33,"14,294,691",5.26
2007M07,"19,190,864",4.70,"614,101",-8.74,"142,488",-3.03,"4,143,468",6.03,"14,290,807",5.07
2007M08,"19,120,769",3.79,"614,907",-7.13,"137,146",-1.19,"4,089,723",3.98,"14,278,993",4.32
2007M09,"19,145,534",3.35,"622,956",-1.53,"149,676",9.62,"4,095,904",4.40,"14,276,998",3.21
2007M10,"19,288,500",4.00,"645,038",-0.47,"152,706",9.32,"4,171,811",6.41,"14,318,945",3.47
2007M11,"19,164,271",2.56,"645,322",-1.50,"163,335",12.21,"4,241,116",6.53,"14,114,498",1.51
2007M12,"19,313,771",1.47,"641,256",-0.86,"158,000",-1.14,"4,323,403",5.39,"14,191,112",0.47
2008M01,"19,401,753",2.05,"590,087",-7.65,"161,178",-5.46,"4,393,114",7.84,"14,257,374",0.91
2008M02,"19,494,351",2.34,"590,946",-1.11,"157,964",-6.08,"4,376,321",9.70,"14,369,120",0.52
2008M03,"19,639,851",2.61,"600,760",0.24,"161,590",1.46,"4,507,121",10.62,"14,370,380",0.44
2008M04,"19,796,882",2.85,"598,484",-2.12,"156,369",10.67,"4,598,915",12.24,"14,443,114",0.32
2008M05,"19,797,475",3.09,"607,560",-1.37,"160,175",12.08,"4,644,429",11.64,"14,385,311",0.71
2008M06,"19,637,371",1.81,"632,495",1.51,"170,388",10.36,"4,681,451",11.02,"14,153,037",-0.99
2008M07,"19,705,802",2.68,"633,594",3.17,"164,226",15.26,"4,672,138",12.76,"14,235,844",-0.38
2008M08,"19,765,138",3.37,"643,633",4.67,"158,962",15.91,"4,593,861",12.33,"14,368,682",0.63
2008M09,"20,028,570",4.61,"665,939",6.90,"165,529",10.59,"4,591,319",12.10,"14,605,783",2.30
2008M10,"20,356,915",5.54,"630,309",-2.28,"177,040",15.94,"4,706,514",12.82,"14,843,052",3.66
2008M11,"20,559,495",7.28,"645,418",0.01,"172,238",5.45,"4,775,459",12.60,"14,966,380",6.04
2008M12,"20,993,573",8.70,"652,350",1.73,"170,712",8.05,"4,975,307",15.08,"15,195,204",7.08
2009M01,"20,847,568",7.45,"585,632",-0.75,"148,940",-7.59,"4,831,983",9.99,"15,281,013",7.18
2009M02,"21,203,726",8.77,"601,415",1.77,"150,200",-4.92,"5,040,889",15.19,"15,411,222",7.25
2009M03,"21,430,176",9.12,"599,204",-0.26,"142,572",-11.77,"5,156,506",14.41,"15,531,894",8.08
2009M04,"21,535,779",8.78,"599,666",0.20,"140,634",-10.06,"5,182,815",12.70,"15,612,664",8.10
2009M05,"21,625,298",9.23,"606,223",-0.22,"141,790",-11.48,"5,127,993",10.41,"15,749,292",9.48
2009M06,"21,658,604",10.29,"612,392",-3.18,"151,192",-11.27,"5,260,787",12.38,"15,634,233",10.47
2009M07,"21,747,698",10.36,"615,843",-2.80,"144,023",-12.30,"5,224,317",11.82,"15,763,515",10.73
2009M08,"21,690,353",9.74,"614,636",-4.51,"144,159",-9.31,"5,218,273",13.59,"15,713,285",9.36
2009M09,"21,759,241",8.64,"614,901",-7.66,"135,806",-17.96,"5,152,541",12.22,"15,855,993",8.56
2009M10,"21,956,354",7.86,"597,294",-5.24,"135,163",-23.65,"5,338,352",13.42,"15,885,545",7.02
2009M11,"22,023,755",7.12,"596,712",-7.55,"136,444",-20.78,"5,416,208",13.42,"15,874,391",6.07
2009M12,"22,340,848",6.42,"596,183",-8.61,"133,710",-21.68,"5,517,062",10.89,"16,093,893",5.91
2010M01,"22,216,716",6.57,"590,832",0.89,"135,457",-9.05,"5,548,651",14.83,"15,941,776",4.32
2010M02,"22,116,006",4.30,"554,530",-7.80,"134,272",-10.60,"5,461,497",8.34,"15,965,707",3.60
2010M03,"22,223,769",3.70,"577,754",-3.58,"133,884",-6.09,"5,544,298",7.52,"15,967,833",2.81
2010M04,"22,340,631",3.74,"609,978",1.72,"132,235",-5.97,"5,575,955",7.59,"16,022,463",2.62
2010M05,"22,325,420",3.24,"654,984",8.04,"136,848",-3.49,"5,644,890",10.08,"15,888,698",0.89
2010M06,"22,417,373",3.50,"638,149",4.21,"138,704",-8.26,"5,766,766",9.62,"15,873,754",1.53
2010M07,"22,542,267",3.65,"627,407",1.88,"134,204",-6.82,"5,688,954",8.89,"16,091,702",2.08
2010M08,"22,668,232",4.51,"641,901",4.44,"144,797",0.44,"5,723,693",9.69,"16,157,841",2.83
2010M09,"22,828,858",4.92,"670,987",9.12,"143,823",5.90,"5,618,247",9.04,"16,395,801",3.40
2010M10,"23,087,411",5.15,"670,152",12.20,"143,969",6.52,"5,781,988",8.31,"16,491,302",3.81
2010M11,"23,247,345",5.56,"706,813",18.45,"151,265",10.86,"5,852,545",8.06,"16,536,722",4.17
2010M12,"23,598,177",5.63,"697,030",16.92,"148,579",11.12,"6,042,860",9.53,"16,709,708",3.83
2011M01,"23,487,091",5.72,"585,302",-0.94,"152,785",12.79,"5,897,263",6.28,"16,851,741",5.71
2011M02,"23,642,028",6.90,"608,883",9.80,"146,812",9.34,"5,924,556",8.48,"16,961,777",6.24
2011M03,"23,690,765",6.60,"613,502",6.19,"149,172",11.42,"6,030,281",8.77,"16,897,810",5.82
2011M04,"23,877,555",6.88,"623,355",2.19,"144,854",9.54,"6,053,090",8.56,"17,056,256",6.45
2011M05,"23,773,878",6.49,"647,187",-1.19,"145,586",6.39,"5,964,951",5.67,"17,016,154",7.10
2011M06,"23,931,901",6.76,"634,097",-0.63,"157,111",13.27,"6,208,448",7.66,"16,932,245",6.67
2011M07,"24,121,995",7.01,"616,461",-1.74,"158,498",18.10,"6,116,803",7.52,"17,230,233",7.08
2011M08,"24,096,427",6.30,"632,564",-1.45,"147,189",1.65,"6,051,780",5.73,"17,264,894",6.85
2011M09,"24,236,821",6.17,"643,190",-4.14,"154,229",7.24,"6,093,756",8.46,"17,345,646",5.79
2011M10,"24,380,355",5.60,"641,915",-4.21,"159,237",10.61,"6,132,306",6.06,"17,446,897",5.79
2011M11,"24,453,738",5.19,"655,763",-7.22,"151,043",-0.15,"6,224,336",6.35,"17,422,596",5.36
2011M12,"24,783,296",5.02,"678,018",-2.73,"151,437",1.92,"6,339,864",4.91,"17,613,977",5.41
2012M01,"24,804,459",5.61,"596,951",1.99,"161,618",5.78,"6,212,044",5.34,"17,833,846",5.83
2012M02,"24,943,538",5.51,"614,697",0.95,"168,939",15.07,"6,277,395",5.96,"17,882,507",5.43
2012M03,"24,996,583",5.51,"611,274",-0.36,"164,610",10.35,"6,276,124",4.08,"17,944,575",6.19
2012M04,"24,964,698",4.55,"618,294",-0.81,"164,114",13.30,"6,312,263",4.28,"17,870,027",4.77
2012M05,"24,917,491",4.81,"637,067",-1.56,"168,043",15.43,"6,303,477",5.68,"17,808,904",4.66
2012M06,"24,937,795",4.20,"646,481",1.95,"156,558",-0.35,"6,406,389",3.19,"17,728,367",4.70
2012M07,"24,934,732",3.37,"656,451",6.49,"159,239",0.47,"6,313,209",3.21,"17,805,833",3.34
2012M08,"25,150,586",4.37,"634,467",0.30,"161,776",9.91,"6,344,920",4.84,"18,009,423",4.31
2012M09,"25,131,412",3.69,"650,468",1.13,"156,782",1.66,"6,256,564",2.67,"18,067,598",4.16
2012M10,"25,120,345",3.04,"640,735",-0.18,"152,165",-4.44,"6,309,753",2.89,"18,017,692",3.27
2012M11,"25,274,125",3.35,"655,478",-0.04,"153,467",1.60,"6,388,998",2.65,"18,076,182",3.75
2012M12,"25,587,343",3.24,"656,739",-3.14,"151,315",-0.08,"6,500,070",2.53,"18,279,219",3.78
2013M01,"25,754,027",3.83,"661,542",10.82,"154,816",-4.21,"6,612,771",6.45,"18,324,898",2.75
2013M02,"25,769,316",3.31,"606,651",-1.31,"148,361",-12.18,"6,502,222",3.58,"18,512,082",3.52
2013M03,"25,916,642",3.68,"591,111",-3.30,"149,692",-9.06,"6,596,494",5.10,"18,579,345",3.54
2013M04,"25,961,850",3.99,"593,939",-3.94,"163,084",-0.63,"6,713,634",6.36,"18,491,193",3.48
2013M05,"26,068,717",4.62,"616,376",-3.25,"162,690",-3.19,"6,696,576",6.24,"18,593,075",4.40
2013M06,"26,321,409",5.55,"621,065",-3.93,"172,427",10.14,"6,909,822",7.86,"18,618,095",5.02
2013M07,"26,487,825",6.23,"641,670",-2.25,"172,466",8.31,"6,894,080",9.20,"18,779,609",5.47
2013M08,"26,556,104",5.59,"610,815",-3.73,"160,223",-0.96,"6,873,418",8.33,"18,911,648",5.01
2013M09,"26,601,011",5.85,"624,561",-3.98,"154,283",-1.59,"6,845,532",9.41,"18,976,635",5.03
2013M10,"26,781,742",6.61,"616,340",-3.81,"152,380",0.14,"6,930,820",9.84,"19,082,202",5.91
2013M11,"26,843,617",6.21,"629,057",-4.03,"149,808",-2.38,"7,015,999",9.81,"19,048,753",5.38
2013M12,"27,101,027",5.92,"613,253",-6.62,"144,366",-4.59,"7,144,613",9.92,"19,198,795",5.03
2014M01,"27,124,191",5.32,"617,402",-6.67,"145,163",-6.24,"6,957,637",5.22,"19,403,989",5.89
2014M02,"27,361,382",6.18,"612,969",1.04,"147,293",-0.72,"7,071,259",8.75,"19,529,861",5.50
2014M03,"27,570,818",6.38,"615,662",4.15,"148,941",-0.50,"7,248,557",9.88,"19,557,658",5.27
2014M04,"27,670,619",6.58,"624,498",5.15,"150,008",-8.02,"7,288,615",8.56,"19,607,498",6.04
2014M05,"27,666,234",6.13,"654,153",6.13,"156,467",-3.83,"7,276,227",8.66,"19,579,387",5.30
2014M06,"27,758,787",5.46,"660,683",6.38,"156,076",-9.48,"7,397,677",7.06,"19,544,351",4.98
2014M07,"28,057,042",5.92,"712,798",11.08,"150,450",-12.77,"7,429,553",7.77,"19,764,241",5.24
