期間,提繳事業單位家數(家)_原始值,提繳事業單位家數(家)_年增率(%),家數提繳率(%)_原始值,家數提繳率(%)_年增率(%),提繳人數(人)_原始值,提繳人數(人)_年增率(%),人數提繳率(%)_原始值,人數提繳率(%)_年增率(%),提繳人數(人)-男_原始值,提繳人數(人)-男_年增率(%),提繳人數(人)-女_原始值,提繳人數(人)-女_年增率(%),平均提繳工資(元)_原始值,平均提繳工資(元)_年增率(%),實計提繳金額(千元)_原始值,實計提繳金額(千元)_年增率(%),實計核發退休金-件數(件)_原始值,實計核發退休金-件數(件)_年增率(%),實計核發退休金-金額(千元)_原始值,實計核發退休金-金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
2010M01,"402,079",3.84,91.59,-,"4,818,983",5.44,83.69,-,"2,462,698",5.50,"2,356,285",5.37,"31,879",-0.41,"9,246,288",4.56,"1,375",-26.00,"112,501",-2.21,"482,770,130",37.34
2010M02,"402,474",3.89,91.63,-,"4,795,276",5.39,83.76,-,"2,445,622",5.45,"2,349,654",5.32,"32,059",0.12,"9,009,895",-5.65,821,-51.42,"63,396",-44.20,"491,407,343",35.36
2010M03,"404,321",4.28,91.84,-,"4,850,111",6.85,84.14,-,"2,477,777",7.13,"2,372,334",6.56,"32,043",0.68,"10,704,577",5.79,"1,991",3.86,"185,083",16.98,"501,948,326",35.54
2010M04,"406,526",4.59,92.08,-,"4,911,285",7.92,84.45,-,"2,512,463",8.39,"2,398,822",7.44,"32,074",1.01,"10,063,327",5.35,"1,632",-2.45,"169,027",19.72,"511,918,217",34.78
2010M05,"408,170",4.19,92.26,-,"4,946,667",8.20,84.74,-,"2,532,107",8.85,"2,414,560",7.53,"32,148",1.37,"10,094,450",15.05,"1,877",-10.87,"150,568",23.91,"522,602,992",34.02
2010M06,"409,953",4.63,92.52,-,"5,009,313",10.12,85.56,-,"2,570,903",10.79,"2,438,410",9.44,"32,351",2.02,"10,142,935",1.74,"1,849",-23.85,"164,243",22.45,"533,376,925",32.03
2010M07,"411,605",4.63,92.58,-,"5,079,947",10.41,85.45,-,"2,618,580",11.52,"2,461,367",9.26,"32,169",2.01,"10,455,580",6.28,"2,622",4.30,"185,916",29.44,"545,136,885",31.02
2010M08,"412,972",4.70,92.72,-,"5,087,814",9.70,85.79,-,"2,616,160",10.81,"2,471,654",8.55,"32,377",2.52,"10,643,968",16.35,"3,809",10.73,"225,199",42.48,"554,327,083",29.80
2010M09,"414,512",4.76,92.83,-,"5,125,663",9.34,85.97,-,"2,631,337",10.46,"2,494,326",8.17,"32,565",2.71,"10,582,030",12.13,"3,936",25.27,"228,725",39.80,"566,887,854",29.87
2010M10,"416,479",4.86,92.92,-,"5,185,718",9.57,86.13,-,"2,661,427",10.59,"2,524,291",8.52,"32,648",3.03,"10,591,722",13.12,"3,376",121.96,"219,332",87.96,"576,352,253",28.13
2010M11,"417,964",4.81,93.03,-,"5,216,095",9.75,86.28,-,"2,677,487",10.69,"2,538,608",8.77,"32,688",2.60,"11,193,447",15.63,"1,981",48.39,"181,203",79.75,"589,216,743",27.99
2010M12,"418,333",4.81,93.09,-,"5,196,134",9.69,86.23,-,"2,673,293",10.53,"2,522,841",8.81,"32,766",2.69,"12,000,550",12.89,"1,962",22.01,"196,346",49.12,"597,374,432",26.45
2011M01,"419,973",4.45,93.17,-,"5,240,179",8.74,86.41,-,"2,695,594",9.46,"2,544,585",7.99,"32,837",3.01,"10,960,119",18.54,"1,921",39.71,"209,856",86.54,"611,037,420",26.57
2011M02,"420,899",4.58,93.23,-,"5,223,229",8.92,86.39,-,"2,680,948",9.62,"2,542,281",8.20,"33,057",3.11,"9,345,182",3.72,"1,184",44.21,"144,405",127.78,"624,277,249",27.04
2011M03,"422,189",4.42,93.35,-,"5,246,891",8.18,86.56,-,"2,695,405",8.78,"2,551,486",7.55,"33,094",3.28,"12,662,510",18.29,"2,890",45.15,"287,155",55.15,"635,567,570",26.62
2011M04,"423,888",4.27,93.44,-,"5,289,510",7.70,86.63,-,"2,716,771",8.13,"2,572,739",7.25,"33,131",3.30,"11,023,813",9.54,"3,819",134.01,"270,718",60.16,"643,565,750",25.72
2011M05,"425,056",4.14,93.51,-,"5,293,870",7.02,86.66,-,"2,718,810",7.37,"2,575,060",6.65,"33,153",3.13,"11,820,868",17.10,"3,791",101.97,"252,101",67.43,"657,042,864",25.73
2011M06,"426,306",3.99,93.54,-,"5,303,849",5.88,86.51,-,"2,731,027",6.23,"2,572,822",5.51,"33,135",2.42,"11,296,284",11.37,"2,555",38.18,"227,682",38.63,"670,463,542",25.70
2011M07,"428,058",4.00,93.60,-,"5,393,772",6.18,86.49,-,"2,784,520",6.34,"2,609,252",6.01,"32,869",2.18,"11,073,009",5.91,"3,927",49.77,"282,301",51.84,"684,392,306",25.55
2011M08,"429,511",4.00,93.75,-,"5,399,386",6.12,86.86,-,"2,776,278",6.12,"2,623,108",6.13,"33,085",2.19,"12,080,848",13.50,"8,097",112.58,"450,532",100.06,"694,801,398",25.34
2011M09,"430,968",3.97,93.84,-,"5,434,104",6.02,86.94,-,"2,789,133",6.00,"2,644,971",6.04,"33,380",2.50,"11,673,071",10.31,"6,520",65.65,"402,331",75.90,"714,380,516",26.02
2011M10,"432,392",3.82,93.91,-,"5,470,916",5.50,87.12,-,"2,806,932",5.47,"2,663,984",5.53,"33,418",2.36,"11,866,249",12.03,"5,470",62.03,"333,436",52.02,"718,965,814",24.74
2011M11,"433,756",3.78,93.99,-,"5,495,736",5.36,87.21,-,"2,818,675",5.27,"2,677,061",5.45,"33,449",2.33,"11,735,166",4.84,"5,778",191.67,"350,523",93.44,"731,837,240",24.21
2011M12,"434,385",3.84,94.05,-,"5,482,848",5.52,87.14,-,"2,814,680",5.29,"2,668,168",5.76,"33,510",2.27,"12,495,743",4.13,"5,147",162.33,"358,826",82.75,"742,798,131",24.34
2012M01,"434,798",3.53,94.08,-,"5,454,864",4.10,87.11,-,"2,800,850",3.90,"2,654,014",4.30,"33,759",2.81,"11,652,253",6.32,"2,676",39.30,"275,745",31.40,"748,083,179",22.43
2012M02,"435,728",3.52,94.15,-,"5,466,612",4.66,87.24,-,"2,802,803",4.55,"2,663,809",4.78,"33,820",2.31,"11,350,949",21.46,"2,653",124.07,"299,418",107.35,"759,808,756",21.71
2012M03,"437,121",3.54,94.25,-,"5,512,207",5.06,87.37,-,"2,826,640",4.87,"2,685,567",5.26,"33,753",1.99,"12,686,520",0.19,"3,358",16.19,"381,160",32.74,"774,642,395",21.88
2012M04,"438,214",3.38,94.30,-,"5,517,491",4.31,87.46,-,"2,829,082",4.13,"2,688,409",4.50,"33,815",2.06,"12,391,147",12.40,"2,935",-23.15,"316,994",17.09,"784,113,584",21.84
2012M05,"439,252",3.34,94.37,-,"5,526,999",4.40,87.53,-,"2,833,393",4.21,"2,693,606",4.60,"33,851",2.11,"12,602,641",6.61,"3,992",5.30,"440,299",74.65,"798,618,850",21.55
2012M06,"440,203",3.26,94.40,-,"5,544,712",4.54,87.38,-,"2,848,942",4.32,"2,695,770",4.78,"34,023",2.68,"11,796,778",4.43,"2,900",13.50,"305,347",34.11,"811,374,981",21.02
2012M07,"440,878",2.99,94.40,-,"5,588,104",3.60,87.33,-,"2,879,149",3.40,"2,708,955",3.82,"33,778",2.77,"12,810,876",15.69,"4,337",10.44,"419,082",48.45,"826,062,580",20.70
2012M08,"442,478",3.02,94.56,-,"5,613,174",3.96,87.81,-,"2,879,155",3.71,"2,734,019",4.23,"33,970",2.67,"12,642,667",4.65,"7,507",-7.29,"509,601",13.11,"840,122,286",20.92
2012M09,"443,537",2.92,94.62,-,"5,651,526",4.00,87.91,-,"2,893,369",3.74,"2,758,157",4.28,"34,184",2.41,"11,756,993",0.72,"6,947",6.55,"513,117",27.54,"847,394,203",18.62
2012M10,"443,392",2.54,94.70,-,"5,659,566",3.45,88.05,-,"2,897,981",3.24,"2,761,585",3.66,"34,195",2.33,"13,074,563",10.18,"8,152",49.03,"615,383",84.56,"859,145,448",19.50
2012M11,"443,372",2.22,94.79,-,"5,674,835",3.26,88.13,-,"2,906,421",3.11,"2,768,414",3.41,"34,233",2.34,"12,489,321",6.43,"9,431",63.22,"782,612",123.27,"869,536,373",18.82
2012M12,"443,008",1.99,94.89,-,"5,641,538",2.89,88.09,-,"2,893,920",2.82,"2,747,618",2.98,"34,314",2.40,"12,973,218",3.82,"7,717",49.93,"630,445",75.70,"884,124,826",19.03
2013M01,"443,800",2.07,94.98,-,"5,678,396",4.10,88.13,-,"2,918,062",4.18,"2,760,334",4.01,"34,316",1.65,"13,479,293",15.68,"6,430",140.28,"739,314",168.12,"905,081,099",20.99
2013M02,"444,379",1.99,95.03,-,"5,633,382",3.05,88.11,-,"2,886,105",2.97,"2,747,277",3.13,"34,581",2.25,"11,057,840",-2.58,"2,400",-9.54,"333,388",11.35,"922,175,801",21.37
2013M03,"445,446",1.90,95.10,-,"5,653,957",2.57,88.36,-,"2,897,747",2.52,"2,756,210",2.63,"34,576",2.44,"13,248,096",4.43,"5,001",48.93,"726,583",90.62,"940,517,400",21.41
2013M04,"446,793",1.96,95.19,-,"5,666,859",2.71,88.44,-,"2,904,466",2.66,"2,762,393",2.75,"34,716",2.66,"13,207,785",6.59,"4,181",42.45,"598,772",88.89,"951,932,851",21.40
2013M05,"447,753",1.94,95.26,-,"5,668,854",2.57,88.43,-,"2,906,416",2.58,"2,762,438",2.56,"34,743",2.64,"13,145,420",4.31,"5,559",39.25,"645,163",46.53,"971,256,326",21.62
2013M06,"448,640",1.92,95.30,-,"5,658,652",2.05,88.16,-,"2,911,353",2.19,"2,747,299",1.91,"34,826",2.36,"11,921,536",1.06,"3,632",25.24,"498,970",63.41,"983,702,316",21.24
2013M07,"449,616",1.98,95.31,-,"5,722,939",2.41,88.09,-,"2,951,675",2.52,"2,771,264",2.30,"34,584",2.39,"13,657,761",6.61,"7,208",66.20,"876,541",109.16,"1,000,358,601",21.10
2013M08,"451,536",2.05,95.43,-,"5,755,583",2.54,88.56,-,"2,954,256",2.61,"2,801,327",2.46,"34,694",2.13,"12,581,963",-0.48,"7,131",-5.01,"732,813",43.80,"1,012,357,683",20.50
2013M09,"452,010",1.91,95.47,-,"5,760,804",1.93,88.60,-,"2,950,785",1.98,"2,810,019",1.88,"34,936",2.20,"12,796,220",8.84,"6,728",-3.15,"724,275",41.15,"1,023,993,505",20.84
2013M10,"453,086",2.19,95.52,-,"5,797,392",2.44,88.67,-,"2,969,478",2.47,"2,827,914",2.40,"34,903",2.07,"13,854,835",5.97,"8,014",-1.69,"833,703",35.48,"1,035,660,393",20.55
2013M11,"454,482",2.51,95.56,-,"5,827,338",2.69,88.65,-,"2,984,888",2.70,"2,842,450",2.67,"34,932",2.04,"12,612,349",0.99,"6,968",-26.12,"713,450",-8.84,"1,054,159,899",21.23
2013M12,"453,955",2.47,95.59,-,"5,798,851",2.79,88.56,-,"2,975,883",2.83,"2,822,968",2.74,"35,008",2.02,"14,648,599",12.91,"6,948",-9.97,"742,722",17.81,"1,078,776,307",22.02
2014M01,"455,587",2.66,95.77,-,"5,845,493",2.94,88.94,-,"2,990,918",2.50,"2,854,575",3.41,"34,988",1.96,"13,327,546",-1.13,"4,733",-26.39,"738,838",-0.06,"1,099,132,218",21.44
2014M02,"456,447",2.72,95.80,-,"5,827,564",3.45,89.04,-,"2,975,423",3.09,"2,852,141",3.82,"35,159",1.67,"11,749,100",6.25,"2,533",5.54,"439,569",31.85,"1,113,151,026",20.71
2014M03,"457,446",2.69,95.87,-,"5,840,387",3.30,89.06,-,"2,983,727",2.97,"2,856,660",3.64,"35,195",1.79,"14,145,301",6.77,"5,460",9.18,"916,592",26.15,"1,132,258,258",20.39
2014M04,"458,872",2.70,95.93,-,"5,867,105",3.53,89.11,-,"2,997,623",3.21,"2,869,482",3.88,"35,260",1.57,"13,433,919",1.71,"5,266",25.95,"847,784",41.59,"1,144,537,325",20.23
2014M05,"459,904",2.71,95.98,-,"5,882,566",3.77,89.09,-,"3,004,602",3.38,"2,877,964",4.18,"35,372",1.81,"13,247,276",0.77,"6,252",12.47,"875,557",35.71,"1,157,556,507",19.18
2014M06,"460,963",2.75,96.04,-,"5,868,952",3.72,88.79,-,"3,007,535",3.30,"2,861,417",4.15,"35,455",1.81,"13,467,206",12.97,"4,938",35.96,"745,474",49.40,"1,173,498,190",19.29
